ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002651.SZ,20150105,22.03,22.48,21.62,22.2,22.8,-0.6,-2.63,24401.32,53752.0359
002651.SZ,20150106,22.0,22.75,21.9,22.68,22.2,0.48,2.16,11050.57,24789.4332
002651.SZ,20150107,22.68,22.86,22.24,22.68,22.68,0.0,0.0,7250.36,16343.886
002651.SZ,20150108,22.68,24.95,22.46,24.95,22.68,2.27,10.01,22490.73,53659.5646
002651.SZ,20150109,25.48,26.18,24.01,24.15,24.95,-0.8,-3.21,22983.53,58150.2694
002651.SZ,20150112,24.06,26.4,24.06,26.07,24.15,1.92,7.95,26386.49,68060.2303
002651.SZ,20150113,25.99,26.88,25.49,26.82,26.07,0.75,2.88,17227.68,45516.5775
002651.SZ,20150114,26.77,26.78,25.6,26.2,26.82,-0.62,-2.31,12858.29,33466.2468
002651.SZ,20150115,25.7,26.18,24.96,25.25,26.2,-0.95,-3.63,8892.36,22471.8314
002651.SZ,20150116,25.2,26.17,24.91,25.65,25.25,0.4,1.58,10784.11,27649.301
002651.SZ,20150119,25.0,27.54,24.06,25.34,25.65,-0.31,-1.21,12155.96,31214.4222
002651.SZ,20150120,25.5,26.52,25.16,26.28,25.34,0.94,3.71,15222.61,39552.4749
002651.SZ,20150121,26.03,27.21,26.03,26.88,26.28,0.6,2.28,14397.83,38652.1359
002651.SZ,20150122,26.81,27.2,26.68,27.06,26.88,0.18,0.67,7890.96,21232.1179
002651.SZ,20150123,27.07,27.89,26.65,27.88,27.06,0.82,3.03,16177.34,44021.974
002651.SZ,20150126,27.88,29.0,27.75,28.94,27.88,1.06,3.8,20220.52,57100.1091
002651.SZ,20150127,28.74,29.32,27.03,28.5,28.94,-0.44,-1.52,20907.31,59343.2264
002651.SZ,20150128,28.28,29.19,28.0,28.94,28.5,0.44,1.54,16522.37,47468.6891
002651.SZ,20150129,28.88,29.24,28.48,29.04,28.94,0.1,0.35,9890.52,28447.2698
002651.SZ,20150130,29.04,29.2,27.55,27.8,29.04,-1.24,-4.27,15792.0,44450.575
002651.SZ,20150202,27.47,27.47,26.72,26.77,27.8,-1.03,-3.71,8365.23,22539.5996
002651.SZ,20150203,26.77,27.38,26.5,26.98,26.77,0.21,0.78,10896.94,29348.5772
002651.SZ,20150204,26.99,27.15,26.39,26.45,26.98,-0.53,-1.96,9247.5,24816.6521
002651.SZ,20150205,26.58,26.9,26.0,26.09,26.45,-0.36,-1.36,9668.78,25489.546
002651.SZ,20150206,26.09,26.42,25.64,25.98,26.09,-0.11,-0.42,6945.55,18126.9232
002651.SZ,20150209,25.98,26.17,25.63,25.87,25.98,-0.11,-0.42,3836.0,9940.8376
002651.SZ,20150210,25.62,27.78,25.5,27.78,25.87,1.91,7.38,17312.09,45784.6127
002651.SZ,20150211,27.5,28.5,26.9,28.28,27.78,0.5,1.8,17609.14,48894.9374
002651.SZ,20150212,28.28,28.51,26.3,26.39,28.28,-1.89,-6.68,64180.7,176872.3523
002651.SZ,20150213,25.58,25.58,24.61,25.49,26.39,-0.9,-3.41,57934.2,145926.5534
002651.SZ,20150216,25.2,25.4,25.03,25.22,25.49,-0.27,-1.06,31263.4,78833.0237
002651.SZ,20150217,25.22,25.38,25.12,25.33,25.22,0.11,0.44,16962.83,42900.8542
002651.SZ,20150225,25.35,25.39,24.7,25.17,25.33,-0.16,-0.63,15006.98,37666.2286
002651.SZ,20150226,25.15,25.4,25.05,25.4,25.17,0.23,0.91,15549.6,39343.3887
002651.SZ,20150227,25.4,25.86,25.4,25.81,25.4,0.41,1.61,19558.26,50317.9716
002651.SZ,20150302,25.91,26.47,25.91,26.23,25.81,0.42,1.63,29996.31,78669.8514
002651.SZ,20150303,26.02,26.47,25.71,25.74,26.23,-0.49,-1.87,24703.79,64475.7893
002651.SZ,20150304,25.76,26.15,25.75,26.09,25.74,0.35,1.36,19417.23,50409.9725
002651.SZ,20150305,26.12,26.87,26.09,26.49,26.09,0.4,1.53,28122.85,74530.0013
002651.SZ,20150306,26.5,26.86,25.9,26.84,26.49,0.35,1.32,30108.94,79904.2809
002651.SZ,20150309,26.84,27.62,25.05,27.58,26.84,0.74,2.76,62404.53,164868.8413
002651.SZ,20150310,27.58,27.58,26.39,26.63,27.58,-0.95,-3.44,74829.66,201339.8359
002651.SZ,20150311,26.32,26.35,25.23,25.31,26.63,-1.32,-4.96,46085.59,117975.9102
002651.SZ,20150312,25.29,25.6,25.11,25.32,25.31,0.01,0.04,21837.5,55245.5899
002651.SZ,20150313,25.3,25.65,25.16,25.57,25.32,0.25,0.99,18616.63,47409.2424
002651.SZ,20150316,25.6,25.87,25.4,25.85,25.57,0.28,1.1,51316.1,131833.5631
002651.SZ,20150317,25.9,26.77,25.83,26.77,25.85,0.92,3.56,47660.62,125407.7375
002651.SZ,20150318,26.8,27.29,26.55,27.27,26.77,0.5,1.87,51566.49,138899.8175
002651.SZ,20150319,27.11,27.82,26.84,27.45,27.27,0.18,0.66,42270.44,115366.6466
002651.SZ,20150320,27.45,27.95,27.2,27.49,27.45,0.04,0.15,35394.66,97420.7695
002651.SZ,20150323,27.55,29.42,27.55,29.0,27.49,1.51,5.49,57210.08,163066.7485
002651.SZ,20150324,29.0,29.24,27.6,28.44,29.0,-0.56,-1.93,50793.08,144032.2697
002651.SZ,20150325,28.59,29.25,27.91,29.1,28.44,0.66,2.32,53290.64,152126.7168
002651.SZ,20150326,28.99,29.0,28.06,28.21,29.1,-0.89,-3.06,27967.49,79752.4063
002651.SZ,20150327,28.18,28.81,28.15,28.46,28.21,0.25,0.89,19295.76,54856.0175
002651.SZ,20150330,28.01,28.42,27.87,28.02,28.46,-0.44,-1.55,29294.86,82240.5041
002651.SZ,20150331,28.09,28.34,27.81,28.11,28.02,0.09,0.32,27387.11,76936.9445
002651.SZ,20150401,28.08,29.15,28.01,29.01,28.11,0.9,3.2,41991.45,121015.7691
002651.SZ,20150402,29.08,29.89,29.0,29.25,29.01,0.24,0.83,44903.97,131999.0533
002651.SZ,20150403,29.2,30.19,28.75,30.14,29.25,0.89,3.04,42491.2,126342.1284
002651.SZ,20150407,30.26,31.48,30.19,30.3,30.14,0.16,0.53,47146.27,144397.6797
002651.SZ,20150408,30.3,30.98,28.51,28.95,30.3,-1.35,-4.46,50110.52,148084.7013
002651.SZ,20150409,28.94,29.33,27.15,27.97,28.95,-0.98,-3.39,33851.45,95068.162
002651.SZ,20150410,27.9,29.0,27.82,28.88,27.97,0.91,3.25,32704.43,93691.0446
002651.SZ,20150413,29.15,31.77,29.15,31.77,28.88,2.89,10.01,68125.56,209029.7964
002651.SZ,20150414,32.1,33.0,31.14,32.26,31.77,0.49,1.54,71748.72,231000.6867
002651.SZ,20150415,32.16,32.16,30.51,30.96,32.26,-1.3,-4.03,41810.13,131162.0508
002651.SZ,20150416,30.25,34.06,30.25,34.06,30.96,3.1,10.01,63305.69,207035.8183
002651.SZ,20150417,35.86,35.86,33.3,33.8,34.06,-0.26,-0.76,79458.79,276405.7102
002651.SZ,20150420,33.31,33.31,31.2,31.89,33.8,-1.91,-5.65,50482.48,162923.1592
002651.SZ,20150421,31.89,35.08,31.31,34.68,31.89,2.79,8.75,45776.56,150924.0428
002651.SZ,20150422,34.1,37.2,33.88,36.18,34.68,1.5,4.33,53982.43,193210.6111
002651.SZ,20150423,35.58,36.89,35.21,36.04,36.18,-0.14,-0.39,41491.93,148567.2864
002651.SZ,20150424,34.61,36.88,34.4,35.45,36.04,-0.59,-1.64,34819.48,124372.7717
002651.SZ,20150427,35.45,36.36,34.13,34.38,35.45,-1.07,-3.02,34295.39,119334.2469
002651.SZ,20150428,34.5,34.94,31.91,33.66,34.38,-0.72,-2.09,47669.36,157408.5017
002651.SZ,20150429,33.0,34.5,32.81,33.7,33.66,0.04,0.12,20962.93,70856.5967
002651.SZ,20150430,33.89,34.0,33.01,33.15,33.7,-0.55,-1.63,14828.36,49462.5205
002651.SZ,20150504,33.25,34.68,32.66,34.5,33.15,1.35,4.07,23766.06,79925.0418
002651.SZ,20150505,34.4,35.9,33.15,34.18,34.5,-0.32,-0.93,35026.77,121600.6085
002651.SZ,20150506,34.2,36.0,34.0,34.45,34.18,0.27,0.79,34248.6,120344.9101
002651.SZ,20150507,34.32,35.0,33.5,34.71,34.45,0.26,0.75,21418.03,74208.8104
002651.SZ,20150508,35.06,36.48,35.06,36.29,34.71,1.58,4.55,37620.3,135056.3411
002651.SZ,20150511,36.91,39.92,35.8,39.92,36.29,3.63,10.0,54362.23,209059.7763
002651.SZ,20150512,39.88,42.5,39.4,41.51,39.92,1.59,3.98,42892.1,175533.7005
002651.SZ,20150513,45.66,45.66,41.01,41.39,41.51,-0.12,-0.29,93187.21,404585.2139
002651.SZ,20150514,41.36,41.36,38.9,39.01,41.39,-2.38,-5.75,55021.88,216579.5107
002651.SZ,20150515,38.02,40.38,36.88,39.86,39.01,0.85,2.18,62738.19,242911.0531
002651.SZ,20150518,39.4,39.9,38.03,39.2,39.86,-0.66,-1.66,49369.82,191160.8456
002651.SZ,20150519,38.41,38.81,37.5,38.44,39.2,-0.76,-1.94,64360.93,245164.7468
002651.SZ,20150520,38.43,40.17,38.08,39.68,38.44,1.24,3.23,95874.64,375592.667
002651.SZ,20150521,39.5,40.6,38.81,40.18,39.68,0.5,1.26,90301.2,356063.4155
002651.SZ,20150522,41.16,41.36,39.51,41.07,40.18,0.89,2.22,73967.93,299807.8905
002651.SZ,20150525,40.0,45.18,39.55,45.18,41.07,4.11,10.01,87143.33,378397.2218
002651.SZ,20150526,48.0,49.7,45.28,49.7,45.18,4.52,10.0,152581.68,735145.7115
002651.SZ,20150527,50.2,53.25,48.8,51.39,49.7,1.69,3.4,100507.84,521358.6471
002651.SZ,20150528,51.0,51.0,46.88,47.02,51.39,-4.37,-8.5,133375.52,654334.3572
002651.SZ,20150529,46.0,49.56,45.21,49.35,47.02,2.33,4.96,105952.01,512807.6318
002651.SZ,20150601,49.5,52.4,49.5,51.21,49.35,1.86,3.77,116265.5,595403.0941
