ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002662.SZ,20150105,12.06,12.47,11.82,12.2,12.1,0.1,0.83,22189.87,26855.7662
002662.SZ,20150106,12.18,12.5,11.98,12.48,12.2,0.28,2.3,29016.66,35829.4939
002662.SZ,20150107,12.47,13.2,12.25,12.78,12.48,0.3,2.4,29668.17,37997.7867
002662.SZ,20150108,12.68,12.89,12.51,12.67,12.78,-0.11,-0.86,17460.3,22085.8115
002662.SZ,20150109,12.67,12.95,12.6,12.79,12.67,0.12,0.95,24409.18,31245.1341
002662.SZ,20150112,12.77,12.85,12.11,12.7,12.79,-0.09,-0.7,22058.25,27558.0689
002662.SZ,20150113,12.65,13.15,12.45,12.93,12.7,0.23,1.81,29446.76,37846.6054
002662.SZ,20150114,12.91,13.05,12.71,12.93,12.93,0.0,0.0,21522.37,27920.2381
002662.SZ,20150115,12.99,13.7,12.99,13.5,12.93,0.57,4.41,40327.32,54101.9653
002662.SZ,20150116,13.43,13.56,13.3,13.45,13.5,-0.05,-0.37,19408.32,26022.0388
002662.SZ,20150119,13.09,13.41,12.51,12.58,13.45,-0.87,-6.47,28890.74,37700.0729
002662.SZ,20150120,12.65,13.19,12.65,13.08,12.58,0.5,3.97,27042.92,35069.7654
002662.SZ,20150121,13.11,13.77,13.11,13.68,13.08,0.6,4.59,42429.14,57609.4025
002662.SZ,20150122,13.55,13.95,13.5,13.86,13.68,0.18,1.32,30421.03,41824.4684
002662.SZ,20150123,14.04,14.5,13.93,14.0,13.86,0.14,1.01,58161.25,82665.4033
002662.SZ,20150126,13.89,14.24,13.81,14.07,14.0,0.07,0.5,33390.85,46961.0155
002662.SZ,20150127,14.05,14.14,13.54,13.79,14.07,-0.28,-1.99,45267.4,62393.7663
002662.SZ,20150128,13.64,13.9,13.64,13.8,13.79,0.01,0.07,19525.77,26962.8594
002662.SZ,20150129,13.78,13.78,13.42,13.6,13.8,-0.2,-1.45,18371.09,24925.3072
002662.SZ,20150130,13.75,13.75,13.29,13.51,13.6,-0.09,-0.66,16264.75,21915.0091
