ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002663.SZ,20150317,15.84,15.84,15.84,15.84,14.4,1.44,10.0,4050.76,6416.4038
002663.SZ,20150318,17.42,17.42,17.42,17.42,15.84,1.58,9.97,1263.76,2201.4699
002663.SZ,20150319,19.16,19.16,19.16,19.16,17.42,1.74,9.99,3890.85,7454.8686
002663.SZ,20150320,21.08,21.08,20.65,21.08,19.16,1.92,10.02,365517.17,770405.1895
002663.SZ,20150323,21.5,23.15,21.29,22.74,21.08,1.66,7.87,706292.74,1559365.1121
002663.SZ,20150324,22.98,25.01,22.52,25.01,22.74,2.27,9.98,553858.65,1313675.6862
002663.SZ,20150325,25.01,27.35,24.53,26.47,25.01,1.46,5.84,510884.87,1337897.554
002663.SZ,20150326,26.18,26.7,24.7,25.02,26.47,-1.45,-5.48,424767.58,1089329.5183
002663.SZ,20150327,25.02,25.68,24.6,25.47,25.02,0.45,1.8,204544.49,514492.5784
002663.SZ,20150330,25.66,26.15,25.03,25.38,25.47,-0.09,-0.35,192825.06,492570.613
002663.SZ,20150331,25.3,26.38,25.21,25.82,25.38,0.44,1.73,199122.33,513851.1936
002663.SZ,20150401,25.75,28.0,25.65,27.59,25.82,1.77,6.86,309308.08,835626.038
002663.SZ,20150402,27.59,28.39,27.01,28.3,27.59,0.71,2.57,266033.45,739056.7387
002663.SZ,20150403,28.01,31.13,27.73,31.13,28.3,2.83,10.0,331951.8,998848.9319
002663.SZ,20150407,32.41,33.33,31.56,32.95,31.13,1.82,5.85,338236.65,1095892.6653
002663.SZ,20150408,32.85,35.8,32.17,34.85,32.95,1.9,5.77,295129.62,993050.2803
002663.SZ,20150409,34.25,35.2,31.37,33.11,34.85,-1.74,-4.99,277787.34,919855.7706
002663.SZ,20150410,32.83,35.2,32.53,34.64,33.11,1.53,4.62,212428.5,729393.5138
002663.SZ,20150413,34.65,35.0,33.62,34.19,34.64,-0.45,-1.3,215262.27,739352.5535
002663.SZ,20150414,33.5,33.75,31.7,31.9,34.19,-2.29,-6.7,253705.26,824912.11
002663.SZ,20150415,31.79,31.79,28.71,28.71,31.9,-3.19,-10.0,291668.3,861729.583
002663.SZ,20150416,27.6,29.31,27.11,28.23,28.71,-0.48,-1.67,192238.12,544290.2709
002663.SZ,20150417,29.29,29.3,28.3,28.38,28.23,0.15,0.53,162424.83,466412.3717
002663.SZ,20150420,28.0,28.17,26.13,26.48,28.38,-1.9,-6.69,208399.77,568635.3824
002663.SZ,20150421,26.4,28.69,26.4,28.5,26.48,2.02,7.63,185066.85,516315.1444
002663.SZ,20150422,29.5,29.8,28.76,29.0,28.5,0.5,1.75,182283.03,531637.6854
002663.SZ,20150423,29.11,29.14,28.2,28.75,29.0,-0.25,-0.86,154732.84,442943.775
002663.SZ,20150424,28.01,28.44,27.5,28.2,28.75,-0.55,-1.91,150872.66,422939.0251
002663.SZ,20150427,28.23,29.0,28.0,28.25,28.2,0.05,0.18,137728.93,391950.7316
002663.SZ,20150428,28.08,28.19,26.49,26.6,28.25,-1.65,-5.84,208195.03,562730.9749
002663.SZ,20150429,26.45,27.12,26.2,26.97,26.6,0.37,1.39,137068.09,367194.8202
002663.SZ,20150430,26.88,27.86,26.88,27.22,26.97,0.25,0.93,137309.53,376009.2526
002663.SZ,20150504,27.0,27.22,26.48,27.11,27.22,-0.11,-0.4,101774.18,273503.5569
002663.SZ,20150505,27.15,27.78,26.6,26.84,27.11,-0.27,-1.0,126606.89,345383.7752
002663.SZ,20150506,27.19,27.99,26.8,27.09,26.84,0.25,0.93,152339.52,417934.7291
002663.SZ,20150507,27.16,27.5,26.51,26.64,27.09,-0.45,-1.66,101818.77,274025.0955
002663.SZ,20150508,27.1,27.64,26.83,27.63,26.64,0.99,3.72,141323.33,384400.7521
