ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002675.SZ,20150423,26.6,26.6,26.6,26.6,24.18,2.42,10.01,68.85,183.141
002675.SZ,20150424,29.26,29.26,29.26,29.26,26.6,2.66,10.0,111.11,325.1079
002675.SZ,20150427,32.19,32.19,32.19,32.19,29.26,2.93,10.01,106.12,341.6003
002675.SZ,20150428,35.41,35.41,35.41,35.41,32.19,3.22,10.0,176.6,625.3406
002675.SZ,20150429,38.95,38.95,38.95,38.95,35.41,3.54,10.0,10429.39,40622.4741
002675.SZ,20150430,42.85,42.85,42.85,42.85,38.95,3.9,10.01,4717.02,20212.4307
002675.SZ,20150504,47.14,47.14,44.04,46.8,42.85,3.95,9.22,174173.96,796970.874
002675.SZ,20150505,44.98,46.5,42.12,43.0,46.8,-3.8,-8.12,79279.98,347326.329
002675.SZ,20150506,44.01,44.44,41.4,41.7,43.0,-1.3,-3.02,61683.3,261721.7258
002675.SZ,20150507,41.4,42.0,38.0,38.9,41.7,-2.8,-6.71,55916.54,222270.3659
002675.SZ,20150508,39.68,42.79,39.0,42.79,38.9,3.89,10.0,65715.39,276842.3713
002675.SZ,20150511,44.0,46.99,42.79,44.7,42.79,1.91,4.46,78329.63,352710.2961
002675.SZ,20150512,44.0,49.0,43.8,49.0,44.7,4.3,9.62,66361.09,309579.5827
002675.SZ,20150513,48.0,52.99,47.1,51.75,49.0,2.75,5.61,68957.32,347736.5176
002675.SZ,20150514,51.66,55.99,51.6,54.07,51.75,2.32,4.48,53228.62,287008.7078
002675.SZ,20150519,59.31,59.31,58.77,59.31,53.92,5.39,10.0,11357.01,67280.4538
002675.SZ,20150520,64.5,65.24,61.5,65.24,59.31,5.93,10.0,36399.59,234009.759
002675.SZ,20150521,67.47,69.66,62.8,66.35,65.24,1.11,1.7,84916.95,561797.1433
002675.SZ,20150522,65.99,66.0,63.17,63.69,66.35,-2.66,-4.01,55798.21,357087.81
002675.SZ,20150525,63.48,63.48,59.7,61.87,63.69,-1.82,-2.86,41264.69,253755.8585
002675.SZ,20150526,62.0,68.06,62.0,68.06,61.87,6.19,10.0,56159.43,376502.5057
