ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002745.SZ,20150217,25.8,30.96,25.8,30.96,21.5,9.46,44.0,660.0,2032.782
002745.SZ,20150225,34.06,34.06,34.06,34.06,30.96,3.1,10.01,144.0,490.464
002745.SZ,20150226,37.47,37.47,37.47,37.47,34.06,3.41,10.01,145.0,543.315
002745.SZ,20150227,41.22,41.22,41.22,41.22,37.47,3.75,10.01,548.0,2258.856
002745.SZ,20150302,45.34,45.34,45.34,45.34,41.22,4.12,10.0,2691.0,12200.994
002745.SZ,20150303,45.34,49.48,40.95,47.47,45.34,2.13,4.7,260725.15,1164226.7656
002745.SZ,20150304,44.2,45.5,43.1,44.24,47.47,-3.23,-6.8,134381.86,596948.2042
002745.SZ,20150305,44.0,44.0,42.06,42.07,44.24,-2.17,-4.91,100683.49,428782.8507
002745.SZ,20150306,41.98,43.2,41.01,41.25,42.07,-0.82,-1.95,72927.43,304887.9141
002745.SZ,20150309,40.98,40.99,39.1,39.55,41.25,-1.7,-4.12,64949.62,257106.8886
002745.SZ,20150310,39.54,40.67,39.42,40.35,39.55,0.8,2.02,44571.38,178959.6275
002745.SZ,20150311,40.0,40.0,39.21,39.31,40.35,-1.04,-2.58,43798.8,173018.8187
002745.SZ,20150312,39.06,39.45,38.01,38.16,39.31,-1.15,-2.93,54468.68,209913.1691
002745.SZ,20150313,38.5,39.46,38.38,39.18,38.16,1.02,2.67,37725.75,147269.2796
002745.SZ,20150316,39.55,40.36,39.5,40.28,39.18,1.1,2.81,51143.98,205172.5052
002745.SZ,20150317,40.48,40.58,40.06,40.38,40.28,0.1,0.25,48393.66,194872.4635
002745.SZ,20150318,40.39,40.79,40.07,40.65,40.38,0.27,0.67,52872.41,214100.1827
002745.SZ,20150319,40.68,41.69,40.25,41.35,40.65,0.7,1.72,57610.56,236630.0954
002745.SZ,20150320,41.36,41.5,40.76,40.91,41.35,-0.44,-1.06,44661.54,182984.8764
002745.SZ,20150323,40.91,41.35,40.6,41.14,40.91,0.23,0.56,51404.28,210430.4284
002745.SZ,20150324,41.15,41.19,39.61,40.45,41.14,-0.69,-1.68,53663.48,217196.4001
002745.SZ,20150325,40.5,42.46,40.18,42.1,40.45,1.65,4.08,87786.62,367033.1167
002745.SZ,20150326,41.9,41.9,40.7,40.98,42.1,-1.12,-2.66,48867.64,201423.8789
002745.SZ,20150327,40.83,41.16,40.71,40.98,40.98,0.0,0.0,23937.52,97974.8668
002745.SZ,20150330,40.99,42.19,40.9,41.36,40.98,0.38,0.93,44365.06,184292.6589
002745.SZ,20150331,41.15,41.81,40.66,41.28,41.36,-0.08,-0.19,47078.24,193822.7387
