ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002766.SZ,20150611,9.94,10.84,9.94,10.84,7.53,3.31,43.96,132.0,142.638
002766.SZ,20150612,11.92,11.92,11.92,11.92,10.84,1.08,9.96,25.0,29.8
002766.SZ,20150615,13.11,13.11,13.11,13.11,11.92,1.19,9.98,58.0,76.038
002766.SZ,20150616,14.42,14.42,14.42,14.42,13.11,1.31,9.99,34.0,49.028
002766.SZ,20150617,15.86,15.86,15.86,15.86,14.42,1.44,9.99,146.0,231.556
002766.SZ,20150618,17.45,17.45,17.45,17.45,15.86,1.59,10.03,61.0,106.445
002766.SZ,20150619,19.2,19.2,19.2,19.2,17.45,1.75,10.03,607.5,1166.4
002766.SZ,20150623,21.12,21.12,21.12,21.12,19.2,1.92,10.0,232.0,489.984
002766.SZ,20150624,23.23,23.23,23.23,23.23,21.12,2.11,9.99,111.0,257.853
002766.SZ,20150625,25.55,25.55,25.55,25.55,23.23,2.32,9.99,137.0,350.035
002766.SZ,20150626,28.11,28.11,28.11,28.11,25.55,2.56,10.02,6018.5,16918.0035
002766.SZ,20150629,30.92,30.92,26.33,30.92,28.11,2.81,10.0,256240.1,752867.7204
002766.SZ,20150630,28.3,34.01,28.3,34.01,30.92,3.09,9.99,222826.5,700458.4963
002766.SZ,20150701,34.0,37.41,32.99,36.0,34.01,1.99,5.85,199947.38,721266.3212
002766.SZ,20150702,32.4,35.1,32.4,32.4,36.0,-3.6,-10.0,151836.86,500360.9227
002766.SZ,20150703,29.16,31.58,29.16,29.16,32.4,-3.24,-10.0,106143.65,312882.4402
002766.SZ,20150706,32.08,32.08,26.24,26.24,29.16,-2.92,-10.01,128902.35,379672.2426
002766.SZ,20150707,23.62,24.01,23.62,23.62,26.24,-2.62,-9.98,28688.25,67788.5415
002766.SZ,20150708,21.26,21.26,21.26,21.26,23.62,-2.36,-9.99,1397.0,2970.022
002766.SZ,20150709,19.13,23.39,19.13,23.39,21.26,2.13,10.02,160991.12,338155.8
002766.SZ,20150710,25.37,25.73,23.51,25.73,23.39,2.34,10.0,67508.33,171758.146
002766.SZ,20150713,27.82,28.3,27.01,28.3,25.73,2.57,9.99,98103.54,273320.8851
002766.SZ,20150714,29.01,31.13,28.36,31.13,28.3,2.83,10.0,160257.97,486334.8662
002766.SZ,20150715,29.35,29.8,28.02,28.02,31.13,-3.11,-9.99,56973.06,162734.2518
002766.SZ,20150716,25.23,28.9,25.22,26.03,28.02,-1.99,-7.1,114183.29,304054.1585
002766.SZ,20150717,26.32,28.23,26.03,27.3,26.03,1.27,4.88,92460.62,249444.5067
002766.SZ,20150720,26.9,27.97,26.31,26.92,27.3,-0.38,-1.39,90879.78,246378.664
002766.SZ,20150721,26.6,29.5,26.04,28.93,26.92,2.01,7.47,99773.53,280818.2958
002766.SZ,20150722,28.53,30.8,28.2,30.17,28.93,1.24,4.29,114751.52,339825.1655
002766.SZ,20150723,29.65,33.19,29.61,33.19,30.17,3.02,10.01,88594.52,278873.6805
002766.SZ,20150724,34.84,36.4,31.9,32.58,33.19,-0.61,-1.84,159817.58,550234.9785
002766.SZ,20150727,30.87,34.6,29.32,29.32,32.58,-3.26,-10.01,116844.0,377535.8341
002766.SZ,20150728,27.0,31.38,26.53,29.68,29.32,0.36,1.23,92598.52,265860.9275
002766.SZ,20150729,30.48,32.65,27.51,32.65,29.68,2.97,10.01,101104.42,306478.9566
002766.SZ,20150730,32.6,35.92,32.06,35.92,32.65,3.27,10.02,142330.19,488984.0925
002766.SZ,20150731,35.2,39.51,34.11,39.51,35.92,3.59,9.99,223782.81,854551.3128
002766.SZ,20150803,38.0,40.0,36.47,39.05,39.51,-0.46,-1.16,198593.62,760512.7002
002766.SZ,20150804,38.39,41.3,35.15,35.17,39.05,-3.88,-9.94,186833.23,688174.6541
002766.SZ,20150805,33.9,38.69,33.22,38.33,35.17,3.16,8.98,180090.44,659165.9635
002766.SZ,20150806,36.5,37.45,34.5,35.3,38.33,-3.03,-7.91,135365.82,482786.8773
002766.SZ,20150807,34.6,36.96,34.59,35.63,35.3,0.33,0.93,99717.65,359106.0041
002766.SZ,20150810,35.98,37.58,35.2,36.99,35.63,1.36,3.82,97854.39,356834.8211
002766.SZ,20150811,36.68,40.46,36.52,39.05,36.99,2.06,5.57,121463.87,470019.2097
002766.SZ,20150812,39.0,39.4,36.31,36.34,39.05,-2.71,-6.94,102563.78,386576.0993
002766.SZ,20150813,35.9,37.31,35.14,36.45,36.34,0.11,0.3,60789.36,219722.8571
002766.SZ,20150814,36.55,37.23,35.6,36.02,36.45,-0.43,-1.18,56730.53,205926.9573
002766.SZ,20150817,36.1,36.1,33.33,33.6,36.02,-2.42,-6.72,68478.76,234461.2472
002766.SZ,20150818,33.6,35.2,30.24,30.47,33.6,-3.13,-9.32,63874.88,212474.0488
002766.SZ,20150819,29.65,31.45,27.6,31.03,30.47,0.56,1.84,64806.54,193430.6802
002766.SZ,20150820,30.8,30.8,28.8,28.8,31.03,-2.23,-7.19,40424.68,121007.7836
002766.SZ,20150821,28.18,28.5,25.98,26.12,28.8,-2.68,-9.31,46732.89,126975.7166
002766.SZ,20150824,24.95,24.95,23.51,23.51,26.12,-2.61,-9.99,29583.61,70702.9971
002766.SZ,20150825,21.18,24.98,21.16,21.4,23.51,-2.11,-8.97,85618.79,190962.7867
002766.SZ,20150826,22.2,23.54,21.4,23.54,21.4,2.14,10.0,97166.16,223099.8823
002766.SZ,20150827,24.59,25.65,22.3,25.07,23.54,1.53,6.5,111273.78,267411.1569
002766.SZ,20150828,24.8,26.77,23.9,26.35,25.07,1.28,5.11,95953.28,241633.7507
002766.SZ,20150831,25.36,25.8,23.72,23.72,26.35,-2.63,-9.98,55354.9,138186.6861
002766.SZ,20150901,23.8,23.8,21.35,21.35,23.72,-2.37,-9.99,55684.56,122387.9925
002766.SZ,20150902,19.5,22.36,19.43,20.0,21.35,-1.35,-6.32,48160.83,101357.4637
002766.SZ,20150907,20.68,21.82,20.52,20.93,20.0,0.93,4.65,38994.93,82524.9476
002766.SZ,20150908,20.88,23.02,20.6,23.02,20.93,2.09,9.99,59044.81,132795.0065
002766.SZ,20150909,24.89,25.32,24.32,25.32,23.02,2.3,9.99,113770.68,285571.6924
002766.SZ,20150910,24.01,25.19,23.81,24.0,25.32,-1.32,-5.21,85760.33,209259.9553
002766.SZ,20150911,23.83,25.48,23.83,24.97,24.0,0.97,4.04,68821.73,170934.4473
002766.SZ,20150914,24.5,25.38,22.47,22.47,24.97,-2.5,-10.01,68312.6,162359.1694
002766.SZ,20150915,21.79,22.8,20.72,21.33,22.47,-1.14,-5.07,45828.17,99134.8572
002766.SZ,20150916,22.0,23.46,21.81,23.46,21.33,2.13,9.99,86191.5,199679.5959
002766.SZ,20150917,24.32,24.69,22.38,23.21,23.46,-0.25,-1.07,93728.66,224669.8583
002766.SZ,20150918,23.41,23.85,22.57,23.63,23.21,0.42,1.81,48933.6,114139.7164
002766.SZ,20150921,23.4,25.3,23.0,25.27,23.63,1.64,6.94,67921.37,167364.0259
002766.SZ,20150922,25.26,25.8,24.6,25.32,25.27,0.05,0.2,79657.77,201101.0342
002766.SZ,20150923,24.8,26.33,24.61,25.47,25.32,0.15,0.59,66362.58,169971.1927
002766.SZ,20150924,25.47,26.39,25.08,25.47,25.47,0.0,0.0,56620.72,145565.5094
002766.SZ,20150925,25.86,25.99,23.8,24.01,25.47,-1.46,-5.73,56233.57,139394.1942
002766.SZ,20150928,24.02,25.15,24.02,25.03,24.01,1.02,4.25,37376.41,92703.3732
002766.SZ,20150929,24.5,24.66,23.7,24.15,25.03,-0.88,-3.52,37784.13,91435.8596
002766.SZ,20150930,24.29,25.08,23.9,24.67,24.15,0.52,2.15,38496.19,94557.8066
002766.SZ,20151008,25.61,26.26,25.0,25.71,24.67,1.04,4.22,52770.92,135367.51
002766.SZ,20151009,25.6,26.5,25.4,26.1,25.71,0.39,1.52,53428.77,138881.2531
002766.SZ,20151012,26.48,27.98,26.21,27.48,26.1,1.38,5.29,72538.64,196261.3078
002766.SZ,20151013,27.03,27.36,26.83,27.2,27.48,-0.28,-1.02,51464.8,139346.798
002766.SZ,20151014,26.95,28.41,26.82,27.78,27.2,0.58,2.13,73891.21,205233.1199
002766.SZ,20151015,27.39,29.2,27.35,28.99,27.78,1.21,4.36,64879.94,184600.4232
002766.SZ,20151016,28.99,29.5,28.06,28.68,28.99,-0.31,-1.07,54078.28,155042.2359
002766.SZ,20151019,28.51,29.2,27.61,28.08,28.68,-0.6,-2.09,54092.36,153754.8958
002766.SZ,20151020,28.07,29.09,27.78,28.9,28.08,0.82,2.92,54784.2,155838.0723
002766.SZ,20151021,29.03,29.17,26.01,26.01,28.9,-2.89,-10.0,72722.08,199741.255
002766.SZ,20151022,26.05,27.0,25.5,26.78,26.01,0.77,2.96,45370.33,119807.3184
002766.SZ,20151023,27.25,27.4,26.7,27.3,26.78,0.52,1.94,40529.17,109801.1807
002766.SZ,20151026,27.4,28.69,27.39,28.3,27.3,1.0,3.66,55860.61,156440.6335
002766.SZ,20151027,27.9,28.98,26.5,28.93,28.3,0.63,2.23,53056.85,147941.1371
002766.SZ,20151028,28.42,29.28,27.75,27.93,28.93,-1.0,-3.46,49878.07,142691.0932
