ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002779.SZ,20151209,15.98,17.44,15.98,17.44,12.11,5.33,44.01,153.0,266.102
002779.SZ,20151210,19.18,19.18,19.18,19.18,17.44,1.74,9.98,46.0,88.228
002779.SZ,20151211,21.1,21.1,21.1,21.1,19.18,1.92,10.01,52.0,109.72
002779.SZ,20151214,23.21,23.21,23.21,23.21,21.1,2.11,10.0,106.0,246.026
002779.SZ,20151215,25.53,25.53,25.53,25.53,23.21,2.32,10.0,163.0,416.139
002779.SZ,20151216,28.08,28.08,28.08,28.08,25.53,2.55,9.99,152.66,428.6693
002779.SZ,20151217,30.89,30.89,30.89,30.89,28.08,2.81,10.01,116.0,358.324
002779.SZ,20151218,33.98,33.98,33.98,33.98,30.89,3.09,10.0,171.0,581.058
002779.SZ,20151221,37.38,37.38,37.38,37.38,33.98,3.4,10.01,249.0,930.762
002779.SZ,20151222,41.12,41.12,41.12,41.12,37.38,3.74,10.01,388.0,1595.456
002779.SZ,20151223,45.23,45.23,45.23,45.23,41.12,4.11,10.0,837.93,3789.9574
002779.SZ,20151224,49.75,49.75,49.75,49.75,45.23,4.52,9.99,992.0,4935.2
002779.SZ,20151225,54.73,54.73,54.73,54.73,49.75,4.98,10.01,1018.07,5571.8971
002779.SZ,20151228,60.2,60.2,60.2,60.2,54.73,5.47,9.99,1684.11,10138.3422
002779.SZ,20151229,66.22,66.22,66.22,66.22,60.2,6.02,10.0,1137.98,7535.7036
002779.SZ,20151230,72.84,72.84,72.84,72.84,66.22,6.62,10.0,2467.06,17970.065
002779.SZ,20151231,80.12,80.12,68.0,78.2,72.84,5.36,7.36,162235.34,1230102.411
002779.SZ,20160104,71.6,85.98,70.38,75.37,78.2,-2.83,-3.62,114979.15,883074.5572
002779.SZ,20160105,70.5,82.91,70.5,82.91,75.37,7.54,10.0,120116.7,936244.2045
002779.SZ,20160106,82.76,91.2,79.11,91.2,82.91,8.29,10.0,93236.53,822297.4685
002779.SZ,20160107,94.0,95.0,82.08,82.62,91.2,-8.58,-9.41,53837.27,490961.4126
002779.SZ,20160108,85.0,87.88,75.0,77.99,82.62,-4.63,-5.6,117042.54,956736.9536
002779.SZ,20160111,70.2,72.52,70.19,70.19,77.99,-7.8,-10.0,51909.46,365408.8723
002779.SZ,20160112,66.0,67.94,63.17,63.17,70.19,-7.02,-10.0,73038.39,470184.4803
002779.SZ,20160113,60.0,64.3,58.12,60.11,63.17,-3.06,-4.84,76873.55,466695.3064
002779.SZ,20160114,58.0,65.6,57.0,63.89,60.11,3.78,6.29,82664.89,515069.3919
002779.SZ,20160115,62.59,62.67,57.5,57.5,63.89,-6.39,-10.0,63256.48,372232.2442
002779.SZ,20160118,53.8,58.0,52.05,54.81,57.5,-2.69,-4.68,57310.24,312957.0428
002779.SZ,20160119,55.02,58.6,54.66,57.02,54.81,2.21,4.03,62074.93,353588.4166
002779.SZ,20160120,56.0,57.5,54.0,54.5,57.02,-2.52,-4.42,50788.63,282813.8595
002779.SZ,20160121,54.0,54.0,49.05,49.05,54.5,-5.45,-10.0,48966.57,253847.6985
002779.SZ,20160122,49.45,53.83,48.14,52.06,49.05,3.01,6.14,54035.2,276163.8899
002779.SZ,20160125,52.08,53.92,51.69,53.1,52.06,1.04,2.0,42579.23,224231.3548
002779.SZ,20160126,51.17,51.9,47.79,47.79,53.1,-5.31,-10.0,40289.58,198220.2805
002779.SZ,20160127,47.48,52.57,46.51,52.57,47.79,4.78,10.0,67677.44,336851.47
002779.SZ,20160128,50.78,51.8,47.48,48.06,52.57,-4.51,-8.58,47566.22,236659.8661
002779.SZ,20160129,47.97,52.85,47.97,52.35,48.06,4.29,8.93,55816.71,286092.248
002779.SZ,20160201,51.7,54.73,50.5,53.71,52.35,1.36,2.6,59149.46,313301.614
