ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002782.SZ,20151222,9.92,10.92,9.92,10.92,7.58,3.34,44.06,168.0,183.351
002782.SZ,20151223,12.01,12.01,12.01,12.01,10.92,1.09,9.98,53.0,63.653
002782.SZ,20151224,13.21,13.21,13.21,13.21,12.01,1.2,9.99,91.0,120.211
002782.SZ,20151225,14.53,14.53,14.53,14.53,13.21,1.32,9.99,44.0,63.932
002782.SZ,20151228,15.98,15.98,15.98,15.98,14.53,1.45,9.98,100.0,159.8
002782.SZ,20151229,17.58,17.58,17.58,17.58,15.98,1.6,10.01,120.0,210.96
002782.SZ,20151230,19.34,19.34,19.34,19.34,17.58,1.76,10.01,147.0,284.298
002782.SZ,20151231,21.27,21.27,21.27,21.27,19.34,1.93,9.98,336.0,714.672
002782.SZ,20160104,23.4,23.4,23.4,23.4,21.27,2.13,10.01,706.5,1653.21
002782.SZ,20160105,25.74,25.74,25.74,25.74,23.4,2.34,10.0,904.0,2326.896
002782.SZ,20160106,28.31,28.31,28.31,28.31,25.74,2.57,9.98,395.5,1119.6605
002782.SZ,20160107,31.14,31.14,31.14,31.14,28.31,2.83,10.0,716.0,2229.624
002782.SZ,20160108,34.25,34.25,34.25,34.25,31.14,3.11,9.99,1599.49,5478.2533
002782.SZ,20160111,37.68,37.68,37.68,37.68,34.25,3.43,10.01,2675.38,10080.8318
002782.SZ,20160112,41.45,41.45,41.45,41.45,37.68,3.77,10.01,8631.3,35776.7385
002782.SZ,20160113,40.0,45.6,38.11,45.6,41.45,4.15,10.01,302250.48,1284107.3227
002782.SZ,20160114,45.0,50.16,45.0,50.16,45.6,4.56,10.0,257400.41,1252855.2156
002782.SZ,20160115,51.77,52.99,45.14,45.14,50.16,-5.02,-10.01,166759.47,790996.5874
002782.SZ,20160118,40.63,42.58,40.63,40.63,45.14,-4.51,-9.99,190405.34,776826.4096
002782.SZ,20160119,40.1,41.55,38.5,40.77,40.63,0.14,0.34,237839.64,959126.5415
002782.SZ,20160120,42.0,42.78,36.69,36.9,40.77,-3.87,-9.49,217238.56,866153.1826
002782.SZ,20160121,35.16,36.2,33.21,33.21,36.9,-3.69,-10.0,151288.69,519677.3174
002782.SZ,20160122,33.5,34.99,32.1,33.88,33.21,0.67,2.02,135789.4,457735.7709
002782.SZ,20160125,34.29,35.0,32.13,33.91,33.88,0.03,0.09,129489.65,436306.7117
002782.SZ,20160126,33.79,33.79,30.52,30.52,33.91,-3.39,-10.0,107269.68,339884.7086
002782.SZ,20160127,29.52,31.8,28.01,30.97,30.52,0.45,1.47,116063.31,344641.4052
002782.SZ,20160128,30.01,30.37,27.87,27.87,30.97,-3.1,-10.01,86566.93,251946.8932
002782.SZ,20160129,27.0,30.66,26.78,30.66,27.87,2.79,10.01,123135.49,363870.6614
002782.SZ,20160201,31.59,33.11,30.75,31.69,30.66,1.03,3.36,172535.13,550057.5791
002782.SZ,20160202,30.25,32.3,30.0,32.03,31.69,0.34,1.07,128693.74,405777.0844
002782.SZ,20160203,31.07,33.38,30.4,32.55,32.03,0.52,1.62,118051.69,379104.2204
002782.SZ,20160204,32.3,35.0,32.29,34.01,32.55,1.46,4.49,133325.6,455035.2527
002782.SZ,20160205,34.0,34.29,31.7,31.9,34.01,-2.11,-6.2,97261.0,319772.1493
002782.SZ,20160215,29.55,32.0,29.54,31.12,31.9,-0.78,-2.45,55882.61,170696.7059
002782.SZ,20160216,31.41,33.2,31.41,32.76,31.12,1.64,5.27,75032.38,244282.8052
002782.SZ,20160217,32.5,34.29,32.31,33.34,32.76,0.58,1.77,95292.56,316722.8065
002782.SZ,20160218,33.48,35.48,33.02,34.69,33.34,1.35,4.05,132392.22,453519.4045
002782.SZ,20160219,33.99,34.5,33.2,34.01,34.69,-0.68,-1.96,78605.66,266621.5234
002782.SZ,20160222,34.7,36.6,34.12,36.2,34.01,2.19,6.44,118265.22,417981.1813
002782.SZ,20160223,35.98,38.78,35.6,37.99,36.2,1.79,4.94,133984.64,501198.1071
002782.SZ,20160224,37.38,38.58,35.2,35.98,37.99,-2.01,-5.29,120879.82,443057.7314
002782.SZ,20160225,35.55,35.57,32.38,32.38,35.98,-3.6,-10.01,85716.63,288842.1512
002782.SZ,20160226,32.37,32.84,29.4,30.72,32.38,-1.66,-5.13,80676.7,251054.899
002782.SZ,20160229,29.98,30.0,27.65,27.65,30.72,-3.07,-9.99,58710.44,165087.9726
002782.SZ,20160301,27.84,29.5,26.01,28.66,27.65,1.01,3.65,68033.71,189980.0318
002782.SZ,20160302,28.5,30.19,28.2,30.04,28.66,1.38,4.82,78553.44,229714.2027
002782.SZ,20160303,29.77,31.2,29.01,29.43,30.04,-0.61,-2.03,76311.42,230600.2689
002782.SZ,20160304,29.1,31.47,27.7,28.33,29.43,-1.1,-3.74,86319.95,256498.6432
002782.SZ,20160307,28.99,29.78,28.6,28.98,28.33,0.65,2.29,53609.98,156263.3127
002782.SZ,20160308,28.42,28.95,26.5,28.74,28.98,-0.24,-0.83,62239.33,172626.7277
002782.SZ,20160309,27.5,29.4,27.26,28.22,28.74,-0.52,-1.81,54934.05,155740.4197
002782.SZ,20160310,28.1,28.66,27.55,27.76,28.22,-0.46,-1.63,40817.93,114810.6741
002782.SZ,20160311,27.1,28.36,26.68,27.78,27.76,0.02,0.07,34971.88,97073.3836
002782.SZ,20160314,28.39,29.8,28.2,29.28,27.78,1.5,5.4,62306.81,181971.4429
002782.SZ,20160315,29.08,30.5,29.02,29.2,29.28,-0.08,-0.27,59918.6,177609.144
002782.SZ,20160316,29.9,31.5,29.47,30.2,29.2,1.0,3.42,90174.6,273497.654
002782.SZ,20160317,30.44,32.27,29.63,31.79,30.2,1.59,5.26,120120.2,371747.2801
002782.SZ,20160318,32.66,34.8,32.12,34.02,31.79,2.23,7.01,130766.53,434049.4033
