ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002796.SZ,20160510,15.54,18.65,15.54,18.65,12.95,5.7,44.02,150.73,280.2014
002796.SZ,20160511,20.52,20.52,20.52,20.52,18.65,1.87,10.03,38.0,77.976
002796.SZ,20160512,22.57,22.57,22.57,22.57,20.52,2.05,9.99,40.0,90.28
002796.SZ,20160513,24.83,24.83,24.83,24.83,22.57,2.26,10.01,24.0,59.592
002796.SZ,20160516,27.31,27.31,27.31,27.31,24.83,2.48,9.99,69.0,188.439
002796.SZ,20160517,30.04,30.04,30.04,30.04,27.31,2.73,10.0,136.0,408.544
002796.SZ,20160518,33.04,33.04,33.04,33.04,30.04,3.0,9.99,507.27,1676.0201
002796.SZ,20160519,36.34,36.34,36.34,36.34,33.04,3.3,9.99,511.27,1857.9552
002796.SZ,20160520,39.97,39.97,39.97,39.97,36.34,3.63,9.99,1260.93,5039.9372
002796.SZ,20160523,43.97,43.97,43.97,43.97,39.97,4.0,10.01,1266.9,5570.5593
002796.SZ,20160524,48.37,48.37,48.37,48.37,43.97,4.4,10.01,2399.52,11606.4782
002796.SZ,20160525,53.21,53.21,49.38,52.99,48.37,4.62,9.55,134826.84,697533.102
002796.SZ,20160526,50.13,55.79,50.05,54.48,52.99,1.49,2.81,108135.48,561035.3938
002796.SZ,20160527,54.0,59.03,53.51,55.09,54.48,0.61,1.12,111435.92,625594.6531
002796.SZ,20160530,53.91,55.55,50.66,53.98,55.09,-1.11,-2.01,66822.84,356707.711
002796.SZ,20160531,53.98,57.98,53.0,56.31,53.98,2.33,4.32,86485.67,484711.953
002796.SZ,20160601,56.4,61.0,56.21,57.21,56.31,0.9,1.6,95379.5,555216.2198
002796.SZ,20160602,56.45,62.93,55.66,62.93,57.21,5.72,10.0,102799.99,608822.3328
002796.SZ,20160603,62.9,65.56,60.3,61.0,62.93,-1.93,-3.07,110318.3,683708.8472
002796.SZ,20160606,60.0,61.3,58.01,59.98,61.0,-1.02,-1.67,63542.87,378979.5067
002796.SZ,20160607,60.32,63.95,59.41,63.7,59.98,3.72,6.2,83459.47,516736.6476
002796.SZ,20160608,62.0,62.68,59.13,60.52,63.7,-3.18,-4.99,63936.51,391774.1182
002796.SZ,20160613,58.0,58.4,54.47,54.47,60.52,-6.05,-10.0,48685.34,273320.5806
002796.SZ,20160614,53.0,55.5,52.07,54.61,54.47,0.14,0.26,32461.2,175276.0859
002796.SZ,20160615,53.33,58.5,53.31,56.98,54.61,2.37,4.34,43037.74,243985.0173
