ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002801.SZ,20160622,23.41,28.09,23.41,28.09,19.51,8.58,43.98,54.1,149.8609
002801.SZ,20160623,30.9,30.9,30.9,30.9,28.09,2.81,10.0,6.0,18.54
002801.SZ,20160624,33.99,33.99,33.99,33.99,30.9,3.09,10.0,24.0,81.576
002801.SZ,20160627,37.39,37.39,37.39,37.39,33.99,3.4,10.0,18.0,67.302
002801.SZ,20160628,41.13,41.13,41.13,41.13,37.39,3.74,10.0,29.0,119.277
002801.SZ,20160629,45.24,45.24,45.24,45.24,41.13,4.11,9.99,33.0,149.292
002801.SZ,20160630,49.76,49.76,49.76,49.76,45.24,4.52,9.99,50.5,251.288
002801.SZ,20160701,54.74,54.74,54.74,54.74,49.76,4.98,10.01,42.0,229.908
002801.SZ,20160704,60.21,60.21,60.21,60.21,54.74,5.47,9.99,169.0,1017.549
002801.SZ,20160705,66.23,66.23,66.23,66.23,60.21,6.02,10.0,131.0,867.613
002801.SZ,20160706,72.85,72.85,72.85,72.85,66.23,6.62,10.0,80.47,586.224
002801.SZ,20160707,80.14,80.14,80.14,80.14,72.85,7.29,10.01,158.0,1266.212
002801.SZ,20160708,88.15,88.15,88.15,88.15,80.14,8.01,10.0,221.0,1948.115
002801.SZ,20160711,96.97,96.97,96.97,96.97,88.15,8.82,10.01,541.0,5246.077
002801.SZ,20160712,106.67,106.67,106.67,106.67,96.97,9.7,10.0,1415.5,15099.1385
002801.SZ,20160713,117.34,117.34,117.34,117.34,106.67,10.67,10.0,784.0,9199.456
002801.SZ,20160714,129.07,129.07,129.07,129.07,117.34,11.73,10.0,797.6,10294.6232
002801.SZ,20160715,141.98,141.98,141.98,141.98,129.07,12.91,10.0,4030.91,57230.8602
002801.SZ,20160718,156.18,156.18,156.18,156.18,141.98,14.2,10.0,4623.34,72207.3241
002801.SZ,20160719,166.1,171.79,163.0,169.4,156.18,13.22,8.46,93472.5,1566787.2971
002801.SZ,20160720,165.99,175.0,165.03,171.98,169.4,2.58,1.52,64016.12,1094593.5438
002801.SZ,20160721,171.0,171.0,156.13,157.22,171.98,-14.76,-8.58,60532.15,989240.5742
