ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002820.SZ,20161118,19.92,23.9,19.92,23.9,16.6,7.3,43.98,151.0,359.497
002820.SZ,20161121,26.29,26.29,26.29,26.29,23.9,2.39,10.0,63.44,166.783
002820.SZ,20161122,28.92,28.92,28.92,28.92,26.29,2.63,10.0,42.0,121.464
002820.SZ,20161123,31.81,31.81,31.81,31.81,28.92,2.89,9.99,65.0,206.765
002820.SZ,20161124,34.99,34.99,34.99,34.99,31.81,3.18,10.0,72.0,251.928
002820.SZ,20161125,38.49,38.49,38.49,38.49,34.99,3.5,10.0,183.72,707.138
002820.SZ,20161128,42.34,42.34,42.34,42.34,38.49,3.85,10.0,204.73,866.826
002820.SZ,20161129,46.57,46.57,46.57,46.57,42.34,4.23,9.99,413.82,1927.159
002820.SZ,20161130,51.23,51.23,51.23,51.23,46.57,4.66,10.01,795.0,4072.785
002820.SZ,20161201,56.35,56.35,56.35,56.35,51.23,5.12,9.99,1472.64,8298.326
002820.SZ,20161202,61.99,61.99,61.99,61.99,56.35,5.64,10.01,1791.24,11103.896
002820.SZ,20161205,68.19,68.19,63.51,65.4,61.99,3.41,5.5,188312.83,1248085.342
002820.SZ,20161206,62.0,64.77,60.0,63.72,65.4,-1.68,-2.57,123788.79,773097.831
002820.SZ,20161207,62.8,63.4,60.66,61.91,63.72,-1.81,-2.84,99494.3,616776.458
002820.SZ,20161208,62.18,66.18,62.18,62.94,61.91,1.03,1.66,124330.0,797141.383
002820.SZ,20161209,61.03,61.27,58.02,58.13,62.94,-4.81,-7.64,105130.83,622855.71
002820.SZ,20161212,56.94,57.47,52.32,52.32,58.13,-5.81,-9.99,85608.04,463368.343
002820.SZ,20161213,51.4,54.13,50.0,52.8,52.32,0.48,0.92,71446.5,373167.01
002820.SZ,20161214,51.88,52.74,50.3,50.38,52.8,-2.42,-4.58,53642.42,275953.386
002820.SZ,20161215,49.8,51.84,49.64,50.51,50.38,0.13,0.26,47423.55,241212.143
002820.SZ,20161216,50.55,55.34,50.06,53.95,50.51,3.44,6.81,76111.08,398922.921
002820.SZ,20161219,52.9,59.18,51.5,57.99,53.95,4.04,7.49,127021.28,712732.279
002820.SZ,20161220,55.6,56.95,53.48,54.35,57.99,-3.64,-6.28,101485.28,561252.263
002820.SZ,20161221,53.46,54.7,52.6,53.66,54.35,-0.69,-1.27,54330.31,290370.726
