ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002833.SZ,20161228,13.34,14.56,13.34,14.56,10.11,4.45,44.02,113.66,165.244
002833.SZ,20161229,16.02,16.02,16.02,16.02,14.56,1.46,10.03,83.86,134.343
002833.SZ,20161230,17.62,17.62,17.62,17.62,16.02,1.6,9.99,66.43,117.049
002833.SZ,20170103,19.38,19.38,19.38,19.38,17.62,1.76,9.99,16.0,31.008
002833.SZ,20170104,21.32,21.32,21.32,21.32,19.38,1.94,10.01,53.0,112.996
002833.SZ,20170105,23.45,23.45,23.45,23.45,21.32,2.13,9.99,40.49,94.949
002833.SZ,20170106,25.8,25.8,25.8,25.8,23.45,2.35,10.02,150.43,388.109
002833.SZ,20170109,28.38,28.38,28.38,28.38,25.8,2.58,10.0,278.09,789.219
002833.SZ,20170110,31.22,31.22,31.22,31.22,28.38,2.84,10.01,398.39,1243.773
002833.SZ,20170111,34.34,34.34,34.34,34.34,31.22,3.12,9.99,667.36,2291.714
002833.SZ,20170112,37.77,37.77,37.77,37.77,34.34,3.43,9.99,6453.78,24375.927
002833.SZ,20170113,38.8,41.55,36.01,41.55,37.77,3.78,10.01,240089.49,945815.461
002833.SZ,20170116,39.27,41.79,38.12,40.6,41.55,-0.95,-2.29,169037.6,673270.084
002833.SZ,20170117,39.7,41.49,36.54,39.9,40.6,-0.7,-1.72,184231.34,718217.793
002833.SZ,20170118,38.73,42.5,38.12,40.8,39.9,0.9,2.26,182463.46,737589.829
002833.SZ,20170119,38.9,40.97,37.0,38.75,40.8,-2.05,-5.02,121186.26,473058.733
002833.SZ,20170120,38.56,42.63,38.56,42.63,38.75,3.88,10.01,80551.57,329123.143
002833.SZ,20170123,44.3,46.5,43.08,43.8,42.63,1.17,2.74,157515.12,701803.484
002833.SZ,20170124,43.54,45.86,43.54,45.0,43.8,1.2,2.74,118066.52,526364.716
002833.SZ,20170125,44.35,48.5,43.65,45.79,45.0,0.79,1.76,112788.95,514381.072
002833.SZ,20170126,45.8,46.6,44.47,45.8,45.79,0.01,0.02,79388.47,361893.534
002833.SZ,20170203,45.58,45.58,43.01,43.15,45.8,-2.65,-5.79,66148.72,291875.364
002833.SZ,20170206,43.9,45.79,43.6,45.78,43.15,2.63,6.1,82474.12,368385.946
002833.SZ,20170207,45.78,45.8,43.91,44.4,45.78,-1.38,-3.01,68694.62,307083.187
002833.SZ,20170208,44.1,46.45,43.41,46.2,44.4,1.8,4.05,87446.85,393452.179
002833.SZ,20170209,45.8,46.38,45.16,45.7,46.2,-0.5,-1.08,71644.82,327558.558
002833.SZ,20170210,45.67,46.11,43.63,43.68,45.7,-2.02,-4.42,65514.62,292162.396
002833.SZ,20170213,43.23,45.37,42.9,44.48,43.68,0.8,1.83,60024.91,266456.807
002833.SZ,20170214,44.45,47.69,44.19,45.88,44.48,1.4,3.15,102507.22,472344.136
002833.SZ,20170215,45.36,50.18,45.01,48.3,45.88,2.42,5.27,140865.18,669931.144
002833.SZ,20170216,47.51,49.45,46.52,48.7,48.3,0.4,0.83,91154.32,436106.88
002833.SZ,20170217,48.2,48.98,45.0,45.81,48.7,-2.89,-5.93,74151.26,346418.982
002833.SZ,20170220,45.42,45.42,43.7,44.9,45.81,-0.91,-1.99,42370.17,188578.372
002833.SZ,20170221,44.61,46.28,44.61,45.98,44.9,1.08,2.41,41018.87,186720.724
002833.SZ,20170222,46.0,46.0,44.22,45.24,45.98,-0.74,-1.61,35898.82,162121.701
002833.SZ,20170223,45.12,47.78,44.85,46.9,45.24,1.66,3.67,64247.14,300096.224
002833.SZ,20170224,46.65,48.69,46.62,47.44,46.9,0.54,1.15,59862.23,284796.775
002833.SZ,20170227,47.09,48.3,46.7,47.31,47.44,-0.13,-0.27,39042.71,184827.861
002833.SZ,20170228,49.0,51.8,48.72,49.96,47.31,2.65,5.6,85587.02,426527.535
002833.SZ,20170301,49.15,52.8,49.15,51.94,49.96,1.98,3.96,82395.4,417234.812
002833.SZ,20170302,51.42,56.33,51.03,53.94,51.94,2.0,3.85,91519.42,490402.084
002833.SZ,20170303,53.45,54.95,52.5,54.3,53.94,0.36,0.67,55703.72,299788.127
002833.SZ,20170306,54.11,54.78,53.13,54.51,54.3,0.21,0.39,49013.58,265070.929
002833.SZ,20170307,54.9,54.9,52.51,53.18,54.51,-1.33,-2.44,62382.1,334363.089
002833.SZ,20170308,52.93,53.53,51.95,52.49,53.18,-0.69,-1.3,45629.17,240133.8
002833.SZ,20170309,52.37,53.51,52.17,52.69,52.49,0.2,0.38,42374.53,223539.663
002833.SZ,20170310,52.3,52.7,51.1,52.0,52.69,-0.69,-1.31,37741.13,195416.523
002833.SZ,20170313,51.02,54.17,51.02,53.99,52.0,1.99,3.83,52968.03,280442.844
002833.SZ,20170314,53.82,54.6,53.18,53.77,53.99,-0.22,-0.41,49815.24,268105.53
002833.SZ,20170315,53.6,54.95,53.33,54.0,53.77,0.23,0.43,45665.55,247890.748
002833.SZ,20170316,54.05,55.48,54.05,55.03,54.0,1.03,1.91,56503.72,310138.387
002833.SZ,20170317,54.98,55.5,52.21,52.28,55.03,-2.75,-5.0,64976.84,350580.433
002833.SZ,20170320,52.21,53.13,52.09,53.09,52.28,0.81,1.55,29105.8,153194.741
002833.SZ,20170321,53.3,53.97,53.0,53.9,53.09,0.81,1.53,41265.8,221155.153
002833.SZ,20170322,53.06,56.65,53.06,55.81,53.9,1.91,3.54,72916.33,401682.805
002833.SZ,20170323,55.83,56.13,52.06,53.81,55.81,-2.0,-3.58,65375.03,355626.298
