ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002840.SZ,20170110,7.86,9.43,7.86,9.43,6.55,2.88,43.97,127.88,120.381
002840.SZ,20170111,10.37,10.37,10.37,10.37,9.43,0.94,9.97,52.0,53.924
002840.SZ,20170112,11.41,11.41,11.41,11.41,10.37,1.04,10.03,55.54,63.371
002840.SZ,20170113,12.55,12.55,12.55,12.55,11.41,1.14,9.99,174.14,218.545
002840.SZ,20170116,13.81,13.81,13.81,13.81,12.55,1.26,10.04,568.76,785.457
002840.SZ,20170117,15.19,15.19,15.19,15.19,13.81,1.38,9.99,411.36,624.855
002840.SZ,20170118,16.71,16.71,16.71,16.71,15.19,1.52,10.01,304.78,509.287
002840.SZ,20170119,18.38,18.38,18.38,18.38,16.71,1.67,9.99,909.59,1671.826
002840.SZ,20170120,20.22,20.22,20.22,20.22,18.38,1.84,10.01,4141.95,8375.022
002840.SZ,20170123,22.24,22.24,22.24,22.24,20.22,2.02,9.99,1418.37,3154.454
002840.SZ,20170124,24.46,24.46,22.6,22.7,22.24,0.46,2.07,271124.08,637056.231
002840.SZ,20170125,21.61,22.95,21.22,22.3,22.7,-0.4,-1.76,178669.22,392752.609
002840.SZ,20170126,22.21,23.5,21.88,23.2,22.3,0.9,4.04,169418.37,383667.017
002840.SZ,20170203,22.85,23.04,22.22,22.53,23.2,-0.67,-2.89,89107.6,201740.057
002840.SZ,20170206,23.1,24.78,23.1,24.78,22.53,2.25,9.99,183960.55,445327.923
002840.SZ,20170207,24.68,24.68,23.84,24.61,24.78,-0.17,-0.69,150417.92,365960.372
002840.SZ,20170208,24.43,26.55,24.15,25.39,24.61,0.78,3.17,165477.65,419428.494
002840.SZ,20170209,25.2,27.26,25.15,25.7,25.39,0.31,1.22,157252.84,411907.411
002840.SZ,20170210,25.65,26.2,25.25,25.85,25.7,0.15,0.58,112861.75,290303.525
002840.SZ,20170213,26.0,28.44,25.85,28.44,25.85,2.59,10.02,116323.27,316713.513
002840.SZ,20170214,29.8,31.28,27.98,31.28,28.44,2.84,9.99,126525.79,378681.381
002840.SZ,20170215,31.28,34.38,29.87,31.44,31.28,0.16,0.51,246004.19,792540.939
002840.SZ,20170216,30.11,30.64,28.44,29.1,31.44,-2.34,-7.44,160721.57,476478.785
002840.SZ,20170217,28.5,29.33,27.7,27.71,29.1,-1.39,-4.78,111691.82,315005.884
002840.SZ,20170220,27.4,27.6,26.62,27.12,27.71,-0.59,-2.13,73398.02,198839.549
002840.SZ,20170221,27.28,27.9,27.23,27.58,27.12,0.46,1.7,82298.62,226999.178
002840.SZ,20170222,27.36,27.4,26.4,26.71,27.58,-0.87,-3.15,81117.28,217779.302
002840.SZ,20170223,26.87,27.97,26.87,27.55,26.71,0.84,3.14,87467.89,239987.784
002840.SZ,20170224,27.8,29.96,27.49,29.0,27.55,1.45,5.26,126165.98,363065.418
002840.SZ,20170227,28.7,29.2,28.07,29.18,29.0,0.18,0.62,86754.05,248708.232
002840.SZ,20170228,28.85,29.49,28.56,29.4,29.18,0.22,0.75,75747.6,220151.78
002840.SZ,20170301,29.33,29.66,28.49,28.5,29.4,-0.9,-3.06,68949.93,200032.698
002840.SZ,20170302,28.39,29.3,28.06,28.88,28.5,0.38,1.33,77054.78,221592.469
002840.SZ,20170303,28.57,29.21,28.27,29.09,28.88,0.21,0.73,63152.87,182343.175
002840.SZ,20170306,29.14,30.69,28.93,30.51,29.09,1.42,4.88,131254.96,391700.23
002840.SZ,20170307,30.2,30.88,29.79,30.56,30.51,0.05,0.16,104548.36,317820.494
002840.SZ,20170308,30.65,32.61,30.65,31.65,30.56,1.09,3.57,121355.45,386318.699
002840.SZ,20170309,31.39,31.57,29.72,30.0,31.65,-1.65,-5.21,97072.3,295516.056
002840.SZ,20170310,29.76,30.58,29.76,30.02,30.0,0.02,0.07,52950.6,159906.309
002840.SZ,20170313,29.89,30.28,28.82,30.19,30.02,0.17,0.57,52141.7,154494.368
002840.SZ,20170314,30.0,30.93,29.98,30.59,30.19,0.4,1.32,59382.06,181460.831
002840.SZ,20170315,30.4,30.4,29.9,30.02,30.59,-0.57,-1.86,49241.52,148316.807
002840.SZ,20170316,30.15,31.98,30.15,31.17,30.02,1.15,3.83,93310.53,291059.203
002840.SZ,20170317,31.35,31.97,30.62,30.64,31.17,-0.53,-1.7,86739.92,271670.201
002840.SZ,20170320,30.22,31.66,30.02,31.66,30.64,1.02,3.33,68814.15,213724.971
002840.SZ,20170321,31.65,33.65,31.61,32.92,31.66,1.26,3.98,129721.88,423392.635
002840.SZ,20170322,32.35,33.31,31.89,32.91,32.92,-0.01,-0.03,101496.87,331046.243
002840.SZ,20170323,32.88,33.3,30.56,32.23,32.91,-0.68,-2.07,100164.22,321780.302
002840.SZ,20170324,31.69,32.77,31.65,32.24,32.23,0.01,0.03,59969.62,194041.363
002840.SZ,20170327,32.27,32.46,31.6,32.33,32.24,0.09,0.28,50494.02,161857.701
002840.SZ,20170328,32.38,32.45,31.01,31.12,32.33,-1.21,-3.74,61143.89,194054.688
002840.SZ,20170329,30.93,31.35,29.16,29.6,31.12,-1.52,-4.88,70343.46,211559.678
002840.SZ,20170330,29.35,29.35,28.26,28.78,29.6,-0.82,-2.77,44719.47,128924.195
002840.SZ,20170331,29.7,30.48,29.03,29.06,28.78,0.28,0.97,41476.83,122900.153
002840.SZ,20170405,28.8,29.99,28.46,29.78,29.06,0.72,2.48,31333.31,92128.621
002840.SZ,20170406,29.78,30.46,29.56,29.82,29.78,0.04,0.13,30195.88,90592.974
002840.SZ,20170407,29.6,29.91,28.86,28.94,29.82,-0.88,-2.95,31077.54,91304.987
002840.SZ,20170410,28.53,28.91,26.45,26.6,28.94,-2.34,-8.09,45834.61,125505.272
002840.SZ,20170411,26.5,27.37,26.16,27.3,26.6,0.7,2.63,26368.38,70928.309
002840.SZ,20170412,27.23,27.37,26.68,26.7,27.3,-0.6,-2.2,18396.86,49659.231
002840.SZ,20170413,26.8,27.22,26.7,26.78,26.7,0.08,0.3,11596.64,31224.797
002840.SZ,20170414,26.7,26.83,26.22,26.22,26.78,-0.56,-2.09,12755.82,33838.859
002840.SZ,20170417,25.0,25.5,24.2,24.65,26.22,-1.57,-5.99,28724.67,71234.215
002840.SZ,20170418,24.6,25.13,24.16,24.21,24.65,-0.44,-1.79,17470.1,43122.07
002840.SZ,20170419,24.17,25.08,23.83,24.96,24.21,0.75,3.1,27608.41,67821.223
002840.SZ,20170420,25.18,25.48,24.68,25.43,24.96,0.47,1.88,23187.3,58211.429
002840.SZ,20170421,25.02,25.39,24.95,25.13,25.43,-0.3,-1.18,24756.97,62335.962
002840.SZ,20170424,24.9,25.1,24.08,24.52,25.13,-0.61,-2.43,18165.55,44435.672
002840.SZ,20170425,24.69,25.14,24.6,24.69,24.52,0.17,0.69,15469.74,38500.222
002840.SZ,20170426,24.75,25.23,24.5,25.06,24.69,0.37,1.5,18753.78,46821.466
002840.SZ,20170427,24.95,26.08,24.57,25.96,25.06,0.9,3.59,32525.44,82715.528
002840.SZ,20170428,25.82,26.67,25.8,26.55,25.96,0.59,2.27,28146.43,74127.441
002840.SZ,20170502,26.3,26.78,26.15,26.52,26.55,-0.03,-0.11,18043.98,47843.279
002840.SZ,20170503,26.33,26.98,26.33,26.93,26.52,0.41,1.55,19321.48,51396.391
002840.SZ,20170504,26.94,27.45,26.43,26.92,26.93,-0.01,-0.04,28289.58,76533.616
002840.SZ,20170505,26.64,26.95,26.56,26.65,26.92,-0.27,-1.0,17823.0,47616.415
002840.SZ,20170508,26.4,26.56,25.79,25.79,26.65,-0.86,-3.23,20339.0,53361.121
002840.SZ,20170509,25.51,26.65,25.5,26.45,25.79,0.66,2.56,12549.05,32827.301
002840.SZ,20170510,26.67,26.88,26.03,26.24,26.45,-0.21,-0.79,14433.09,38328.966
002840.SZ,20170511,25.99,26.68,25.01,26.65,26.24,0.41,1.56,25643.02,66281.777
002840.SZ,20170512,26.5,26.75,26.12,26.52,26.65,-0.13,-0.49,18229.18,48300.274
002840.SZ,20170515,26.69,26.95,26.2,26.53,26.52,0.01,0.04,22372.55,59409.901
002840.SZ,20170516,26.41,26.94,25.95,26.9,26.53,0.37,1.39,22670.55,60056.949
002840.SZ,20170517,26.86,27.26,26.67,26.79,26.9,-0.11,-0.41,16135.97,43420.206
002840.SZ,20170518,26.59,26.97,26.58,26.61,26.79,-0.18,-0.67,16030.71,42879.429
002840.SZ,20170519,26.61,26.66,26.36,26.38,26.61,-0.23,-0.86,10362.67,27440.474
002840.SZ,20170522,26.3,26.38,24.91,25.39,26.38,-0.99,-3.75,19152.1,48925.725
002840.SZ,20170523,25.01,25.99,23.9,24.97,25.39,-0.42,-1.65,24098.43,59110.114
002840.SZ,20170524,24.66,25.0,24.09,24.9,24.97,-0.07,-0.28,7765.92,19124.32
002840.SZ,20170525,24.81,24.92,24.25,24.71,24.9,-0.19,-0.76,8975.54,22081.081
002840.SZ,20170526,24.69,25.2,24.6,24.85,24.71,0.14,0.57,7814.76,19466.11
002840.SZ,20170531,25.7,25.7,24.65,24.72,24.85,-0.13,-0.52,9732.24,24497.907
002840.SZ,20170601,24.66,24.66,23.65,23.9,24.72,-0.82,-3.32,12339.1,29645.815
002840.SZ,20170602,23.78,24.54,23.31,24.45,23.9,0.55,2.3,7662.92,18505.666
