ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002919.SZ,20171218,16.58,18.09,16.58,18.09,12.56,5.53,44.03,89.02,160.886
002919.SZ,20171219,19.9,19.9,19.9,19.9,18.09,1.81,10.01,36.0,71.64
002919.SZ,20171220,21.89,21.89,21.89,21.89,19.9,1.99,10.0,60.54,132.522
002919.SZ,20171221,24.08,24.08,24.08,24.08,21.89,2.19,10.0,111.42,268.299
002919.SZ,20171222,26.49,26.49,26.49,26.49,24.08,2.41,10.01,293.81,778.302
002919.SZ,20171225,29.14,29.14,29.14,29.14,26.49,2.65,10.0,1349.6,3932.734
002919.SZ,20171226,32.05,32.05,32.05,32.05,29.14,2.91,9.99,2554.9,8188.454
002919.SZ,20171227,35.26,35.26,35.26,35.26,32.05,3.21,10.02,1974.38,6961.663
002919.SZ,20180102,38.79,38.79,38.79,38.79,35.26,3.53,10.01,1619.0,6280.101
002919.SZ,20180103,42.67,42.67,42.67,42.67,38.79,3.88,10.0,972.84,4151.108
002919.SZ,20180104,46.94,46.94,40.3,42.17,42.67,-0.5,-1.17,135782.35,580910.584
002919.SZ,20180105,40.0,41.68,39.6,40.42,42.17,-1.75,-4.15,92745.8,376173.407
002919.SZ,20180108,39.5,42.28,39.03,41.85,40.42,1.43,3.54,97513.52,398216.919
002919.SZ,20180109,41.01,41.61,39.5,40.55,41.85,-1.3,-3.11,74774.18,303518.831
002919.SZ,20180110,39.01,41.79,37.95,40.57,40.55,0.02,0.05,93259.89,371176.304
002919.SZ,20180111,39.0,44.63,38.5,44.25,40.57,3.68,9.07,125044.97,526891.46
002919.SZ,20180112,42.4,42.8,39.83,39.83,44.25,-4.42,-9.99,88296.41,362441.242
002919.SZ,20180115,36.99,37.85,35.85,35.85,39.83,-3.98,-9.99,71618.72,258765.69
002919.SZ,20180116,35.01,36.99,34.6,35.63,35.85,-0.22,-0.61,59413.56,214353.502
002919.SZ,20180117,35.2,36.49,35.2,35.83,35.63,0.2,0.56,45289.68,162509.618
002919.SZ,20180118,35.47,35.5,34.3,34.48,35.83,-1.35,-3.77,40966.96,142963.927
002919.SZ,20180119,34.51,35.5,34.49,34.68,34.48,0.2,0.58,35882.23,125721.031
002919.SZ,20180122,34.8,34.8,32.2,32.67,34.68,-2.01,-5.8,39825.02,131653.708
002919.SZ,20180123,32.49,35.94,32.3,35.94,32.67,3.27,10.01,64649.89,222874.255
002919.SZ,20180124,35.88,37.89,35.08,36.28,35.94,0.34,0.95,87282.07,317304.883
002919.SZ,20180125,35.5,37.99,35.21,37.19,36.28,0.91,2.51,74299.53,272095.106
002919.SZ,20180126,36.6,36.93,34.0,34.68,37.19,-2.51,-6.75,52532.02,187197.043
002919.SZ,20180129,34.72,35.78,33.55,34.87,34.68,0.19,0.55,38948.19,135052.863
002919.SZ,20180130,34.18,35.58,33.9,35.4,34.87,0.53,1.52,37296.73,130061.71
002919.SZ,20180131,35.0,35.62,32.7,32.85,35.4,-2.55,-7.2,42072.25,144375.785
002919.SZ,20180201,32.0,32.79,29.98,30.73,32.85,-2.12,-6.45,38364.17,120202.934
002919.SZ,20180202,30.7,31.81,29.21,31.03,30.73,0.3,0.98,31881.2,98405.227
002919.SZ,20180205,29.55,30.0,27.93,27.96,31.03,-3.07,-9.89,34491.06,99791.49
002919.SZ,20180206,26.56,27.3,25.16,25.16,27.96,-2.8,-10.01,34958.16,91243.353
002919.SZ,20180207,26.0,26.3,23.9,25.9,25.16,0.74,2.94,39010.36,99806.907
002919.SZ,20180208,25.49,27.36,25.31,26.27,25.9,0.37,1.43,30267.66,79693.21
002919.SZ,20180209,25.14,26.12,24.6,25.1,26.27,-1.17,-4.45,24532.87,62028.013
002919.SZ,20180212,26.15,26.67,25.3,25.96,25.1,0.86,3.43,20144.65,52430.841
002919.SZ,20180213,26.34,27.08,25.73,26.2,25.96,0.24,0.92,30406.09,80594.585
002919.SZ,20180214,25.99,26.78,25.65,25.77,26.2,-0.43,-1.64,14319.92,37477.55
002919.SZ,20180222,26.0,26.76,26.0,26.57,25.77,0.8,3.1,14129.31,37316.468
002919.SZ,20180223,26.65,27.5,26.4,27.05,26.57,0.48,1.81,20451.28,55245.23
002919.SZ,20180226,27.49,29.76,27.4,29.5,27.05,2.45,9.06,46141.85,132238.286
002919.SZ,20180227,28.89,30.2,28.65,29.49,29.5,-0.01,-0.03,45664.93,134383.683
002919.SZ,20180228,28.99,29.21,28.61,28.77,29.49,-0.72,-2.44,21543.67,62269.916
002919.SZ,20180301,28.83,29.1,28.4,28.93,28.77,0.16,0.56,16993.25,48999.442
002919.SZ,20180302,29.0,30.75,28.75,29.93,28.93,1.0,3.46,41881.41,124363.408
002919.SZ,20180305,29.7,30.42,29.4,29.96,29.93,0.03,0.1,33842.55,101136.74
002919.SZ,20180306,30.0,30.64,29.88,30.21,29.96,0.25,0.83,25828.89,78141.095
002919.SZ,20180307,30.29,31.38,30.0,30.95,30.21,0.74,2.45,26112.33,80348.329
002919.SZ,20180308,30.7,33.78,30.7,32.5,30.95,1.55,5.01,47896.06,155647.345
002919.SZ,20180309,32.4,32.88,31.83,32.21,32.5,-0.29,-0.89,32480.66,105024.795
