ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002935.SZ,20180903,25.59,27.91,25.59,27.91,19.38,8.53,44.0144,255.08,710.303
002935.SZ,20180904,30.7,30.7,30.7,30.7,27.91,2.79,9.9964,34.71,106.559
002935.SZ,20180905,33.77,33.77,33.77,33.77,30.7,3.07,10.0,80.22,270.902
002935.SZ,20180906,37.15,37.15,37.15,37.15,33.77,3.38,10.0089,166.29,617.767
002935.SZ,20180907,40.87,40.87,40.87,40.87,37.15,3.72,10.0135,535.63,2189.119
002935.SZ,20180910,44.96,44.96,44.96,44.96,40.87,4.09,10.0073,801.42,3603.184
002935.SZ,20180911,49.46,49.46,49.46,49.46,44.96,4.5,10.0089,824.12,4076.097
002935.SZ,20180912,54.41,54.41,54.41,54.41,49.46,4.95,10.0081,1696.12,9228.588
002935.SZ,20180913,59.85,59.85,59.85,59.85,54.41,5.44,9.9982,1840.29,11014.135
002935.SZ,20180914,65.84,65.84,58.9,59.16,59.85,-0.69,-1.1529,187091.36,1172871.501
002935.SZ,20180917,55.5,57.5,54.5,56.2,59.16,-2.96,-5.0034,119702.68,667380.489
002935.SZ,20180918,55.73,57.99,54.3,57.85,56.2,1.65,2.9359,114559.96,647546.948
002935.SZ,20180919,56.63,57.34,54.52,55.76,57.85,-2.09,-3.6128,114075.24,638879.171
002935.SZ,20180920,55.6,59.55,55.33,55.7,55.76,-0.06,-0.1076,120299.88,688232.658
002935.SZ,20180921,53.0,54.5,52.3,53.73,55.7,-1.97,-3.5368,98033.68,523300.59
002935.SZ,20180925,55.48,56.0,52.42,52.54,53.73,-1.19,-2.2148,83009.87,449964.696
002935.SZ,20180926,52.6,56.98,51.12,55.67,52.54,3.13,5.9574,104537.06,560299.288
002935.SZ,20180927,54.5,56.56,51.28,55.01,55.67,-0.66,-1.1856,118337.1,638684.006
002935.SZ,20180928,55.09,58.68,53.51,57.19,55.01,2.18,3.9629,132328.59,745673.763
002935.SZ,20181008,54.05,56.23,52.88,55.5,57.19,-1.69,-2.9551,89586.98,489480.216
002935.SZ,20181009,56.0,61.05,55.05,57.6,55.5,2.1,3.7838,153371.04,907269.103
002935.SZ,20181010,58.82,62.1,57.03,59.6,57.6,2.0,3.4722,134541.28,798680.132
002935.SZ,20181011,55.02,55.16,53.64,53.64,59.6,-5.96,-10.0,70167.92,379555.135
002935.SZ,20181012,48.88,51.18,48.28,48.71,53.64,-4.93,-9.1909,107725.85,530816.38
002935.SZ,20181015,48.89,49.79,47.15,47.17,48.71,-1.54,-3.1616,73865.07,359092.69
002935.SZ,20181016,47.0,48.77,43.95,45.33,47.17,-1.84,-3.9008,92333.59,424938.921
002935.SZ,20181017,46.01,46.03,43.06,44.71,45.33,-0.62,-1.3677,77637.76,348021.257
002935.SZ,20181018,44.0,44.0,40.24,40.28,44.71,-4.43,-9.9083,69821.43,290336.985
002935.SZ,20181019,39.33,41.65,39.01,41.25,40.28,0.97,2.4081,58180.38,235616.181
002935.SZ,20181022,41.14,45.38,40.8,45.38,41.25,4.13,10.0121,62456.57,269407.492
002935.SZ,20181023,46.11,47.68,44.01,44.05,45.38,-1.33,-2.9308,108383.72,501389.271
002935.SZ,20181024,43.4,44.5,42.2,42.8,44.05,-1.25,-2.8377,69563.28,301109.473
002935.SZ,20181025,40.52,43.2,40.1,43.2,42.8,0.4,0.9346,65215.67,269326.307
002935.SZ,20181026,43.64,45.2,42.5,42.59,43.2,-0.61,-1.412,69533.11,303743.851
002935.SZ,20181029,42.54,43.59,41.52,43.3,42.59,0.71,1.6671,51948.57,223244.259
002935.SZ,20181030,42.95,43.45,40.7,42.88,43.3,-0.42,-0.97,55775.62,234305.368
002935.SZ,20181031,42.88,44.63,42.76,43.72,42.88,0.84,1.959,66419.5,290853.433
002935.SZ,20181101,44.7,45.43,43.0,43.0,43.72,-0.72,-1.6468,74910.5,331339.641
002935.SZ,20181102,43.57,45.47,43.5,45.42,43.0,2.42,5.6279,82659.12,366656.731
002935.SZ,20181105,47.0,47.58,43.72,44.49,45.42,-0.93,-2.0476,93379.71,426028.163
002935.SZ,20181106,42.98,42.98,40.8,41.69,44.49,-2.8,-6.2935,69639.46,291478.209
002935.SZ,20181107,41.36,42.64,41.36,41.81,41.69,0.12,0.2878,43649.9,183601.168
002935.SZ,20181108,42.2,42.3,40.5,40.79,41.81,-1.02,-2.4396,40364.7,166596.871
002935.SZ,20181109,40.16,41.37,39.88,40.87,40.79,0.08,0.1961,29749.31,121499.549
002935.SZ,20181112,40.83,42.31,40.3,42.31,40.87,1.44,3.5234,41097.63,171220.905
002935.SZ,20181113,41.6,43.0,41.4,42.4,42.31,0.09,0.2127,48274.5,203760.586
002935.SZ,20181114,42.01,43.5,41.89,42.6,42.4,0.2,0.4717,50326.12,215566.134
002935.SZ,20181115,44.5,46.84,43.56,45.81,42.6,3.21,7.5352,106725.04,481697.373
002935.SZ,20181116,45.66,48.35,45.66,46.65,45.81,0.84,1.8337,90917.53,427517.068
002935.SZ,20181119,47.8,49.68,46.7,48.06,46.65,1.41,3.0225,67557.53,324135.954
002935.SZ,20181120,47.14,49.8,46.3,46.61,48.06,-1.45,-3.0171,76368.29,367229.012
002935.SZ,20181121,45.29,46.62,45.14,46.01,46.61,-0.6,-1.2873,51660.07,236740.537
002935.SZ,20181122,46.7,47.29,44.99,45.1,46.01,-0.91,-1.9778,42806.99,196668.567
002935.SZ,20181123,44.96,45.8,44.5,44.51,45.1,-0.59,-1.3082,42232.01,190754.041
002935.SZ,20181126,45.02,45.69,43.45,44.21,44.51,-0.3,-0.674,39518.52,175658.125
002935.SZ,20181127,44.48,46.99,44.0,46.94,44.21,2.73,6.1751,63282.35,290404.164
002935.SZ,20181128,46.49,47.28,45.58,46.6,46.94,-0.34,-0.7243,54205.86,252125.609
002935.SZ,20181129,47.2,47.38,41.94,41.94,46.6,-4.66,-10.0,72348.4,322053.856
002935.SZ,20181130,40.7,41.49,39.01,40.99,41.94,-0.95,-2.2651,56628.96,229426.236
002935.SZ,20181203,42.5,43.3,41.56,42.29,40.99,1.3,3.1715,44628.19,189442.044
002935.SZ,20181204,41.81,42.3,41.15,41.92,42.29,-0.37,-0.8749,36210.8,151244.876
002935.SZ,20181205,40.85,41.4,40.26,40.98,41.92,-0.94,-2.2424,28187.84,115199.155
002935.SZ,20181206,40.84,41.98,40.55,40.98,40.98,0.0,0.0,30752.06,127012.182
002935.SZ,20181207,41.25,41.8,40.88,41.25,40.98,0.27,0.6589,25092.76,103589.367
002935.SZ,20181210,41.01,41.15,39.83,40.06,41.25,-1.19,-2.8848,26237.67,105695.81
002935.SZ,20181211,40.05,41.5,40.04,41.5,40.06,1.44,3.5946,29572.77,120693.935
002935.SZ,20181212,41.39,42.22,41.14,41.51,41.5,0.01,0.0241,28670.61,119487.84
002935.SZ,20181213,41.77,42.08,40.86,41.71,41.51,0.2,0.4818,28177.61,117025.043
002935.SZ,20181214,41.47,41.56,40.0,40.17,41.71,-1.54,-3.6922,28332.73,115403.239
002935.SZ,20181217,39.89,41.11,39.7,41.1,40.17,0.93,2.3152,23482.17,95513.922
002935.SZ,20181218,40.67,41.58,40.37,40.94,41.1,-0.16,-0.3893,28220.99,115658.567
002935.SZ,20181219,40.88,41.88,40.19,40.31,40.94,-0.63,-1.5388,27882.13,114513.072
002935.SZ,20181220,40.0,41.18,40.0,41.03,40.31,0.72,1.7862,24420.49,99561.938
002935.SZ,20181221,40.9,41.51,40.61,41.51,41.03,0.48,1.1699,28192.32,115948.276
002935.SZ,20181224,42.2,45.66,42.2,45.66,41.51,4.15,9.9976,30964.68,137479.733
002935.SZ,20181225,47.0,48.44,45.38,45.46,45.66,-0.2,-0.438,118348.44,553675.532
002935.SZ,20181226,44.73,44.99,43.52,43.6,45.46,-1.86,-4.0915,74953.98,330941.725
002935.SZ,20181227,44.19,44.69,42.2,42.21,43.6,-1.39,-3.1881,55480.54,242679.63
002935.SZ,20181228,44.0,45.38,42.5,42.68,42.21,0.47,1.1135,60739.35,266430.079
002935.SZ,20190102,41.0,43.4,40.62,42.79,42.68,0.11,0.2577,49416.38,206284.99
