ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002937.SZ,20180926,11.93,14.31,11.93,14.31,9.94,4.37,43.9638,339.83,482.806
002937.SZ,20180927,15.74,15.74,15.74,15.74,14.31,1.43,9.993,311.78,490.741
002937.SZ,20180928,17.31,17.31,17.31,17.31,15.74,1.57,9.9746,1082.81,1874.344
002937.SZ,20181008,19.04,19.04,19.04,19.04,17.31,1.73,9.9942,3602.51,6859.179
002937.SZ,20181009,20.94,20.94,20.94,20.94,19.04,1.9,9.979,2014.1,4217.525
002937.SZ,20181010,23.03,23.03,23.03,23.03,20.94,2.09,9.9809,1425.75,3283.502
002937.SZ,20181011,25.33,25.33,25.33,25.33,23.03,2.3,9.987,16049.25,40652.75
002937.SZ,20181012,27.86,27.86,27.02,27.86,25.33,2.53,9.9882,141446.45,392059.143
002937.SZ,20181015,29.0,30.65,27.4,30.65,27.86,2.79,10.0144,299278.97,873022.87
002937.SZ,20181016,29.71,30.0,27.59,27.59,30.65,-3.06,-9.9837,233378.61,669494.952
002937.SZ,20181017,27.01,27.82,25.26,26.48,27.59,-1.11,-4.0232,240158.38,641069.287
002937.SZ,20181018,26.05,27.3,24.86,26.25,26.48,-0.23,-0.8686,214121.33,565291.593
002937.SZ,20181019,25.01,27.28,24.8,27.18,26.25,0.93,3.5429,208236.14,550832.862
002937.SZ,20181022,27.01,29.9,26.1,29.9,27.18,2.72,10.0074,254633.81,713556.997
002937.SZ,20181023,29.0,31.35,26.91,26.91,29.9,-2.99,-10.0,301866.29,885190.577
002937.SZ,20181024,25.1,26.01,24.3,25.55,26.91,-1.36,-5.0539,224795.31,565341.407
002937.SZ,20181025,24.0,24.36,23.38,24.08,25.55,-1.47,-5.7534,144422.62,345501.285
002937.SZ,20181026,24.58,25.97,24.44,24.61,24.08,0.53,2.201,189488.09,474493.76
002937.SZ,20181029,24.17,27.07,23.7,27.07,24.61,2.46,9.9959,240003.83,635880.632
002937.SZ,20181030,27.5,27.74,24.44,26.01,27.07,-1.06,-3.9158,263651.08,682289.458
002937.SZ,20181031,25.88,28.48,25.61,27.6,26.01,1.59,6.113,272772.95,741625.868
002937.SZ,20181101,27.28,29.67,26.65,26.85,27.6,-0.75,-2.7174,262970.34,737236.288
002937.SZ,20181102,27.22,29.54,26.98,29.54,26.85,2.69,10.0186,249289.44,711691.211
002937.SZ,20181105,31.99,32.49,27.9,28.39,29.54,-1.15,-3.893,325629.67,1006343.686
002937.SZ,20181106,25.88,26.35,25.55,25.55,28.39,-2.84,-10.0035,245867.39,633705.213
002937.SZ,20181107,24.99,25.77,24.81,25.53,25.55,-0.02,-0.0783,135176.21,342364.395
002937.SZ,20181108,25.3,25.73,24.5,24.71,25.53,-0.82,-3.2119,113343.01,282956.981
002937.SZ,20181109,24.92,25.65,24.75,24.88,24.71,0.17,0.688,106932.58,269723.949
002937.SZ,20181112,24.05,25.29,23.98,25.19,24.88,0.31,1.246,107974.78,266021.542
002937.SZ,20181113,24.49,27.19,24.35,26.01,25.19,0.82,3.2553,160400.36,404611.507
