ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002999.SZ,20200903,7.94,9.53,7.94,9.53,6.62,2.91,43.9577,2707.28,2572.04
002999.SZ,20200904,10.48,10.48,10.48,10.48,9.53,0.95,9.9685,848.98,889.731
002999.SZ,20200907,11.53,11.53,11.53,11.53,10.48,1.05,10.0191,1018.09,1173.857
002999.SZ,20200908,12.68,12.68,12.68,12.68,11.53,1.15,9.974,2620.2,3322.413
002999.SZ,20200909,13.95,13.95,13.95,13.95,12.68,1.27,10.0158,4312.99,6016.621
002999.SZ,20200910,15.35,15.35,15.35,15.35,13.95,1.4,10.0358,2075.24,3185.493
002999.SZ,20200911,16.89,16.89,13.82,14.46,15.35,-0.89,-5.798,357559.95,530374.025
002999.SZ,20200914,14.05,14.5,13.5,14.05,14.46,-0.41,-2.8354,239109.02,334752.123
002999.SZ,20200915,13.95,14.33,13.0,13.28,14.05,-0.77,-5.4804,231740.09,315198.318
002999.SZ,20200916,13.04,13.67,12.82,13.44,13.28,0.16,1.2048,155174.97,206039.243
002999.SZ,20200917,13.24,13.65,12.9,13.28,13.44,-0.16,-1.1905,135938.07,179907.878
002999.SZ,20200918,13.25,13.44,12.9,13.13,13.28,-0.15,-1.1295,103150.11,135155.325
002999.SZ,20200921,13.11,14.1,13.04,13.59,13.13,0.46,3.5034,183294.58,249872.492
002999.SZ,20200922,13.5,13.5,13.0,13.14,13.59,-0.45,-3.3113,114441.61,151891.27
002999.SZ,20200923,13.19,13.88,13.19,13.47,13.14,0.33,2.5114,155376.69,210657.097
002999.SZ,20200924,13.22,14.82,13.21,13.98,13.47,0.51,3.7862,253752.76,356469.437
002999.SZ,20200925,13.81,13.96,12.91,13.01,13.98,-0.97,-6.9385,177521.12,234857.717
002999.SZ,20200928,12.8,12.8,11.72,11.79,13.01,-1.22,-9.3774,115223.21,139719.13
002999.SZ,20200929,11.84,12.04,11.69,11.79,11.79,0.0,0.0,56722.4,67239.931
002999.SZ,20200930,11.84,11.94,11.33,11.58,11.79,-0.21,-1.7812,51723.77,60076.899
002999.SZ,20201009,11.72,12.03,11.64,11.87,11.58,0.29,2.5043,61072.33,72360.325
002999.SZ,20201012,11.9,12.29,11.89,12.27,11.87,0.4,3.3698,73847.85,89745.178
002999.SZ,20201013,12.43,12.48,12.03,12.3,12.27,0.03,0.2445,69061.23,84818.67
002999.SZ,20201014,12.3,12.42,12.12,12.2,12.3,-0.1,-0.813,56955.37,69719.267
002999.SZ,20201015,12.29,12.29,11.72,11.74,12.2,-0.46,-3.7705,63945.85,76194.991
002999.SZ,20201016,11.77,11.86,11.69,11.78,11.74,0.04,0.3407,32487.01,38208.31
002999.SZ,20201019,11.81,12.09,11.72,11.94,11.78,0.16,1.3582,48122.9,57325.229
002999.SZ,20201020,11.89,12.06,11.72,12.01,11.94,0.07,0.5863,37638.2,44729.763
002999.SZ,20201021,11.95,12.4,11.95,12.14,12.01,0.13,1.0824,64018.64,77935.905
002999.SZ,20201022,12.16,12.32,11.94,12.02,12.14,-0.12,-0.9885,63003.18,76120.42
002999.SZ,20201023,12.17,12.38,12.03,12.11,12.02,0.09,0.7488,74693.38,91148.444
