ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
003040.SZ,20210322,5.54,6.65,5.54,6.65,4.62,2.03,43.9394,5354.5,3545.241
003040.SZ,20210323,7.32,7.32,7.32,7.32,6.65,0.67,10.0752,1797.21,1315.557
003040.SZ,20210324,8.05,8.05,8.05,8.05,7.32,0.73,9.9727,1452.84,1169.536
003040.SZ,20210325,8.86,8.86,8.86,8.86,8.05,0.81,10.0621,1222.04,1082.727
003040.SZ,20210326,9.75,9.75,9.75,9.75,8.86,0.89,10.0451,3739.18,3645.7
003040.SZ,20210329,10.73,10.73,10.73,10.73,9.75,0.98,10.0513,3249.44,3486.649
003040.SZ,20210330,11.8,11.8,11.8,11.8,10.73,1.07,9.972,2581.91,3046.653
003040.SZ,20210331,12.98,12.98,12.98,12.98,11.8,1.18,10.0,9771.27,12683.108
003040.SZ,20210401,14.28,14.28,14.28,14.28,12.98,1.3,10.0154,2948.7,4210.743
003040.SZ,20210402,15.71,15.71,15.71,15.71,14.28,1.43,10.014,6712.04,10544.614
003040.SZ,20210406,17.28,17.28,17.28,17.28,15.71,1.57,9.9936,6030.37,10420.479
003040.SZ,20210407,19.01,19.01,19.01,19.01,17.28,1.73,10.0116,34928.3,66398.698
003040.SZ,20210408,20.91,20.91,20.91,20.91,19.01,1.9,9.9947,7895.98,16510.494
003040.SZ,20210409,23.0,23.0,23.0,23.0,20.91,2.09,9.9952,6421.12,14768.576
003040.SZ,20210412,25.3,25.3,25.3,25.3,23.0,2.3,10.0,7529.27,19049.053
003040.SZ,20210413,27.83,27.83,27.83,27.83,25.3,2.53,10.0,5072.52,14116.823
003040.SZ,20210414,30.61,30.61,29.2,30.61,27.83,2.78,9.9892,438726.54,1332570.408
003040.SZ,20210415,30.67,32.95,27.56,27.56,30.61,-3.05,-9.9641,555923.43,1670914.021
003040.SZ,20210416,26.01,30.32,25.51,29.7,27.56,2.14,7.7649,462562.88,1315358.721
003040.SZ,20210419,26.73,28.3,26.73,26.73,29.7,-2.97,-10.0,441474.24,1199421.696
003040.SZ,20210420,25.78,27.99,25.78,27.05,26.73,0.32,1.1972,313136.05,846149.586
003040.SZ,20210421,26.02,29.76,26.02,29.76,27.05,2.71,10.0185,519890.78,1514485.682
003040.SZ,20210422,29.86,32.74,28.92,32.74,29.76,2.98,10.0134,472254.17,1464447.049
003040.SZ,20210423,32.02,32.08,29.47,29.47,32.74,-3.27,-9.9878,388218.03,1168440.186
003040.SZ,20210426,28.0,28.82,26.66,27.39,29.47,-2.08,-7.058,264982.54,731299.19
003040.SZ,20210427,27.62,29.52,26.4,28.7,27.39,1.31,4.7828,276181.47,783908.503
