ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300004.SZ,20150105,40.4,40.8,39.71,39.99,40.88,-0.89,-2.18,14723.7,59075.7738
300004.SZ,20150106,39.99,41.23,39.56,40.81,39.99,0.82,2.05,11222.87,45300.5111
300004.SZ,20150107,40.88,43.99,40.63,42.74,40.81,1.93,4.73,31657.32,133445.0815
300004.SZ,20150108,42.65,43.85,42.02,42.36,42.74,-0.38,-0.89,22021.87,94625.4116
300004.SZ,20150109,41.83,43.44,41.77,41.84,42.36,-0.52,-1.23,13379.57,56747.6918
300004.SZ,20150112,41.69,42.41,40.21,41.35,41.84,-0.49,-1.17,9973.33,40834.1638
300004.SZ,20150113,41.28,41.79,40.52,41.44,41.35,0.09,0.22,5702.94,23596.4974
300004.SZ,20150114,40.97,41.58,40.55,41.12,41.44,-0.32,-0.77,12057.78,49277.3265
300004.SZ,20150115,41.13,41.65,40.43,41.41,41.12,0.29,0.71,8764.21,35954.8888
300004.SZ,20150116,42.36,43.4,41.41,43.05,41.41,1.64,3.96,19184.32,82134.2252
300004.SZ,20150119,41.95,43.69,40.6,42.04,43.05,-1.01,-2.35,16809.97,71622.4069
300004.SZ,20150120,41.75,43.28,41.75,42.78,42.04,0.74,1.76,14988.8,63922.4288
300004.SZ,20150121,42.94,44.99,42.51,44.27,42.78,1.49,3.48,25723.62,113005.4059
300004.SZ,20150122,44.5,47.21,42.66,46.99,44.27,2.72,6.14,28728.37,131801.2825
300004.SZ,20150123,46.98,49.0,46.2,47.98,46.99,0.99,2.11,25793.69,123270.3223
300004.SZ,20150126,48.78,49.3,46.8,47.99,47.98,0.01,0.02,29915.62,142747.609
300004.SZ,20150127,47.8,50.1,47.79,49.44,47.99,1.45,3.02,30226.14,148404.4052
300004.SZ,20150128,49.36,49.99,48.15,48.67,49.44,-0.77,-1.56,11839.32,57834.9576
300004.SZ,20150216,46.0,47.5,44.57,46.85,48.67,-1.82,-3.74,60301.93,276188.1981
300004.SZ,20150217,46.6,46.6,45.73,46.09,46.85,-0.76,-1.62,23595.21,108591.7284
300004.SZ,20150225,46.0,46.21,42.6,43.16,46.09,-2.93,-6.36,26864.18,120025.1576
300004.SZ,20150226,43.5,43.78,42.92,43.68,43.16,0.52,1.2,17732.71,76706.6538
300004.SZ,20150227,43.64,44.74,43.64,44.09,43.68,0.41,0.94,20060.59,88790.0349
300004.SZ,20150302,44.39,45.58,44.39,45.22,44.09,1.13,2.56,25143.12,113577.0341
300004.SZ,20150303,45.21,47.98,45.21,47.4,45.22,2.18,4.82,38092.77,179092.0789
300004.SZ,20150304,47.88,48.67,46.82,47.7,47.4,0.3,0.63,25037.46,118708.6268
300004.SZ,20150305,48.2,48.2,46.23,46.62,47.7,-1.08,-2.26,18463.08,86319.1544
300004.SZ,20150306,46.31,47.0,44.71,45.11,46.62,-1.51,-3.24,17988.39,81567.0836
300004.SZ,20150309,44.8,46.36,44.32,45.98,45.11,0.87,1.93,12137.32,55256.7245
300004.SZ,20150310,46.03,47.32,46.03,46.96,45.98,0.98,2.13,15713.85,73748.3728
300004.SZ,20150311,47.31,48.58,47.31,48.45,46.96,1.49,3.17,25535.33,122738.2049
300004.SZ,20150312,48.5,49.5,47.35,48.5,48.45,0.05,0.1,60193.44,291542.6751
300004.SZ,20150313,48.5,50.2,48.1,50.2,48.5,1.7,3.51,36503.41,180083.4446
300004.SZ,20150316,50.5,51.05,49.78,50.19,50.2,-0.01,-0.02,40064.06,201360.9174
300004.SZ,20150317,50.0,50.96,48.66,49.13,50.19,-1.06,-2.11,31412.52,155879.7704
300004.SZ,20150318,49.48,49.8,49.02,49.57,49.13,0.44,0.9,14860.98,73413.4193
300004.SZ,20150319,49.33,50.95,49.05,49.96,49.57,0.39,0.79,19803.67,98145.1733
300004.SZ,20150320,49.96,50.22,47.3,48.8,49.96,-1.16,-2.32,27656.44,135310.8192
300004.SZ,20150323,48.8,49.5,48.07,49.36,48.8,0.56,1.15,21864.95,107408.9552
300004.SZ,20150324,49.01,49.54,47.5,48.43,49.36,-0.93,-1.88,21499.16,104402.0863
300004.SZ,20150325,48.6,49.35,48.0,49.2,48.43,0.77,1.59,41614.57,203475.9208
300004.SZ,20150326,48.9,48.9,47.27,47.44,49.2,-1.76,-3.58,43055.07,206196.4613
300004.SZ,20150327,47.35,50.15,45.0,49.8,47.44,2.36,4.97,51853.94,248539.7969
300004.SZ,20150330,49.8,50.0,48.39,48.7,49.8,-1.1,-2.21,49632.23,242426.4407
300004.SZ,20150331,48.58,49.0,48.03,48.59,48.7,-0.11,-0.23,37235.8,180714.4475
300004.SZ,20150401,48.68,49.49,48.29,48.92,48.59,0.33,0.68,31113.41,151976.6191
300004.SZ,20150402,49.2,52.3,48.58,50.67,48.92,1.75,3.58,62321.38,311652.1492
300004.SZ,20150403,50.12,54.0,49.71,53.0,50.67,2.33,4.6,66256.16,342223.6854
300004.SZ,20150407,53.21,55.18,53.21,53.6,53.0,0.6,1.13,44028.91,238097.9343
300004.SZ,20150408,53.47,55.0,51.33,54.42,53.6,0.82,1.53,46276.35,248999.9702
300004.SZ,20150409,54.04,55.9,52.5,55.06,54.42,0.64,1.18,40794.28,222237.596
300004.SZ,20150410,54.49,54.98,52.95,54.07,55.06,-0.99,-1.8,37859.65,205186.5147
300004.SZ,20150413,54.02,54.39,53.06,53.43,54.07,-0.64,-1.18,29779.46,159536.7267
300004.SZ,20150414,53.43,58.53,51.7,57.1,53.43,3.67,6.87,49836.18,274466.3581
300004.SZ,20150415,56.13,57.55,55.21,55.21,57.1,-1.89,-3.31,34773.65,196778.3825
300004.SZ,20150416,56.48,60.0,55.01,57.86,55.21,2.65,4.8,47843.86,278621.3368
300004.SZ,20150417,58.92,59.95,56.0,56.0,57.86,-1.86,-3.21,36736.32,212283.5552
300004.SZ,20150420,54.32,57.2,53.91,54.6,56.0,-1.4,-2.5,36419.07,201475.5626
300004.SZ,20150421,54.5,56.89,54.5,56.65,54.6,2.05,3.75,20741.51,116461.7906
300004.SZ,20150422,56.99,59.0,56.8,59.0,56.65,2.35,4.15,36816.88,213983.9639
300004.SZ,20150423,58.5,64.9,58.5,64.8,59.0,5.8,9.83,68999.51,427756.2623
300004.SZ,20150424,64.9,64.91,62.0,63.0,64.8,-1.8,-2.78,34016.72,215713.3701
300004.SZ,20150427,64.0,67.99,62.72,65.99,63.0,2.99,4.75,44394.13,290620.3486
300004.SZ,20150428,67.7,69.12,63.69,64.71,65.99,-1.28,-1.94,34120.01,225081.9135
300004.SZ,20150429,65.0,70.8,62.0,69.51,64.71,4.8,7.42,42264.57,280238.0597
300004.SZ,20150430,69.0,74.8,68.68,73.4,69.51,3.89,5.6,38435.58,280629.5435
300004.SZ,20150504,74.0,78.8,71.01,75.34,73.4,1.94,2.64,36827.12,273773.8466
300004.SZ,20150505,75.0,75.0,70.0,72.29,75.34,-3.05,-4.05,30638.99,219449.4401
300004.SZ,20150506,72.0,73.8,68.01,68.3,72.29,-3.99,-5.52,28137.25,201017.7672
300004.SZ,20150507,69.19,71.89,66.56,70.0,68.3,1.7,2.49,26023.31,180040.1267
300004.SZ,20150508,70.11,74.2,70.0,74.0,70.0,4.0,5.71,23293.62,168201.8909
300004.SZ,20150511,74.02,81.4,74.0,81.4,74.0,7.4,10.0,33364.43,265236.6156
300004.SZ,20150512,81.5,89.54,81.5,89.54,81.4,8.14,10.0,41540.19,357153.4216
