ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300005.SZ,20150105,18.39,18.4,17.29,17.89,18.56,-0.67,-3.61,185180.91,329639.2244
300005.SZ,20150106,17.5,18.99,17.2,18.99,17.89,1.1,6.15,236506.28,433056.6821
300005.SZ,20150107,19.0,19.0,18.18,18.42,18.99,-0.57,-3.0,183115.81,338901.0946
300005.SZ,20150108,18.35,19.3,18.2,18.8,18.42,0.38,2.06,270437.14,510583.5234
300005.SZ,20150109,18.66,19.45,18.55,19.13,18.8,0.33,1.76,263849.1,504828.3139
300005.SZ,20150112,18.96,19.13,18.4,18.83,19.13,-0.3,-1.57,180885.94,339786.6937
300005.SZ,20150113,18.73,18.73,18.0,18.08,18.83,-0.75,-3.98,193042.8,353154.7005
300005.SZ,20150114,18.05,18.05,17.55,17.76,18.08,-0.32,-1.77,120958.8,214796.8271
300005.SZ,20150115,17.96,18.15,17.68,17.87,17.76,0.11,0.62,91259.58,163249.8606
300005.SZ,20150116,17.74,18.35,17.7,18.16,17.87,0.29,1.62,115178.7,207955.3346
300005.SZ,20150119,17.65,18.79,17.3,17.65,18.16,-0.51,-2.81,193637.28,351688.5738
300005.SZ,20150120,17.74,18.53,17.7,18.46,17.65,0.81,4.59,180654.46,330469.7312
300005.SZ,20150121,18.5,20.31,18.45,20.31,18.46,1.85,10.02,449161.65,892372.2274
300005.SZ,20150122,21.09,21.48,20.49,21.16,20.31,0.85,4.19,483747.94,1014099.7976
300005.SZ,20150123,20.89,21.96,20.67,20.95,21.16,-0.21,-0.99,278856.78,591818.3952
300005.SZ,20150126,20.93,23.05,20.8,23.05,20.95,2.1,10.02,349088.29,774090.571
300005.SZ,20150127,23.3,23.81,22.13,23.0,23.05,-0.05,-0.22,327486.54,753560.8681
300005.SZ,20150128,22.65,24.13,22.36,23.02,23.0,0.02,0.09,269748.67,628456.6128
300005.SZ,20150129,22.8,24.36,22.57,23.5,23.02,0.48,2.09,205523.56,484327.2496
300005.SZ,20150130,23.7,23.76,22.05,22.74,23.5,-0.76,-3.23,175592.26,399708.3186
300005.SZ,20150202,22.45,23.17,22.27,22.62,22.74,-0.12,-0.53,131203.7,297862.3029
300005.SZ,20150203,22.6,23.55,21.85,23.22,22.62,0.6,2.65,219559.97,499589.3309
300005.SZ,20150204,22.9,25.2,22.76,24.85,23.22,1.63,7.02,256454.02,613886.4574
300005.SZ,20150205,24.2,25.7,24.1,24.55,24.85,-0.3,-1.21,196260.9,488884.6109
300005.SZ,20150206,24.48,24.77,22.8,22.92,24.55,-1.63,-6.64,145195.65,342436.7092
300005.SZ,20150209,22.8,23.5,21.4,22.09,22.92,-0.83,-3.62,143323.87,319831.4734
300005.SZ,20150210,22.0,22.88,21.8,22.85,22.09,0.76,3.44,89951.99,200865.8972
300005.SZ,20150211,22.86,23.75,22.68,22.9,22.85,0.05,0.22,104451.25,240930.658
300005.SZ,20150212,23.0,23.58,22.47,23.37,22.9,0.47,2.05,95592.98,221356.7793
300005.SZ,20150213,23.37,24.2,23.17,23.27,23.37,-0.1,-0.43,129899.94,306059.7323
300005.SZ,20150216,23.01,24.66,22.93,24.24,23.27,0.97,4.17,144460.96,346139.8734
300005.SZ,20150217,24.24,24.49,23.5,23.78,24.24,-0.46,-1.9,83277.39,198278.1253
300005.SZ,20150225,23.9,25.43,23.9,24.35,23.78,0.57,2.4,140905.94,347736.2084
300005.SZ,20150226,24.3,24.58,23.4,24.18,24.35,-0.17,-0.7,131967.93,314318.8666
300005.SZ,20150227,23.92,25.08,23.73,24.48,24.18,0.3,1.24,130109.54,314920.7616
300005.SZ,20150302,24.79,26.55,24.66,25.96,24.48,1.48,6.05,233528.14,600094.5701
300005.SZ,20150303,25.45,27.3,25.4,25.75,25.96,-0.21,-0.81,214678.54,567251.1485
300005.SZ,20150304,25.38,27.3,25.15,26.5,25.75,0.75,2.91,176956.54,467014.7021
300005.SZ,20150305,26.61,27.8,26.4,26.96,26.5,0.46,1.74,171258.35,462522.0581
300005.SZ,20150306,26.96,27.4,24.6,25.4,26.96,-1.56,-5.79,183546.32,475751.6695
300005.SZ,20150309,25.11,25.95,24.75,25.69,25.4,0.29,1.14,102984.77,261903.2344
300005.SZ,20150310,25.98,26.68,25.98,26.14,25.69,0.45,1.75,112671.09,296554.6918
300005.SZ,20150311,26.2,26.82,25.45,25.65,26.14,-0.49,-1.87,146739.08,380957.4059
300005.SZ,20150312,25.22,25.6,24.04,24.66,25.65,-0.99,-3.86,179605.3,441811.0419
300005.SZ,20150313,24.55,25.85,24.08,25.54,24.66,0.88,3.57,175788.39,438120.3991
300005.SZ,20150319,28.09,28.09,27.8,28.09,25.54,2.55,9.98,224400.33,630202.423
300005.SZ,20150320,28.21,30.83,27.53,30.2,28.09,2.11,7.51,416607.8,1200161.5456
300005.SZ,20150323,30.31,32.6,29.79,31.27,30.2,1.07,3.54,267095.13,840595.721
300005.SZ,20150324,31.22,31.85,29.6,31.31,31.27,0.04,0.13,238035.29,734690.9397
300005.SZ,20150325,31.91,32.04,30.5,31.58,31.31,0.27,0.86,207796.79,652120.4048
300005.SZ,20150326,31.0,31.15,28.56,29.14,31.58,-2.44,-7.73,215237.27,641442.859
300005.SZ,20150327,28.55,30.25,28.55,29.75,29.14,0.61,2.09,178909.31,528628.9059
300005.SZ,20150330,29.6,29.92,28.3,28.98,29.75,-0.77,-2.59,183228.94,529974.5913
300005.SZ,20150331,29.0,29.99,28.61,29.46,28.98,0.48,1.66,163100.99,479931.4066
300005.SZ,20150401,29.75,30.25,29.25,29.59,29.46,0.13,0.44,177578.69,526396.0048
300005.SZ,20150402,29.7,29.9,29.2,29.76,29.59,0.17,0.57,203008.06,600629.4089
300005.SZ,20150403,29.6,29.6,28.64,29.33,29.76,-0.43,-1.44,234892.22,683689.5158
300005.SZ,20150407,29.3,30.56,29.12,30.21,29.33,0.88,3.0,229426.98,690206.1272
300005.SZ,20150408,30.92,31.27,28.5,29.28,30.21,-0.93,-3.08,220981.04,661699.2529
300005.SZ,20150409,29.5,29.56,26.78,28.0,29.28,-1.28,-4.37,208907.78,586077.7902
300005.SZ,20150410,27.72,28.4,27.71,28.31,28.0,0.31,1.11,160810.8,452938.8489
300005.SZ,20150414,29.7,29.98,28.51,29.21,28.31,0.9,3.18,224586.27,657477.1261
300005.SZ,20150415,28.36,29.01,26.65,26.68,29.21,-2.53,-8.66,283473.6,776572.3111
300005.SZ,20150416,26.2,27.41,25.91,26.55,26.68,-0.13,-0.49,173275.36,462398.6394
300005.SZ,20150417,26.85,27.69,26.8,27.25,26.55,0.7,2.64,164703.24,449513.7372
300005.SZ,20150420,27.48,27.55,26.3,26.39,27.25,-0.86,-3.16,172815.25,466777.9929
300005.SZ,20150421,26.3,27.84,26.3,27.8,26.39,1.41,5.34,206830.54,564281.1854
300005.SZ,20150422,28.5,28.59,27.85,28.0,27.8,0.2,0.72,173428.6,487682.7398
300005.SZ,20150423,28.04,29.3,27.73,29.18,28.0,1.18,4.21,237771.25,680948.0848
300005.SZ,20150424,28.78,29.18,27.95,28.25,29.18,-0.93,-3.19,163254.03,466223.8424
300005.SZ,20150427,28.6,29.05,28.15,28.26,28.25,0.01,0.04,142826.82,406528.2748
300005.SZ,20150428,28.19,28.39,26.16,26.2,28.26,-2.06,-7.29,225936.0,607747.9164
300005.SZ,20150429,26.2,27.23,26.08,26.9,26.2,0.7,2.67,108476.52,290565.0952
300005.SZ,20150430,26.91,27.68,26.91,27.21,26.9,0.31,1.15,109603.27,299431.4719
300005.SZ,20150504,27.43,28.49,27.38,28.13,27.21,0.92,3.38,163347.71,459500.4906
300005.SZ,20150505,28.2,28.7,26.79,27.01,28.13,-1.12,-3.98,122848.13,339567.9886
300005.SZ,20150506,27.3,29.49,27.1,28.67,27.01,1.66,6.15,323802.57,920085.3032
300005.SZ,20150507,28.31,29.65,28.0,28.3,28.67,-0.37,-1.29,241487.19,697258.2048
300005.SZ,20150508,28.56,30.5,28.56,30.43,28.3,2.13,7.53,352935.31,1047289.7651
300005.SZ,20150511,30.43,32.02,29.36,31.77,30.43,1.34,4.4,396319.36,1209625.5622
300005.SZ,20150512,31.5,32.55,30.9,32.4,31.77,0.63,1.98,361234.8,1151202.9178
300005.SZ,20150513,31.38,32.33,30.6,31.82,32.4,-0.58,-1.79,287560.53,904282.5308
300005.SZ,20150514,31.85,35.0,31.85,33.48,31.82,1.66,5.22,278946.38,944839.2922
300005.SZ,20150515,33.8,34.77,31.3,33.88,33.48,0.4,1.19,278285.86,922763.2482
300005.SZ,20150518,33.5,37.27,33.31,37.27,33.88,3.39,10.01,299687.08,1079782.9423
300005.SZ,20150519,37.27,37.77,35.81,36.85,37.27,-0.42,-1.13,200032.52,737693.8118
300005.SZ,20150520,36.85,40.54,36.85,37.8,36.85,0.95,2.58,200635.69,778151.5664
300005.SZ,20150521,37.75,39.99,37.1,38.91,37.8,1.11,2.94,154113.58,598964.2175
300005.SZ,20150522,39.55,42.24,38.4,40.35,38.91,1.44,3.7,213108.3,856545.9215
300005.SZ,20150608,44.39,44.39,38.26,41.5,40.35,1.15,2.85,342387.07,1407588.6131
300005.SZ,20150609,40.5,43.8,40.0,40.47,41.5,-1.03,-2.48,186515.3,772315.0883
300005.SZ,20150610,40.2,42.3,40.01,41.0,40.47,0.53,1.31,169679.82,700162.8199
300005.SZ,20150611,41.0,41.6,39.19,39.95,41.0,-1.05,-2.56,170811.23,681840.3099
300005.SZ,20150612,40.2,41.15,39.2,39.92,39.95,-0.03,-0.08,155500.36,626036.7924
300005.SZ,20150615,40.35,40.63,35.93,35.93,39.92,-3.99,-10.0,238354.37,896071.7442
300005.SZ,20150616,35.01,35.9,32.81,33.44,35.93,-2.49,-6.93,187381.46,633336.7782
300005.SZ,20150617,34.0,35.69,33.5,35.06,33.44,1.62,4.84,170835.01,588775.0762
300005.SZ,20150618,34.95,34.95,31.8,32.3,35.06,-2.76,-7.87,174674.39,584448.5777
300005.SZ,20150619,31.91,33.31,31.61,31.73,32.3,-0.57,-1.76,160521.93,522372.9474
300005.SZ,20150623,32.3,34.0,30.41,33.3,31.73,1.57,4.95,147616.85,481865.7645
300005.SZ,20150624,33.8,34.96,32.85,33.8,33.3,0.5,1.5,138928.05,471511.1559
300005.SZ,20150625,34.6,34.6,30.8,31.19,33.8,-2.61,-7.72,147499.93,481076.5264
300005.SZ,20150626,30.49,30.49,28.07,28.07,31.19,-3.12,-10.0,121307.57,351375.2451
300005.SZ,20150629,28.78,28.78,25.26,25.26,28.07,-2.81,-10.01,161183.39,419275.3532
300005.SZ,20150630,24.5,27.79,22.73,27.4,25.26,2.14,8.47,267261.42,657576.521
300005.SZ,20150701,27.39,29.07,25.5,26.08,27.4,-1.32,-4.82,223451.23,620761.8226
300005.SZ,20150702,26.21,26.9,23.47,23.98,26.08,-2.1,-8.05,230741.5,577854.1978
