ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300066.SZ,20150105,14.84,14.88,14.41,14.53,15.0,-0.47,-3.13,14950.53,21735.3629
300066.SZ,20150106,14.53,14.85,14.4,14.7,14.53,0.17,1.17,13046.48,19113.8226
300066.SZ,20150107,14.73,14.77,14.25,14.39,14.7,-0.31,-2.11,12219.7,17671.4438
300066.SZ,20150108,14.44,14.5,14.14,14.45,14.39,0.06,0.42,11491.57,16475.2797
300066.SZ,20150109,14.35,14.69,14.28,14.6,14.45,0.15,1.04,12626.09,18444.4055
300066.SZ,20150112,14.21,14.54,14.0,14.34,14.6,-0.26,-1.78,6448.66,9212.675
300066.SZ,20150113,14.34,14.89,14.13,14.82,14.34,0.48,3.35,17629.04,25557.3409
300066.SZ,20150114,14.71,15.24,14.64,14.73,14.82,-0.09,-0.61,21141.27,31585.8536
300066.SZ,20150115,14.82,14.95,14.46,14.5,14.73,-0.23,-1.56,13295.88,19462.8147
300066.SZ,20150116,14.68,14.73,14.13,14.34,14.5,-0.16,-1.1,27687.95,39723.2813
300066.SZ,20150119,14.2,14.46,13.87,13.97,14.34,-0.37,-2.58,20161.0,28730.8034
300066.SZ,20150120,13.91,14.46,13.91,14.46,13.97,0.49,3.51,14671.2,20918.3618
300066.SZ,20150121,14.51,15.15,14.47,15.09,14.46,0.63,4.36,48163.8,71775.8439
300066.SZ,20150122,15.1,15.62,14.83,15.5,15.09,0.41,2.72,30262.65,46300.9937
300066.SZ,20150123,15.5,15.55,15.16,15.24,15.5,-0.26,-1.68,10423.6,15939.375
300066.SZ,20150126,15.16,15.6,15.16,15.53,15.24,0.29,1.9,14941.28,23073.7547
300066.SZ,20150127,15.59,15.61,15.16,15.35,15.53,-0.18,-1.16,7988.12,12244.7235
300066.SZ,20150128,15.26,15.37,15.0,15.04,15.35,-0.31,-2.02,17421.51,26279.0626
300066.SZ,20150129,15.05,15.18,14.91,15.05,15.04,0.01,0.07,15070.46,22708.7724
300066.SZ,20150130,14.95,15.15,14.8,14.82,15.05,-0.23,-1.53,11086.45,16504.2411
300066.SZ,20150202,14.72,14.95,14.68,14.74,14.82,-0.08,-0.54,7636.61,11299.9456
300066.SZ,20150203,14.85,15.02,14.77,14.97,14.74,0.23,1.56,13574.27,20253.5558
300066.SZ,20150204,15.05,15.39,14.91,15.3,14.97,0.33,2.2,19744.55,29910.0805
300066.SZ,20150205,15.51,16.83,15.51,16.83,15.3,1.53,10.0,90612.31,149627.8112
300066.SZ,20150206,16.7,16.74,16.0,16.19,16.83,-0.64,-3.8,48509.06,78874.8196
300066.SZ,20150209,16.39,16.39,15.26,15.33,16.19,-0.86,-5.31,30328.47,47498.5126
300066.SZ,20150210,15.36,16.86,15.23,16.86,15.33,1.53,9.98,74094.73,121755.662
300066.SZ,20150211,17.22,17.7,16.88,17.22,16.86,0.36,2.14,89678.33,155333.5059
300066.SZ,20150212,17.25,17.5,16.86,17.46,17.22,0.24,1.39,60555.34,104083.8753
300066.SZ,20150213,17.45,17.57,17.13,17.45,17.46,-0.01,-0.06,37493.32,65039.2608
300066.SZ,20150216,17.45,18.0,17.29,17.59,17.45,0.14,0.8,49392.1,86845.9153
300066.SZ,20150217,17.6,17.67,16.93,17.01,17.59,-0.58,-3.3,43288.37,74153.786
300066.SZ,20150225,17.13,17.45,16.92,16.94,17.01,-0.07,-0.41,32485.17,55625.6065
300066.SZ,20150226,16.91,17.38,16.63,16.82,16.94,-0.12,-0.71,42433.62,72253.6445
300066.SZ,20150227,16.82,17.33,16.77,17.3,16.82,0.48,2.85,30374.29,52062.9884
300066.SZ,20150302,17.3,17.5,17.06,17.48,17.3,0.18,1.04,42642.35,73770.9502
300066.SZ,20150303,17.15,17.45,17.01,17.01,17.48,-0.47,-2.69,36154.41,62360.6873
300066.SZ,20150304,16.98,17.26,16.9,17.26,17.01,0.25,1.47,20966.79,35810.1574
300066.SZ,20150305,17.22,17.96,17.11,17.88,17.26,0.62,3.59,53658.15,94484.1039
300066.SZ,20150306,17.97,17.99,17.02,17.09,17.88,-0.79,-4.42,38970.15,67670.9641
300066.SZ,20150309,17.1,17.21,16.78,17.05,17.09,-0.04,-0.23,21982.58,37296.4476
300066.SZ,20150310,17.14,17.14,16.86,17.05,17.05,0.0,0.0,34070.1,57746.4592
300066.SZ,20150311,17.05,17.05,16.54,16.69,17.05,-0.36,-2.11,32520.3,54434.2577
300066.SZ,20150312,16.6,16.95,16.54,16.7,16.69,0.01,0.06,31709.4,53136.6653
300066.SZ,20150313,16.72,16.97,16.72,16.85,16.7,0.15,0.9,23168.11,39100.4933
300066.SZ,20150316,16.9,17.79,16.87,17.7,16.85,0.85,5.04,69573.74,121886.732
300066.SZ,20150317,17.75,18.5,17.68,18.08,17.7,0.38,2.15,71721.87,130426.6013
300066.SZ,20150318,18.26,18.38,17.88,18.24,18.08,0.16,0.89,40521.62,73199.6572
300066.SZ,20150319,18.25,18.77,17.95,18.45,18.24,0.21,1.15,54463.43,99032.0133
300066.SZ,20150320,18.51,19.0,18.5,18.68,18.45,0.23,1.25,36625.32,68600.9374
300066.SZ,20150323,18.7,20.55,18.7,20.55,18.68,1.87,10.01,69620.48,141260.6444
300066.SZ,20150324,21.0,22.61,20.99,22.61,20.55,2.06,10.02,107034.73,233525.5503
300066.SZ,20150325,23.0,23.5,21.87,22.87,22.61,0.26,1.15,86296.43,194050.9125
300066.SZ,20150326,22.46,22.46,21.17,21.52,22.87,-1.35,-5.9,59483.76,130102.3557
300066.SZ,20150327,21.84,22.19,20.8,21.68,21.52,0.16,0.74,45608.86,97539.4442
300066.SZ,20150330,21.7,22.3,20.88,22.3,21.68,0.62,2.86,55535.39,119050.1145
300066.SZ,20150331,22.29,23.6,21.77,23.05,22.3,0.75,3.36,59346.84,133949.2452
300066.SZ,20150401,22.99,25.32,22.52,24.67,23.05,1.62,7.03,57339.12,140664.1567
300066.SZ,20150402,24.68,25.14,24.19,25.05,24.67,0.38,1.54,42192.78,104061.5649
300066.SZ,20150403,24.9,26.35,24.6,25.8,25.05,0.75,2.99,40985.49,105274.5847
300066.SZ,20150407,25.61,26.18,24.88,25.34,25.8,-0.46,-1.78,54059.66,137463.2672
300066.SZ,20150408,25.7,25.7,24.0,24.21,25.34,-1.13,-4.46,41033.57,100047.1512
300066.SZ,20150409,24.1,24.19,22.29,23.41,24.21,-0.8,-3.3,49331.52,113291.582
300066.SZ,20150410,23.27,24.37,22.77,23.86,23.41,0.45,1.92,38755.62,92253.3433
300066.SZ,20150413,23.81,24.17,23.1,23.89,23.86,0.03,0.13,54353.78,128516.1999
300066.SZ,20150414,23.96,23.97,23.3,23.41,23.89,-0.48,-2.01,36800.27,86630.4754
300066.SZ,20150415,23.38,23.41,21.9,22.09,23.41,-1.32,-5.64,55184.37,123567.0284
300066.SZ,20150416,21.62,22.47,21.1,21.73,22.09,-0.36,-1.63,49050.88,106556.5272
300066.SZ,20150417,21.92,23.9,21.92,23.9,21.73,2.17,9.99,76869.4,177465.2928
300066.SZ,20150420,24.2,24.96,23.23,23.44,23.9,-0.46,-1.92,80920.38,196229.3644
300066.SZ,20150421,23.35,24.89,23.01,24.55,23.44,1.11,4.74,59951.76,145012.833
300066.SZ,20150422,24.51,26.14,24.51,25.55,24.55,1.0,4.07,71829.78,183589.4161
300066.SZ,20150423,25.41,25.9,24.72,24.96,25.55,-0.59,-2.31,47453.36,119205.7618
300066.SZ,20150424,24.65,24.65,23.86,24.2,24.96,-0.76,-3.04,43770.87,106054.7304
300066.SZ,20150427,24.65,25.7,23.9,24.11,24.2,-0.09,-0.37,59667.78,147119.9454
300066.SZ,20150428,24.05,24.38,22.5,22.97,24.11,-1.14,-4.73,49497.26,114460.8263
300066.SZ,20150429,14.27,14.74,14.2,14.67,14.29,0.38,2.66,44073.15,64089.9059
300066.SZ,20150430,14.71,14.8,14.35,14.44,14.67,-0.23,-1.57,39343.46,56986.9944
300066.SZ,20150504,14.39,14.49,14.01,14.19,14.44,-0.25,-1.73,34712.6,49333.4465
300066.SZ,20150505,14.19,14.57,13.68,13.91,14.19,-0.28,-1.97,48816.44,69159.7515
300066.SZ,20150506,13.82,14.78,13.81,14.3,13.91,0.39,2.8,61187.56,88179.4414
300066.SZ,20150507,14.24,14.59,13.8,13.83,14.3,-0.47,-3.29,45330.25,64982.2659
300066.SZ,20150508,13.98,14.45,13.97,14.45,13.83,0.62,4.48,59494.5,84824.4325
300066.SZ,20150511,14.62,15.73,14.41,15.5,14.45,1.05,7.27,103516.33,156476.414
300066.SZ,20150512,16.28,16.99,15.55,15.67,15.5,0.17,1.1,174455.54,280953.7286
300066.SZ,20150513,15.33,15.8,14.93,15.74,15.67,0.07,0.45,124412.4,190620.6684
300066.SZ,20150514,15.7,15.85,15.35,15.39,15.74,-0.35,-2.22,68800.86,107034.3595
300066.SZ,20150515,15.2,15.22,14.62,14.86,15.39,-0.53,-3.44,70514.4,104671.1405
300066.SZ,20150518,14.88,15.76,14.88,15.76,14.86,0.9,6.06,108323.79,165836.6883
300066.SZ,20150519,15.79,16.22,15.25,16.16,15.76,0.4,2.54,127482.65,200523.7962
300066.SZ,20150520,16.6,17.78,16.6,17.78,16.16,1.62,10.02,175968.58,309279.2195
300066.SZ,20150521,18.3,19.26,18.15,19.2,17.78,1.42,7.99,237726.71,444686.2603
300066.SZ,20150522,19.25,19.3,18.08,18.43,19.2,-0.77,-4.01,152209.39,282616.031
300066.SZ,20150525,17.9,18.31,17.1,17.91,18.43,-0.52,-2.82,132627.27,235919.8438
300066.SZ,20150526,18.22,19.7,18.21,19.7,17.91,1.79,9.99,177379.65,341569.7032
300066.SZ,20150527,20.1,20.7,18.75,20.07,19.7,0.37,1.88,167440.06,333546.8331
300066.SZ,20150528,20.23,22.0,19.7,20.0,20.07,-0.07,-0.35,162417.34,339064.0477
300066.SZ,20150529,19.78,21.0,18.0,20.5,20.0,0.5,2.5,134559.95,269380.7239
300066.SZ,20150601,20.7,21.51,20.18,21.15,20.5,0.65,3.17,122669.31,255919.7036
300066.SZ,20150602,20.88,23.27,20.65,23.27,21.15,2.12,10.02,150972.06,337194.0597
300066.SZ,20150603,23.6,24.59,22.36,23.35,23.27,0.08,0.34,138448.57,327171.4705
300066.SZ,20150604,23.02,23.98,21.02,23.0,23.35,-0.35,-1.5,102841.1,231681.6258
300066.SZ,20150605,23.4,24.26,21.5,22.68,23.0,-0.32,-1.39,105804.86,242974.2278
300066.SZ,20150608,22.1,22.65,20.42,22.65,22.68,-0.03,-0.13,136549.55,290418.6581
300066.SZ,20150609,22.17,22.4,21.03,21.98,22.65,-0.67,-2.96,77583.79,169139.8993
300066.SZ,20150610,21.85,22.8,21.01,22.3,21.98,0.32,1.46,92401.38,204985.8735
300066.SZ,20150611,22.29,24.53,22.2,24.53,22.3,2.23,10.0,190782.79,458871.8256
300066.SZ,20150612,24.68,26.35,24.5,25.03,24.53,0.5,2.04,134461.24,339604.8533
300066.SZ,20150615,24.71,24.9,23.28,23.39,25.03,-1.64,-6.55,93001.26,222953.5168
300066.SZ,20150616,22.88,22.88,21.05,21.05,23.39,-2.34,-10.0,115867.98,250667.7866
300066.SZ,20150617,20.68,22.07,19.2,21.79,21.05,0.74,3.52,107938.96,224117.6424
300066.SZ,20150618,21.5,21.5,19.61,19.61,21.79,-2.18,-10.0,103787.57,213361.4438
300066.SZ,20150619,19.02,21.0,18.2,19.31,19.61,-0.3,-1.53,85365.14,166523.6733
300066.SZ,20150623,19.28,19.79,17.38,18.95,19.31,-0.36,-1.86,84320.17,156753.5958
300066.SZ,20150624,19.05,19.85,18.82,19.46,18.95,0.51,2.69,77817.16,150398.3118
300066.SZ,20150625,19.82,20.32,18.13,18.8,19.46,-0.66,-3.39,76510.5,150554.8863
