ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300139.SZ,20150105,43.13,43.49,39.63,40.49,43.6,-3.11,-7.13,78246.13,319441.4567
300139.SZ,20150106,40.38,42.56,39.34,42.39,40.49,1.9,4.69,69263.71,286374.8514
300139.SZ,20150107,42.39,44.49,41.9,43.75,42.39,1.36,3.21,70169.51,301706.0409
300139.SZ,20150108,43.2,46.26,42.8,44.98,43.75,1.23,2.81,65625.45,294379.186
300139.SZ,20150109,44.6,46.3,44.1,44.96,44.98,-0.02,-0.04,48660.97,221670.7828
300139.SZ,20150112,44.96,45.99,43.6,44.97,44.96,0.01,0.02,30325.22,136350.5574
300139.SZ,20150113,45.0,48.1,44.76,48.0,44.97,3.03,6.74,55105.69,257826.4905
300139.SZ,20150114,47.5,48.73,47.0,48.42,48.0,0.42,0.88,38260.52,182855.3589
300139.SZ,20150115,48.0,48.82,45.84,47.0,48.42,-1.42,-2.93,42772.18,201925.3015
300139.SZ,20150116,46.4,47.95,46.13,47.05,47.0,0.05,0.11,37185.2,175251.1035
300139.SZ,20150119,46.49,48.9,45.31,46.15,47.05,-0.9,-1.91,53736.52,255285.5325
300139.SZ,20150120,46.27,48.47,46.26,48.1,46.15,1.95,4.23,53988.71,258077.6301
300139.SZ,20150121,48.28,50.09,48.28,48.76,48.1,0.66,1.37,63482.67,311617.9978
300139.SZ,20150122,49.18,49.38,48.3,48.48,48.76,-0.28,-0.57,47328.38,230196.7852
300139.SZ,20150123,48.48,49.99,46.8,46.95,48.48,-1.53,-3.16,51229.94,243032.7773
300139.SZ,20150126,46.62,47.5,46.6,47.19,46.95,0.24,0.51,32905.13,154587.0068
300139.SZ,20150127,47.19,47.66,46.48,47.12,47.19,-0.07,-0.15,27083.86,127453.093
300139.SZ,20150128,46.8,48.78,46.55,48.23,47.12,1.11,2.36,42314.86,203305.2805
300139.SZ,20150129,48.22,48.23,47.13,47.25,48.23,-0.98,-2.03,22897.91,109182.6123
