ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300142.SZ,20150105,39.94,39.95,38.21,38.64,40.37,-1.73,-4.29,26851.1,104375.9507
300142.SZ,20150106,38.63,39.4,38.31,39.3,38.64,0.66,1.71,32269.51,125443.7208
300142.SZ,20150107,39.28,39.44,37.5,38.5,39.3,-0.8,-2.04,18732.39,71821.8271
300142.SZ,20150108,38.36,39.18,37.9,38.6,38.5,0.1,0.26,14257.9,55033.1778
300142.SZ,20150109,38.93,39.77,38.6,39.5,38.6,0.9,2.33,16717.03,66083.6407
300142.SZ,20150112,39.55,39.8,38.72,39.57,39.5,0.07,0.18,8186.19,32132.2874
300142.SZ,20150113,39.56,39.78,38.68,39.44,39.57,-0.13,-0.33,12288.98,48152.4418
300142.SZ,20150114,39.44,40.19,39.03,39.6,39.44,0.16,0.41,12035.9,47581.8477
300142.SZ,20150115,39.33,39.9,39.01,39.81,39.6,0.21,0.53,17374.03,68847.5754
300142.SZ,20150116,43.67,43.67,41.6,42.28,39.81,2.47,6.2,47970.13,203800.5774
300142.SZ,20150119,41.0,43.43,40.51,41.55,42.28,-0.73,-1.73,33101.56,139417.9459
300142.SZ,20150120,41.45,43.12,41.15,42.93,41.55,1.38,3.32,34085.31,143945.7189
300142.SZ,20150121,42.7,43.87,42.36,42.91,42.93,-0.02,-0.05,27576.72,118915.3668
300142.SZ,20150122,42.95,43.69,42.91,43.43,42.91,0.52,1.21,24257.39,105059.6401
300142.SZ,20150123,43.5,43.5,41.96,41.99,43.43,-1.44,-3.32,18494.5,78711.9115
300142.SZ,20150126,41.98,42.53,41.8,42.12,41.99,0.13,0.31,13246.76,55931.3353
300142.SZ,20150127,42.16,42.4,41.31,41.86,42.12,-0.26,-0.62,12130.17,50848.8545
300142.SZ,20150128,41.85,42.96,41.6,42.53,41.86,0.67,1.6,14662.69,62279.8196
300142.SZ,20150129,42.5,42.5,41.82,41.83,42.53,-0.7,-1.65,8782.88,36907.0738
