ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300174.SZ,20150105,10.94,11.04,10.56,10.89,10.86,0.03,0.28,17066.41,18456.391
300174.SZ,20150106,10.82,11.29,10.73,11.23,10.89,0.34,3.12,19210.99,21314.7677
300174.SZ,20150107,11.25,11.39,11.01,11.12,11.23,-0.11,-0.98,15578.79,17340.1527
300174.SZ,20150108,11.12,11.3,11.07,11.13,11.12,0.01,0.09,18524.0,20737.1065
300174.SZ,20150109,11.12,11.35,11.09,11.1,11.13,-0.03,-0.27,16195.0,18159.8007
300174.SZ,20150112,11.05,11.26,10.56,10.73,11.1,-0.37,-3.33,13228.0,14265.5982
300174.SZ,20150113,10.77,10.94,10.58,10.9,10.73,0.17,1.58,11065.75,11949.3795
300174.SZ,20150114,10.9,10.95,10.78,10.86,10.9,-0.04,-0.37,9892.18,10755.2307
300174.SZ,20150115,10.88,11.05,10.8,10.86,10.86,0.0,0.0,11738.99,12810.7804
300174.SZ,20150116,10.88,11.12,10.87,11.04,10.86,0.18,1.66,15670.36,17198.604
300174.SZ,20150119,10.95,11.25,10.77,10.88,11.04,-0.16,-1.45,25268.67,27851.1873
300174.SZ,20150120,10.85,11.27,10.85,11.26,10.88,0.38,3.49,26951.51,30066.8143
300174.SZ,20150121,11.33,11.6,11.22,11.54,11.26,0.28,2.49,33851.51,38756.4536
300174.SZ,20150122,11.55,11.72,11.42,11.68,11.54,0.14,1.21,25153.87,29199.2448
300174.SZ,20150123,11.68,11.77,11.4,11.5,11.68,-0.18,-1.54,24060.49,27756.268
300174.SZ,20150126,11.48,11.77,11.44,11.77,11.5,0.27,2.35,22116.25,25724.1458
300174.SZ,20150127,11.85,11.99,11.7,11.97,11.77,0.2,1.7,22043.99,26132.3886
300174.SZ,20150128,11.91,12.34,11.83,12.23,11.97,0.26,2.17,38215.46,46413.4614
300174.SZ,20150129,12.2,13.1,12.14,12.31,12.23,0.08,0.65,34725.27,43193.0845
300174.SZ,20150130,12.31,12.37,11.83,11.94,12.31,-0.37,-3.01,20984.21,25292.4955
300174.SZ,20150202,11.88,12.1,11.66,11.87,11.94,-0.07,-0.59,15013.51,17911.2708
300174.SZ,20150203,12.0,12.19,11.83,12.15,11.87,0.28,2.36,14404.47,17436.3995
300174.SZ,20150204,12.15,12.23,11.95,12.02,12.15,-0.13,-1.07,13222.2,15984.0731
300174.SZ,20150205,12.08,12.25,11.98,11.98,12.02,-0.04,-0.33,11190.0,13537.379
300174.SZ,20150206,11.91,12.13,11.63,11.64,11.98,-0.34,-2.84,9377.62,11052.6378
300174.SZ,20150209,11.61,11.77,11.45,11.48,11.64,-0.16,-1.37,11972.19,13916.0453
300174.SZ,20150210,11.42,11.76,11.42,11.75,11.48,0.27,2.35,8792.71,10183.8912
300174.SZ,20150211,11.69,11.94,11.6,11.91,11.75,0.16,1.36,10895.6,12868.4043
300174.SZ,20150212,11.87,12.13,11.86,12.1,11.91,0.19,1.6,8644.08,10391.2912
300174.SZ,20150213,12.15,12.28,12.11,12.2,12.1,0.1,0.83,12733.18,15559.3866
300174.SZ,20150216,12.22,12.98,12.2,12.6,12.2,0.4,3.28,22531.88,28135.5144
300174.SZ,20150217,12.53,12.65,12.4,12.55,12.6,-0.05,-0.4,15692.82,19639.0948
300174.SZ,20150225,12.54,12.66,12.4,12.47,12.55,-0.08,-0.64,11597.0,14528.2906
