ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300176.SZ,20150105,14.34,15.28,14.2,15.22,14.34,0.88,6.14,30569.43,45632.3808
300176.SZ,20150106,14.96,15.75,14.8,15.22,15.22,0.0,0.0,24730.06,37761.3651
300176.SZ,20150107,15.25,15.45,14.97,15.1,15.22,-0.12,-0.79,11225.02,16984.6763
300176.SZ,20150108,15.0,15.48,14.98,15.36,15.1,0.26,1.72,12237.52,18686.9964
300176.SZ,20150109,15.3,15.59,15.22,15.23,15.36,-0.13,-0.85,11201.47,17278.7911
300176.SZ,20150112,15.26,15.26,14.7,14.76,15.23,-0.47,-3.09,4984.99,7435.0931
300176.SZ,20150113,14.61,15.18,14.61,15.18,14.76,0.42,2.85,4898.36,7322.9538
300176.SZ,20150114,15.18,15.23,14.72,14.89,15.18,-0.29,-1.91,6823.22,10191.827
300176.SZ,20150115,14.87,14.99,14.73,14.85,14.89,-0.04,-0.27,3319.03,4928.7758
300176.SZ,20150116,14.97,15.16,14.78,14.98,14.85,0.13,0.88,5787.58,8701.6689
300176.SZ,20150119,14.7,15.28,14.51,14.74,14.98,-0.24,-1.6,6880.4,10300.7331
300176.SZ,20150120,14.74,15.37,14.74,15.24,14.74,0.5,3.39,11217.61,16982.015
300176.SZ,20150121,15.26,15.67,15.25,15.64,15.24,0.4,2.62,14945.78,23194.0483
300176.SZ,20150122,15.63,15.93,15.45,15.8,15.64,0.16,1.02,12872.41,20157.2274
300176.SZ,20150123,15.82,15.92,15.48,15.55,15.8,-0.25,-1.58,8064.23,12628.0913
300176.SZ,20150126,15.58,15.84,15.46,15.83,15.55,0.28,1.8,9118.65,14300.8592
300176.SZ,20150127,15.81,16.14,15.71,15.91,15.83,0.08,0.51,11271.78,17969.6906
300176.SZ,20150128,15.91,16.27,15.79,16.12,15.91,0.21,1.32,8647.66,13911.9736
300176.SZ,20150129,15.91,16.07,15.72,15.98,16.12,-0.14,-0.87,5444.02,8676.3677
300176.SZ,20150130,15.9,15.91,15.11,15.2,15.98,-0.78,-4.88,9951.21,15432.7361
300176.SZ,20150202,15.01,15.39,15.0,15.37,15.2,0.17,1.12,6180.22,9423.9177
300176.SZ,20150203,15.4,15.91,15.28,15.85,15.37,0.48,3.12,10321.72,16169.659
300176.SZ,20150204,15.8,16.23,15.71,15.76,15.85,-0.09,-0.57,7488.5,11950.9825
300176.SZ,20150205,15.85,15.89,15.4,15.5,15.76,-0.26,-1.65,6381.35,10038.3164
300176.SZ,20150206,15.43,15.59,15.12,15.16,15.5,-0.34,-2.19,4925.28,7532.0788
300176.SZ,20150209,15.28,15.43,14.92,15.0,15.16,-0.16,-1.06,4074.65,6200.9931
300176.SZ,20150210,15.0,15.3,14.92,15.28,15.0,0.28,1.87,2852.43,4306.6775
300176.SZ,20150211,15.28,15.48,15.21,15.3,15.28,0.02,0.13,4174.4,6392.9612
300176.SZ,20150212,15.46,15.54,15.35,15.54,15.3,0.24,1.57,4128.36,6379.6596
300176.SZ,20150213,15.6,15.86,15.55,15.73,15.54,0.19,1.22,6457.44,10175.5732
300176.SZ,20150216,15.79,16.02,15.74,15.95,15.73,0.22,1.4,7458.88,11860.9718
300176.SZ,20150217,15.96,16.15,15.77,15.95,15.95,0.0,0.0,4976.54,7902.9049
300176.SZ,20150225,15.93,16.06,15.81,15.89,15.95,-0.06,-0.38,7166.08,11413.7396
300176.SZ,20150226,15.84,16.15,15.84,16.08,15.89,0.19,1.2,9313.79,14942.748
300176.SZ,20150227,16.08,16.3,16.02,16.27,16.08,0.19,1.18,8078.69,13088.5816
300176.SZ,20150302,16.37,16.7,16.29,16.63,16.27,0.36,2.21,14505.13,23958.4667
300176.SZ,20150303,16.63,16.72,16.42,16.47,16.63,-0.16,-0.96,11340.94,18767.4036
300176.SZ,20150304,16.49,16.85,16.42,16.72,16.47,0.25,1.52,12434.79,20686.4656
300176.SZ,20150305,16.69,16.79,16.5,16.63,16.72,-0.09,-0.54,7941.63,13186.1546
300176.SZ,20150306,16.77,16.87,16.41,16.48,16.63,-0.15,-0.9,10555.36,17527.2375
