ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300197.SZ,20150105,14.58,15.18,14.42,15.09,14.53,0.56,3.85,148736.18,221792.3567
300197.SZ,20150106,15.0,15.69,14.88,15.61,15.09,0.52,3.45,222528.76,342424.0164
300197.SZ,20150107,15.43,15.79,15.16,15.42,15.61,-0.19,-1.22,153724.74,236127.0729
300197.SZ,20150108,15.29,15.58,15.13,15.13,15.42,-0.29,-1.88,81237.65,124440.0682
300197.SZ,20150109,15.05,15.28,14.77,14.79,15.13,-0.34,-2.25,88554.27,133379.2813
300197.SZ,20150112,14.74,15.05,14.68,14.72,14.79,-0.07,-0.47,58132.53,86503.7363
300197.SZ,20150113,14.79,15.43,14.64,15.32,14.72,0.6,4.08,109652.73,165930.8847
300197.SZ,20150114,15.32,15.32,14.7,14.8,15.32,-0.52,-3.39,72021.15,108104.3524
300197.SZ,20150115,14.68,15.3,14.68,14.89,14.8,0.09,0.61,66497.67,99946.4827
300197.SZ,20150116,14.84,15.25,14.71,15.21,14.89,0.32,2.15,78329.08,117730.7496
300197.SZ,20150119,14.95,15.88,14.85,15.42,15.21,0.21,1.38,178977.8,276486.2443
300197.SZ,20150120,15.6,16.47,15.35,16.44,15.42,1.02,6.61,242145.07,385670.1628
300197.SZ,20150121,16.34,16.56,16.11,16.4,16.44,-0.04,-0.24,177848.83,289499.0402
300197.SZ,20150122,16.33,16.42,16.02,16.22,16.4,-0.18,-1.1,127461.53,206519.5393
300197.SZ,20150123,16.26,16.58,16.11,16.2,16.22,-0.02,-0.12,158335.9,259091.4561
300197.SZ,20150126,16.2,17.82,16.2,16.76,16.2,0.56,3.46,152438.3,259509.3325
300197.SZ,20150127,16.9,17.17,16.35,16.59,16.76,-0.17,-1.01,133179.54,222452.7488
300197.SZ,20150128,16.52,16.85,16.5,16.59,16.59,0.0,0.0,74586.75,124104.8647
300197.SZ,20150129,16.66,16.94,16.32,16.33,16.59,-0.26,-1.57,86735.61,144410.6453
300197.SZ,20150130,16.34,16.38,15.78,15.79,16.33,-0.54,-3.31,103249.25,165176.9694
300197.SZ,20150202,15.6,15.67,15.28,15.34,15.79,-0.45,-2.85,70395.46,108942.3604
300197.SZ,20150203,15.36,16.2,15.36,16.17,15.34,0.83,5.41,94857.54,149503.1448
300197.SZ,20150204,16.6,16.73,16.06,16.06,16.17,-0.11,-0.68,104348.27,171060.8952
300197.SZ,20150205,16.17,16.19,15.62,15.69,16.06,-0.37,-2.3,74040.0,117857.1009
300197.SZ,20150206,15.62,15.85,15.28,15.36,15.69,-0.33,-2.1,53121.92,82449.7308
300197.SZ,20150209,15.39,15.8,15.31,15.44,15.36,0.08,0.52,41930.36,65255.5352
300197.SZ,20150210,15.37,15.73,15.3,15.71,15.44,0.27,1.75,39412.5,61134.0567
300197.SZ,20150211,15.74,15.78,15.59,15.73,15.71,0.02,0.13,37748.12,59210.0191
300197.SZ,20150212,15.82,16.1,15.81,15.99,15.73,0.26,1.65,57880.72,92595.3176
300197.SZ,20150213,16.0,16.36,16.0,16.26,15.99,0.27,1.69,63793.75,103719.8691
300197.SZ,20150216,16.26,16.5,16.2,16.47,16.26,0.21,1.29,60687.45,99470.2092
300197.SZ,20150217,16.58,16.6,16.18,16.58,16.47,0.11,0.67,73687.71,121007.1686
300197.SZ,20150225,16.58,17.16,16.5,16.84,16.58,0.26,1.57,104086.72,175966.3931
300197.SZ,20150226,16.8,16.9,16.41,16.62,16.84,-0.22,-1.31,69165.33,114883.7054
300197.SZ,20150227,16.58,16.75,16.45,16.63,16.62,0.01,0.06,56760.68,94282.7478
300197.SZ,20150302,16.99,17.42,16.99,17.15,16.63,0.52,3.13,138194.59,237293.9783
300197.SZ,20150303,17.28,18.69,16.98,17.67,17.15,0.52,3.03,224573.78,398402.3322
300197.SZ,20150304,17.7,17.95,17.41,17.88,17.67,0.21,1.19,107088.14,189200.9042
300197.SZ,20150305,17.88,17.97,17.43,17.64,17.88,-0.24,-1.34,86293.4,152266.1819
300197.SZ,20150306,17.64,17.66,16.8,16.85,17.64,-0.79,-4.48,105514.2,180798.2777
300197.SZ,20150309,16.9,17.65,16.9,17.5,16.85,0.65,3.86,95954.54,167059.2089
300197.SZ,20150310,17.53,17.9,17.3,17.8,17.5,0.3,1.71,102238.14,180052.4315
300197.SZ,20150311,17.7,17.7,17.34,17.42,17.8,-0.38,-2.13,60574.52,105792.8801
300197.SZ,20150312,17.4,17.57,16.95,17.09,17.42,-0.33,-1.89,64102.57,110094.1367
300197.SZ,20150313,17.09,17.64,17.09,17.53,17.09,0.44,2.57,62279.76,108782.6675
300197.SZ,20150316,17.55,18.18,17.51,17.9,17.53,0.37,2.11,116726.74,207503.167
300197.SZ,20150317,17.9,18.26,17.56,17.77,17.9,-0.13,-0.73,123697.13,221917.1422
300197.SZ,20150318,17.97,18.23,17.83,18.17,17.77,0.4,2.25,111378.28,201462.5831
300197.SZ,20150319,18.17,19.68,18.17,18.86,18.17,0.69,3.8,207649.0,395393.0357
300197.SZ,20150320,18.7,18.99,18.46,18.76,18.86,-0.1,-0.53,137983.38,257878.7983
300197.SZ,20150323,18.77,19.68,18.6,19.61,18.76,0.85,4.53,183832.82,353385.0098
300197.SZ,20150324,19.8,20.4,18.75,20.4,19.61,0.79,4.03,256930.96,505078.6439
300197.SZ,20150325,20.5,20.5,19.67,19.84,20.4,-0.56,-2.75,239093.6,478446.9315
300197.SZ,20150326,19.48,19.52,18.81,18.98,19.84,-0.86,-4.33,183647.43,351854.9583
300197.SZ,20150327,18.99,20.28,18.99,20.0,18.98,1.02,5.37,166788.84,327661.669
300197.SZ,20150330,20.03,20.3,19.6,19.82,20.0,-0.18,-0.9,117939.29,234225.3172
300197.SZ,20150331,19.6,20.68,19.48,20.3,19.82,0.48,2.42,170539.27,343106.3006
300197.SZ,20150401,20.9,20.9,20.22,20.33,20.3,0.03,0.15,121794.13,249586.5636
300197.SZ,20150402,20.5,21.3,20.43,21.2,20.33,0.87,4.28,147411.0,308773.8672
300197.SZ,20150403,20.89,21.25,20.7,21.07,21.2,-0.13,-0.61,106647.66,223960.986
300197.SZ,20150407,21.0,22.2,20.92,21.95,21.07,0.88,4.18,158238.9,341452.4123
300197.SZ,20150408,22.1,22.58,20.91,21.4,21.95,-0.55,-2.51,139530.84,301516.6877
300197.SZ,20150409,21.12,21.39,19.71,20.77,21.4,-0.63,-2.94,129068.03,265277.2214
300197.SZ,20150410,20.8,21.5,20.5,21.06,20.77,0.29,1.4,95525.11,202132.5462
300197.SZ,20150413,21.17,22.17,21.17,21.4,21.06,0.34,1.61,103380.83,223203.0128
300197.SZ,20150414,21.39,21.39,20.71,20.75,21.4,-0.65,-3.04,99482.98,208336.5413
300197.SZ,20150415,20.77,20.98,20.02,20.12,20.75,-0.63,-3.04,91044.84,187367.8728
300197.SZ,20150416,20.12,21.39,20.09,21.1,20.12,0.98,4.87,108567.46,227566.2442
300197.SZ,20150417,21.58,22.18,21.2,21.77,21.1,0.67,3.18,140953.87,306973.5925
300197.SZ,20150420,21.63,23.95,21.21,23.55,21.77,1.78,8.18,215750.86,500757.3418
300197.SZ,20150421,23.43,24.62,23.02,24.26,23.55,0.71,3.01,132509.56,319441.0326
300197.SZ,20150422,24.81,25.86,23.8,23.95,24.26,-0.31,-1.28,159580.1,395148.6046
300197.SZ,20150423,23.7,24.58,23.6,24.19,23.95,0.24,1.0,103817.25,250101.6637
300197.SZ,20150424,23.98,24.49,23.5,24.1,24.19,-0.09,-0.37,93052.64,222580.4887
300197.SZ,20150427,24.09,25.0,23.92,24.0,24.1,-0.1,-0.41,101547.1,246806.2328
300197.SZ,20150428,23.98,24.08,22.65,22.73,24.0,-1.27,-5.29,96299.25,223950.4695
300197.SZ,20150429,22.72,23.36,22.72,23.16,22.73,0.43,1.89,59613.53,137562.818
300197.SZ,20150430,23.0,24.39,23.0,24.0,23.16,0.84,3.63,97958.48,233203.5329
300197.SZ,20150504,24.35,24.4,23.55,24.26,24.0,0.26,1.08,83081.0,200386.0077
300197.SZ,20150505,24.4,24.53,22.96,23.98,24.26,-0.28,-1.15,85321.84,201789.18
300197.SZ,20150506,23.93,25.11,23.9,24.16,23.98,0.18,0.75,123548.95,302707.9556
300197.SZ,20150507,23.86,24.39,21.74,21.75,24.16,-2.41,-9.98,187652.31,421412.9931
300197.SZ,20150508,22.1,22.94,21.78,22.94,21.75,1.19,5.47,102405.42,228154.5794
300197.SZ,20150511,22.96,24.0,22.8,23.74,22.94,0.8,3.49,98859.44,232146.518
300197.SZ,20150512,23.94,23.94,23.17,23.78,23.74,0.04,0.17,108958.23,256720.6951
300197.SZ,20150513,23.67,25.84,23.2,25.48,23.78,1.7,7.15,223612.21,554901.028
300197.SZ,20150514,25.11,26.6,25.01,25.1,25.48,-0.38,-1.49,141660.31,365218.1766
300197.SZ,20150515,25.4,27.61,24.95,27.61,25.1,2.51,10.0,168915.1,444355.2692
300197.SZ,20150518,28.88,30.37,28.0,30.37,27.61,2.76,10.0,238228.61,709528.4703
300197.SZ,20150519,30.7,32.66,29.0,30.39,30.27,0.12,0.4,176978.66,535868.3458
300197.SZ,20150520,30.3,31.6,29.38,29.88,30.39,-0.51,-1.68,145520.42,443789.6914
300197.SZ,20150521,29.9,32.87,29.9,32.87,29.88,2.99,10.01,215373.74,675467.3882
300197.SZ,20150609,36.12,36.12,32.0,33.8,32.87,0.93,2.83,216768.79,747877.8499
300197.SZ,20150610,32.9,34.74,32.1,33.56,33.8,-0.24,-0.71,160153.63,537197.7589
300197.SZ,20150611,33.29,35.3,33.21,33.9,33.56,0.34,1.01,131428.34,449424.794
300197.SZ,20150612,34.4,34.72,32.64,32.75,33.9,-1.15,-3.39,126438.1,421560.5632
300197.SZ,20150615,32.9,36.03,32.9,36.03,32.75,3.28,10.02,210692.03,750959.453
300197.SZ,20151109,21.62,21.62,21.62,21.62,24.02,-2.4,-9.99,11561.0,24994.882
300197.SZ,20151110,19.46,19.46,19.46,19.46,21.62,-2.16,-9.99,17888.0,34810.048
300197.SZ,20151111,17.51,21.4,17.51,20.44,19.46,0.98,5.04,972287.36,1792210.5364
300197.SZ,20151112,19.32,20.11,19.3,19.6,20.44,-0.84,-4.11,503704.95,990937.1162
300197.SZ,20151113,19.24,20.3,19.2,19.38,19.6,-0.22,-1.12,283787.18,559074.4348
300197.SZ,20151116,18.8,18.97,18.05,18.96,19.38,-0.42,-2.17,267243.23,497553.7013
300197.SZ,20151117,18.96,19.49,18.67,18.85,18.96,-0.11,-0.58,271052.16,518862.3119
300197.SZ,20151118,18.68,19.04,18.08,18.19,18.85,-0.66,-3.5,186231.93,345550.4815
300197.SZ,20151119,18.13,18.55,18.13,18.54,18.19,0.35,1.92,138367.28,254353.7014
300197.SZ,20151120,18.58,18.99,18.31,18.84,18.54,0.3,1.62,212832.53,398301.4046
300197.SZ,20151123,18.52,19.29,18.52,18.84,18.84,0.0,0.0,208860.98,395992.2096
300197.SZ,20151124,18.98,19.1,18.6,18.86,18.84,0.02,0.11,140172.78,263540.0586
300197.SZ,20151125,18.91,19.61,18.75,19.38,18.86,0.52,2.76,231703.61,447435.0915
300197.SZ,20151126,19.48,19.55,18.76,18.88,19.38,-0.5,-2.58,195467.45,372994.0654
300197.SZ,20151127,18.79,18.79,17.1,17.32,18.88,-1.56,-8.26,191294.01,345909.0205
300197.SZ,20151130,17.05,18.0,16.52,17.82,17.32,0.5,2.89,193791.31,338307.3582
300197.SZ,20151201,17.8,18.1,17.38,17.76,17.82,-0.06,-0.34,120985.85,214808.7447
300197.SZ,20151202,17.77,17.81,16.8,17.35,17.76,-0.41,-2.31,105956.69,183520.1361
300197.SZ,20151203,17.8,18.3,17.61,18.07,17.35,0.72,4.15,142633.35,256490.057
300197.SZ,20151204,18.0,18.16,17.62,17.77,18.07,-0.3,-1.66,97818.6,174817.6867
300197.SZ,20151207,17.95,17.96,17.55,17.71,17.77,-0.06,-0.34,98545.91,174277.9826
300197.SZ,20151208,17.65,17.86,17.0,17.06,17.71,-0.65,-3.67,117088.3,203856.9371
300197.SZ,20151209,17.11,17.45,16.68,16.69,17.06,-0.37,-2.17,114186.4,193989.7929
300197.SZ,20151210,16.63,16.87,16.38,16.44,16.69,-0.25,-1.5,112999.73,187220.632
300197.SZ,20151211,16.3,16.44,16.18,16.21,16.44,-0.23,-1.4,93669.75,152324.6178
300197.SZ,20151214,16.16,16.57,16.05,16.53,16.21,0.32,1.97,89069.41,145536.674
300197.SZ,20151215,16.59,16.78,16.46,16.55,16.53,0.02,0.12,106847.76,177185.8945
300197.SZ,20151216,16.62,16.76,16.5,16.64,16.55,0.09,0.54,107860.4,179211.3294
300197.SZ,20151217,17.58,17.97,17.34,17.9,16.64,1.26,7.57,347936.56,613547.5511
300197.SZ,20151218,17.58,17.82,17.38,17.46,17.9,-0.44,-2.46,161668.84,283407.3632
300197.SZ,20151221,17.43,17.43,17.02,17.28,17.46,-0.18,-1.03,112371.18,193542.3644
300197.SZ,20151222,17.43,17.66,17.27,17.45,17.28,0.17,0.98,110299.87,192580.7541
300197.SZ,20151223,17.47,17.54,17.01,17.08,17.45,-0.37,-2.12,117138.55,201695.0543
300197.SZ,20151224,17.2,17.2,16.61,16.89,17.08,-0.19,-1.11,85648.83,144182.4985
300197.SZ,20151225,16.9,17.16,16.83,16.99,16.89,0.1,0.59,73287.31,124301.4239
300197.SZ,20151228,17.01,17.5,17.01,17.14,16.99,0.15,0.88,141251.46,243693.8171
300197.SZ,20151229,17.24,17.29,16.77,17.11,17.14,-0.03,-0.18,86104.46,146503.3061
300197.SZ,20160107,16.59,16.59,15.4,15.4,17.11,-1.71,-9.99,60477.9,95495.6424
300197.SZ,20160108,15.8,16.01,14.01,14.56,15.4,-0.84,-5.45,146939.07,222017.2565
300197.SZ,20160111,14.1,14.38,13.1,13.1,14.56,-1.46,-10.03,124236.21,169010.1003
300197.SZ,20160112,13.1,13.28,12.1,12.91,13.1,-0.19,-1.45,122399.42,154791.8242
300197.SZ,20160113,13.1,13.56,12.7,12.73,12.91,-0.18,-1.39,137183.28,180713.8342
300197.SZ,20160114,12.11,13.22,12.11,13.14,12.73,0.41,3.22,109138.33,139860.4702
300197.SZ,20160115,13.12,13.2,12.2,12.36,13.14,-0.78,-5.94,105917.96,134734.8532
300197.SZ,20160118,12.2,12.8,12.08,12.5,12.36,0.14,1.13,104733.41,130532.0559
300197.SZ,20160119,12.41,12.94,12.29,12.88,12.5,0.38,3.04,115109.53,145494.4164
300197.SZ,20160120,12.78,12.99,12.55,12.73,12.88,-0.15,-1.16,107297.09,137368.8668
300197.SZ,20160121,12.5,12.87,12.03,12.03,12.73,-0.7,-5.5,89131.73,111509.5423
300197.SZ,20160122,12.22,12.32,11.62,12.15,12.03,0.12,1.0,85222.39,102767.4443
300197.SZ,20160125,12.4,12.48,12.15,12.25,12.15,0.1,0.82,57268.33,70444.8655
300197.SZ,20160126,12.15,12.17,11.03,11.03,12.25,-1.22,-9.96,101260.23,116839.534
300197.SZ,20160127,10.7,11.18,10.32,11.15,11.03,0.12,1.09,129241.83,139173.5421
300197.SZ,20160128,10.95,11.15,10.3,10.3,11.15,-0.85,-7.62,80684.53,87024.4071
300197.SZ,20160129,10.45,11.28,10.38,11.26,10.3,0.96,9.32,118610.81,128584.1003
300197.SZ,20160201,11.21,12.38,10.95,11.81,11.26,0.55,4.88,151960.64,175747.7741
300197.SZ,20160202,11.68,12.32,11.65,12.1,11.81,0.29,2.46,99011.11,120202.4869
300197.SZ,20160203,11.89,12.27,11.71,12.1,12.1,0.0,0.0,73041.67,87605.7285
300197.SZ,20160204,12.21,12.78,12.18,12.41,12.1,0.31,2.56,89961.55,112640.216
300197.SZ,20160205,12.59,13.1,12.34,12.68,12.41,0.27,2.18,95416.09,120348.253
300197.SZ,20160215,11.99,12.93,11.95,12.9,12.68,0.22,1.74,89263.88,111493.3332
300197.SZ,20160216,12.99,14.11,12.98,13.88,12.9,0.98,7.6,152352.86,210138.9793
300197.SZ,20160217,13.99,14.15,13.5,13.95,13.88,0.07,0.5,110592.98,153126.9017
300197.SZ,20160218,14.1,14.43,13.62,14.36,13.95,0.41,2.94,186523.53,261482.8378
300197.SZ,20160219,14.2,14.27,13.93,14.04,14.36,-0.32,-2.23,105603.67,148672.2515
300197.SZ,20160222,14.21,14.25,13.88,14.03,14.04,-0.01,-0.07,128523.47,180061.2833
300197.SZ,20160223,14.1,14.48,13.83,14.2,14.03,0.17,1.21,149256.06,211189.9545
300197.SZ,20160229,13.22,13.37,12.78,12.78,14.2,-1.42,-10.0,77677.05,100024.4216
300197.SZ,20160301,12.56,12.56,11.5,12.23,12.78,-0.55,-4.3,124777.29,150073.6892
300197.SZ,20160302,12.1,13.2,12.0,13.08,12.23,0.85,6.95,139442.58,175817.1149
300197.SZ,20160303,13.14,14.14,13.0,13.47,13.08,0.39,2.98,174795.99,239877.5814
300197.SZ,20160304,13.63,13.67,12.6,12.74,13.47,-0.73,-5.42,94112.4,123598.4061
300197.SZ,20160307,12.98,13.89,12.98,13.41,12.74,0.67,5.26,105978.73,141723.0028
300197.SZ,20160308,13.39,13.39,12.53,13.31,13.41,-0.1,-0.75,75024.55,98010.7963
300197.SZ,20160309,12.96,13.25,12.8,12.9,13.31,-0.41,-3.08,55364.0,72146.1877
300197.SZ,20160310,13.0,13.35,12.75,12.87,12.9,-0.03,-0.23,60072.02,78679.4626
300197.SZ,20160311,12.6,12.76,12.46,12.49,12.87,-0.38,-2.95,46143.69,58121.9549
300197.SZ,20160314,12.62,13.13,12.62,12.99,12.49,0.5,4.0,67596.73,87618.1551
300197.SZ,20160315,12.89,13.22,12.71,12.77,12.99,-0.22,-1.69,57524.59,74519.6069
300197.SZ,20160316,12.98,13.1,12.35,12.53,12.77,-0.24,-1.88,54048.74,68503.6603
300197.SZ,20160317,12.65,13.0,12.54,12.94,12.53,0.41,3.27,79538.86,102110.2
300197.SZ,20160318,13.27,13.77,13.27,13.58,12.94,0.64,4.95,141911.06,191697.5805
300197.SZ,20160321,13.77,14.13,13.6,13.92,13.58,0.34,2.5,159977.0,221572.9924
300197.SZ,20160322,13.77,14.3,13.61,14.2,13.92,0.28,2.01,153748.04,215174.7051
300197.SZ,20160323,14.01,14.15,13.8,14.01,14.2,-0.19,-1.34,120294.55,167682.8372
300197.SZ,20160324,13.9,14.14,13.6,13.65,14.01,-0.36,-2.57,114019.65,157493.9622
300197.SZ,20160325,13.73,13.77,13.47,13.7,13.65,0.05,0.37,61025.0,83194.2553
300197.SZ,20160328,13.76,13.94,13.52,13.66,13.7,-0.04,-0.29,67057.61,92403.6874
300197.SZ,20160329,13.55,13.67,13.1,13.35,13.66,-0.31,-2.27,64293.15,85830.7394
