ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300200.SZ,20150105,13.99,13.99,12.72,12.99,14.0,-1.01,-7.21,209551.47,276182.099
300200.SZ,20150106,12.01,12.73,12.01,12.49,12.99,-0.5,-3.85,159765.11,197931.8573
300200.SZ,20150107,12.5,12.76,12.02,12.51,12.49,0.02,0.16,122005.93,151373.4357
300200.SZ,20150108,12.34,12.6,12.21,12.27,12.51,-0.24,-1.92,70764.42,87542.4665
300200.SZ,20150109,12.21,12.37,11.92,11.97,12.27,-0.3,-2.45,81218.8,98527.3808
300200.SZ,20150112,11.7,11.98,11.61,11.77,11.97,-0.2,-1.67,46738.58,54996.5011
300200.SZ,20150113,11.81,12.07,11.77,12.04,11.77,0.27,2.29,57107.31,67921.2523
300200.SZ,20150114,12.1,12.1,11.66,11.75,12.04,-0.29,-2.41,45544.12,53783.1086
300200.SZ,20150115,11.75,12.07,11.73,11.94,11.75,0.19,1.62,59726.98,71127.3166
300200.SZ,20150116,11.83,12.23,11.74,12.09,11.94,0.15,1.26,92274.82,110877.7951
300200.SZ,20150119,11.7,12.05,11.26,11.36,12.09,-0.73,-6.04,85244.51,99526.6366
300200.SZ,20150120,11.35,11.84,11.31,11.81,11.36,0.45,3.96,73510.1,86006.4156
300200.SZ,20150121,11.85,12.12,11.81,12.1,11.81,0.29,2.46,130541.84,156786.1139
300200.SZ,20150122,12.02,12.4,11.95,12.35,12.1,0.25,2.07,143253.77,174418.5201
300200.SZ,20150123,12.39,12.43,12.06,12.09,12.35,-0.26,-2.11,88245.55,107386.2906
300200.SZ,20150126,12.08,12.35,12.02,12.35,12.09,0.26,2.15,88753.05,108595.4871
300200.SZ,20150127,12.41,12.84,12.32,12.73,12.35,0.38,3.08,181360.93,228949.3056
300200.SZ,20150128,12.68,12.8,12.45,12.8,12.73,0.07,0.55,115784.83,146145.1152
300200.SZ,20150129,12.68,12.75,12.37,12.42,12.8,-0.38,-2.97,74235.29,93266.5569
300200.SZ,20150130,12.46,12.55,12.02,12.04,12.42,-0.38,-3.06,60237.76,73804.7028
300200.SZ,20150202,11.82,12.15,11.79,12.04,12.04,0.0,0.0,46367.26,55688.0279
300200.SZ,20150203,12.05,12.3,12.05,12.19,12.04,0.15,1.25,39483.19,48113.3364
300200.SZ,20150204,12.22,12.69,12.19,12.48,12.19,0.29,2.38,83725.82,103910.6915
300200.SZ,20150205,12.45,12.62,12.28,12.3,12.48,-0.18,-1.44,74084.54,92162.6922
300200.SZ,20150206,12.3,12.44,12.02,12.07,12.3,-0.23,-1.87,50128.79,61091.6996
300200.SZ,20150209,12.08,12.18,11.88,11.9,12.07,-0.17,-1.41,29187.43,35152.2753
300200.SZ,20150210,11.93,12.39,11.93,12.39,11.9,0.49,4.12,48755.04,59409.1742
300200.SZ,20150211,12.38,12.38,12.14,12.26,12.39,-0.13,-1.05,53059.5,64846.1751
300200.SZ,20150212,12.25,12.54,12.21,12.44,12.26,0.18,1.47,81893.15,101675.9708
300200.SZ,20150213,12.41,12.6,12.36,12.56,12.44,0.12,0.96,82469.51,103264.2701
300200.SZ,20150216,12.56,12.77,12.48,12.72,12.56,0.16,1.27,76419.77,96777.9349
300200.SZ,20150217,12.82,12.82,12.5,12.63,12.72,-0.09,-0.71,47950.39,60459.2061
300200.SZ,20150225,12.63,12.75,12.4,12.61,12.63,-0.02,-0.16,57888.28,72810.6642
300200.SZ,20150226,12.55,12.87,12.54,12.74,12.61,0.13,1.03,67943.12,86349.6351
