ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300255.SZ,20150105,35.19,35.34,33.2,33.2,35.35,-2.15,-6.08,27199.3,92101.3875
300255.SZ,20150106,33.18,34.85,32.3,34.58,33.2,1.38,4.16,25135.39,84954.8291
300255.SZ,20150107,34.02,34.87,33.85,34.01,34.58,-0.57,-1.65,12500.53,42910.2512
300255.SZ,20150108,34.3,34.88,33.9,34.19,34.01,0.18,0.53,16660.62,57327.2101
300255.SZ,20150109,34.5,34.5,33.4,33.93,34.19,-0.26,-0.76,12839.87,43583.842
300255.SZ,20150112,33.5,33.62,31.6,32.5,33.93,-1.43,-4.21,20105.36,65339.7515
300255.SZ,20150113,32.17,34.0,32.17,33.75,32.5,1.25,3.85,15395.79,51046.004
300255.SZ,20150114,33.75,33.75,33.02,33.25,33.75,-0.5,-1.48,9093.09,30301.8501
300255.SZ,20150115,33.02,33.49,32.66,33.02,33.25,-0.23,-0.69,8020.54,26621.3669
300255.SZ,20150116,33.0,34.0,32.66,33.08,33.02,0.06,0.18,10992.44,36549.6505
300255.SZ,20150119,32.78,33.78,31.89,32.9,33.08,-0.18,-0.54,17729.83,58201.7047
300255.SZ,20150120,32.9,34.9,32.61,34.58,32.9,1.68,5.11,26551.66,90621.779
300255.SZ,20150121,34.66,35.25,34.1,34.7,34.58,0.12,0.35,28866.06,100000.1396
300255.SZ,20150122,35.3,35.84,34.8,35.56,34.7,0.86,2.48,33586.96,118321.9962
300255.SZ,20150123,35.35,35.57,34.7,34.78,35.56,-0.78,-2.19,19923.53,69584.218
300255.SZ,20150126,34.5,36.99,34.37,36.27,34.78,1.49,4.28,38010.92,136771.6896
300255.SZ,20150127,36.3,37.4,35.6,37.18,36.27,0.91,2.51,34582.73,127011.5633
300255.SZ,20150128,37.3,37.96,36.17,36.8,37.18,-0.38,-1.02,35391.52,131113.1104
300255.SZ,20150129,36.7,36.78,35.8,35.93,36.8,-0.87,-2.36,16468.16,59560.3387
300255.SZ,20150130,35.97,36.45,35.51,35.72,35.93,-0.21,-0.58,9270.86,33252.7131
300255.SZ,20150202,35.26,36.7,35.26,35.82,35.72,0.1,0.28,16134.15,58382.4742
300255.SZ,20150203,36.05,37.0,35.9,36.2,35.82,0.38,1.06,14669.49,53169.161
300255.SZ,20150204,36.48,36.87,35.0,36.0,36.2,-0.2,-0.55,24155.94,87232.953
300255.SZ,20150205,35.89,36.31,35.32,35.8,36.0,-0.2,-0.56,15063.21,54057.6975
300255.SZ,20150206,35.38,35.78,33.68,33.98,35.8,-1.82,-5.08,22382.64,77043.0305
300255.SZ,20150209,34.01,34.25,33.51,33.7,33.98,-0.28,-0.82,16084.77,54486.4177
300255.SZ,20150210,33.9,34.04,32.6,33.5,33.7,-0.2,-0.59,16496.24,55127.7996
300255.SZ,20150211,35.0,35.4,33.3,34.7,33.5,1.2,3.58,53564.7,185473.4162
300255.SZ,20150212,34.67,34.9,33.88,34.3,34.7,-0.4,-1.15,28262.56,96666.5098
300255.SZ,20150213,34.52,34.56,34.12,34.25,34.3,-0.05,-0.15,30039.37,103089.8509
300255.SZ,20150216,34.2,35.99,33.98,34.66,34.25,0.41,1.2,42663.84,148124.2459
300255.SZ,20150217,34.71,34.98,34.38,34.51,34.66,-0.15,-0.43,17907.61,61972.5011
300255.SZ,20150225,34.6,34.8,34.0,34.14,34.51,-0.37,-1.07,17125.98,58674.3415
300255.SZ,20150226,34.15,34.37,33.39,33.96,34.14,-0.18,-0.53,32478.14,109497.5474
300255.SZ,20150227,33.9,34.5,33.38,34.42,33.96,0.46,1.35,28459.74,96837.5497
300255.SZ,20150302,34.7,36.08,34.08,35.4,34.42,0.98,2.85,42850.15,150669.1162
300255.SZ,20150303,35.22,36.2,35.22,35.5,35.4,0.1,0.28,34877.31,124698.9819
300255.SZ,20150304,35.51,37.71,35.5,37.5,35.5,2.0,5.63,73375.65,269142.1797
300255.SZ,20150305,37.18,38.86,37.0,38.1,37.5,0.6,1.6,64087.88,244197.0775
300255.SZ,20150306,38.1,38.44,36.73,37.0,38.1,-1.1,-2.89,33525.93,124809.4876
300255.SZ,20150309,36.85,37.47,36.23,36.93,37.0,-0.07,-0.19,27883.01,102580.9478
300255.SZ,20150310,36.9,38.2,36.44,38.0,36.93,1.07,2.9,37167.28,139839.4751
300255.SZ,20150311,38.0,38.26,37.42,37.99,38.0,-0.01,-0.03,18762.89,71008.5269
300255.SZ,20150312,37.83,38.16,37.0,37.98,37.99,-0.01,-0.03,33644.66,127256.1503
300255.SZ,20150313,38.1,38.14,37.52,38.0,37.98,0.02,0.05,19520.52,73926.2044
300255.SZ,20150316,37.98,39.38,37.98,39.1,38.0,1.1,2.89,31388.42,122079.8902
300255.SZ,20150317,39.17,40.09,38.81,40.01,39.1,0.91,2.33,28551.16,113250.4806
300255.SZ,20150318,40.98,40.98,39.61,40.02,40.01,0.01,0.03,29971.9,119884.9216
300255.SZ,20150319,40.0,40.6,39.4,40.5,40.02,0.48,1.2,34300.54,136789.1889
300255.SZ,20150320,40.5,41.54,40.5,41.47,40.5,0.97,2.4,35519.64,145770.3732
300255.SZ,20150323,41.77,45.62,41.75,44.94,41.47,3.47,8.37,69634.75,302951.3752
300255.SZ,20150324,44.38,44.88,41.0,43.54,44.94,-1.4,-3.12,90247.24,392678.2808
300255.SZ,20150325,42.86,45.59,42.65,44.76,43.54,1.22,2.8,79113.65,348605.2058
300255.SZ,20150326,44.45,44.45,41.89,42.56,44.76,-2.2,-4.92,53787.07,231582.793
300255.SZ,20150327,42.52,43.79,41.98,43.05,42.56,0.49,1.15,39543.74,169464.9085
300255.SZ,20150330,43.2,45.49,43.2,44.01,43.05,0.96,2.23,47701.19,212104.9418
300255.SZ,20150331,44.01,45.5,44.0,45.39,44.01,1.38,3.14,54616.1,245933.646
300255.SZ,20150401,45.39,49.93,45.21,49.26,45.39,3.87,8.53,91620.12,444398.8259
300255.SZ,20150402,49.2,51.99,49.01,49.55,49.26,0.29,0.59,70839.22,355058.9091
300255.SZ,20150403,49.45,51.65,48.53,50.92,49.55,1.37,2.76,68553.62,345882.9392
300255.SZ,20150407,51.0,54.36,50.66,53.91,50.92,2.99,5.87,66515.85,349153.5257
300255.SZ,20150408,54.08,56.77,52.0,54.46,53.91,0.55,1.02,73547.71,398807.0547
300255.SZ,20150409,54.1,54.5,49.51,54.49,54.46,0.03,0.06,72867.66,382401.4182
300255.SZ,20150410,53.58,59.57,53.58,56.96,54.49,2.47,4.53,78513.71,448368.2107
300255.SZ,20150413,56.15,62.66,56.15,62.66,56.96,5.7,10.01,103813.35,628453.3124
300255.SZ,20150414,63.0,65.16,59.5,61.06,62.66,-1.6,-2.55,75064.06,465003.2468
300255.SZ,20150415,60.5,60.65,54.95,54.95,61.06,-6.11,-10.01,62806.37,359883.4251
300255.SZ,20150416,52.98,57.53,51.51,53.9,54.95,-1.05,-1.91,59962.82,326653.0686
300255.SZ,20150417,54.2,54.45,51.5,52.83,53.9,-1.07,-1.99,57052.11,301218.8921
300255.SZ,20150420,52.0,52.3,50.0,51.76,52.83,-1.07,-2.03,60066.86,306681.2019
300255.SZ,20150421,51.05,55.01,51.05,54.7,51.76,2.94,5.68,47838.71,255112.2321
300255.SZ,20150422,54.6,57.37,54.05,55.3,54.7,0.6,1.1,51213.68,284683.137
300255.SZ,20150423,54.38,58.3,53.57,58.0,55.3,2.7,4.88,89633.97,500043.8066
300255.SZ,20150424,52.3,56.73,52.3,54.84,58.0,-3.16,-5.45,81176.09,441419.3107
300255.SZ,20150427,54.6,55.89,52.85,53.0,54.84,-1.84,-3.36,59044.37,319656.6509
300255.SZ,20150428,52.3,52.98,48.8,50.45,53.0,-2.55,-4.81,72458.71,364427.1603
300255.SZ,20150429,50.0,53.25,49.5,51.99,50.45,1.54,3.05,66557.84,340474.176
300255.SZ,20150430,21.0,21.5,19.8,21.29,20.76,0.53,2.55,185898.5,384296.1491
300255.SZ,20150504,21.05,22.18,20.88,21.26,21.29,-0.03,-0.14,163211.38,351108.7777
300255.SZ,20150505,21.01,21.36,19.36,19.72,21.26,-1.54,-7.24,111348.58,228174.841
300255.SZ,20150506,20.03,20.45,18.5,18.8,19.72,-0.92,-4.67,102638.36,201952.3393
300255.SZ,20150507,18.4,19.44,18.3,19.15,18.8,0.35,1.86,106806.18,202428.7611
300255.SZ,20150508,19.2,20.18,19.18,19.9,19.15,0.75,3.92,90714.92,179441.8652
300255.SZ,20150511,20.1,21.2,19.99,20.93,19.9,1.03,5.18,148267.21,307583.9117
300255.SZ,20150512,21.2,22.45,21.01,22.36,20.93,1.43,6.83,192867.49,418024.155
300255.SZ,20150513,21.6,23.18,21.31,22.0,22.36,-0.36,-1.61,158193.32,350211.1476
300255.SZ,20150514,22.0,22.34,21.25,21.33,22.0,-0.67,-3.05,144749.56,314809.9601
300255.SZ,20150515,20.98,21.29,20.01,21.0,21.33,-0.33,-1.55,136035.83,280036.5063
300255.SZ,20150518,20.95,22.1,20.66,21.76,21.0,0.76,3.62,184529.38,395872.0413
300255.SZ,20150519,21.75,22.88,21.3,22.54,21.76,0.78,3.58,207072.16,455630.6748
300255.SZ,20150520,22.24,24.79,22.24,23.9,22.54,1.36,6.03,277914.32,670418.5527
300255.SZ,20150521,24.1,26.08,24.07,26.08,23.9,2.18,9.12,220095.1,556853.8956
300255.SZ,20150522,26.83,27.88,24.83,25.48,26.08,-0.6,-2.3,199716.08,517611.8745
300255.SZ,20150525,24.8,27.18,24.03,26.72,25.48,1.24,4.87,177375.19,459275.4055
300255.SZ,20150526,27.2,29.2,27.2,28.92,26.72,2.2,8.23,170873.72,484021.9126
300255.SZ,20150527,28.95,30.0,27.56,29.39,28.92,0.47,1.63,181945.54,524336.0464
300255.SZ,20150528,29.1,30.19,26.7,26.7,29.39,-2.69,-9.15,156697.69,449469.9569
300255.SZ,20150529,26.6,29.0,25.4,28.68,26.7,1.98,7.42,217190.5,603957.5216
300255.SZ,20150601,29.6,31.55,29.6,31.55,28.68,2.87,10.01,197940.46,612854.0638
300255.SZ,20150602,32.42,34.71,31.91,34.71,31.55,3.16,10.02,183580.32,627925.9999
300255.SZ,20150713,31.24,31.24,31.24,31.24,34.71,-3.47,-10.0,55077.0,172060.548
