ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300321.SZ,20150105,53.18,54.11,51.08,52.51,54.13,-1.62,-2.99,3082.37,16277.0747
300321.SZ,20150106,52.02,54.25,51.28,53.84,52.51,1.33,2.53,5308.47,28290.8367
300321.SZ,20150107,53.98,54.0,51.8,52.9,53.84,-0.94,-1.75,5062.27,26626.8131
300321.SZ,20150108,52.01,53.38,52.0,52.29,52.9,-0.61,-1.15,4044.11,21313.0189
300321.SZ,20150109,53.0,55.17,52.19,54.12,52.29,1.83,3.5,15697.91,84776.3064
300321.SZ,20150112,54.12,54.13,52.5,53.05,54.12,-1.07,-1.98,3250.01,17409.8344
300321.SZ,20150113,52.98,54.7,52.98,53.3,53.05,0.25,0.47,3228.01,17229.7273
300321.SZ,20150114,53.8,56.69,53.78,54.96,53.3,1.66,3.11,8402.66,46415.3038
300321.SZ,20150115,54.35,54.35,53.0,53.58,54.96,-1.38,-2.51,7169.49,38363.4556
300321.SZ,20150116,53.19,53.77,52.5,52.89,53.58,-0.69,-1.29,8424.3,44464.8836
300321.SZ,20150119,52.4,53.39,51.01,51.03,52.89,-1.86,-3.52,6005.01,31348.7602
300321.SZ,20150120,50.55,52.5,50.55,52.32,51.03,1.29,2.53,5023.57,26177.8865
300321.SZ,20150121,52.32,53.52,52.32,52.76,52.32,0.44,0.84,6424.13,33964.4535
300321.SZ,20150122,53.09,53.7,52.67,53.57,52.76,0.81,1.54,5812.79,30882.1821
300321.SZ,20150123,53.05,58.93,53.05,58.93,53.57,5.36,10.01,20717.78,116776.2351
300321.SZ,20150126,59.0,59.0,56.69,58.6,58.93,-0.33,-0.56,13923.23,80243.2151
300321.SZ,20150127,58.0,58.4,56.5,57.5,58.6,-1.1,-1.88,7086.96,40675.8893
300321.SZ,20150128,57.37,60.73,56.92,59.0,57.5,1.5,2.61,10367.68,61177.626
300321.SZ,20150129,58.87,58.87,57.06,57.3,59.0,-1.7,-2.88,5462.25,31413.2837
300321.SZ,20150130,57.6,57.88,55.0,55.01,57.3,-2.29,-4.0,4943.03,27659.3733
300321.SZ,20150202,54.3,57.95,53.05,57.08,55.01,2.07,3.76,8209.24,46032.906
300321.SZ,20150203,56.66,58.97,56.66,58.38,57.08,1.3,2.28,7456.39,43321.5039
300321.SZ,20150204,58.38,58.56,57.38,58.14,58.38,-0.24,-0.41,5419.52,31393.6202
300321.SZ,20150205,57.72,59.95,57.72,59.25,58.14,1.11,1.91,6945.73,41076.5362
300321.SZ,20150206,58.8,59.47,57.2,57.3,59.25,-1.95,-3.29,4529.11,26324.3042
300321.SZ,20150209,56.89,58.72,56.6,57.69,57.3,0.39,0.68,3295.05,18936.0873
300321.SZ,20150210,57.69,58.25,56.81,57.65,57.69,-0.04,-0.07,2565.51,14683.4807
300321.SZ,20150211,58.0,58.37,57.23,58.12,57.65,0.47,0.82,3244.21,18807.1351
300321.SZ,20150212,58.3,58.48,57.8,57.82,58.12,-0.3,-0.52,3354.95,19484.4969
300321.SZ,20150213,57.28,58.66,57.28,58.1,57.82,0.28,0.48,4431.18,25788.0699
300321.SZ,20150216,57.18,59.8,57.18,58.4,58.1,0.3,0.52,4680.24,27493.1948
300321.SZ,20150217,58.5,62.38,58.02,61.2,58.4,2.8,4.79,10329.42,61992.2937
300321.SZ,20150225,60.5,61.0,58.5,58.77,61.2,-2.43,-3.97,5501.72,32807.5792
300321.SZ,20150226,58.4,59.38,58.11,58.7,58.77,-0.07,-0.12,3804.49,22279.5747
