ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300332.SZ,20150105,12.94,13.54,12.7,13.5,13.09,0.41,3.13,157627.34,207696.8347
300332.SZ,20150106,13.2,14.02,12.99,13.88,13.5,0.38,2.81,145973.63,197401.4633
300332.SZ,20150107,13.79,14.26,13.72,14.0,13.88,0.12,0.86,134989.91,189459.9282
300332.SZ,20150108,14.04,14.25,13.81,13.91,14.0,-0.09,-0.64,92556.6,130101.6147
300332.SZ,20150109,13.86,14.17,13.78,13.8,13.91,-0.11,-0.79,81946.52,114636.0637
300332.SZ,20150112,13.68,13.82,13.22,13.7,13.8,-0.1,-0.72,88817.43,120251.3122
300332.SZ,20150113,13.85,14.1,13.69,14.08,13.7,0.38,2.77,114393.12,159259.827
300332.SZ,20150114,14.09,14.15,13.88,13.98,14.08,-0.1,-0.71,65931.7,92361.7965
300332.SZ,20150115,13.98,14.42,13.92,14.2,13.98,0.22,1.57,92417.66,131830.1603
300332.SZ,20150116,14.19,14.39,14.04,14.26,14.2,0.06,0.42,89905.48,127817.0191
300332.SZ,20150119,14.0,14.6,13.5,13.75,14.26,-0.51,-3.58,118603.94,168095.0279
300332.SZ,20150120,14.3,14.42,13.91,14.42,13.75,0.67,4.87,127747.81,181689.9278
300332.SZ,20150121,14.44,14.75,14.36,14.64,14.42,0.22,1.53,195610.12,284778.3969
300332.SZ,20150122,14.66,15.17,14.37,15.07,14.64,0.43,2.94,219507.65,324542.0225
300332.SZ,20150123,15.08,15.08,14.72,14.9,15.07,-0.17,-1.13,112060.9,166755.401
300332.SZ,20150126,14.83,15.33,14.83,15.0,14.9,0.1,0.67,90114.26,135919.7282
300332.SZ,20150127,15.01,15.26,14.72,14.95,15.0,-0.05,-0.33,99843.85,149757.5234
300332.SZ,20150128,14.82,14.89,14.51,14.51,14.95,-0.44,-2.94,109180.15,160510.5348
300332.SZ,20150129,14.43,14.76,14.33,14.51,14.51,0.0,0.0,99716.78,145210.6033
300332.SZ,20150130,14.63,14.94,14.52,14.6,14.51,0.09,0.62,93784.89,138136.3567
300332.SZ,20150202,14.45,14.86,14.28,14.73,14.6,0.13,0.89,77943.15,114040.3607
300332.SZ,20150203,14.73,15.15,14.73,14.93,14.73,0.2,1.36,86157.26,128909.5039
300332.SZ,20150204,14.98,15.07,14.87,14.94,14.93,0.01,0.07,62537.94,93506.9895
300332.SZ,20150205,14.98,15.02,14.6,14.6,14.94,-0.34,-2.28,82522.85,121911.4524
300332.SZ,20150206,14.64,14.65,14.0,14.2,14.6,-0.4,-2.74,111877.31,159049.7412
300332.SZ,20150209,14.18,14.37,14.03,14.23,14.2,0.03,0.21,53442.88,76185.5137
300332.SZ,20150210,14.22,14.49,14.19,14.47,14.23,0.24,1.69,48034.22,68774.9187
300332.SZ,20150211,14.42,14.63,14.38,14.43,14.47,-0.04,-0.28,44638.99,64696.8402
300332.SZ,20150212,14.5,14.83,14.49,14.69,14.43,0.26,1.8,58953.17,86766.9046
300332.SZ,20150213,14.81,14.97,14.61,14.9,14.69,0.21,1.43,89404.31,132772.0116
300332.SZ,20150216,14.99,15.38,14.96,15.3,14.9,0.4,2.68,105603.93,161002.1187
300332.SZ,20150217,15.3,15.38,15.07,15.18,15.3,-0.12,-0.78,80557.77,122496.5494
300332.SZ,20150225,15.2,16.04,15.2,15.89,15.18,0.71,4.68,151816.53,239080.2746
300332.SZ,20150226,15.95,16.78,15.77,16.49,15.89,0.6,3.78,187215.14,307343.2224
300332.SZ,20150227,16.68,16.91,16.3,16.63,16.49,0.14,0.85,141706.81,235463.4933
300332.SZ,20150302,17.4,18.29,17.21,18.27,16.63,1.64,9.86,298009.63,534062.3584
300332.SZ,20150303,18.27,19.49,17.76,17.8,18.27,-0.47,-2.57,250353.9,463536.0207
300332.SZ,20150304,17.8,18.16,17.6,18.0,17.8,0.2,1.12,113392.12,202414.7506
300332.SZ,20150305,18.08,18.49,17.35,17.68,18.0,-0.32,-1.78,119097.84,211819.1287
300332.SZ,20150306,17.7,17.89,17.01,17.35,17.68,-0.33,-1.87,122734.81,212486.7063
300332.SZ,20150309,17.3,17.87,17.22,17.6,17.35,0.25,1.44,78404.92,138145.2989
300332.SZ,20150310,17.55,18.08,17.46,17.9,17.6,0.3,1.7,112401.66,200062.0884
300332.SZ,20150311,17.9,17.9,17.48,17.56,17.9,-0.34,-1.9,67970.17,119863.9436
300332.SZ,20150312,17.53,17.83,17.12,17.36,17.56,-0.2,-1.14,93057.51,162138.3397
300332.SZ,20150313,17.39,18.07,17.39,18.05,17.36,0.69,3.97,89019.69,158573.6267
300332.SZ,20150316,18.46,19.4,18.46,19.25,18.05,1.2,6.65,162925.13,310042.9066
300332.SZ,20150317,19.27,19.36,18.51,18.82,19.25,-0.43,-2.23,119755.6,225950.654
300332.SZ,20150318,18.82,19.17,18.6,19.03,18.82,0.21,1.12,98819.54,187275.8739
300332.SZ,20150319,19.0,19.0,18.61,18.8,19.03,-0.23,-1.21,74280.88,139142.0159
300332.SZ,20150320,18.84,19.8,18.77,19.17,18.8,0.37,1.97,123875.05,238672.0824
300332.SZ,20150323,19.1,20.27,18.96,20.02,19.17,0.85,4.43,155113.54,305217.3686
300332.SZ,20150324,19.95,20.1,18.98,19.65,20.02,-0.37,-1.85,113147.5,221805.8521
300332.SZ,20150325,19.73,21.62,19.51,21.19,19.65,1.54,7.84,212157.34,445207.8329
300332.SZ,20150326,20.55,22.28,20.0,21.25,21.19,0.06,0.28,285514.88,604940.2057
300332.SZ,20150327,21.16,22.07,20.7,21.93,21.25,0.68,3.2,142995.08,307543.1968
300332.SZ,20150330,22.15,24.12,21.47,22.07,21.93,0.14,0.64,203535.24,461700.8946
300332.SZ,20150331,22.4,23.4,21.61,23.16,22.07,1.09,4.94,174951.26,397882.4311
300332.SZ,20150401,23.15,24.23,22.89,24.2,23.16,1.04,4.49,149582.88,355982.7918
300332.SZ,20150402,24.0,25.8,23.6,25.35,24.2,1.15,4.75,156323.03,382018.5875
300332.SZ,20150403,25.47,27.89,25.01,27.89,25.35,2.54,10.02,310925.03,841334.3188
300332.SZ,20150407,28.62,30.14,27.77,28.9,27.89,1.01,3.62,266145.65,772857.3921
300332.SZ,20150408,28.61,28.62,26.52,27.91,28.9,-0.99,-3.43,234597.54,649888.9708
300332.SZ,20150417,25.2,28.5,25.13,25.42,27.91,-2.49,-8.92,369225.83,960261.4149
300332.SZ,20150420,24.78,25.0,23.48,23.9,25.42,-1.52,-5.98,189633.75,462369.5316
300332.SZ,20150421,23.88,26.12,23.68,25.83,23.9,1.93,8.08,169072.79,427898.7379
300332.SZ,20150422,25.87,27.1,25.87,26.25,25.83,0.42,1.63,146675.71,388525.4678
300332.SZ,20150423,26.0,27.0,25.38,25.83,26.25,-0.42,-1.6,162527.1,425702.4645
300332.SZ,20150424,25.81,28.33,25.8,28.18,25.83,2.35,9.1,229728.23,635628.0871
300332.SZ,20150427,28.5,29.99,27.44,29.35,28.18,1.17,4.15,149176.39,435931.2592
300332.SZ,20150428,29.35,29.48,26.88,27.37,29.35,-1.98,-6.75,112984.02,317156.5819
300332.SZ,20150429,26.7,28.62,26.7,28.0,27.37,0.63,2.3,64230.93,180546.7159
300332.SZ,20150430,28.11,29.2,28.0,28.74,28.0,0.74,2.64,92141.11,265070.6849
300332.SZ,20150504,28.75,31.53,27.6,30.56,28.74,1.82,6.33,129743.17,377173.438
300332.SZ,20150505,30.1,30.46,28.12,28.97,30.56,-1.59,-5.2,61593.5,180581.1178
300332.SZ,20150506,29.25,31.76,29.05,30.2,28.87,1.33,4.61,124466.26,382422.6406
300332.SZ,20150507,30.2,31.96,30.0,30.13,30.2,-0.07,-0.23,86505.64,267350.1425
300332.SZ,20150508,30.55,32.7,30.55,32.7,30.13,2.57,8.53,94333.5,299514.0175
300332.SZ,20150511,33.52,35.51,32.5,34.76,32.7,2.06,6.3,110400.42,372699.1961
300332.SZ,20150512,35.15,36.69,33.97,34.15,34.76,-0.61,-1.75,117718.22,412206.2834
300332.SZ,20150513,34.0,34.0,30.74,32.0,34.15,-2.15,-6.3,125393.58,407241.7612
300332.SZ,20150514,31.76,33.32,31.15,32.5,32.0,0.5,1.56,97631.26,314281.6051
300332.SZ,20150515,32.2,32.5,30.96,31.8,32.5,-0.7,-2.15,74417.11,236027.4298
