ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300333.SZ,20150105,26.48,26.48,24.9,25.33,26.3,-0.97,-3.69,27554.31,69832.8071
300333.SZ,20150106,25.3,26.8,24.98,26.77,25.33,1.44,5.69,41829.98,108429.3767
300333.SZ,20150107,26.48,26.67,25.71,26.35,26.77,-0.42,-1.57,26591.92,69454.1849
300333.SZ,20150108,26.2,27.13,26.0,26.58,26.35,0.23,0.87,36081.83,96355.76
300333.SZ,20150109,26.5,27.3,26.18,26.27,26.58,-0.31,-1.17,30306.37,80959.1211
300333.SZ,20150112,26.01,26.29,24.9,24.99,26.27,-1.28,-4.87,31123.02,78956.6793
300333.SZ,20150113,25.0,26.64,24.5,26.33,24.99,1.34,5.36,38002.28,97355.1038
300333.SZ,20150114,26.3,26.35,25.71,25.81,26.33,-0.52,-1.97,22246.19,57647.3804
300333.SZ,20150115,25.97,26.97,25.77,26.3,25.81,0.49,1.9,27552.98,72934.9898
300333.SZ,20150116,26.24,28.3,26.23,27.8,26.3,1.5,5.7,45067.52,123707.021
300333.SZ,20150119,27.1,29.6,26.93,28.56,27.8,0.76,2.73,70354.07,201906.1101
300333.SZ,20150120,28.56,31.12,28.56,31.09,28.56,2.53,8.86,58692.44,175642.1961
300333.SZ,20150121,30.8,31.58,30.15,31.03,31.09,-0.06,-0.19,48899.61,151526.6079
300333.SZ,20150122,30.88,31.99,30.5,31.37,31.03,0.34,1.1,29762.59,93921.3094
300333.SZ,20150123,31.44,31.85,30.3,30.62,31.37,-0.75,-2.39,28986.69,89817.0613
300333.SZ,20150126,30.98,31.27,30.7,30.77,30.62,0.15,0.49,22754.93,70414.4164
300333.SZ,20150127,30.49,32.53,30.48,32.3,30.77,1.53,4.97,31411.69,99878.0114
300333.SZ,20150128,32.4,33.98,32.1,32.51,32.3,0.21,0.65,35130.36,115901.025
300333.SZ,20150129,32.2,33.17,31.98,32.5,32.51,-0.01,-0.03,20325.81,66248.8887
300333.SZ,20150130,32.3,32.3,29.25,29.36,32.5,-3.14,-9.66,53397.33,161499.9952
300333.SZ,20150202,29.01,30.7,28.66,30.67,29.36,1.31,4.46,23616.2,71060.6151
300333.SZ,20150203,30.72,33.0,30.38,32.83,30.67,2.16,7.04,24561.15,79212.7719
300333.SZ,20150204,32.65,33.8,32.5,32.8,32.83,-0.03,-0.09,20848.85,69311.3757
300333.SZ,20150205,32.9,35.0,32.5,34.9,32.8,2.1,6.4,29882.36,102019.653
300333.SZ,20150206,34.8,35.69,33.88,34.47,34.9,-0.43,-1.23,27677.22,95644.9377
300333.SZ,20150209,34.0,35.09,32.52,32.9,34.47,-1.57,-4.55,15624.36,53219.7128
