ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300334.SZ,20150105,20.63,20.63,19.31,19.81,20.44,-0.63,-3.08,51255.19,101264.6392
300334.SZ,20150106,20.12,21.18,19.82,21.1,19.81,1.29,6.51,61810.32,126446.838
300334.SZ,20150107,21.04,21.07,20.57,20.77,21.1,-0.33,-1.56,35519.96,73833.1016
300334.SZ,20150108,20.81,21.29,20.5,20.98,20.77,0.21,1.01,40921.79,85883.7276
300334.SZ,20150109,20.5,21.33,20.5,20.85,20.98,-0.13,-0.62,38620.94,81499.2583
300334.SZ,20150112,20.79,21.25,20.31,21.08,20.85,0.23,1.1,36745.48,76931.587
300334.SZ,20150113,21.03,21.53,20.69,21.29,21.08,0.21,1.0,29185.5,61681.8855
300334.SZ,20150114,21.13,21.59,21.01,21.59,21.29,0.3,1.41,40011.83,85622.5325
300334.SZ,20150115,21.7,22.2,21.23,21.33,21.59,-0.26,-1.2,33398.85,72499.4378
300334.SZ,20150116,21.05,21.59,21.05,21.55,21.33,0.22,1.03,28487.03,60971.3431
300334.SZ,20150119,21.0,21.88,20.7,21.25,21.55,-0.3,-1.39,37664.84,80064.2402
300334.SZ,20150120,21.38,21.93,21.11,21.89,21.25,0.64,3.01,36889.62,80031.3536
300334.SZ,20150121,21.98,22.5,21.98,22.14,21.89,0.25,1.14,41311.34,91764.8811
300334.SZ,20150122,22.08,22.7,21.96,22.7,22.14,0.56,2.53,49047.79,109388.8797
300334.SZ,20150123,22.75,22.79,22.11,22.3,22.7,-0.4,-1.76,38992.65,87515.4628
300334.SZ,20150126,22.3,22.88,22.26,22.83,22.3,0.53,2.38,44645.61,101240.612
300334.SZ,20150127,22.99,23.3,22.45,22.79,22.83,-0.04,-0.18,37441.58,85690.2379
300334.SZ,20150128,22.7,22.9,22.4,22.43,22.79,-0.36,-1.58,23159.76,52258.4846
300334.SZ,20150129,22.3,22.48,21.95,22.07,22.43,-0.36,-1.61,20400.7,45269.1446
300334.SZ,20150130,22.21,22.8,21.99,21.99,22.07,-0.08,-0.36,34833.56,77858.6856
300334.SZ,20150202,21.6,21.99,21.03,21.56,21.99,-0.43,-1.96,35993.01,77342.7929
300334.SZ,20150203,21.61,22.19,21.22,22.0,21.56,0.44,2.04,33818.42,74069.2514
300334.SZ,20150204,22.05,22.08,21.31,21.32,22.0,-0.68,-3.09,25793.59,56091.4741
300334.SZ,20150205,21.33,21.75,21.25,21.53,21.32,0.21,0.99,28382.91,61014.966
300334.SZ,20150206,21.31,21.49,20.59,20.77,21.53,-0.76,-3.53,22393.9,47066.387
300334.SZ,20150209,20.69,21.05,20.47,20.93,20.77,0.16,0.77,26107.25,54187.0948
300334.SZ,20150210,20.93,21.13,20.67,21.13,20.93,0.2,0.96,13885.86,29144.4628
300334.SZ,20150211,21.14,21.45,21.13,21.4,21.13,0.27,1.28,12421.12,26544.9525
300334.SZ,20150212,21.78,22.12,21.63,21.64,21.4,0.24,1.12,17676.1,38673.2592
300334.SZ,20150213,21.97,22.2,21.55,22.05,21.64,0.41,1.89,38048.3,83476.7762
300334.SZ,20150216,22.12,22.55,22.05,22.42,22.05,0.37,1.68,37532.31,83884.9055
300334.SZ,20150217,22.5,22.5,22.01,22.4,22.42,-0.02,-0.09,26328.85,58498.2751
300334.SZ,20150225,22.36,23.45,22.36,23.27,22.4,0.87,3.88,74864.55,173582.4499
300334.SZ,20150226,23.3,23.63,22.97,23.28,23.27,0.01,0.04,43481.39,101291.3389
300334.SZ,20150227,23.28,23.67,23.23,23.41,23.28,0.13,0.56,36172.59,84575.8724
300334.SZ,20150302,24.7,25.25,24.06,24.33,23.41,0.92,3.93,93626.96,230554.1937
300334.SZ,20150303,24.69,25.46,24.01,24.35,24.33,0.02,0.08,97637.9,243079.4562
300334.SZ,20150304,24.4,24.45,23.6,24.2,24.35,-0.15,-0.62,56060.13,134195.2788
300334.SZ,20150305,24.2,25.6,24.05,24.6,24.2,0.4,1.65,57476.57,142849.9537
300334.SZ,20150306,24.6,24.6,23.22,23.42,24.6,-1.18,-4.8,49082.78,116668.4102
300334.SZ,20150309,23.46,23.98,23.46,23.82,23.42,0.4,1.71,29200.7,69259.7958
300334.SZ,20150310,23.82,23.95,23.6,23.75,23.82,-0.07,-0.29,34368.02,81780.9102
300334.SZ,20150311,23.7,24.26,23.19,24.16,23.75,0.41,1.73,41329.55,98626.0641
300334.SZ,20150312,24.25,24.34,23.5,23.76,24.16,-0.4,-1.66,29982.1,71620.6003
300334.SZ,20150313,23.95,24.05,23.46,23.95,23.76,0.19,0.8,25647.79,61036.2755
300334.SZ,20150316,24.18,24.98,23.95,24.74,23.95,0.79,3.3,54786.12,134893.2993
300334.SZ,20150317,24.92,25.16,24.41,24.99,24.74,0.25,1.01,51234.28,127358.5964
300334.SZ,20150318,25.0,27.49,24.64,27.49,24.99,2.5,10.0,81346.74,214352.8976
300334.SZ,20150319,28.37,28.37,27.16,27.86,27.49,0.37,1.35,104303.34,288627.5476
300334.SZ,20150320,27.7,28.29,27.3,27.89,27.86,0.03,0.11,61330.83,169961.023
300334.SZ,20150323,28.0,28.56,27.51,28.3,27.89,0.41,1.47,73745.19,207111.6533
300334.SZ,20150324,28.32,29.49,27.11,28.65,28.3,0.35,1.24,94588.52,268881.0003
300334.SZ,20150325,28.97,29.35,28.29,28.56,28.65,-0.09,-0.31,71259.45,205834.5627
300334.SZ,20150326,28.0,28.1,26.7,26.73,28.56,-1.83,-6.41,71680.45,194947.5263
300334.SZ,20150327,26.63,27.2,26.46,26.96,26.73,0.23,0.86,33035.83,88865.0294
300334.SZ,20150330,26.96,27.88,26.73,27.19,26.96,0.23,0.85,50743.14,138137.2411
300334.SZ,20150331,27.19,29.55,26.85,28.72,27.19,1.53,5.63,91529.31,259749.6333
300334.SZ,20150401,28.6,29.49,28.22,29.19,28.72,0.47,1.64,73008.52,211709.7113
300334.SZ,20150402,29.15,30.97,29.0,30.21,29.19,1.02,3.49,77155.13,231812.3163
300334.SZ,20150403,29.72,32.0,29.2,31.85,30.21,1.64,5.43,83909.34,256843.584
300334.SZ,20150407,31.64,35.04,31.5,35.04,31.85,3.19,10.02,120058.0,410432.6544
300334.SZ,20150408,34.5,34.5,31.9,32.84,35.04,-2.2,-6.28,85124.59,282442.6242
300334.SZ,20150409,32.72,34.7,30.01,34.07,32.84,1.23,3.75,76907.3,247625.0967
300334.SZ,20150410,32.9,34.46,32.9,33.61,34.07,-0.46,-1.35,45092.38,152554.3208
300334.SZ,20150413,33.38,35.7,33.34,34.85,33.61,1.24,3.69,55234.41,193137.0575
300334.SZ,20150414,34.51,34.85,33.17,33.7,34.85,-1.15,-3.3,42253.19,142807.0122
300334.SZ,20150415,33.04,33.64,31.17,31.17,33.7,-2.53,-7.51,38955.58,125036.8813
300334.SZ,20150416,29.7,33.6,29.7,32.2,31.17,1.03,3.3,51778.64,167566.0081
300334.SZ,20150417,34.0,34.24,31.3,31.33,32.2,-0.87,-2.7,58853.31,189722.7891
300334.SZ,20150420,31.0,32.28,30.02,30.2,31.33,-1.13,-3.61,90054.95,276800.5278
300334.SZ,20150421,30.3,31.87,30.12,31.78,30.2,1.58,5.23,40010.65,124473.7363
300334.SZ,20150422,32.0,33.94,32.0,33.33,31.78,1.55,4.88,59039.38,194840.9355
300334.SZ,20150423,33.03,33.7,32.6,33.37,33.33,0.04,0.12,51200.07,170127.0951
300334.SZ,20150424,32.86,35.0,32.2,34.51,33.37,1.14,3.42,49878.18,168156.7819
300334.SZ,20150427,35.03,37.28,35.03,35.35,34.51,0.84,2.43,61614.2,223151.2047
300334.SZ,20150428,35.37,36.49,32.81,33.23,35.35,-2.12,-6.0,40531.29,137662.2935
300334.SZ,20150429,33.2,34.68,32.88,34.29,33.23,1.06,3.19,34559.04,117536.7644
300334.SZ,20150430,34.38,34.6,33.67,33.88,34.29,-0.41,-1.2,31482.63,107587.6385
300334.SZ,20150504,33.5,34.68,33.5,33.87,33.88,-0.01,-0.03,30746.19,104190.4959
300334.SZ,20150505,33.72,35.19,32.51,32.87,33.87,-1.0,-2.95,45269.91,153543.7132
300334.SZ,20150506,33.0,34.05,32.23,32.4,32.87,-0.47,-1.43,37402.29,124988.5681
300334.SZ,20150507,32.01,32.49,30.65,31.78,32.4,-0.62,-1.91,35981.75,112722.437
300334.SZ,20150508,32.16,33.99,31.46,33.79,31.78,2.01,6.32,38128.69,125559.5386
300334.SZ,20150511,33.75,35.3,33.19,35.0,33.79,1.21,3.58,45164.35,155946.9151
300334.SZ,20150512,35.01,36.38,34.4,36.0,35.0,1.0,2.86,62243.34,220042.3211
300334.SZ,20150513,35.26,37.1,34.17,36.36,36.0,0.36,1.0,53984.41,193345.0253
300334.SZ,20150514,36.48,37.88,35.8,37.3,36.36,0.94,2.59,59430.54,219768.2481
300334.SZ,20150515,36.99,37.0,35.9,36.6,37.3,-0.7,-1.88,40124.97,146580.1463
300334.SZ,20150518,36.2,38.8,36.01,38.49,36.6,1.89,5.16,60807.18,229136.4573
300334.SZ,20150519,38.86,39.0,37.42,38.68,38.49,0.19,0.49,43347.04,166117.5484
300334.SZ,20150520,38.68,39.88,37.03,37.84,38.68,-0.84,-2.17,83836.55,325813.4414
300334.SZ,20150521,37.17,39.28,37.17,38.51,37.84,0.67,1.77,70357.41,268042.677
300334.SZ,20150522,38.89,39.61,37.1,37.6,38.51,-0.91,-2.36,57707.88,219656.6281
300334.SZ,20150525,37.37,37.88,35.0,37.46,37.6,-0.14,-0.37,73453.59,270439.4057
300334.SZ,20150526,37.8,41.21,37.0,40.0,37.46,2.54,6.78,141854.25,553486.3773
300334.SZ,20150527,40.21,43.86,39.49,43.6,40.0,3.6,9.0,125995.42,527379.9552
300334.SZ,20150528,42.62,47.5,41.5,42.7,43.6,-0.9,-2.06,109641.16,491253.3544
