ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300348.SZ,20150105,96.77,96.77,90.12,94.05,97.0,-2.95,-3.04,6409.46,59529.4083
300348.SZ,20150106,93.11,100.4,92.2,99.3,94.05,5.25,5.58,8400.11,81771.4324
300348.SZ,20150107,99.26,99.85,94.77,96.0,99.3,-3.3,-3.32,6640.01,64491.3681
300348.SZ,20150108,94.5,99.0,93.01,94.0,96.0,-2.0,-2.08,8744.36,83480.6445
300348.SZ,20150109,94.02,102.3,93.3,96.3,94.0,2.3,2.45,12339.3,120952.1587
300348.SZ,20150112,96.8,104.86,94.0,104.49,96.3,8.19,8.5,14658.68,147308.3674
300348.SZ,20150113,113.0,114.38,102.5,104.77,104.49,0.28,0.27,25501.22,278871.9437
300348.SZ,20150114,105.0,107.8,100.0,102.5,104.77,-2.27,-2.17,18744.73,196190.733
300348.SZ,20150115,102.5,107.2,99.0,100.6,102.5,-1.9,-1.85,13376.03,137422.3956
300348.SZ,20150116,99.0,110.66,98.0,110.66,100.6,10.06,10.0,17781.22,188598.2989
300348.SZ,20150119,106.0,121.7,105.01,112.8,110.66,2.14,1.93,20989.27,239095.4912
300348.SZ,20150120,112.5,122.9,112.48,122.9,112.8,10.1,8.95,12486.45,149081.1962
300348.SZ,20150121,123.9,131.88,118.88,120.6,122.9,-2.3,-1.87,12454.98,153829.0849
300348.SZ,20150122,120.8,125.44,118.0,120.03,120.6,-0.57,-0.47,8977.01,108443.0033
300348.SZ,20150123,118.56,119.9,108.2,109.0,120.03,-11.03,-9.19,17539.95,197582.3603
300348.SZ,20150126,111.0,115.95,110.0,114.2,109.0,5.2,4.77,10783.38,122392.8325
300348.SZ,20150127,114.64,115.6,109.99,113.15,114.2,-1.05,-0.92,7484.13,84653.629
300348.SZ,20150128,113.09,115.0,108.5,110.5,113.15,-2.65,-2.34,6080.35,67877.9786
300348.SZ,20150129,109.0,110.96,107.3,108.0,110.5,-2.5,-2.26,3936.9,42911.1458
300348.SZ,20150130,108.01,113.0,108.0,108.1,108.0,0.1,0.09,5279.0,58263.236
300348.SZ,20150202,106.28,118.91,106.28,118.91,108.1,10.81,10.0,15630.32,181938.3012
300348.SZ,20150504,130.8,130.8,130.8,130.8,118.91,11.89,10.0,30.02,392.6616
300348.SZ,20150505,143.88,143.88,143.88,143.88,130.8,13.08,10.0,85.0,1222.98
300348.SZ,20150506,158.27,158.27,158.27,158.27,143.88,14.39,10.0,167.59,2652.4469
300348.SZ,20150507,174.1,174.1,174.1,174.1,158.27,15.83,10.0,64.73,1126.9493
300348.SZ,20150508,191.51,191.51,191.51,191.51,174.1,17.41,10.0,193.19,3699.7817
300348.SZ,20150511,210.66,210.66,210.66,210.66,191.51,19.15,10.0,45.97,968.404
300348.SZ,20150512,231.73,231.73,231.73,231.73,210.66,21.07,10.0,394.82,9149.1639
300348.SZ,20150513,254.9,254.9,254.9,254.9,231.73,23.17,10.0,49.33,1257.4217
300348.SZ,20150514,280.39,280.39,280.39,280.39,254.9,25.49,10.0,135.53,3800.1257
300348.SZ,20150515,308.43,308.43,298.0,308.43,280.39,28.04,10.0,21923.63,674746.7884
300348.SZ,20150518,339.27,339.27,339.27,339.27,308.43,30.84,10.0,268.25,9100.9178
300348.SZ,20150519,373.2,373.2,373.2,373.2,339.27,33.93,10.0,282.15,10529.838
300348.SZ,20150520,388.0,410.52,373.21,410.52,373.2,37.32,10.0,9866.94,387199.9855
300348.SZ,20150521,446.57,451.57,386.35,398.0,410.52,-12.52,-3.05,17745.95,743880.473
300348.SZ,20150522,401.0,406.34,358.2,390.11,398.0,-7.89,-1.98,14511.27,555055.3778
