ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300353.SZ,20150105,16.2,16.49,15.71,16.06,16.37,-0.31,-1.89,38844.08,62297.4609
300353.SZ,20150106,15.99,17.17,15.8,17.0,16.06,0.94,5.85,63503.96,105357.6435
300353.SZ,20150107,16.97,17.35,16.23,16.42,17.0,-0.58,-3.41,69072.2,114620.0249
300353.SZ,20150108,16.48,18.06,16.44,18.06,16.42,1.64,9.99,99537.62,174134.356
300353.SZ,20150109,18.0,18.89,17.72,18.1,18.06,0.04,0.22,123615.71,227612.0164
300353.SZ,20150112,17.61,18.65,16.98,17.19,18.1,-0.91,-5.03,93427.08,165225.4547
300353.SZ,20150113,17.5,18.57,17.06,17.95,17.19,0.76,4.42,68222.48,122667.1136
300353.SZ,20150114,17.82,19.69,17.82,19.0,17.95,1.05,5.85,130696.56,246158.3384
300353.SZ,20150115,18.71,19.05,18.01,18.55,19.0,-0.45,-2.37,65921.33,121497.9154
300353.SZ,20150116,18.31,19.4,17.98,18.89,18.55,0.34,1.83,78161.35,146783.1927
300353.SZ,20150119,18.4,19.49,17.75,18.42,18.89,-0.47,-2.49,96374.91,180446.2045
300353.SZ,20150120,18.6,19.6,18.4,19.6,18.42,1.18,6.41,94197.05,179161.4586
300353.SZ,20150121,20.01,20.45,19.4,19.72,19.6,0.12,0.61,104292.58,207321.6825
300353.SZ,20150122,19.91,20.45,19.29,20.36,19.72,0.64,3.25,94446.32,188151.2737
300353.SZ,20150123,20.36,20.36,19.4,19.82,20.36,-0.54,-2.65,69922.59,138482.6161
300353.SZ,20150126,20.0,20.58,19.9,20.05,19.82,0.23,1.16,62367.01,125996.3408
300353.SZ,20150127,19.98,20.42,19.54,20.24,20.05,0.19,0.95,70404.99,140415.3998
300353.SZ,20150128,20.5,22.15,20.02,21.24,20.24,1.0,4.94,125843.55,267143.5384
300353.SZ,20150129,20.8,21.25,20.62,21.05,21.24,-0.19,-0.89,51350.41,107858.9699
300353.SZ,20150130,20.7,21.25,20.2,20.2,21.05,-0.85,-4.04,41009.19,84488.8371
300353.SZ,20150202,20.2,21.19,19.6,20.15,20.2,-0.05,-0.25,52026.5,105889.7726
300353.SZ,20150203,20.16,21.09,20.16,20.75,20.15,0.6,2.98,47427.28,98604.9519
300353.SZ,20150204,21.12,21.85,20.75,21.36,20.75,0.61,2.94,62851.1,133905.3723
300353.SZ,20150205,21.1,22.16,20.95,21.88,21.36,0.52,2.43,70728.87,154228.4882
300353.SZ,20150206,21.74,21.92,20.54,20.68,21.88,-1.2,-5.48,37465.24,79358.8906
300353.SZ,20150209,20.78,21.05,19.6,19.95,20.68,-0.73,-3.53,29729.54,60144.0911
300353.SZ,20150210,19.7,19.7,17.96,19.0,19.95,-0.95,-4.76,139533.42,255509.7995
300353.SZ,20150211,18.33,19.19,18.21,18.9,19.0,-0.1,-0.53,74797.94,140371.9848
300353.SZ,20150212,18.81,19.49,18.72,18.97,18.9,0.07,0.37,55714.92,106445.4401
300353.SZ,20150213,18.94,19.45,18.93,19.23,18.97,0.26,1.37,55581.04,106573.6575
300353.SZ,20150216,19.2,21.09,18.93,21.0,19.23,1.77,9.2,74302.6,148726.2035
300353.SZ,20150217,20.82,21.15,20.3,20.65,21.0,-0.35,-1.67,50488.76,104312.2303
300353.SZ,20150225,20.66,22.67,20.66,21.87,20.65,1.22,5.91,92790.39,203911.2254
300353.SZ,20150226,21.9,23.4,21.9,23.15,21.87,1.28,5.85,97513.71,223456.371
300353.SZ,20150227,23.0,25.47,22.81,25.47,23.15,2.32,10.02,152972.67,379301.8731
300353.SZ,20150302,25.5,28.02,25.0,27.42,25.47,1.95,7.66,167768.6,447025.492
300353.SZ,20150303,27.0,27.1,25.0,25.69,27.42,-1.73,-6.31,140893.11,367600.6565
300353.SZ,20150304,25.41,26.24,25.34,25.76,25.69,0.07,0.27,86811.67,223856.1949
300353.SZ,20150305,25.65,27.48,25.65,26.18,25.76,0.42,1.63,113880.43,303682.1725
300353.SZ,20150306,27.0,28.8,25.82,25.85,26.18,-0.33,-1.26,133261.99,365601.4666
300353.SZ,20150309,25.3,28.44,25.26,27.82,25.85,1.97,7.62,141257.32,387307.1985
300353.SZ,20150310,27.73,29.9,26.62,29.23,27.82,1.41,5.07,148166.49,418777.5333
300353.SZ,20150311,29.16,30.32,28.5,29.1,29.23,-0.13,-0.44,95146.62,277961.4857
300353.SZ,20150312,29.31,31.8,27.34,28.5,29.1,-0.6,-2.06,123969.45,366938.6208
300353.SZ,20150313,28.8,30.5,27.7,29.98,28.5,1.48,5.19,101830.19,297931.5263
300353.SZ,20150316,31.0,32.98,30.53,32.98,29.98,3.0,10.01,137056.01,438799.3501
300353.SZ,20150317,34.5,36.0,33.0,33.63,32.98,0.65,1.97,178920.78,614653.7527
300353.SZ,20150318,33.75,34.75,32.91,34.58,33.63,0.95,2.82,107445.77,361574.9556
300353.SZ,20150319,34.29,35.35,32.98,33.67,34.58,-0.91,-2.63,106259.02,357799.6136
300353.SZ,20150320,33.0,34.49,32.97,33.23,33.67,-0.44,-1.31,104019.85,347610.2556
300353.SZ,20150323,33.4,35.87,33.0,35.35,33.23,2.12,6.38,125109.54,428652.8056
300353.SZ,20150324,36.0,38.85,34.52,38.76,35.35,3.41,9.65,157763.22,573575.5982
300353.SZ,20150325,38.76,40.3,36.52,37.7,38.76,-1.06,-2.73,143322.49,551876.6516
300353.SZ,20150326,37.69,37.69,33.93,34.04,37.7,-3.66,-9.71,159957.29,563665.8676
300353.SZ,20150327,33.03,34.64,32.79,34.2,34.04,0.16,0.47,72629.6,245946.3594
300353.SZ,20150330,34.3,35.56,32.89,33.4,34.2,-0.8,-2.34,92169.71,312099.5644
300353.SZ,20150331,33.02,34.34,32.57,34.0,33.4,0.6,1.8,88937.53,299024.4404
300353.SZ,20150401,33.75,35.0,33.53,34.79,34.0,0.79,2.32,75038.74,258040.8736
300353.SZ,20150414,38.25,38.25,35.15,35.18,34.77,0.41,1.18,174103.93,637390.2684
300353.SZ,20150415,34.3,34.44,31.66,32.01,35.18,-3.17,-9.01,85154.98,283671.7108
300353.SZ,20150416,31.5,33.9,30.74,33.3,32.01,1.29,4.03,80444.9,261329.4883
300353.SZ,20150417,34.4,35.2,32.53,32.59,33.3,-0.71,-2.13,80914.35,271791.0874
300353.SZ,20150420,32.21,32.85,30.0,30.27,32.59,-2.32,-7.12,71683.38,225316.298
300353.SZ,20150421,30.26,32.95,30.2,32.69,30.27,2.42,7.99,53267.68,169305.4257
300353.SZ,20150422,32.6,35.2,32.6,34.12,32.69,1.43,4.37,86856.52,297840.8367
300353.SZ,20150423,33.72,35.98,33.6,35.47,34.12,1.35,3.96,88434.42,312736.6022
300353.SZ,20150424,35.61,37.66,35.53,36.47,35.47,1.0,2.82,103198.39,376473.2848
300353.SZ,20150427,36.27,36.98,34.88,35.07,36.47,-1.4,-3.84,88333.99,314011.9537
300353.SZ,20150428,34.68,34.88,31.79,32.21,35.07,-2.86,-8.16,75643.19,249885.4088
300353.SZ,20150429,32.17,35.2,31.86,34.55,32.21,2.34,7.26,71945.61,245274.1368
300353.SZ,20150430,35.3,35.3,32.0,33.32,34.55,-1.23,-3.56,79076.9,272249.3988
300353.SZ,20150504,33.0,36.56,32.1,36.21,33.32,2.89,8.67,104824.67,370398.8276
300353.SZ,20150505,35.4,39.83,34.95,39.33,36.21,3.12,8.62,188568.37,723091.8328
300353.SZ,20150506,38.58,43.26,38.2,42.77,39.33,3.44,8.75,173697.75,702866.2822
300353.SZ,20150507,41.0,44.9,40.02,40.52,42.77,-2.25,-5.26,101867.48,430245.1776
300353.SZ,20150508,40.52,43.7,40.52,42.93,40.52,2.41,5.95,78630.67,332571.1159
300353.SZ,20150511,43.5,47.22,43.36,47.22,42.93,4.29,9.99,85113.06,389589.6313
300353.SZ,20150512,48.21,49.59,45.12,48.58,47.22,1.36,2.88,86628.74,412836.7045
300353.SZ,20150513,45.99,47.3,45.01,45.35,48.58,-3.23,-6.65,89652.83,413769.1623
300353.SZ,20150514,45.5,46.04,43.14,43.66,45.35,-1.69,-3.73,102539.93,452510.2222
300353.SZ,20150515,43.09,45.8,41.0,44.82,43.66,1.16,2.66,81516.21,353303.3894
300353.SZ,20150518,44.0,46.96,43.35,46.09,44.82,1.27,2.83,83184.56,379376.9327
