ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300368.SZ,20150105,42.75,42.99,39.0,39.9,43.2,-3.3,-7.64,12064.35,48826.6108
300368.SZ,20150106,39.9,43.89,39.25,43.89,39.9,3.99,10.0,35294.04,143215.849
300368.SZ,20150107,42.44,43.15,41.05,42.6,43.89,-1.29,-2.94,14548.87,61220.6942
300368.SZ,20150108,42.5,43.45,41.0,42.78,42.6,0.18,0.42,8741.69,36969.8083
300368.SZ,20150109,43.0,44.5,42.7,42.98,42.78,0.2,0.47,7945.02,34644.4895
300368.SZ,20150112,42.3,44.8,42.3,44.62,42.98,1.64,3.82,10693.32,47153.1384
300368.SZ,20150113,45.02,48.79,44.1,47.7,44.62,3.08,6.9,17763.06,83269.8162
300368.SZ,20150114,47.2,47.42,45.3,46.08,47.7,-1.62,-3.4,5497.98,25330.6444
300368.SZ,20150115,45.58,47.2,45.1,45.18,46.08,-0.9,-1.95,5145.28,23851.813
300368.SZ,20150116,44.91,47.7,44.54,46.81,45.18,1.63,3.61,6924.72,31890.3342
300368.SZ,20150119,46.8,49.0,44.0,46.7,46.81,-0.11,-0.24,12806.71,60390.9484
300368.SZ,20150120,47.3,50.1,45.2,49.8,46.7,3.1,6.64,13314.12,64054.0013
300368.SZ,20150121,54.78,54.78,52.02,52.43,49.8,2.63,5.28,18567.33,98788.5614
300368.SZ,20150122,53.4,57.3,52.1,56.2,52.43,3.77,7.19,15362.65,84884.3023
300368.SZ,20150123,56.13,56.15,52.25,54.22,56.2,-1.98,-3.52,12887.6,69176.3956
300368.SZ,20150126,53.91,54.33,51.91,53.51,54.22,-0.71,-1.31,13781.8,73072.3909
300368.SZ,20150127,54.6,54.6,51.26,51.29,53.51,-2.22,-4.15,19907.49,104629.228
300368.SZ,20150128,51.12,51.79,48.8,51.02,51.29,-0.27,-0.53,22165.77,110896.9854
300368.SZ,20150129,50.1,50.93,49.6,49.75,51.02,-1.27,-2.49,10314.81,51518.5772
300368.SZ,20150130,49.93,50.25,46.92,47.0,49.75,-2.75,-5.53,14396.24,69355.3631
300368.SZ,20150202,46.55,48.35,45.7,45.9,47.0,-1.1,-2.34,14020.64,66031.1277
300368.SZ,20150203,47.72,50.34,46.23,48.62,45.9,2.72,5.93,28544.34,138763.337
300368.SZ,20150204,48.42,50.56,47.33,47.9,48.62,-0.72,-1.48,30553.9,149679.4591
300368.SZ,20150205,47.53,50.0,46.33,49.45,47.9,1.55,3.24,36428.03,178390.4324
300368.SZ,20150206,48.99,49.5,45.51,46.15,49.45,-3.3,-6.67,16414.14,77763.4915
300368.SZ,20150209,46.02,47.55,44.04,44.2,46.15,-1.95,-4.23,16369.98,73760.8825
300368.SZ,20150210,44.32,45.2,42.0,42.98,44.2,-1.22,-2.76,20033.93,86355.8323
300368.SZ,20150211,43.22,47.28,43.22,47.28,42.98,4.3,10.0,25189.63,114936.7384
300368.SZ,20150212,48.53,48.85,45.35,46.48,47.28,-0.8,-1.69,27371.19,128324.149
300368.SZ,20150213,46.49,46.66,45.48,46.26,46.48,-0.22,-0.47,24458.66,112470.284
300368.SZ,20150216,46.58,47.99,46.05,47.82,46.26,1.56,3.37,18053.15,85417.8219
300368.SZ,20150217,47.8,48.49,46.6,46.87,47.82,-0.95,-1.99,12794.7,60307.5089
300368.SZ,20150225,46.66,48.71,46.65,46.94,46.87,0.07,0.15,18488.91,88263.8598
300368.SZ,20150226,46.98,47.8,42.25,46.37,46.94,-0.57,-1.21,15684.69,72174.8656
300368.SZ,20150227,46.0,46.45,45.3,46.24,46.37,-0.13,-0.28,10658.8,48916.3566
300368.SZ,20150302,46.45,48.83,46.05,48.65,46.24,2.41,5.21,26825.78,128407.8636
300368.SZ,20150303,48.3,48.33,47.15,47.4,48.65,-1.25,-2.57,14741.06,70378.0591
300368.SZ,20150304,47.4,50.49,47.4,49.7,47.4,2.3,4.85,22072.87,108346.0863
300368.SZ,20150305,49.8,51.4,48.6,51.1,49.7,1.4,2.82,20971.14,104815.1623
300368.SZ,20150306,51.12,51.2,48.69,48.69,51.1,-2.41,-4.72,19898.02,98546.4372
300368.SZ,20150309,47.9,47.94,46.5,47.08,48.69,-1.61,-3.31,20343.46,95721.7182
300368.SZ,20150310,46.8,47.82,46.6,46.9,47.08,-0.18,-0.38,12303.41,58048.2663
300368.SZ,20150311,46.79,46.99,45.0,45.2,46.9,-1.7,-3.62,22002.76,101149.4236
300368.SZ,20150312,45.35,46.15,45.2,45.82,45.2,0.62,1.37,9829.72,44896.582
300368.SZ,20150313,45.9,47.18,45.63,47.1,45.82,1.28,2.79,11670.05,54141.0008
300368.SZ,20150316,47.3,49.89,47.3,49.1,47.1,2.0,4.25,22118.83,108354.9566
300368.SZ,20150317,49.0,50.0,48.35,49.01,49.1,-0.09,-0.18,18804.92,92481.6882
300368.SZ,20150318,49.43,50.5,48.89,49.61,49.01,0.6,1.22,26844.77,133193.5606
300368.SZ,20150624,27.25,27.25,27.25,27.25,24.77,2.48,10.01,675.82,1841.6095
300368.SZ,20150625,29.98,29.98,29.98,29.98,27.25,2.73,10.02,265.04,794.5899
300368.SZ,20150626,32.98,32.98,30.98,32.96,29.98,2.98,9.94,281979.24,924749.4891
300368.SZ,20150629,29.66,29.66,29.66,29.66,32.96,-3.3,-10.01,27832.0,82549.712
300368.SZ,20150630,26.69,29.55,26.69,27.25,29.66,-2.41,-8.13,199909.3,543459.5336
300368.SZ,20150701,25.5,27.98,24.53,24.53,27.25,-2.72,-9.98,175061.9,455355.3604
300368.SZ,20150702,23.0,23.5,22.08,22.08,24.53,-2.45,-9.99,81625.5,181848.8766
300368.SZ,20150703,19.87,20.5,19.87,19.87,22.08,-2.21,-10.01,79675.6,158880.8897
300368.SZ,20150706,21.2,21.2,17.88,17.88,19.87,-1.99,-10.02,73776.58,140635.0676
