ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300370.SZ,20150211,36.0,40.0,36.0,39.15,40.0,-0.85,-2.13,64397.51,239455.705
300370.SZ,20150212,37.66,43.07,37.1,43.07,39.15,3.92,10.01,58584.99,240045.6494
300370.SZ,20150213,43.1,44.36,42.06,42.27,43.07,-0.8,-1.86,44535.68,191865.7536
300370.SZ,20150216,41.6,42.12,40.01,41.22,42.27,-1.05,-2.48,36189.58,148481.7745
300370.SZ,20150217,41.0,41.06,39.63,39.93,41.22,-1.29,-3.13,28884.85,116114.381
300370.SZ,20150225,39.52,40.31,39.14,39.34,39.93,-0.59,-1.48,22582.36,89977.8452
300370.SZ,20150226,39.5,39.64,36.89,38.9,39.34,-0.44,-1.12,39833.71,151516.3732
300370.SZ,20150227,38.6,39.75,37.85,39.74,38.9,0.84,2.16,43008.82,167366.4425
300370.SZ,20150302,39.8,40.6,39.2,40.32,39.74,0.58,1.46,36086.77,144158.6778
300370.SZ,20150303,40.05,40.25,38.8,39.01,40.32,-1.31,-3.25,25425.7,100458.3974
300370.SZ,20150304,38.85,40.5,38.76,40.06,39.01,1.05,2.69,25547.21,101698.6308
300370.SZ,20150305,40.4,40.8,39.5,39.71,40.06,-0.35,-0.87,23497.85,94372.099
300370.SZ,20150306,39.55,39.91,38.0,38.29,39.71,-1.42,-3.58,20101.76,77973.1528
300370.SZ,20150309,38.3,38.88,37.5,38.59,38.29,0.3,0.78,10221.21,39031.4639
300370.SZ,20150310,38.7,39.25,38.34,39.21,38.59,0.62,1.61,18590.42,71992.2902
300370.SZ,20150311,39.19,39.49,38.21,39.18,39.21,-0.03,-0.08,16490.07,63638.6159
300370.SZ,20150312,39.17,40.6,38.62,39.97,39.18,0.79,2.02,28083.44,112634.9278
300370.SZ,20150313,40.0,40.78,40.0,40.42,39.97,0.45,1.13,15917.12,64044.3239
300370.SZ,20150316,40.3,41.63,39.9,41.6,40.42,1.18,2.92,36067.19,147140.609
300370.SZ,20150317,41.38,42.0,40.0,40.7,41.6,-0.9,-2.16,38911.75,159482.7713
300370.SZ,20150318,40.64,40.64,39.55,40.45,40.7,-0.25,-0.61,30534.49,122100.3578
300370.SZ,20150319,40.45,40.57,39.81,40.56,40.45,0.11,0.27,22088.03,88557.6906
300370.SZ,20150320,40.46,44.2,40.46,43.96,40.56,3.4,8.38,44902.69,188297.318
300370.SZ,20150323,44.1,44.8,43.02,44.48,43.96,0.52,1.18,29939.96,131184.8133
300370.SZ,20150324,48.93,48.93,48.93,48.93,44.48,4.45,10.0,6090.94,29802.9694
300370.SZ,20150325,53.5,53.82,51.0,53.82,48.93,4.89,9.99,55165.43,293474.5789
300370.SZ,20150326,53.82,55.98,48.44,50.78,53.82,-3.04,-5.65,84575.15,449219.0037
300370.SZ,20150327,50.44,51.49,48.0,50.25,50.78,-0.53,-1.04,33602.38,167732.3647
300370.SZ,20150330,50.51,51.23,47.01,48.8,50.25,-1.45,-2.89,36798.94,181067.7419
300370.SZ,20150331,47.86,50.47,47.8,49.37,48.8,0.57,1.17,27252.49,135048.5218
300370.SZ,20150401,50.08,53.9,49.5,53.0,49.37,3.63,7.35,47241.24,246304.3632
300370.SZ,20150402,53.01,54.65,51.96,54.33,53.0,1.33,2.51,40724.59,217610.0761
300370.SZ,20150403,53.6,59.0,53.01,58.0,54.33,3.67,6.76,37241.63,209624.1621
300370.SZ,20150407,58.0,60.0,57.0,59.1,58.0,1.1,1.9,34599.62,202183.1923
300370.SZ,20150408,58.77,58.77,54.05,56.23,59.1,-2.87,-4.86,33863.86,191062.793
300370.SZ,20150409,55.2,55.85,50.62,54.48,56.23,-1.75,-3.11,29934.24,160156.7047
300370.SZ,20150410,54.81,57.96,54.81,56.83,54.48,2.35,4.31,24532.21,139044.5314
300370.SZ,20150413,56.8,62.0,56.31,59.55,56.83,2.72,4.79,29506.15,175029.0334
300370.SZ,20150414,60.5,61.58,55.7,56.5,59.55,-3.05,-5.12,31884.52,185383.7421
300370.SZ,20150415,55.0,55.5,52.05,52.2,56.5,-4.3,-7.61,24148.99,129162.1104
