ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300373.SZ,20150105,24.61,24.88,23.8,24.24,24.58,-0.34,-1.38,13130.28,31625.3855
300373.SZ,20150106,24.0,25.22,23.9,25.2,24.24,0.96,3.96,16066.79,39897.205
300373.SZ,20150107,25.18,25.26,24.66,24.85,25.2,-0.35,-1.39,14171.41,35205.0609
300373.SZ,20150109,25.4,25.54,24.8,25.09,24.85,0.24,0.97,18371.53,46445.9999
300373.SZ,20150112,25.11,25.36,24.6,24.76,25.09,-0.33,-1.32,9277.09,23157.0214
300373.SZ,20150113,24.92,25.66,24.47,25.65,24.76,0.89,3.59,16923.25,42641.3738
300373.SZ,20150114,25.58,25.64,24.93,25.04,25.65,-0.61,-2.38,12312.04,31032.1354
300373.SZ,20150115,25.23,25.26,24.9,24.96,25.04,-0.08,-0.32,9722.81,24349.5205
300373.SZ,20150116,24.91,25.39,24.91,25.19,24.96,0.23,0.92,14061.49,35468.9037
300373.SZ,20150119,24.95,25.92,24.4,25.13,25.19,-0.06,-0.24,23792.85,60288.7775
300373.SZ,20150120,25.18,26.99,25.12,26.84,25.13,1.71,6.8,38254.26,100294.1495
300373.SZ,20150121,26.67,26.9,26.29,26.81,26.84,-0.03,-0.11,28000.68,74589.9462
300373.SZ,20150122,26.8,27.2,26.67,27.1,26.81,0.29,1.08,20221.63,54533.1236
300373.SZ,20150123,27.1,27.3,26.5,26.55,27.1,-0.55,-2.03,17081.96,45639.097
300373.SZ,20150126,26.8,27.0,26.49,26.95,26.55,0.4,1.51,12159.31,32542.5912
300373.SZ,20150127,26.94,27.22,26.61,27.13,26.95,0.18,0.67,14604.83,39368.4144
300373.SZ,20150128,26.97,27.68,26.9,27.33,27.13,0.2,0.74,19131.56,52280.6201
300373.SZ,20150129,27.19,27.69,27.02,27.06,27.33,-0.27,-0.99,11836.51,32234.0222
300373.SZ,20150130,27.09,27.3,26.1,26.1,27.06,-0.96,-3.55,15815.62,41851.3641
300373.SZ,20150202,26.0,26.36,25.66,26.05,26.1,-0.05,-0.19,7682.62,19998.2897
300373.SZ,20150203,26.08,27.51,26.06,27.24,26.05,1.19,4.57,21946.59,59251.4009
300373.SZ,20150204,27.4,27.5,26.93,27.3,27.24,0.06,0.22,16049.21,43740.0868
