ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300394.SZ,20150217,25.69,30.83,25.69,30.83,21.41,9.42,44.0,112.0,343.497
300394.SZ,20150225,33.91,33.91,33.91,33.91,30.83,3.08,9.99,43.0,145.813
300394.SZ,20150226,37.3,37.3,37.3,37.3,33.91,3.39,10.0,28.0,104.44
300394.SZ,20150227,41.03,41.03,41.03,41.03,37.3,3.73,10.0,56.0,229.768
300394.SZ,20150302,45.13,45.13,45.13,45.13,41.03,4.1,9.99,215.0,970.295
300394.SZ,20150303,49.64,49.64,49.64,49.64,45.13,4.51,9.99,1735.49,8614.9724
300394.SZ,20150304,54.6,54.6,53.15,54.6,49.64,4.96,9.99,26286.62,143459.3777
300394.SZ,20150305,58.01,60.06,56.58,60.06,54.6,5.46,10.0,22472.58,132430.112
300394.SZ,20150306,66.07,66.07,61.15,62.23,60.06,2.17,3.61,91850.96,590685.4596
300394.SZ,20150309,56.1,58.56,56.01,56.9,62.23,-5.33,-8.57,55449.89,316589.1599
300394.SZ,20150310,55.98,58.85,55.01,57.55,56.9,0.65,1.14,37383.55,213889.3895
300394.SZ,20150311,56.9,58.37,56.01,56.92,57.55,-0.63,-1.09,32839.51,187483.9845
300394.SZ,20150312,57.0,57.79,53.73,53.98,56.92,-2.94,-5.17,33259.75,183512.9985
300394.SZ,20150313,54.19,56.48,54.11,56.07,53.98,2.09,3.87,21202.86,117583.2975
300394.SZ,20150316,57.19,59.6,56.5,58.18,56.07,2.11,3.76,28207.36,164037.3156
300394.SZ,20150317,58.01,59.47,57.5,58.2,58.18,0.02,0.03,31926.38,186966.4531
300394.SZ,20150318,57.9,61.2,57.65,60.28,58.2,2.08,3.57,31336.24,188436.7682
300394.SZ,20150319,60.35,61.74,59.55,61.21,60.28,0.93,1.54,24274.5,147070.083
300394.SZ,20150320,60.8,62.5,60.21,61.02,61.21,-0.19,-0.31,23891.02,146475.6785
300394.SZ,20150323,61.29,61.69,60.31,61.38,61.02,0.36,0.59,22365.09,136504.4941
300394.SZ,20150324,61.6,65.94,61.1,64.2,61.38,2.82,4.59,33773.11,214054.763
300394.SZ,20150325,64.0,70.62,62.7,70.62,64.2,6.42,10.0,33585.72,223036.2708
300394.SZ,20150326,70.6,70.6,63.66,65.02,70.62,-5.6,-7.93,36033.27,240880.542
300394.SZ,20150327,64.05,66.0,63.15,65.1,65.02,0.08,0.12,14553.08,94287.5827
300394.SZ,20150330,64.3,65.3,60.13,61.99,65.1,-3.11,-4.78,19610.25,123149.1389
300394.SZ,20150331,61.99,63.28,61.05,62.2,61.99,0.21,0.34,11252.05,70184.7545
300394.SZ,20150401,62.26,63.49,61.9,63.43,62.2,1.23,1.98,12329.3,77550.0649
300394.SZ,20150402,63.64,65.85,63.64,65.04,63.43,1.61,2.54,16072.11,104294.6259
300394.SZ,20150403,64.25,65.48,63.68,65.4,65.04,0.36,0.55,22965.41,148405.2353
300394.SZ,20150407,65.6,68.72,65.6,68.14,65.4,2.74,4.19,21633.89,145231.6128
300394.SZ,20150408,68.0,68.3,63.0,65.5,68.14,-2.64,-3.87,24554.25,161206.0859
300394.SZ,20150409,64.98,68.5,62.88,68.24,65.5,2.74,4.18,24356.93,159557.7556
300394.SZ,20150410,68.0,72.25,66.83,70.0,68.24,1.76,2.58,26470.1,186326.725
300394.SZ,20150413,69.0,75.58,69.0,72.99,70.0,2.99,4.27,21102.37,152339.1668
300394.SZ,20150414,72.0,74.37,70.2,71.38,72.99,-1.61,-2.21,18500.58,134131.2389
300394.SZ,20150415,71.0,71.0,66.0,66.98,71.38,-4.4,-6.16,17152.6,117284.5051
300394.SZ,20150416,66.98,70.47,66.38,68.55,66.98,1.57,2.34,12823.11,88436.5736
300394.SZ,20150417,68.61,69.45,66.63,67.0,68.55,-1.55,-2.26,14243.13,96514.4756
300394.SZ,20150420,67.03,68.29,64.37,64.87,67.0,-2.13,-3.18,15986.75,106241.9502
300394.SZ,20150421,65.01,68.49,64.99,68.4,64.87,3.53,5.44,13451.95,90384.7598
300394.SZ,20150422,68.58,70.13,68.4,69.25,68.4,0.85,1.24,16050.1,111353.3333
300394.SZ,20150423,70.31,70.38,68.0,68.66,69.25,-0.59,-0.85,12438.71,85892.2774
