ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300409.SZ,20150105,47.23,47.5,44.9,45.45,47.69,-2.24,-4.7,16300.35,74653.5396
300409.SZ,20150106,44.5,46.64,44.22,46.18,45.45,0.73,1.61,13778.69,62881.9411
300409.SZ,20150107,46.0,46.17,44.2,44.5,46.18,-1.68,-3.64,14319.21,64149.3897
300409.SZ,20150108,44.5,45.17,44.31,44.36,44.5,-0.14,-0.31,10879.72,48720.0918
300409.SZ,20150109,44.0,44.83,43.72,43.9,44.36,-0.46,-1.04,8734.59,38625.8195
300409.SZ,20150112,43.49,43.49,41.75,41.95,43.9,-1.95,-4.44,12314.03,52222.4844
300409.SZ,20150113,41.88,43.6,41.88,43.0,41.95,1.05,2.5,8825.45,37752.4375
300409.SZ,20150114,42.6,42.76,41.92,41.95,43.0,-1.05,-2.44,8511.2,35969.5843
300409.SZ,20150115,41.95,44.08,41.95,42.7,41.95,0.75,1.79,9329.98,40161.7006
300409.SZ,20150116,42.76,44.72,42.46,44.39,42.7,1.69,3.96,15017.68,66316.6864
300409.SZ,20150119,43.9,46.69,43.51,44.8,44.39,0.41,0.92,23175.77,104875.2688
300409.SZ,20150120,44.52,47.47,44.52,47.18,44.8,2.38,5.31,23314.16,107728.559
300409.SZ,20150121,47.33,48.36,47.02,47.5,47.18,0.32,0.68,25556.23,121662.1986
300409.SZ,20150122,47.02,47.99,46.77,47.78,47.5,0.28,0.59,12273.75,58271.9504
300409.SZ,20150123,47.9,47.9,46.3,46.37,47.78,-1.41,-2.95,11885.0,55874.005
300409.SZ,20150126,46.18,46.75,46.05,46.53,46.37,0.16,0.35,5864.04,27225.5064
300409.SZ,20150127,46.32,46.84,45.83,46.02,46.53,-0.51,-1.1,6721.9,31133.5047
300409.SZ,20150128,45.91,46.49,45.63,46.02,46.02,0.0,0.0,6019.66,27781.5084
300409.SZ,20150129,45.67,46.29,45.31,45.45,46.02,-0.57,-1.24,4735.83,21657.6964
300409.SZ,20150130,45.46,45.8,44.4,44.4,45.45,-1.05,-2.31,5601.34,25126.1252
300409.SZ,20150202,43.58,44.55,43.21,43.8,44.4,-0.6,-1.35,5390.95,23692.7036
300409.SZ,20150203,43.65,45.85,43.65,45.49,43.8,1.69,3.86,12277.75,55309.2408
300409.SZ,20150204,45.47,45.75,44.52,44.59,45.49,-0.9,-1.98,7125.31,32076.4497
300409.SZ,20150205,44.9,44.98,44.0,44.0,44.59,-0.59,-1.32,7084.86,31529.608
