ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300411.SZ,20150105,20.27,20.27,20.27,20.27,18.43,1.84,9.98,60.5,122.6335
300411.SZ,20150106,22.3,22.3,22.3,22.3,20.27,2.03,10.01,103.0,229.69
300411.SZ,20150107,24.53,24.53,24.53,24.53,22.3,2.23,10.0,222.0,544.566
300411.SZ,20150108,26.98,26.98,26.98,26.98,24.53,2.45,9.99,785.0,2117.93
300411.SZ,20150109,29.68,29.68,29.68,29.68,26.98,2.7,10.01,2522.2,7485.8896
300411.SZ,20150112,32.65,32.65,27.37,27.8,29.68,-1.88,-6.33,115990.05,340895.5457
300411.SZ,20150113,27.0,29.38,26.0,28.6,27.8,0.8,2.88,94862.37,262107.376
300411.SZ,20150114,27.77,27.95,26.5,26.5,28.6,-2.1,-7.34,65930.19,179561.3323
300411.SZ,20150115,25.6,29.0,25.5,27.25,26.5,0.75,2.83,74577.96,205126.1168
300411.SZ,20150116,28.0,29.98,27.49,29.98,27.25,2.73,10.02,49939.39,145718.7474
300411.SZ,20150119,31.5,32.98,31.05,32.98,29.98,3.0,10.01,112306.46,367511.8917
300411.SZ,20150120,34.4,36.28,34.0,36.28,32.98,3.3,10.01,39949.9,142848.1262
300411.SZ,20150121,39.91,39.91,38.08,39.91,36.28,3.63,10.01,99515.39,395067.9358
300411.SZ,20150122,39.77,40.59,37.51,38.6,39.91,-1.31,-3.28,112925.46,438317.3924
300411.SZ,20150123,37.5,38.99,36.32,37.02,38.6,-1.58,-4.09,93928.0,352605.5672
300411.SZ,20150126,35.81,37.5,35.8,36.58,37.02,-0.44,-1.19,56041.56,204399.9001
300411.SZ,20150127,36.2,38.32,36.2,36.8,36.58,0.22,0.6,63706.55,236777.5334
300411.SZ,20150128,36.0,39.5,35.5,38.08,36.8,1.28,3.48,89883.79,341115.2354
300411.SZ,20150129,37.5,38.43,35.54,35.6,38.08,-2.48,-6.51,70136.84,257213.2125
300411.SZ,20150130,34.62,34.98,32.75,32.78,35.6,-2.82,-7.92,59601.96,200581.9386
300411.SZ,20150202,32.55,33.77,32.1,33.0,32.78,0.22,0.67,30591.79,101343.8361
300411.SZ,20150203,33.1,34.31,32.65,33.67,33.0,0.67,2.03,38728.93,130080.4702
300411.SZ,20150204,33.13,33.97,32.58,32.85,33.67,-0.82,-2.44,37761.43,124641.8143
300411.SZ,20150205,32.9,33.35,32.08,32.09,32.85,-0.76,-2.31,33647.36,110235.5162
300411.SZ,20150206,31.8,31.88,30.32,30.5,32.09,-1.59,-4.95,30286.08,93412.2093
