ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300421.SZ,20150217,10.96,13.15,10.96,13.15,9.13,4.02,44.03,171.0,224.537
300421.SZ,20150225,14.47,14.47,14.47,14.47,13.15,1.32,10.04,77.0,111.419
300421.SZ,20150226,15.92,15.92,15.92,15.92,14.47,1.45,10.02,38.0,60.496
300421.SZ,20150227,17.51,17.51,17.51,17.51,15.92,1.59,9.99,93.0,162.843
300421.SZ,20150302,19.26,19.26,19.26,19.26,17.51,1.75,9.99,348.0,670.248
300421.SZ,20150303,21.19,21.19,21.19,21.19,19.26,1.93,10.02,1748.49,3705.0503
300421.SZ,20150304,21.19,23.31,21.01,23.31,21.19,2.12,10.0,149723.72,339309.5547
300421.SZ,20150305,23.31,25.64,22.68,25.64,23.31,2.33,10.0,158976.7,394141.2442
300421.SZ,20150306,24.99,25.0,23.1,23.17,25.64,-2.47,-9.63,125613.07,299182.671
300421.SZ,20150309,22.99,22.99,21.5,21.97,23.17,-1.2,-5.18,69216.22,152756.6798
300421.SZ,20150310,21.99,22.57,21.8,22.38,21.97,0.41,1.87,48315.25,107075.7613
300421.SZ,20150311,22.12,23.45,21.94,22.86,22.38,0.48,2.14,62559.03,142875.3573
300421.SZ,20150312,23.11,23.17,21.8,22.22,22.86,-0.64,-2.8,49370.69,110411.2425
300421.SZ,20150313,22.03,22.43,21.91,22.21,22.22,-0.01,-0.05,28587.34,63358.653
300421.SZ,20150316,22.41,22.98,22.38,22.89,22.21,0.68,3.06,46105.33,104962.859
300421.SZ,20150317,23.0,23.66,22.91,23.45,22.89,0.56,2.45,56574.35,131728.8589
300421.SZ,20150318,23.25,23.97,23.12,23.86,23.45,0.41,1.75,54752.34,129374.1931
300421.SZ,20150319,23.88,24.25,23.51,24.19,23.86,0.33,1.38,54942.3,131548.4929
300421.SZ,20150320,24.2,24.83,24.12,24.48,24.19,0.29,1.2,52043.51,127240.4097
300421.SZ,20150323,24.71,25.1,24.38,24.99,24.48,0.51,2.08,49425.17,122016.6906
300421.SZ,20150324,24.55,24.65,23.17,24.07,24.99,-0.92,-3.68,66907.15,161219.7076
300421.SZ,20150325,23.98,24.3,23.49,24.13,24.07,0.06,0.25,47733.8,114357.0313
300421.SZ,20150326,23.96,24.6,23.65,24.35,24.13,0.22,0.91,53052.79,128606.2576
300421.SZ,20150327,24.19,24.24,23.73,24.06,24.35,-0.29,-1.19,34398.47,82557.6672
300421.SZ,20150330,23.84,24.3,23.82,24.18,24.06,0.12,0.5,30377.54,72880.7235
300421.SZ,20150331,24.02,24.52,24.01,24.09,24.18,-0.09,-0.37,27918.65,67692.8263
300421.SZ,20150401,23.95,25.39,23.95,24.98,24.09,0.89,3.69,59037.62,145432.9094
300421.SZ,20150402,24.79,25.35,24.69,25.25,24.98,0.27,1.08,53271.96,133069.3253
300421.SZ,20150403,24.96,27.19,24.94,26.29,25.25,1.04,4.12,71377.03,186027.1318
300421.SZ,20150407,26.29,27.21,26.05,27.0,26.29,0.71,2.7,52055.63,138201.4758
300421.SZ,20150408,27.06,27.18,25.0,25.88,27.0,-1.12,-4.15,56686.7,147854.3246
300421.SZ,20150409,25.77,26.6,24.7,26.45,25.88,0.57,2.2,48352.39,123874.5875
300421.SZ,20150410,26.0,27.38,25.85,26.76,26.45,0.31,1.17,42763.8,114836.223
300421.SZ,20150413,26.78,28.6,26.6,28.03,26.76,1.27,4.75,55852.1,153667.7803
300421.SZ,20150414,27.96,29.43,27.66,28.08,28.03,0.05,0.18,58928.56,168749.8628
300421.SZ,20150415,28.12,28.18,26.3,26.36,28.08,-1.72,-6.13,42533.2,114709.2166
300421.SZ,20150416,26.36,27.04,25.67,26.7,26.36,0.34,1.29,26387.57,70300.9401
300421.SZ,20150417,26.96,27.28,26.5,26.59,26.7,-0.11,-0.41,26737.09,71664.8654
300421.SZ,20150420,26.59,26.59,25.31,25.34,26.59,-1.25,-4.7,30985.77,80483.9619
300421.SZ,20150421,25.35,26.46,25.35,26.45,25.34,1.11,4.38,23769.66,61866.9613
300421.SZ,20150422,26.69,27.68,26.68,27.15,26.45,0.7,2.65,30020.83,81985.5908
300421.SZ,20150423,27.14,27.68,26.6,27.24,27.15,0.09,0.33,31034.96,84438.7464
300421.SZ,20150424,26.79,27.85,26.16,27.64,27.24,0.4,1.47,52713.33,141657.5911
300421.SZ,20150427,28.1,30.4,28.1,30.4,27.64,2.76,9.99,89663.23,262353.6066
300421.SZ,20150428,31.5,31.51,28.4,28.94,30.4,-1.46,-4.8,82792.31,246419.4703
300421.SZ,20150429,27.97,29.68,27.62,29.15,28.94,0.21,0.73,47420.86,136592.4343
300421.SZ,20150430,29.15,30.2,28.48,28.48,29.15,-0.67,-2.3,43844.99,129055.6868
300421.SZ,20150504,28.59,29.47,28.0,29.36,28.48,0.88,3.09,31727.71,91545.8345
300421.SZ,20150505,29.55,29.87,28.0,29.39,29.36,0.03,0.1,37766.16,110526.9479
300421.SZ,20150506,29.58,30.35,28.76,29.0,29.39,-0.39,-1.33,43625.68,129371.9259
300421.SZ,20150507,28.76,28.79,27.44,27.49,29.0,-1.51,-5.21,32207.85,90682.2306
300421.SZ,20150508,28.02,28.97,27.88,28.95,27.49,1.46,5.31,29832.56,84643.2979
300421.SZ,20150511,29.0,31.27,29.0,31.01,28.95,2.06,7.12,55454.27,168459.2485
300421.SZ,20150512,31.05,32.7,30.76,32.19,31.01,1.18,3.81,63085.81,199936.4608
300421.SZ,20150513,31.33,32.35,30.01,31.74,32.19,-0.45,-1.4,42138.76,132492.0851
300421.SZ,20150514,31.6,34.91,31.6,34.91,31.74,3.17,9.99,70688.91,240647.945
300421.SZ,20150515,35.08,38.32,33.12,36.71,34.91,1.8,5.16,77458.41,273832.9837
300421.SZ,20150518,36.92,40.38,36.92,40.38,36.71,3.67,10.0,52650.31,208934.3327
300421.SZ,20150519,43.0,44.38,39.4,41.47,40.38,1.09,2.7,75141.56,310423.3367
300421.SZ,20150520,40.74,44.5,40.6,40.8,41.47,-0.67,-1.62,54648.66,231919.3119
300421.SZ,20150521,40.3,41.99,38.0,41.5,40.8,0.7,1.72,46483.85,189756.7787
300421.SZ,20150522,41.87,42.9,39.8,42.3,41.5,0.8,1.93,51632.98,215570.6418
300421.SZ,20150525,40.3,46.53,40.0,46.53,42.3,4.23,10.0,51801.77,229275.2593
300421.SZ,20150714,41.68,41.68,41.68,41.68,46.31,-4.63,-10.0,2354.0,9811.472
