ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300447.SZ,20150422,17.04,18.59,17.04,18.59,12.91,5.68,44.0,189.0,350.576
300447.SZ,20150423,20.45,20.45,20.45,20.45,18.59,1.86,10.01,26.0,53.17
300447.SZ,20150424,22.5,22.5,22.5,22.5,20.45,2.05,10.02,48.0,108.0
300447.SZ,20150427,24.75,24.75,24.75,24.75,22.5,2.25,10.0,38.0,94.05
300447.SZ,20150428,27.23,27.23,27.23,27.23,24.75,2.48,10.02,59.0,160.657
300447.SZ,20150429,29.95,29.95,29.95,29.95,27.23,2.72,9.99,119.0,356.405
300447.SZ,20150430,32.95,32.95,32.95,32.95,29.95,3.0,10.02,177.0,583.215
300447.SZ,20150504,36.25,36.25,36.25,36.25,32.95,3.3,10.02,317.8,1152.025
300447.SZ,20150505,39.88,39.88,39.88,39.88,36.25,3.63,10.01,472.1,1882.7348
300447.SZ,20150506,43.87,43.87,43.87,43.87,39.88,3.99,10.01,1342.0,5887.354
300447.SZ,20150507,48.26,48.26,48.26,48.26,43.87,4.39,10.01,2250.1,10858.9826
300447.SZ,20150508,53.09,53.09,53.09,53.09,48.26,4.83,10.01,1108.0,5882.372
300447.SZ,20150511,58.4,58.4,58.4,58.4,53.09,5.31,10.0,204.0,1191.36
300447.SZ,20150512,64.24,64.24,64.24,64.24,58.4,5.84,10.0,185.0,1188.44
300447.SZ,20150513,70.66,70.66,70.66,70.66,64.24,6.42,9.99,3347.47,23653.223
300447.SZ,20150514,77.73,77.73,77.73,77.73,70.66,7.07,10.01,278.0,2160.894
300447.SZ,20150515,85.5,85.5,85.5,85.5,77.73,7.77,10.0,385.8,3298.59
300447.SZ,20150518,94.05,94.05,94.05,94.05,85.5,8.55,10.0,233.7,2197.9485
300447.SZ,20150519,103.46,103.46,103.46,103.46,94.05,9.41,10.01,847.52,8768.4419
300447.SZ,20150520,113.81,113.81,113.81,113.81,103.46,10.35,10.0,664.0,7556.984
300447.SZ,20150521,125.19,125.19,125.19,125.19,113.81,11.38,10.0,484.38,6063.9532
300447.SZ,20150522,137.71,137.71,137.71,137.71,125.19,12.52,10.0,435.78,6001.1264
300447.SZ,20150525,151.48,151.48,145.21,151.48,137.71,13.77,10.0,30144.4,455905.2485
300447.SZ,20150526,166.63,166.63,166.63,166.63,151.48,15.15,10.0,1752.63,29204.0737
300447.SZ,20150527,183.29,183.29,183.29,183.29,166.63,16.66,10.0,462.7,8480.8283
300447.SZ,20150528,201.62,201.62,189.99,189.99,183.29,6.7,3.66,15783.0,314538.9812
