ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300554.SZ,20170421,17.99,21.59,17.99,21.59,14.99,6.6,44.03,36.0,77.184
300554.SZ,20170424,23.75,23.75,23.75,23.75,21.59,2.16,10.0,21.0,49.875
300554.SZ,20170425,26.13,26.13,26.13,26.13,23.75,2.38,10.02,21.0,54.873
300554.SZ,20170426,28.74,28.74,28.74,28.74,26.13,2.61,9.99,8.0,22.992
300554.SZ,20170427,31.61,31.61,31.61,31.61,28.74,2.87,9.99,53.0,167.533
300554.SZ,20170428,34.77,34.77,34.77,34.77,31.61,3.16,10.0,28.0,97.356
300554.SZ,20170502,38.25,38.25,38.25,38.25,34.77,3.48,10.01,160.0,612.0
300554.SZ,20170503,42.08,42.08,42.08,42.08,38.25,3.83,10.01,204.0,858.432
300554.SZ,20170504,46.29,46.29,46.29,46.29,42.08,4.21,10.0,213.0,985.977
300554.SZ,20170505,50.92,50.92,50.92,50.92,46.29,4.63,10.0,425.0,2164.1
300554.SZ,20170508,56.01,56.01,56.01,56.01,50.92,5.09,10.0,1236.0,6922.836
300554.SZ,20170509,58.9,61.61,57.52,61.61,56.01,5.6,10.0,79283.69,476656.604
300554.SZ,20170510,61.01,63.99,59.0,59.84,61.61,-1.77,-2.87,86099.15,526808.945
300554.SZ,20170511,56.5,61.14,55.0,59.9,59.84,0.06,0.1,60531.98,348476.555
300554.SZ,20170512,58.8,59.95,57.05,58.19,59.9,-1.71,-2.85,43326.15,253080.824
300554.SZ,20170515,59.0,59.99,57.21,58.6,58.19,0.41,0.7,37923.83,222605.385
300554.SZ,20170516,57.45,59.35,56.45,59.35,58.6,0.75,1.28,42354.95,245791.399
300554.SZ,20170517,58.95,60.79,57.92,58.1,59.35,-1.25,-2.11,42707.13,252477.511
300554.SZ,20170518,57.01,58.3,56.26,56.3,58.1,-1.8,-3.1,28982.17,165736.742
300554.SZ,20170519,56.33,56.95,54.98,55.0,56.3,-1.3,-2.31,21656.66,120851.856
300554.SZ,20170522,54.5,55.18,51.01,51.1,55.0,-3.9,-7.09,26024.0,137970.427
300554.SZ,20170523,51.48,52.8,50.25,50.56,51.1,-0.54,-1.06,25629.75,132013.043
300554.SZ,20170524,49.86,51.74,49.49,51.1,50.56,0.54,1.07,20193.76,102676.411
300554.SZ,20170525,50.98,50.98,48.21,49.89,51.1,-1.21,-2.37,25746.55,127667.982
300554.SZ,20170526,49.92,51.87,49.61,50.7,49.89,0.81,1.62,21064.55,106727.237
300554.SZ,20170531,53.2,55.77,52.0,52.0,50.7,1.3,2.56,44130.31,240941.34
300554.SZ,20170601,49.54,51.68,48.0,48.02,52.0,-3.98,-7.65,29017.76,144132.932
300554.SZ,20170602,47.9,49.74,46.8,49.29,48.02,1.27,2.64,17073.56,82611.748
300554.SZ,20170605,51.21,54.22,50.6,51.15,49.29,1.86,3.77,38198.0,200597.968
300554.SZ,20170606,50.69,52.72,50.65,51.87,51.15,0.72,1.41,24278.47,125180.863
300554.SZ,20170607,51.69,54.2,51.42,53.16,51.87,1.29,2.49,28951.21,153165.301
300554.SZ,20170608,52.78,53.35,50.9,51.28,53.16,-1.88,-3.54,23897.21,124403.82
300554.SZ,20170609,51.31,51.59,50.12,51.36,51.28,0.08,0.16,12564.8,63987.667
300554.SZ,20170612,50.0,50.85,48.6,48.84,51.36,-2.52,-4.91,14987.0,74493.46
300554.SZ,20170613,48.51,50.5,48.51,50.2,48.84,1.36,2.78,12154.17,60603.869
300554.SZ,20170614,50.03,50.26,49.0,49.6,50.2,-0.6,-1.2,9744.14,48450.765
300554.SZ,20170615,49.79,51.35,49.6,50.67,49.6,1.07,2.16,13612.61,69107.954
300554.SZ,20170616,50.65,50.86,49.8,50.16,50.67,-0.51,-1.01,9559.0,47955.294
