ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300558.SZ,20161107,23.19,25.3,23.19,25.3,17.57,7.73,44.0,47.64,120.318
300558.SZ,20161108,27.83,27.83,27.83,27.83,25.3,2.53,10.0,31.0,86.273
300558.SZ,20161109,30.61,30.61,30.61,30.61,27.83,2.78,9.99,63.0,192.843
300558.SZ,20161110,33.67,33.67,33.67,33.67,30.61,3.06,10.0,16.0,53.872
300558.SZ,20161111,37.04,37.04,37.04,37.04,33.67,3.37,10.01,43.0,159.272
300558.SZ,20161114,40.74,40.74,40.74,40.74,37.04,3.7,9.99,49.88,203.211
300558.SZ,20161115,44.81,44.81,44.81,44.81,40.74,4.07,9.99,58.08,260.256
300558.SZ,20161116,49.29,49.29,49.29,49.29,44.81,4.48,10.0,71.68,353.31
300558.SZ,20161117,54.22,54.22,54.22,54.22,49.29,4.93,10.0,174.74,947.44
300558.SZ,20161118,59.64,59.64,59.64,59.64,54.22,5.42,10.0,418.97,2498.737
300558.SZ,20161121,65.6,65.6,65.6,65.6,59.64,5.96,9.99,516.99,3391.454
300558.SZ,20161122,72.16,72.16,72.16,72.16,65.6,6.56,10.0,865.03,6242.056
300558.SZ,20161123,79.38,79.38,79.38,79.38,72.16,7.22,10.01,928.91,7373.687
300558.SZ,20161124,87.32,87.32,87.32,87.32,79.38,7.94,10.0,1103.12,9632.443
300558.SZ,20161125,96.05,96.05,92.5,96.05,87.32,8.73,10.0,222263.54,2097046.009
300558.SZ,20161128,98.0,99.83,90.5,90.66,96.05,-5.39,-5.61,145189.92,1374302.934
300558.SZ,20161129,89.25,89.78,82.94,83.07,90.66,-7.59,-8.37,108231.77,928901.272
300558.SZ,20161130,83.98,87.98,83.8,85.0,83.07,1.93,2.32,64538.61,554845.551
300558.SZ,20161201,83.3,86.8,83.3,85.35,85.0,0.35,0.41,48695.32,413518.452
300558.SZ,20161202,85.0,85.2,81.08,81.15,85.35,-4.2,-4.92,54652.94,452174.717
300558.SZ,20161205,80.06,84.0,79.15,81.86,81.15,0.71,0.87,34780.3,286153.343
300558.SZ,20161206,81.55,84.84,81.55,83.79,81.86,1.93,2.36,37900.63,316018.935
