ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300570.SZ,20161206,24.71,29.65,24.71,29.65,20.59,9.06,44.0,66.85,192.536
300570.SZ,20161207,32.62,32.62,32.62,32.62,29.65,2.97,10.02,3.0,9.786
300570.SZ,20161208,35.88,35.88,35.88,35.88,32.62,3.26,9.99,55.55,199.313
300570.SZ,20161209,39.47,39.47,39.47,39.47,35.88,3.59,10.01,65.0,256.555
300570.SZ,20161212,43.42,43.42,43.42,43.42,39.47,3.95,10.01,139.5,605.709
300570.SZ,20161213,47.76,47.76,47.76,47.76,43.42,4.34,10.0,150.0,716.4
300570.SZ,20161214,52.54,52.54,52.54,52.54,47.76,4.78,10.01,99.99,525.347
300570.SZ,20161215,57.79,57.79,57.79,57.79,52.54,5.25,9.99,189.99,1097.952
300570.SZ,20161216,63.57,63.57,63.57,63.57,57.79,5.78,10.0,352.72,2242.241
300570.SZ,20161219,69.93,69.93,69.93,69.93,63.57,6.36,10.0,2146.47,15010.264
300570.SZ,20161220,69.93,76.81,65.88,71.8,69.93,1.87,2.67,168794.14,1180378.123
300570.SZ,20161221,68.0,69.56,64.62,64.62,71.8,-7.18,-10.0,114893.01,764303.654
300570.SZ,20161222,63.0,65.93,62.23,63.15,64.62,-1.47,-2.27,79472.12,507986.384
300570.SZ,20161223,62.4,62.78,57.77,57.88,63.15,-5.27,-8.35,81849.3,492386.618
300570.SZ,20161226,56.8,58.97,55.22,58.34,57.88,0.46,0.79,54087.49,309277.936
300570.SZ,20161227,58.09,58.87,56.72,57.32,58.34,-1.02,-1.75,42359.33,243910.347
300570.SZ,20161228,57.0,57.4,56.08,56.35,57.32,-0.97,-1.69,32724.87,185399.17
300570.SZ,20161229,56.34,57.25,55.65,55.65,56.35,-0.7,-1.24,34666.43,196079.371
300570.SZ,20161230,55.24,55.98,54.52,55.3,55.65,-0.35,-0.63,33305.36,183874.862
300570.SZ,20170103,55.6,57.28,55.32,56.9,55.3,1.6,2.89,41218.95,232493.498
300570.SZ,20170104,56.77,57.85,56.17,57.25,56.9,0.35,0.62,41990.02,239724.659
300570.SZ,20170105,57.38,58.98,56.25,56.39,57.25,-0.86,-1.5,44525.01,257852.306
300570.SZ,20170106,55.5,55.5,52.21,52.38,56.39,-4.01,-7.11,50415.7,271608.0
300570.SZ,20170109,51.23,52.66,51.2,51.84,52.38,-0.54,-1.03,21029.91,109060.136
300570.SZ,20170110,52.01,52.97,51.51,51.8,51.84,-0.04,-0.08,19666.86,102924.92
300570.SZ,20170111,52.01,52.18,48.75,48.99,51.8,-2.81,-5.42,34694.77,174469.312
300570.SZ,20170112,49.2,50.25,48.1,48.49,48.99,-0.5,-1.02,24203.56,118949.282
300570.SZ,20170113,48.6,48.77,45.88,46.08,48.49,-2.41,-4.97,30372.01,142474.617
300570.SZ,20170116,45.58,45.58,41.68,43.55,46.08,-2.53,-5.49,37056.47,164018.086
300570.SZ,20170117,43.02,47.91,43.01,47.8,43.55,4.25,9.76,67615.24,313510.119
300570.SZ,20170118,46.84,46.98,44.98,45.0,47.8,-2.8,-5.86,42532.64,195471.783
300570.SZ,20170119,44.5,46.94,43.6,45.45,45.0,0.45,1.0,38567.85,175967.334
300570.SZ,20170120,45.1,47.48,44.83,46.7,45.45,1.25,2.75,37623.11,175900.016
300570.SZ,20170123,46.51,47.69,46.31,47.18,46.7,0.48,1.03,26404.41,124446.488
300570.SZ,20170124,46.96,46.96,45.22,45.32,47.18,-1.86,-3.94,26381.46,121002.635
300570.SZ,20170125,45.0,46.69,44.88,46.32,45.32,1.0,2.21,21907.33,101080.159
300570.SZ,20170126,46.29,47.25,45.78,46.36,46.32,0.04,0.09,19426.51,90098.713
300570.SZ,20170203,46.45,46.45,44.87,45.59,46.36,-0.77,-1.66,19660.42,89438.683
300570.SZ,20170206,46.4,47.98,46.31,47.97,45.59,2.38,5.22,36202.64,171314.856
300570.SZ,20170207,48.0,48.08,46.82,47.4,47.97,-0.57,-1.19,26610.76,126049.385
300570.SZ,20170208,47.0,49.5,46.84,48.72,47.4,1.32,2.78,36006.09,173246.791
300570.SZ,20170209,48.56,49.3,48.25,48.72,48.72,0.0,0.0,28670.65,140065.205
300570.SZ,20170210,48.73,49.0,47.06,47.87,48.72,-0.85,-1.74,29741.29,142292.775
300570.SZ,20170213,47.55,49.43,47.4,48.91,47.87,1.04,2.17,29481.02,143433.055
300570.SZ,20170214,48.8,49.1,48.18,49.0,48.91,0.09,0.18,24804.44,120853.208
300570.SZ,20170215,48.71,50.55,48.61,49.0,49.0,0.0,0.0,44316.76,219819.399
300570.SZ,20170216,48.5,48.87,47.4,48.17,49.0,-0.83,-1.69,27098.75,130046.849
300570.SZ,20170217,48.2,48.97,47.16,47.28,48.17,-0.89,-1.85,26322.6,126127.773
300570.SZ,20170220,46.69,46.99,43.14,44.65,47.28,-2.63,-5.56,43756.19,196086.748
300570.SZ,20170221,44.42,45.72,44.42,45.42,44.65,0.77,1.72,22146.49,100081.962
300570.SZ,20170222,45.5,45.7,44.63,45.22,45.42,-0.2,-0.44,19672.88,88784.838
300570.SZ,20170223,45.2,46.67,45.0,46.24,45.22,1.02,2.26,28639.12,131402.324
300570.SZ,20170224,46.2,50.86,46.01,49.6,46.24,3.36,7.27,75676.37,370713.127
300570.SZ,20170227,49.6,50.85,48.7,50.45,49.6,0.85,1.71,66155.3,330889.082
300570.SZ,20170228,49.8,50.43,49.06,50.32,50.45,-0.13,-0.26,35817.02,178683.473
300570.SZ,20170301,50.4,51.0,49.22,49.3,50.32,-1.02,-2.03,42772.62,213995.446
300570.SZ,20170302,49.38,49.84,48.5,49.31,49.3,0.01,0.02,35723.45,176192.493
300570.SZ,20170303,48.95,49.96,48.21,49.61,49.31,0.3,0.61,27884.1,137568.32
300570.SZ,20170306,49.61,51.93,49.51,51.78,49.61,2.17,4.37,47484.03,241882.014
300570.SZ,20170307,51.85,52.95,51.31,52.29,51.78,0.51,0.98,50268.21,262156.182
300570.SZ,20170308,52.05,52.5,50.93,51.47,52.29,-0.82,-1.57,33913.9,175150.779
300570.SZ,20170309,51.2,51.36,49.99,50.13,51.47,-1.34,-2.6,31539.06,159127.224
300570.SZ,20170310,49.8,51.75,49.8,51.62,50.13,1.49,2.97,35646.37,181810.683
300570.SZ,20170313,51.5,52.58,50.5,52.55,51.62,0.93,1.8,37147.63,191797.648
300570.SZ,20170314,52.2,53.08,51.55,51.79,52.55,-0.76,-1.45,40780.96,213414.955
300570.SZ,20170315,51.39,53.16,50.69,52.91,51.79,1.12,2.16,42729.71,222490.405
300570.SZ,20170316,52.86,54.88,52.8,53.67,52.91,0.76,1.44,57824.18,311817.179
300570.SZ,20170317,53.79,55.27,52.06,52.12,53.67,-1.55,-2.89,59756.83,321666.065
300570.SZ,20170320,51.51,53.77,51.4,53.76,52.12,1.64,3.15,35802.98,188220.375
300570.SZ,20170321,53.65,54.31,53.18,54.08,53.76,0.32,0.6,34414.0,185184.862
300570.SZ,20170322,53.5,54.93,52.72,54.5,54.08,0.42,0.78,43752.07,235416.174
300570.SZ,20170323,54.47,56.12,52.86,55.43,54.5,0.93,1.71,66944.73,367333.773
300570.SZ,20170324,54.95,55.72,54.51,55.12,55.43,-0.31,-0.56,39864.93,219875.808
300570.SZ,20170327,55.12,55.18,53.75,54.08,55.12,-1.04,-1.89,31622.05,171483.348
300570.SZ,20170328,53.99,54.35,51.86,52.06,54.08,-2.02,-3.74,33976.28,180582.592
300570.SZ,20170329,51.96,52.47,48.64,48.82,52.06,-3.24,-6.22,39770.35,198950.742
300570.SZ,20170330,48.82,48.86,46.42,46.88,48.82,-1.94,-3.97,28716.6,136254.793
300570.SZ,20170331,47.18,47.57,46.5,47.22,46.88,0.34,0.73,15625.26,73547.484
300570.SZ,20170405,47.5,48.42,47.38,48.35,47.22,1.13,2.39,17006.28,81574.612
300570.SZ,20170406,48.33,49.3,48.04,48.52,48.35,0.17,0.35,16484.1,80305.235
300570.SZ,20170407,48.4,48.57,47.22,47.35,48.52,-1.17,-2.41,17134.4,81939.813
300570.SZ,20170410,46.92,46.92,43.45,43.85,47.35,-3.5,-7.39,33727.15,151290.368
300570.SZ,20170411,43.71,45.42,43.6,45.42,43.85,1.57,3.58,20431.1,90706.826
300570.SZ,20170412,46.07,47.25,45.43,45.79,45.42,0.37,0.81,22867.37,106197.184
300570.SZ,20170413,45.5,46.81,45.5,46.06,45.79,0.27,0.59,12892.5,59759.056
300570.SZ,20170414,45.8,46.3,44.89,45.0,46.06,-1.06,-2.3,13731.37,62618.78
300570.SZ,20170417,43.0,43.85,41.68,43.35,45.0,-1.65,-3.67,15860.75,68356.438
300570.SZ,20170418,43.35,43.94,42.69,42.71,43.35,-0.64,-1.48,10146.0,44002.064
300570.SZ,20170419,43.0,43.87,42.36,43.82,42.71,1.11,2.6,14587.85,63334.263
300570.SZ,20170420,43.53,44.18,42.6,43.54,43.82,-0.28,-0.64,12311.0,53529.783
300570.SZ,20170421,43.41,44.0,43.36,43.42,43.54,-0.12,-0.28,7861.7,34284.74
300570.SZ,20170424,43.38,43.48,42.14,42.8,43.42,-0.62,-1.43,9402.5,40181.468
300570.SZ,20170425,42.74,44.38,42.74,43.49,42.8,0.69,1.61,10815.44,47253.061
300570.SZ,20170426,43.89,44.37,43.5,44.02,43.49,0.53,1.22,12317.79,54214.306
300570.SZ,20170427,44.2,45.48,43.02,45.35,44.02,1.33,3.02,20983.7,93149.536
300570.SZ,20170428,45.12,45.53,45.0,45.23,45.35,-0.12,-0.26,11956.5,54090.745
300570.SZ,20170502,45.2,45.9,44.7,45.29,45.23,0.06,0.13,10840.58,49028.986
300570.SZ,20170503,45.27,45.5,44.38,45.08,45.29,-0.21,-0.46,10031.69,45164.771
300570.SZ,20170504,44.59,45.18,43.71,43.89,45.08,-1.19,-2.64,11221.01,50065.719
300570.SZ,20170505,43.65,44.3,42.9,43.27,43.89,-0.62,-1.41,17662.44,76916.536
300570.SZ,20170508,42.85,43.27,42.36,42.36,43.27,-0.91,-2.1,9850.72,42211.387
300570.SZ,20170509,41.96,43.25,41.82,42.95,42.36,0.59,1.39,10177.99,43364.158
300570.SZ,20170510,43.0,43.68,42.38,42.39,42.95,-0.56,-1.3,12632.68,54440.728
300570.SZ,20170511,41.85,42.72,40.72,42.61,42.39,0.22,0.52,14058.14,58841.671
300570.SZ,20170512,42.61,42.97,42.03,42.61,42.61,0.0,0.0,8733.14,37154.666
300570.SZ,20170515,42.68,42.98,42.43,42.58,42.61,-0.03,-0.07,6277.46,26783.606
