ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300580.SZ,20170111,12.49,13.81,12.49,13.81,9.59,4.22,44.0,91.81,126.647
300580.SZ,20170112,15.19,15.19,15.19,15.19,13.81,1.38,9.99,40.81,61.99
300580.SZ,20170113,16.71,16.71,16.71,16.71,15.19,1.52,10.01,71.0,118.641
300580.SZ,20170116,18.38,18.38,18.38,18.38,16.71,1.67,9.99,367.62,675.685
300580.SZ,20170117,20.22,20.22,20.22,20.22,18.38,1.84,10.01,366.75,741.568
300580.SZ,20170118,22.24,22.24,22.24,22.24,20.22,2.02,9.99,448.0,996.352
300580.SZ,20170119,24.46,24.46,24.46,24.46,22.24,2.22,9.98,840.0,2054.64
300580.SZ,20170120,25.11,26.91,24.02,26.91,24.46,2.45,10.02,206127.48,526955.291
300580.SZ,20170123,27.8,28.48,26.11,26.97,26.91,0.06,0.22,260811.83,710404.233
300580.SZ,20170124,26.58,26.6,24.3,24.33,26.97,-2.64,-9.79,196029.17,495423.322
300580.SZ,20170125,23.6,25.08,23.4,24.83,24.33,0.5,2.06,140613.23,344525.595
300580.SZ,20170126,24.92,25.5,24.7,25.24,24.83,0.41,1.65,101591.91,255173.126
300580.SZ,20170203,25.1,25.2,24.52,24.66,25.24,-0.58,-2.3,73647.48,182749.639
300580.SZ,20170206,25.15,27.13,25.15,27.13,24.66,2.47,10.02,172211.03,453690.493
300580.SZ,20170207,27.0,27.84,26.45,27.84,27.13,0.71,2.62,180336.24,488375.088
300580.SZ,20170208,27.39,30.58,27.3,29.25,27.84,1.41,5.06,204904.27,598822.054
300580.SZ,20170209,28.82,29.64,28.44,28.92,29.25,-0.33,-1.13,142577.6,412768.417
300580.SZ,20170210,28.95,29.5,27.95,27.95,28.92,-0.97,-3.35,116457.22,333253.793
300580.SZ,20170213,27.8,29.98,27.4,29.17,27.95,1.22,4.36,133611.26,385173.69
300580.SZ,20170214,29.0,30.19,28.8,29.62,29.17,0.45,1.54,131394.04,387568.98
300580.SZ,20170215,29.42,32.28,29.19,30.36,29.62,0.74,2.5,174962.45,543529.757
300580.SZ,20170216,29.61,30.18,28.88,29.7,30.36,-0.66,-2.17,111413.18,328526.321
300580.SZ,20170217,29.93,30.98,28.7,28.91,29.7,-0.79,-2.66,100157.69,298349.701
300580.SZ,20170220,28.2,28.5,26.92,27.76,28.91,-1.15,-3.98,85872.7,237675.191
300580.SZ,20170221,27.6,28.64,27.57,28.37,27.76,0.61,2.2,70221.1,198437.475
300580.SZ,20170222,28.37,28.79,27.86,28.2,28.37,-0.17,-0.6,59141.29,167145.222
300580.SZ,20170223,28.06,29.55,28.06,29.53,28.2,1.33,4.72,93333.72,269753.047
300580.SZ,20170224,29.53,30.5,29.38,29.81,29.53,0.28,0.95,105379.26,315742.907
300580.SZ,20170227,29.41,30.99,29.4,30.39,29.81,0.58,1.95,97054.02,292875.134
300580.SZ,20170228,30.27,31.14,29.73,31.05,30.39,0.66,2.17,101213.76,308109.437
300580.SZ,20170301,30.9,31.26,29.83,29.9,31.05,-1.15,-3.7,99766.79,303790.942
300580.SZ,20170302,29.75,31.18,29.6,30.83,29.9,0.93,3.11,101511.89,310212.459
300580.SZ,20170303,30.5,31.25,29.9,30.82,30.83,-0.01,-0.03,81898.24,250434.157
300580.SZ,20170306,31.0,32.26,30.6,32.03,30.82,1.21,3.93,123384.02,389623.887
300580.SZ,20170307,32.27,35.23,32.25,32.93,32.03,0.9,2.81,201841.08,678099.569
300580.SZ,20170308,32.6,34.7,32.32,34.64,32.93,1.71,5.19,170710.22,572281.63
300580.SZ,20170309,34.0,34.2,32.9,33.11,34.64,-1.53,-4.42,116433.62,389325.861
300580.SZ,20170310,33.28,33.29,32.28,32.32,33.11,-0.79,-2.39,78540.1,256729.434
300580.SZ,20170313,32.37,33.94,31.5,33.85,32.32,1.53,4.73,102652.64,337116.771
300580.SZ,20170314,33.62,33.98,33.2,33.25,33.85,-0.6,-1.77,93357.42,313504.22
300580.SZ,20170315,33.05,33.59,32.5,32.95,33.25,-0.3,-0.9,62163.36,205485.072
300580.SZ,20170316,33.33,34.46,33.25,33.88,32.95,0.93,2.82,106706.24,362096.732
300580.SZ,20170317,33.99,34.62,32.0,32.18,33.88,-1.7,-5.02,127792.17,427278.905
300580.SZ,20170320,31.7,32.94,31.65,32.9,32.18,0.72,2.24,60453.42,196518.266
300580.SZ,20170321,32.75,33.97,32.71,33.91,32.9,1.01,3.07,83724.87,280731.771
300580.SZ,20170322,33.59,34.56,33.08,34.33,33.91,0.42,1.24,102751.98,348115.575
300580.SZ,20170323,34.63,34.63,32.5,33.51,34.33,-0.82,-2.39,95903.56,321950.506
300580.SZ,20170324,33.19,34.5,33.13,34.05,33.51,0.54,1.61,79287.57,268773.201
300580.SZ,20170327,34.43,35.4,33.8,34.89,34.05,0.84,2.47,111770.02,387725.541
300580.SZ,20170328,34.6,34.87,33.5,33.58,34.89,-1.31,-3.75,77203.4,262844.459
300580.SZ,20170329,33.5,33.7,31.13,31.2,33.58,-2.38,-7.09,85177.77,273965.844
300580.SZ,20170330,30.6,30.79,29.14,29.75,31.2,-1.45,-4.65,68126.67,204447.011
300580.SZ,20170331,29.77,30.38,29.4,29.72,29.75,-0.03,-0.1,38650.02,115713.73
300580.SZ,20170405,29.54,30.36,28.68,30.18,29.72,0.46,1.55,39981.4,119101.866
300580.SZ,20170406,30.05,30.88,29.93,30.12,30.18,-0.06,-0.2,40850.78,124147.992
300580.SZ,20170407,30.03,30.18,28.9,29.01,30.12,-1.11,-3.69,45202.52,133376.042
300580.SZ,20170410,28.81,28.81,26.33,26.52,29.01,-2.49,-8.58,57013.5,156399.163
300580.SZ,20170411,26.52,27.49,26.35,27.31,26.52,0.79,2.98,39755.36,107157.254
300580.SZ,20170412,27.16,27.2,26.52,26.54,27.31,-0.77,-2.82,26979.83,72359.539
300580.SZ,20170413,26.6,27.17,26.36,26.68,26.54,0.14,0.53,20612.6,55377.849
300580.SZ,20170414,26.53,26.67,26.01,26.31,26.68,-0.37,-1.39,19544.94,51502.325
300580.SZ,20170417,24.99,25.61,24.38,24.6,26.31,-1.71,-6.5,35959.29,89544.142
300580.SZ,20170418,24.76,25.09,24.45,24.66,24.6,0.06,0.24,19641.49,48706.052
300580.SZ,20170419,24.61,25.56,24.6,25.54,24.66,0.88,3.57,32128.73,80774.624
300580.SZ,20170420,25.51,25.71,24.75,25.49,25.54,-0.05,-0.2,27273.44,68872.475
300580.SZ,20170421,25.47,25.85,25.2,25.23,25.49,-0.26,-1.02,19225.76,49093.187
300580.SZ,20170424,25.0,25.2,24.08,24.75,25.23,-0.48,-1.9,22603.02,55571.624
300580.SZ,20170425,24.98,25.57,24.81,25.22,24.75,0.47,1.9,23195.93,58746.175
300580.SZ,20170426,25.19,25.88,25.1,25.6,25.22,0.38,1.51,26479.93,67685.712
300580.SZ,20170427,25.61,26.45,24.94,26.35,25.6,0.75,2.93,40393.96,104359.387
300580.SZ,20170428,26.36,26.54,26.05,26.37,26.35,0.02,0.08,27671.39,72779.516
300580.SZ,20170502,26.4,26.81,26.25,26.48,26.37,0.11,0.42,27992.5,74249.948
300580.SZ,20170503,26.43,26.81,26.09,26.8,26.48,0.32,1.21,29541.56,78149.326
300580.SZ,20170504,26.81,26.88,26.2,26.35,26.8,-0.45,-1.68,24470.21,65027.926
300580.SZ,20170505,26.1,26.62,25.52,25.61,26.35,-0.74,-2.81,24950.32,65440.881
300580.SZ,20170508,25.4,25.4,24.21,24.43,25.61,-1.18,-4.61,25553.29,63686.084
300580.SZ,20170509,24.43,25.25,24.43,25.1,24.43,0.67,2.74,20226.27,50297.364
300580.SZ,20170510,25.24,25.39,24.1,24.2,25.1,-0.9,-3.59,26704.72,66524.294
300580.SZ,20170511,24.04,24.65,23.6,24.61,24.2,0.41,1.69,26896.94,64986.912
300580.SZ,20170512,24.35,24.83,24.21,24.61,24.61,0.0,0.0,20762.12,51007.112
300580.SZ,20170515,24.8,24.97,24.4,24.49,24.61,-0.12,-0.49,16805.7,41480.776
300580.SZ,20170516,24.47,25.19,23.83,25.17,24.49,0.68,2.78,30092.21,73820.497
300580.SZ,20170517,25.13,25.68,24.98,25.26,25.17,0.09,0.36,30957.26,78360.256
300580.SZ,20170518,25.0,25.46,24.89,24.94,25.26,-0.32,-1.27,21204.85,53397.31
300580.SZ,20170519,25.02,25.28,24.8,24.94,24.94,0.0,0.0,15865.67,39703.701
300580.SZ,20170522,24.98,25.33,23.56,23.62,24.94,-1.32,-5.29,28511.4,69815.632
300580.SZ,20170523,23.59,23.75,21.81,21.88,23.62,-1.74,-7.37,34977.79,79125.502
300580.SZ,20170524,21.89,22.44,21.41,22.27,21.88,0.39,1.78,19008.78,41909.518
300580.SZ,20170525,22.23,22.59,21.43,22.39,22.27,0.12,0.54,22260.4,48971.512
300580.SZ,20170526,22.4,23.0,22.17,22.58,22.39,0.19,0.85,20883.68,47056.247
300580.SZ,20170531,23.45,23.8,22.48,22.48,22.58,-0.1,-0.44,28881.17,67063.981
300580.SZ,20170601,22.3,22.4,21.11,21.23,22.48,-1.25,-5.56,28858.37,62765.859
300580.SZ,20170602,21.02,22.0,20.88,21.89,21.23,0.66,3.11,19915.37,42850.662
300580.SZ,20170605,22.13,22.5,22.07,22.08,21.89,0.19,0.87,18269.25,40713.869
300580.SZ,20170606,21.88,22.27,21.85,22.2,22.08,0.12,0.54,12621.62,27855.353
300580.SZ,20170607,22.21,23.88,22.06,23.8,22.2,1.6,7.21,45486.39,105271.738
