ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300584.SZ,20170112,13.33,16.0,13.33,16.0,11.11,4.89,44.01,91.0,144.663
300584.SZ,20170113,17.6,17.6,17.6,17.6,16.0,1.6,10.0,29.0,51.04
300584.SZ,20170116,19.36,19.36,19.36,19.36,17.6,1.76,10.0,46.0,89.056
300584.SZ,20170117,21.3,21.3,21.3,21.3,19.36,1.94,10.02,70.0,149.1
300584.SZ,20170118,23.43,23.43,23.43,23.43,21.3,2.13,10.0,31.0,72.633
300584.SZ,20170119,25.77,25.77,25.77,25.77,23.43,2.34,9.99,310.16,799.282
300584.SZ,20170120,28.35,28.35,28.35,28.35,25.77,2.58,10.01,434.7,1232.374
300584.SZ,20170123,31.19,31.19,31.19,31.19,28.35,2.84,10.02,283.0,882.677
300584.SZ,20170124,34.31,34.31,34.31,34.31,31.19,3.12,10.0,365.0,1252.315
300584.SZ,20170125,37.74,37.74,37.74,37.74,34.31,3.43,10.0,534.0,2015.316
300584.SZ,20170126,41.51,41.51,41.51,41.51,37.74,3.77,9.99,2117.83,8791.112
300584.SZ,20170203,41.9,44.2,41.21,42.46,41.51,0.95,2.29,109617.41,469379.112
300584.SZ,20170206,42.8,45.27,42.46,45.12,42.46,2.66,6.26,93559.07,411212.094
300584.SZ,20170207,44.51,44.53,43.33,43.89,45.12,-1.23,-2.73,68569.08,301125.351
300584.SZ,20170208,43.95,46.0,43.95,45.49,43.89,1.6,3.65,70166.52,315756.734
300584.SZ,20170209,45.03,46.5,44.51,44.86,45.49,-0.63,-1.38,56189.66,254591.579
300584.SZ,20170210,45.05,45.33,43.25,43.38,44.86,-1.48,-3.3,44953.08,198331.592
300584.SZ,20170213,43.09,45.53,43.09,45.23,43.38,1.85,4.26,49583.29,220991.096
300584.SZ,20170214,45.06,45.98,44.92,45.47,45.23,0.24,0.53,44772.99,203087.954
300584.SZ,20170215,45.48,48.9,45.31,46.24,45.47,0.77,1.69,72666.86,340863.447
300584.SZ,20170216,45.86,46.22,44.62,45.83,46.24,-0.41,-0.89,45009.68,205079.889
300584.SZ,20170217,45.7,46.98,45.0,46.12,45.83,0.29,0.63,39615.5,182654.308
300584.SZ,20170220,46.1,46.1,42.51,43.88,46.12,-2.24,-4.86,33947.2,149154.19
300584.SZ,20170221,43.65,44.89,43.52,44.54,43.88,0.66,1.5,21719.27,96354.026
300584.SZ,20170222,44.5,44.87,43.81,44.4,44.54,-0.14,-0.31,19574.61,86790.049
300584.SZ,20170223,44.48,46.19,44.24,45.95,44.4,1.55,3.49,32310.42,146507.965
300584.SZ,20170224,45.55,49.74,45.55,48.75,45.95,2.8,6.09,53661.15,258852.747
300584.SZ,20170227,48.0,48.79,47.55,48.2,48.75,-0.55,-1.13,35836.77,172244.834
300584.SZ,20170228,47.85,48.0,46.25,47.5,48.2,-0.7,-1.45,32295.71,151661.931
