ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300600.SZ,20170125,18.13,19.77,18.13,19.77,13.73,6.04,43.99,63.38,125.138
300600.SZ,20170126,21.75,21.75,21.75,21.75,19.77,1.98,10.02,43.0,93.525
300600.SZ,20170203,23.93,23.93,23.93,23.93,21.75,2.18,10.02,30.55,73.106
300600.SZ,20170206,26.32,26.32,26.32,26.32,23.93,2.39,9.99,57.38,151.024
300600.SZ,20170207,28.95,28.95,28.95,28.95,26.32,2.63,9.99,74.0,214.23
300600.SZ,20170208,31.85,31.85,31.85,31.85,28.95,2.9,10.02,84.44,268.941
300600.SZ,20170209,35.04,35.04,35.04,35.04,31.85,3.19,10.02,87.86,307.861
300600.SZ,20170210,38.54,38.54,38.54,38.54,35.04,3.5,9.99,88.0,339.152
300600.SZ,20170213,42.39,42.39,42.39,42.39,38.54,3.85,9.99,203.06,860.771
300600.SZ,20170214,46.63,46.63,46.63,46.63,42.39,4.24,10.0,254.88,1188.505
300600.SZ,20170215,51.29,51.29,51.29,51.29,46.63,4.66,9.99,633.9,3251.273
300600.SZ,20170216,56.42,56.42,56.42,56.42,51.29,5.13,10.0,639.19,3606.309
300600.SZ,20170217,62.06,62.06,62.06,62.06,56.42,5.64,10.0,1213.57,7531.415
300600.SZ,20170220,62.65,63.45,55.85,55.85,62.06,-6.21,-10.01,127627.69,741045.55
300600.SZ,20170221,55.51,61.19,55.51,58.9,55.85,3.05,5.46,101636.42,592605.652
300600.SZ,20170222,60.8,64.79,59.18,64.79,58.9,5.89,10.0,107983.87,671735.542
300600.SZ,20170223,63.5,70.06,62.8,67.86,64.79,3.07,4.74,97553.02,648769.955
300600.SZ,20170224,68.5,74.65,67.51,73.88,67.86,6.02,8.87,78340.41,558849.817
300600.SZ,20170227,73.88,73.9,69.01,69.85,73.88,-4.03,-5.45,68209.91,482174.062
300600.SZ,20170228,69.35,75.76,69.31,73.57,69.85,3.72,5.33,70974.78,514228.684
300600.SZ,20170301,72.0,72.5,68.8,69.09,73.57,-4.48,-6.09,61105.68,430815.546
300600.SZ,20170302,68.37,71.3,68.37,69.2,69.09,0.11,0.16,40422.66,282569.405
300600.SZ,20170303,68.88,72.5,66.66,71.24,69.2,2.04,2.95,51379.32,359323.037
300600.SZ,20170306,71.2,75.5,71.2,72.06,71.24,0.82,1.15,44246.6,324188.356
300600.SZ,20170307,71.96,73.88,71.22,72.95,72.06,0.89,1.24,35276.63,254873.332
300600.SZ,20170308,72.44,74.78,70.71,71.65,72.95,-1.3,-1.78,41750.98,303574.657
300600.SZ,20170309,71.0,71.0,68.77,69.68,71.65,-1.97,-2.75,32256.88,224469.201
300600.SZ,20170310,69.0,70.33,66.58,66.75,69.68,-2.93,-4.2,32627.95,222992.301
300600.SZ,20170313,67.13,71.18,67.1,71.08,66.75,4.33,6.49,37663.49,260346.773
300600.SZ,20170314,70.9,72.32,69.55,71.0,71.08,-0.08,-0.11,32873.03,232982.107
300600.SZ,20170315,70.4,72.0,69.69,70.0,71.0,-1.0,-1.41,26277.98,185685.845
300600.SZ,20170316,70.0,73.31,69.9,72.82,70.0,2.82,4.03,37251.03,267816.555
300600.SZ,20170317,72.11,73.88,69.79,69.91,72.82,-2.91,-4.0,41019.46,294008.175
300600.SZ,20170320,69.8,71.1,68.51,71.1,69.91,1.19,1.7,21416.89,150236.224
300600.SZ,20170321,71.1,73.31,70.52,72.45,71.1,1.35,1.9,35554.44,256049.173
300600.SZ,20170322,71.7,74.98,71.31,74.39,72.45,1.94,2.68,42453.51,311655.0
300600.SZ,20170323,74.02,75.46,70.85,72.45,74.39,-1.94,-2.61,41630.13,303757.143
300600.SZ,20170324,72.02,74.4,71.46,73.86,72.45,1.41,1.95,30843.6,225330.027
300600.SZ,20170327,74.5,81.25,73.03,81.25,73.86,7.39,10.01,50432.28,391608.461
300600.SZ,20170328,81.48,85.0,78.35,79.67,81.25,-1.58,-1.94,67400.63,548859.648
300600.SZ,20170329,79.0,79.45,74.01,74.52,79.67,-5.15,-6.46,46309.68,353074.393
300600.SZ,20170330,73.0,73.73,68.12,68.3,74.52,-6.22,-8.35,45141.57,319805.106
300600.SZ,20170331,68.8,70.98,65.73,69.48,68.3,1.18,1.73,35876.64,246950.301
300600.SZ,20170405,67.0,69.6,65.9,68.72,69.48,-0.76,-1.09,32783.36,223269.662
300600.SZ,20170406,68.48,71.2,68.02,69.27,68.72,0.55,0.8,19741.0,137605.084
300600.SZ,20170407,69.3,71.8,68.2,69.0,69.27,-0.27,-0.39,25344.66,177498.818
300600.SZ,20170410,70.1,70.5,65.27,65.27,69.0,-3.73,-5.41,30355.5,206063.677
300600.SZ,20170411,64.0,69.5,63.0,68.88,65.27,3.61,5.53,30493.12,201352.907
300600.SZ,20170412,68.23,69.95,65.84,65.84,68.88,-3.04,-4.41,21483.47,145373.726
300600.SZ,20170413,66.06,67.3,65.3,65.43,65.84,-0.41,-0.62,11405.58,75758.971
300600.SZ,20170414,65.4,66.85,65.39,65.88,65.43,0.45,0.69,11185.54,73917.884
300600.SZ,20170417,62.8,62.8,59.29,59.29,65.88,-6.59,-10.0,21451.17,129018.983
300600.SZ,20170418,59.0,59.69,57.0,57.05,59.29,-2.24,-3.78,19321.58,112350.355
300600.SZ,20170419,56.6,60.36,56.36,59.3,57.05,2.25,3.94,18453.34,108981.087
300600.SZ,20170420,58.96,59.83,54.61,55.83,59.3,-3.47,-5.85,22782.43,128953.714
300600.SZ,20170421,56.1,57.5,56.0,56.4,55.83,0.57,1.02,11552.0,65599.951
300600.SZ,20170424,56.11,57.6,55.8,56.72,56.4,0.32,0.57,11776.34,66947.071
300600.SZ,20170425,56.34,59.4,56.34,59.25,56.72,2.53,4.46,15639.27,91205.596
300600.SZ,20170426,59.25,59.98,58.04,59.21,59.25,-0.04,-0.07,14257.71,84143.837
300600.SZ,20170427,58.75,61.82,56.6,61.01,59.21,1.8,3.04,22492.15,133040.559
300600.SZ,20170428,60.84,62.38,60.4,62.0,61.01,0.99,1.62,14571.04,89936.136
300600.SZ,20170502,61.98,62.1,60.7,61.02,62.0,-0.98,-1.58,9547.19,58534.583
300600.SZ,20170503,61.11,61.89,59.61,61.1,61.02,0.08,0.13,10821.32,65901.492
300600.SZ,20170504,60.9,61.19,59.53,59.68,61.1,-1.42,-2.32,8314.52,49962.5
300600.SZ,20170505,59.8,60.2,58.75,58.75,59.68,-0.93,-1.56,8183.76,48540.724
300600.SZ,20170508,58.5,58.6,55.85,56.4,58.75,-2.35,-4.0,12169.46,69593.7
300600.SZ,20170509,56.76,58.99,56.01,58.96,56.4,2.56,4.54,13629.21,78531.879
300600.SZ,20170510,58.8,59.65,56.38,56.43,58.96,-2.53,-4.29,9566.54,55675.103
300600.SZ,20170511,55.93,58.56,55.85,58.38,56.43,1.95,3.46,12473.78,71268.697
300600.SZ,20170512,58.15,59.28,57.9,59.21,58.38,0.83,1.42,8575.18,50269.291
300600.SZ,20170515,59.02,61.39,59.02,60.27,59.21,1.06,1.79,10795.12,65298.088
300600.SZ,20170516,59.0,61.09,58.61,61.02,60.27,0.75,1.24,10141.81,60431.732
300600.SZ,20170517,61.0,61.98,60.82,61.79,61.02,0.77,1.26,13345.27,82014.349
300600.SZ,20170518,60.92,62.58,60.81,62.58,61.79,0.79,1.28,11640.86,72156.101
300600.SZ,20170519,63.77,68.49,62.88,67.31,62.58,4.73,7.56,59860.13,400853.996
300600.SZ,20170522,65.0,65.72,60.58,60.58,67.31,-6.73,-10.0,27945.72,173603.497
300600.SZ,20170523,57.15,59.33,54.52,54.52,60.58,-6.06,-10.0,26857.6,152369.88
300600.SZ,20170524,53.92,55.88,51.11,55.86,54.52,1.34,2.46,16960.97,90395.582
300600.SZ,20170525,55.3,56.55,53.36,55.12,55.86,-0.74,-1.32,11529.76,63304.533
300600.SZ,20170526,55.52,55.7,54.51,55.3,55.12,0.18,0.33,7732.53,42705.326
300600.SZ,20170531,57.6,57.69,55.78,56.36,55.3,1.06,1.92,13697.62,77938.886
300600.SZ,20170601,56.0,56.6,53.78,54.63,56.36,-1.73,-3.07,8897.91,49207.058
300600.SZ,20170602,54.61,56.36,53.18,56.2,54.63,1.57,2.87,6610.94,36387.87
300600.SZ,20170605,57.66,57.66,56.61,56.97,56.2,0.77,1.37,7669.2,43813.751
300600.SZ,20170606,56.34,57.45,56.34,57.25,56.97,0.28,0.49,6637.0,37921.128
300600.SZ,20170607,57.28,59.88,57.26,59.19,57.25,1.94,3.39,14216.56,83651.465
300600.SZ,20170608,59.19,59.7,58.06,58.3,59.19,-0.89,-1.5,8872.47,51970.1
