ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300651.SZ,20170509,16.45,19.74,16.45,19.74,13.71,6.03,43.98,70.0,137.031
300651.SZ,20170510,21.71,21.71,21.71,21.71,19.74,1.97,9.98,44.0,95.524
300651.SZ,20170511,23.88,23.88,23.88,23.88,21.71,2.17,10.0,21.0,50.148
300651.SZ,20170512,26.27,26.27,26.27,26.27,23.88,2.39,10.01,61.22,160.824
300651.SZ,20170515,28.9,28.9,28.9,28.9,26.27,2.63,10.01,46.0,132.94
300651.SZ,20170516,31.79,31.79,31.79,31.79,28.9,2.89,10.0,193.0,613.547
300651.SZ,20170517,34.97,34.97,34.97,34.97,31.79,3.18,10.0,108.0,377.676
300651.SZ,20170518,38.47,38.47,38.47,38.47,34.97,3.5,10.01,234.67,902.775
300651.SZ,20170519,42.32,42.32,42.32,42.32,38.47,3.85,10.01,2865.58,12127.134
300651.SZ,20170522,43.3,46.55,41.87,43.88,42.32,1.56,3.69,123116.44,553417.173
300651.SZ,20170523,40.1,42.46,39.49,39.49,43.88,-4.39,-10.0,86293.77,352364.213
300651.SZ,20170524,37.82,41.99,37.82,40.47,39.49,0.98,2.48,70235.27,281697.412
300651.SZ,20170525,40.6,41.0,37.1,38.2,40.47,-2.27,-5.61,67320.18,262877.321
300651.SZ,20170526,39.4,42.02,39.03,40.5,38.2,2.3,6.02,73947.93,300924.652
300651.SZ,20170531,44.55,44.55,39.0,39.03,40.5,-1.47,-3.63,101183.72,425731.133
300651.SZ,20170601,38.5,40.45,37.61,37.7,39.03,-1.33,-3.41,69461.6,272764.657
300651.SZ,20170602,36.49,39.1,35.51,37.7,37.7,0.0,0.0,53353.01,199857.517
300651.SZ,20170605,38.78,41.25,37.7,37.73,37.7,0.03,0.08,70289.44,277581.051
300651.SZ,20170606,36.6,38.1,36.56,37.49,37.73,-0.24,-0.64,45535.41,169008.092
300651.SZ,20170607,37.75,39.99,37.31,39.0,37.49,1.51,4.03,60676.13,235776.88
300651.SZ,20170608,38.8,39.18,37.0,37.36,39.0,-1.64,-4.21,52805.86,201297.157
300651.SZ,20170609,37.13,38.25,37.0,37.52,37.36,0.16,0.43,35640.78,134400.554
300651.SZ,20170612,36.08,36.45,34.0,34.65,37.52,-2.87,-7.65,51545.94,182537.643
300651.SZ,20170613,34.61,36.3,34.3,35.76,34.65,1.11,3.2,38594.94,137608.375
300651.SZ,20170614,35.76,35.76,34.68,35.45,35.76,-0.31,-0.87,25359.0,89327.558
300651.SZ,20170615,35.6,36.96,35.05,36.28,35.45,0.83,2.34,37648.63,137071.423
300651.SZ,20170616,36.14,36.51,36.0,36.19,36.28,-0.09,-0.25,23834.78,86383.777
300651.SZ,20170619,36.15,36.47,35.5,35.91,36.19,-0.28,-0.77,16844.0,60453.232
300651.SZ,20170620,36.09,36.52,35.4,35.45,35.91,-0.46,-1.28,18020.0,64803.763
300651.SZ,20170621,35.56,36.1,35.15,35.56,35.45,0.11,0.31,11124.0,39569.631
300651.SZ,20170622,35.42,35.85,34.01,34.11,35.56,-1.45,-4.08,17037.0,59510.623
300651.SZ,20170623,34.3,34.48,32.34,33.48,34.11,-0.63,-1.85,21212.0,70896.063
300651.SZ,20170626,33.25,34.2,33.0,33.92,33.48,0.44,1.31,11778.0,39671.625
300651.SZ,20170627,33.91,34.37,33.67,33.71,33.92,-0.21,-0.62,8623.34,29322.142
300651.SZ,20170628,33.5,33.54,32.46,33.0,33.71,-0.71,-2.11,17158.76,56455.112
300651.SZ,20170629,33.0,33.58,32.8,33.09,33.0,0.09,0.27,7754.34,25682.009
300651.SZ,20170630,33.01,34.21,32.88,33.59,33.09,0.5,1.51,18036.55,60665.265
300651.SZ,20170703,33.24,33.97,33.2,33.71,33.59,0.12,0.36,14289.6,47992.344
300651.SZ,20170704,33.81,34.07,33.56,33.83,33.71,0.12,0.36,10896.18,36845.52
300651.SZ,20170705,33.77,34.97,33.66,34.74,33.83,0.91,2.69,26167.54,90736.204
300651.SZ,20170706,34.88,35.18,34.38,35.03,34.74,0.29,0.83,18350.0,64048.897
300651.SZ,20170707,35.05,35.88,34.88,35.37,35.03,0.34,0.97,21828.57,77589.851
300651.SZ,20170710,34.88,34.89,33.5,33.66,35.37,-1.71,-4.83,25830.24,87880.582
300651.SZ,20170711,33.67,33.98,33.15,33.41,33.66,-0.25,-0.74,9356.22,31434.187
300651.SZ,20170712,33.31,33.88,32.8,33.72,33.41,0.31,0.93,12899.0,42824.471
300651.SZ,20170713,33.65,33.65,32.8,33.08,33.72,-0.64,-1.9,8483.0,28116.888
300651.SZ,20170714,31.5,32.2,30.91,31.12,33.08,-1.96,-5.93,28253.22,89075.582
300651.SZ,20170717,30.6,30.6,28.11,28.21,31.12,-2.91,-9.35,21282.55,62562.227
300651.SZ,20170718,28.21,28.95,27.3,28.4,28.21,0.19,0.67,10155.58,28698.103
300651.SZ,20170719,28.35,28.88,27.91,28.29,28.4,-0.11,-0.39,10184.19,28735.653
300651.SZ,20170720,28.3,28.8,27.8,27.92,28.29,-0.37,-1.31,9845.2,27974.856
300651.SZ,20170721,27.78,28.66,27.6,28.04,27.92,0.12,0.43,8238.0,23165.298
300651.SZ,20170724,27.78,28.39,27.55,28.09,28.04,0.05,0.18,8589.0,24006.035
300651.SZ,20170725,27.95,28.35,27.95,28.12,28.09,0.03,0.11,7663.0,21538.633
300651.SZ,20170726,28.24,28.35,27.8,27.95,28.12,-0.17,-0.6,4995.0,14038.885
300651.SZ,20170727,27.95,29.24,27.72,28.9,27.95,0.95,3.4,11774.58,33701.665
300651.SZ,20170728,28.8,28.94,28.11,28.2,28.9,-0.7,-2.42,8123.58,23173.681
300651.SZ,20170731,28.18,28.46,27.89,27.97,28.2,-0.23,-0.82,5564.58,15659.545
300651.SZ,20170801,28.15,28.16,27.74,28.1,27.97,0.13,0.46,5674.0,15851.758
300651.SZ,20170802,28.22,28.38,27.6,27.71,28.1,-0.39,-1.39,5412.42,15112.829
300651.SZ,20170803,27.6,28.27,27.55,27.85,27.71,0.14,0.51,5649.18,15773.085
300651.SZ,20170804,27.76,28.0,27.51,27.51,27.85,-0.34,-1.22,6141.0,17029.285
300651.SZ,20170807,27.38,28.18,27.38,27.64,27.51,0.13,0.47,4595.0,12776.653
300651.SZ,20170808,27.64,27.67,27.2,27.5,27.64,-0.14,-0.51,7732.0,21261.171
300651.SZ,20170809,27.43,27.62,27.01,27.37,27.5,-0.13,-0.47,4542.0,12453.139
300651.SZ,20170810,27.3,27.58,26.82,27.11,27.37,-0.26,-0.95,6468.98,17537.44
300651.SZ,20170811,26.84,27.1,26.6,26.97,27.11,-0.14,-0.52,4870.0,13091.172
300651.SZ,20170814,26.93,27.48,26.93,27.4,26.97,0.43,1.59,5771.91,15784.478
300651.SZ,20170815,27.69,28.52,27.58,28.12,27.4,0.72,2.63,13457.42,37885.885
300651.SZ,20170816,28.13,28.67,27.9,28.45,28.12,0.33,1.17,13643.0,38719.031
300651.SZ,20170817,28.9,28.9,28.3,28.43,28.45,-0.02,-0.07,10439.0,29879.345
300651.SZ,20170818,28.37,28.37,27.91,28.05,28.43,-0.38,-1.34,6802.32,19091.23
300651.SZ,20170821,28.19,28.83,28.14,28.8,28.05,0.75,2.67,8810.18,25158.16
300651.SZ,20170822,28.8,29.26,28.61,28.7,28.8,-0.1,-0.35,10279.0,29711.969
300651.SZ,20170823,28.61,29.17,28.3,28.89,28.7,0.19,0.66,9417.92,27084.297
300651.SZ,20170824,28.92,29.65,28.63,28.79,28.89,-0.1,-0.35,13091.1,38156.144
300651.SZ,20170825,28.77,29.85,28.63,29.85,28.79,1.06,3.68,16375.18,48187.833
300651.SZ,20170828,31.5,32.84,30.81,32.84,29.85,2.99,10.02,35562.83,114279.381
300651.SZ,20170829,33.0,35.26,32.93,33.09,32.84,0.25,0.76,63574.06,216099.389
300651.SZ,20170830,32.02,32.56,31.36,31.44,33.09,-1.65,-4.99,35723.55,113572.447
300651.SZ,20170831,31.55,32.8,31.55,32.6,31.44,1.16,3.69,27229.64,87657.947
300651.SZ,20170901,33.0,33.0,31.75,32.08,32.6,-0.52,-1.6,18860.59,60714.609
300651.SZ,20170904,32.12,33.99,32.0,32.4,32.08,0.32,1.0,29224.26,96414.116
300651.SZ,20170905,31.98,33.87,31.98,33.04,32.4,0.64,1.98,22244.0,73145.22
300651.SZ,20170906,32.92,32.95,31.82,32.26,33.04,-0.78,-2.36,20506.51,66042.313
300651.SZ,20170907,32.08,32.85,31.71,31.73,32.26,-0.53,-1.64,18482.65,59671.154
300651.SZ,20170908,31.51,32.1,31.06,31.34,31.73,-0.39,-1.23,15317.19,48362.985
300651.SZ,20170911,31.55,32.15,31.5,32.03,31.34,0.69,2.2,11406.67,36391.384
300651.SZ,20170912,32.03,32.49,31.31,31.6,32.03,-0.43,-1.34,14768.89,47249.3
300651.SZ,20170913,31.6,32.1,31.3,31.95,31.6,0.35,1.11,8303.95,26302.108
300651.SZ,20170914,32.2,32.2,31.5,31.8,31.95,-0.15,-0.47,9569.6,30517.534
300651.SZ,20170915,31.9,31.9,31.51,31.53,31.8,-0.27,-0.85,7397.0,23408.993
300651.SZ,20170918,31.2,32.1,31.11,32.07,31.53,0.54,1.71,9861.76,31277.956
300651.SZ,20170919,32.02,32.45,31.88,32.09,32.07,0.02,0.06,10700.11,34385.549
300651.SZ,20170920,32.09,32.39,31.48,32.33,32.09,0.24,0.75,11825.35,37877.279
300651.SZ,20170921,32.17,33.49,32.02,33.1,32.33,0.77,2.38,23509.9,77610.194
300651.SZ,20170922,32.94,34.27,32.2,33.89,33.1,0.79,2.39,21112.09,70387.918
300651.SZ,20170925,33.61,33.82,32.52,32.52,33.89,-1.37,-4.04,14661.0,48636.255
300651.SZ,20170926,32.48,33.16,31.68,32.0,32.52,-0.52,-1.6,13992.35,45276.89
300651.SZ,20170927,32.0,33.06,32.0,32.82,32.0,0.82,2.56,8912.34,29005.421
300651.SZ,20170928,32.69,34.26,32.3,33.83,32.82,1.01,3.08,21280.3,71729.906
300651.SZ,20170929,33.65,35.63,33.52,34.78,33.83,0.95,2.81,21987.3,76258.108
300651.SZ,20171009,34.78,34.98,33.86,34.53,34.78,-0.25,-0.72,14630.19,50322.339
300651.SZ,20171010,34.3,35.77,34.3,35.61,34.53,1.08,3.13,15118.65,53008.254
300651.SZ,20171011,35.13,35.55,34.36,34.6,35.61,-1.01,-2.84,12050.06,41997.79
300651.SZ,20171012,34.47,34.7,33.28,33.68,34.6,-0.92,-2.66,12044.0,40916.74
300651.SZ,20171013,33.78,36.0,33.41,35.6,33.68,1.92,5.7,14841.43,51529.517
300651.SZ,20171016,35.35,35.35,33.63,34.1,35.6,-1.5,-4.21,13733.43,47176.935
300651.SZ,20171017,34.0,35.3,33.52,34.93,34.1,0.83,2.43,13762.43,47712.346
300651.SZ,20171018,34.88,36.8,34.65,36.55,34.93,1.62,4.64,34503.99,123335.472
300651.SZ,20171019,35.3,35.7,34.66,34.7,36.55,-1.85,-5.06,24654.54,86951.673
300651.SZ,20171020,34.2,34.68,33.68,34.49,34.7,-0.21,-0.61,15155.99,51720.967
300651.SZ,20171023,34.44,34.75,34.02,34.62,34.49,0.13,0.38,9819.54,33807.935
300651.SZ,20171024,34.59,34.59,33.0,33.3,34.62,-1.32,-3.81,13976.0,46879.249
300651.SZ,20171025,33.31,34.52,33.15,34.18,33.3,0.88,2.64,11301.06,38289.041
300651.SZ,20171026,34.2,35.29,34.01,35.0,34.18,0.82,2.4,13494.0,46965.342
300651.SZ,20171027,35.01,35.43,34.41,34.51,35.0,-0.49,-1.4,9001.54,31447.576
300651.SZ,20171030,34.3,34.3,32.77,32.9,34.51,-1.61,-4.67,12320.0,41053.826
300651.SZ,20171031,33.0,33.89,33.0,33.35,32.9,0.45,1.37,8022.33,26768.665
300651.SZ,20171101,33.34,33.85,33.34,33.45,33.35,0.1,0.3,7089.06,23813.16
300651.SZ,20171102,33.41,33.67,33.03,33.33,33.45,-0.12,-0.36,5868.06,19538.929
300651.SZ,20171103,33.23,33.79,33.09,33.51,33.33,0.18,0.54,4597.0,15320.769
300651.SZ,20171106,33.65,34.86,33.48,34.45,33.51,0.94,2.81,10342.0,35594.466
300651.SZ,20171107,34.4,35.0,34.3,34.7,34.45,0.25,0.73,11113.78,38546.265
