ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300658.SZ,20170602,23.29,27.95,23.29,27.95,19.41,8.54,44.0,85.11,234.128
300658.SZ,20170605,30.75,30.75,30.75,30.75,27.95,2.8,10.02,42.0,129.15
300658.SZ,20170606,33.83,33.83,33.83,33.83,30.75,3.08,10.02,27.0,91.341
300658.SZ,20170607,37.21,37.21,37.21,37.21,33.83,3.38,9.99,104.92,390.407
300658.SZ,20170608,40.93,40.93,40.93,40.93,37.21,3.72,10.0,364.92,1493.617
300658.SZ,20170609,45.02,45.02,42.51,44.2,40.93,3.27,7.99,129590.8,572271.163
300658.SZ,20170612,41.52,43.61,39.78,39.78,44.2,-4.42,-10.0,94200.61,387127.645
300658.SZ,20170613,41.0,42.8,40.4,40.68,39.78,0.9,2.26,79114.25,326921.784
300658.SZ,20170614,40.9,42.5,40.08,40.9,40.68,0.22,0.54,64248.89,265796.148
300658.SZ,20170615,40.15,44.32,39.3,42.5,40.9,1.6,3.91,84043.33,346466.517
300658.SZ,20170616,41.9,42.8,40.88,41.02,42.5,-1.48,-3.48,48191.24,200074.829
300658.SZ,20170619,40.98,42.66,40.81,41.37,41.02,0.35,0.85,43460.13,181435.038
300658.SZ,20170620,41.28,41.98,39.51,39.79,41.37,-1.58,-3.82,50183.84,203441.905
300658.SZ,20170621,39.29,39.68,37.52,38.1,39.79,-1.69,-4.25,52590.88,201985.574
300658.SZ,20170622,38.23,38.82,37.62,38.17,38.1,0.07,0.18,41540.24,158654.368
300658.SZ,20170623,37.91,39.08,37.62,38.16,38.17,-0.01,-0.03,32657.44,125521.035
300658.SZ,20170626,38.02,38.34,36.76,37.69,38.16,-0.47,-1.23,28236.57,105929.034
300658.SZ,20170627,37.7,38.45,37.47,37.74,37.69,0.05,0.13,20022.22,76100.618
300658.SZ,20170628,37.58,38.96,37.0,38.69,37.74,0.95,2.52,31000.86,118211.384
300658.SZ,20170629,38.5,38.9,38.01,38.18,38.69,-0.51,-1.32,19948.32,76382.336
300658.SZ,20170630,38.1,39.51,37.77,38.83,38.18,0.65,1.7,26354.03,102259.762
300658.SZ,20170703,38.86,40.58,38.66,40.06,38.83,1.23,3.17,36794.38,146829.896
300658.SZ,20170704,39.93,40.3,39.39,39.86,40.06,-0.2,-0.5,18660.58,74256.68
300658.SZ,20170705,40.16,40.69,39.83,40.36,39.86,0.5,1.25,27919.57,112279.599
300658.SZ,20170706,40.16,40.34,39.0,39.29,40.36,-1.07,-2.65,30911.19,122421.898
300658.SZ,20170707,39.38,40.66,39.01,40.26,39.29,0.97,2.47,33869.33,135834.948
300658.SZ,20170710,39.35,39.68,37.7,37.76,40.26,-2.5,-6.21,38206.47,146595.375
300658.SZ,20170711,37.85,38.05,36.99,37.08,37.76,-0.68,-1.8,15257.8,57144.702
300658.SZ,20170712,37.0,37.58,36.76,37.52,37.08,0.44,1.19,16056.89,59455.554
300658.SZ,20170713,37.77,37.87,35.8,36.05,37.52,-1.47,-3.92,26196.47,96130.365
300658.SZ,20170714,34.0,34.81,32.46,32.46,36.05,-3.59,-9.96,47670.99,157907.796
300658.SZ,20170717,32.47,32.48,29.99,30.24,32.46,-2.22,-6.84,35162.07,109376.355
300658.SZ,20170718,30.2,31.23,30.2,30.89,30.24,0.65,2.15,18294.34,56150.568
300658.SZ,20170719,30.5,30.8,30.32,30.67,30.89,-0.22,-0.71,19356.26,59089.522
300658.SZ,20170720,30.5,31.22,30.32,30.45,30.67,-0.22,-0.72,18572.26,57231.516
300658.SZ,20170721,30.35,30.56,29.91,30.02,30.45,-0.43,-1.41,12759.53,38430.602
300658.SZ,20170724,30.07,31.55,30.07,31.36,30.02,1.34,4.46,26163.96,81236.379
300658.SZ,20170725,31.15,31.17,30.68,31.07,31.36,-0.29,-0.92,12721.77,39325.595
300658.SZ,20170726,31.06,31.14,30.23,30.3,31.07,-0.77,-2.48,13304.12,40709.043
300658.SZ,20170727,30.32,31.46,30.0,31.18,30.3,0.88,2.9,22684.0,70073.212
300658.SZ,20170728,31.09,31.16,30.7,30.71,31.18,-0.47,-1.51,14949.98,46166.739
300658.SZ,20170731,30.51,30.82,30.26,30.53,30.71,-0.18,-0.59,12262.58,37406.588
300658.SZ,20170801,30.45,31.25,30.36,31.16,30.53,0.63,2.06,15741.49,48700.789
300658.SZ,20170802,31.13,31.2,30.45,30.45,31.16,-0.71,-2.28,13050.06,40297.103
300658.SZ,20170803,30.38,31.08,30.11,30.54,30.45,0.09,0.3,11236.12,34368.14
300658.SZ,20170804,30.54,30.6,30.13,30.21,30.54,-0.33,-1.08,8645.9,26216.22
300658.SZ,20170807,30.45,30.86,30.25,30.55,30.21,0.34,1.13,7040.8,21556.093
300658.SZ,20170808,30.54,30.73,30.26,30.62,30.55,0.07,0.23,8758.12,26719.106
300658.SZ,20170809,30.62,31.0,30.41,30.66,30.62,0.04,0.13,9332.45,28661.39
300658.SZ,20170810,30.75,31.39,30.68,31.16,30.66,0.5,1.63,15351.31,47749.147
300658.SZ,20170811,30.95,31.21,30.65,30.68,31.16,-0.48,-1.54,8332.04,25747.083
300658.SZ,20170814,30.67,31.59,30.51,31.53,30.68,0.85,2.77,14546.46,45455.944
300658.SZ,20170815,31.57,32.33,31.35,31.97,31.53,0.44,1.4,16182.84,51601.167
300658.SZ,20170816,31.8,33.55,31.8,33.35,31.97,1.38,4.32,25497.82,83318.056
300658.SZ,20170817,33.02,33.33,32.71,33.1,33.35,-0.25,-0.75,14810.05,48796.732
300658.SZ,20170818,32.77,33.28,32.5,32.55,33.1,-0.55,-1.66,9085.76,29763.103
300658.SZ,20170821,32.46,32.73,32.13,32.64,32.55,0.09,0.28,11667.72,37879.299
300658.SZ,20170822,32.64,32.74,32.18,32.2,32.64,-0.44,-1.35,8673.92,28169.269
300658.SZ,20170823,32.28,32.98,32.11,32.56,32.2,0.36,1.12,8085.76,26299.21
300658.SZ,20170824,32.54,33.46,32.26,32.85,32.56,0.29,0.89,18427.76,60643.951
300658.SZ,20170825,32.8,33.24,32.57,33.2,32.85,0.35,1.07,11862.86,39237.481
300658.SZ,20170828,33.48,34.3,33.26,33.98,33.2,0.78,2.35,21499.79,72693.706
300658.SZ,20170829,33.86,34.74,33.66,33.83,33.98,-0.15,-0.44,18745.18,63877.049
300658.SZ,20170830,33.88,34.01,32.58,32.73,33.83,-1.1,-3.25,18859.86,62490.682
300658.SZ,20170831,32.85,34.42,32.73,34.28,32.73,1.55,4.74,22221.39,74980.9
300658.SZ,20170901,34.26,35.78,34.19,35.22,34.28,0.94,2.74,31412.25,110695.661
300658.SZ,20170904,34.84,35.99,34.51,35.4,35.22,0.18,0.51,20708.48,72780.71
300658.SZ,20170905,35.24,35.7,34.8,35.52,35.4,0.12,0.34,15687.9,55208.915
300658.SZ,20170906,35.3,35.38,34.61,34.88,35.52,-0.64,-1.8,11249.73,39255.727
300658.SZ,20170907,35.0,35.16,34.36,34.58,34.88,-0.3,-0.86,10019.68,34853.353
300658.SZ,20170908,34.43,34.79,33.92,34.43,34.58,-0.15,-0.43,8141.1,28023.282
300658.SZ,20170911,34.41,34.95,34.01,34.82,34.43,0.39,1.13,9428.59,32689.513
300658.SZ,20170912,34.87,34.94,34.08,34.16,34.82,-0.66,-1.9,10696.22,36846.804
300658.SZ,20170913,34.32,34.48,33.94,34.15,34.16,-0.01,-0.03,11118.37,37939.678
300658.SZ,20170914,34.0,34.47,33.5,33.9,34.15,-0.25,-0.73,11277.74,38208.404
300658.SZ,20170915,33.7,33.85,33.29,33.37,33.9,-0.53,-1.56,6328.47,21174.312
300658.SZ,20170918,33.36,33.77,33.21,33.71,33.37,0.34,1.02,5295.02,17761.259
300658.SZ,20170919,33.59,33.94,33.5,33.65,33.71,-0.06,-0.18,6143.35,20718.058
300658.SZ,20170920,33.8,34.3,33.6,34.29,33.65,0.64,1.9,9463.67,32208.88
300658.SZ,20170921,34.13,34.28,33.34,33.47,34.29,-0.82,-2.39,10130.1,34265.294
300658.SZ,20170922,33.47,34.31,33.11,34.28,33.47,0.81,2.42,9436.99,31858.791
300658.SZ,20170925,34.16,34.58,33.7,33.74,34.28,-0.54,-1.58,7233.68,24695.698
300658.SZ,20170926,33.74,33.84,33.12,33.25,33.74,-0.49,-1.45,6503.97,21688.442
300658.SZ,20170927,33.2,33.5,33.08,33.32,33.25,0.07,0.21,5810.5,19372.197
300658.SZ,20170928,33.15,33.54,33.15,33.3,33.32,-0.02,-0.06,4092.1,13655.65
300658.SZ,20170929,33.55,33.83,33.34,33.8,33.3,0.5,1.5,4351.44,14636.524
300658.SZ,20171009,34.44,34.44,33.79,33.85,33.8,0.05,0.15,5253.12,17881.722
300658.SZ,20171010,33.86,34.8,33.86,34.79,33.85,0.94,2.78,12065.24,41632.278
300658.SZ,20171011,34.6,35.09,34.41,34.64,34.79,-0.15,-0.43,8592.9,29768.3
300658.SZ,20171012,34.6,35.1,34.5,34.79,34.64,0.15,0.43,7560.76,26300.017
300658.SZ,20171013,34.97,35.56,34.91,35.11,34.79,0.32,0.92,13573.19,47880.735
300658.SZ,20171016,34.93,35.17,33.66,33.72,35.11,-1.39,-3.96,12840.83,43916.353
300658.SZ,20171017,33.94,34.2,33.61,34.15,33.72,0.43,1.28,5950.8,20205.888
300658.SZ,20171018,34.21,34.21,33.38,33.4,34.15,-0.75,-2.2,6433.56,21702.783
300658.SZ,20171019,33.28,33.88,33.28,33.53,33.4,0.13,0.39,5945.58,19970.966
300658.SZ,20171020,33.33,34.56,33.33,34.3,33.53,0.77,2.3,7053.71,23925.137
300658.SZ,20171023,34.34,34.62,34.08,34.5,34.3,0.2,0.58,5377.07,18486.983
