ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300677.SZ,20170721,26.92,29.36,26.92,29.36,20.39,8.97,43.99,73.74,215.28
300677.SZ,20170724,32.3,32.3,32.3,32.3,29.36,2.94,10.01,46.78,151.099
300677.SZ,20170725,35.53,35.53,35.53,35.53,32.3,3.23,10.0,45.04,160.027
300677.SZ,20170726,39.08,39.08,39.08,39.08,35.53,3.55,9.99,72.39,282.9
300677.SZ,20170727,42.99,42.99,42.99,42.99,39.08,3.91,10.01,1079.64,4641.372
300677.SZ,20170728,46.99,46.99,42.62,43.04,42.99,0.05,0.12,121850.95,541899.082
300677.SZ,20170731,41.0,41.45,40.11,40.23,43.04,-2.81,-6.53,79735.88,324000.804
300677.SZ,20170801,40.21,40.98,39.05,40.8,40.23,0.57,1.42,64764.74,257316.366
300677.SZ,20170802,40.25,40.8,39.63,39.84,40.8,-0.96,-2.35,40667.87,163192.337
300677.SZ,20170803,39.27,40.46,38.62,40.01,39.84,0.17,0.43,43085.28,170963.834
300677.SZ,20170804,39.6,39.88,38.7,38.84,40.01,-1.17,-2.92,32085.48,125405.91
300677.SZ,20170807,38.9,39.54,38.25,38.3,38.84,-0.54,-1.39,22749.56,88564.165
300677.SZ,20170808,38.15,38.42,36.71,36.97,38.3,-1.33,-3.47,30287.12,112842.534
300677.SZ,20170809,36.5,37.37,36.5,36.98,36.97,0.01,0.03,17618.21,65165.03
300677.SZ,20170810,36.9,37.14,35.31,35.48,36.98,-1.5,-4.06,26167.32,94333.646
300677.SZ,20170811,35.01,35.29,34.52,34.61,35.48,-0.87,-2.45,20867.85,72850.429
300677.SZ,20170814,35.13,35.5,35.13,35.13,34.61,0.52,1.5,19457.29,68716.105
300677.SZ,20170815,35.25,35.98,35.13,35.89,35.13,0.76,2.16,31517.8,112498.394
300677.SZ,20170816,36.0,37.75,35.95,37.33,35.89,1.44,4.01,70689.64,261504.09
300677.SZ,20170817,37.15,37.21,36.67,36.8,37.33,-0.53,-1.42,34994.94,129169.129
300677.SZ,20170818,36.49,37.0,36.15,36.95,36.8,0.15,0.41,22804.25,83582.825
300677.SZ,20170821,37.22,38.46,37.07,38.42,36.95,1.47,3.98,38930.46,147068.695
300677.SZ,20170822,38.5,39.6,37.88,38.54,38.42,0.12,0.31,47498.2,184156.665
300677.SZ,20170823,38.28,39.48,37.71,39.16,38.54,0.62,1.61,46131.16,178261.579
300677.SZ,20170824,38.86,40.38,38.08,38.08,39.16,-1.08,-2.76,62468.69,245382.446
300677.SZ,20170825,37.74,39.99,37.7,39.8,38.08,1.72,4.52,58120.38,226886.524
300677.SZ,20170828,40.3,43.78,40.3,43.78,39.8,3.98,10.0,84261.45,353604.264
