ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300699.SZ,20170901,13.51,16.21,13.51,16.21,11.26,4.95,43.96,200.0,319.705
300699.SZ,20170904,17.83,17.83,17.83,17.83,16.21,1.62,9.99,100.02,178.335
300699.SZ,20170905,19.61,19.61,19.61,19.61,17.83,1.78,9.98,209.84,411.496
300699.SZ,20170906,21.57,21.57,21.57,21.57,19.61,1.96,9.99,197.61,426.244
300699.SZ,20170907,23.73,23.73,23.73,23.73,21.57,2.16,10.01,215.01,510.218
300699.SZ,20170908,26.1,26.1,26.1,26.1,23.73,2.37,9.99,357.92,934.171
300699.SZ,20170911,28.71,28.71,28.71,28.71,26.1,2.61,10.0,396.69,1138.896
300699.SZ,20170912,31.58,31.58,31.58,31.58,28.71,2.87,10.0,1220.92,3855.665
300699.SZ,20170913,34.74,34.74,34.74,34.74,31.58,3.16,10.01,1434.22,4982.48
300699.SZ,20170914,38.21,38.21,38.21,38.21,34.74,3.47,9.99,1630.77,6231.172
300699.SZ,20170915,42.03,42.03,42.03,42.03,38.21,3.82,10.0,3997.92,16803.257
300699.SZ,20170918,46.23,46.23,46.23,46.23,42.03,4.2,9.99,3960.36,18308.744
300699.SZ,20170919,50.85,50.85,50.85,50.85,46.23,4.62,9.99,12049.53,61271.86
300699.SZ,20170920,55.94,55.94,55.94,55.94,50.85,5.09,10.01,10457.37,58498.527
300699.SZ,20170921,61.53,61.53,61.53,61.53,55.94,5.59,9.99,4627.93,28475.653
300699.SZ,20170922,67.68,67.68,67.68,67.68,61.53,6.15,10.0,16116.49,109076.404
300699.SZ,20170925,74.45,74.45,74.45,74.45,67.68,6.77,10.0,31581.99,235127.915
300699.SZ,20170926,77.98,78.0,69.09,69.98,74.45,-4.47,-6.0,606366.71,4503394.113
300699.SZ,20170927,69.95,73.26,68.02,71.9,69.98,1.92,2.74,318764.1,2275140.18
300699.SZ,20170928,71.0,79.09,70.5,79.09,71.9,7.19,10.0,402017.1,3101553.408
300699.SZ,20170929,78.73,80.0,71.18,71.59,79.09,-7.5,-9.48,368767.1,2771710.192
300699.SZ,20171009,73.09,76.5,71.08,73.7,71.59,2.11,2.95,255267.78,1898047.266
300699.SZ,20171010,72.01,75.95,71.01,73.03,73.7,-0.67,-0.91,201261.73,1481160.498
300699.SZ,20171011,74.65,79.6,71.99,72.65,73.03,-0.38,-0.52,289459.13,2191757.807
300699.SZ,20171012,71.0,71.0,67.01,67.2,72.65,-5.45,-7.5,227359.08,1557473.233
300699.SZ,20171013,68.5,70.01,68.08,68.65,67.2,1.45,2.16,131469.5,906789.912
300699.SZ,20171016,69.0,73.54,67.3,71.83,68.65,3.18,4.63,197254.17,1412045.742
300699.SZ,20171017,71.5,74.74,70.7,73.22,71.83,1.39,1.94,179417.97,1309371.407
300699.SZ,20171018,72.94,74.47,71.51,72.66,73.22,-0.56,-0.76,137819.45,1005918.369
300699.SZ,20171019,73.31,79.89,73.0,77.88,72.66,5.22,7.18,246461.06,1885862.527
300699.SZ,20171020,76.88,80.8,76.5,79.5,77.88,1.62,2.08,200513.56,1575382.462
300699.SZ,20171023,80.75,81.5,76.88,78.05,79.5,-1.45,-1.82,150123.5,1179469.913
