ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300770.SZ,20190419,43.4,52.08,43.4,52.08,36.17,15.91,43.9867,244.18,1263.443
300770.SZ,20190422,57.29,57.29,57.29,57.29,52.08,5.21,10.0038,122.07,699.339
300770.SZ,20190423,63.02,63.02,63.02,63.02,57.29,5.73,10.0017,190.35,1199.585
300770.SZ,20190424,69.32,69.32,69.32,69.32,63.02,6.3,9.9968,244.96,1698.062
300770.SZ,20190425,76.25,76.25,76.25,76.25,69.32,6.93,9.9971,1379.11,10515.713
300770.SZ,20190426,82.0,82.0,68.88,68.92,76.25,-7.33,-9.6131,143301.04,1050388.375
300770.SZ,20190429,68.0,72.33,67.0,69.38,68.92,0.46,0.6674,86143.18,604290.488
300770.SZ,20190430,71.0,73.8,70.17,72.45,69.38,3.07,4.4249,69179.36,498548.947
300770.SZ,20190506,69.99,72.77,67.37,71.17,72.45,-1.28,-1.7667,73789.05,520278.182
300770.SZ,20190507,71.0,71.46,67.61,70.1,71.17,-1.07,-1.5034,52008.77,363387.504
300770.SZ,20190508,68.4,77.11,68.05,77.11,70.1,7.01,10.0,96758.43,718999.677
300770.SZ,20190509,79.99,84.5,78.6,80.71,77.11,3.6,4.6687,98140.84,796673.568
300770.SZ,20190510,86.67,88.18,83.51,86.48,80.71,5.77,7.1491,84172.96,725209.684
300770.SZ,20190513,84.0,89.83,82.0,86.9,86.48,0.42,0.4857,62850.44,542214.522
300770.SZ,20190514,86.05,86.72,83.28,85.5,86.9,-1.4,-1.611,41579.36,354718.674
300770.SZ,20190515,86.7,87.47,83.0,85.8,85.5,0.3,0.3509,52155.53,444765.646
300770.SZ,20190516,85.01,85.32,82.55,83.45,85.8,-2.35,-2.7389,35103.95,293538.003
300770.SZ,20190517,83.21,85.73,82.6,82.9,83.45,-0.55,-0.6591,35354.07,296629.083
300770.SZ,20190520,83.05,83.2,75.68,78.2,82.9,-4.7,-5.6695,40827.92,322242.299
300770.SZ,20190521,77.69,79.58,77.01,79.15,78.2,0.95,1.2148,28454.72,223624.536
300770.SZ,20190522,79.5,80.9,76.31,78.08,79.15,-1.07,-1.3519,21113.94,167002.478
300770.SZ,20190523,77.0,79.44,75.05,77.19,78.08,-0.89,-1.1399,24791.03,190701.668
300770.SZ,20190524,76.5,84.91,76.35,82.89,77.19,5.7,7.3844,46107.8,378323.746
300770.SZ,20190527,82.4,83.68,80.0,83.4,82.89,0.51,0.6153,30930.16,253370.039
300770.SZ,20190528,83.29,85.8,81.56,82.5,83.4,-0.9,-1.0791,23916.79,199618.601
300770.SZ,20190529,81.02,83.6,80.5,80.69,82.5,-1.81,-2.1939,21712.66,177395.128
300770.SZ,20190530,79.89,82.97,78.61,82.88,80.69,2.19,2.7141,22262.87,180688.006
300770.SZ,20190531,83.01,86.92,82.15,84.33,82.88,1.45,1.7495,37702.56,319617.467
