ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300848.SZ,20200720,33.82,40.58,33.82,40.58,28.18,12.4,44.0028,462.0,1863.028
300848.SZ,20200721,44.64,44.64,44.64,44.64,40.58,4.06,10.0049,93.34,416.669
300848.SZ,20200722,49.1,49.1,49.1,49.1,44.64,4.46,9.991,153.03,751.377
300848.SZ,20200723,54.01,54.01,54.01,54.01,49.1,4.91,10.0,181.0,977.581
300848.SZ,20200724,59.41,59.41,59.41,59.41,54.01,5.4,9.9981,892.11,5300.025
300848.SZ,20200727,65.35,65.35,65.35,65.35,59.41,5.94,9.9983,907.0,5927.245
300848.SZ,20200728,71.87,71.87,58.82,58.82,65.35,-6.53,-9.9923,66543.47,404118.909
300848.SZ,20200729,55.0,58.63,54.18,57.08,58.82,-1.74,-2.9582,57520.34,322013.951
300848.SZ,20200730,56.18,57.3,55.1,56.38,57.08,-0.7,-1.2263,46880.42,262457.604
300848.SZ,20200731,55.2,55.94,54.46,54.67,56.38,-1.71,-3.033,36820.49,202864.15
300848.SZ,20200803,54.65,56.05,54.65,55.62,54.67,0.95,1.7377,33546.06,185345.298
300848.SZ,20200804,55.58,59.94,54.66,58.44,55.62,2.82,5.0701,54948.2,315762.912
300848.SZ,20200805,57.6,58.0,55.0,56.67,58.44,-1.77,-3.0287,28639.4,162230.551
300848.SZ,20200806,56.71,61.0,56.35,58.45,56.67,1.78,3.141,41173.18,242711.599
300848.SZ,20200807,58.4,59.7,55.88,56.6,58.45,-1.85,-3.1651,28319.11,162728.545
300848.SZ,20200810,56.56,56.96,53.68,54.41,56.6,-2.19,-3.8693,22637.98,123834.195
300848.SZ,20200811,54.01,54.46,51.34,51.5,54.41,-2.91,-5.3483,29873.98,157353.175
300848.SZ,20200812,51.0,51.5,49.43,50.13,51.5,-1.37,-2.6602,18856.1,94252.93
300848.SZ,20200813,50.19,50.68,49.76,50.13,50.13,0.0,0.0,10280.9,51618.513
300848.SZ,20200814,50.23,50.58,49.0,49.84,50.13,-0.29,-0.5785,11224.31,55759.835
300848.SZ,20200817,49.85,51.55,49.7,51.32,49.84,1.48,2.9695,14786.03,75180.044
300848.SZ,20200818,51.0,51.58,50.89,51.48,51.32,0.16,0.3118,11154.05,57181.351
300848.SZ,20200819,51.7,51.88,49.52,49.69,51.48,-1.79,-3.4771,13004.41,65796.645
300848.SZ,20200820,49.02,49.02,47.9,47.95,49.69,-1.74,-3.5017,12716.03,61374.85
300848.SZ,20200821,48.88,50.52,48.66,50.52,47.95,2.57,5.3597,18295.95,90776.856
300848.SZ,20200824,50.53,52.6,48.73,51.35,50.52,0.83,1.6429,20889.96,105961.76
300848.SZ,20200825,51.16,55.18,50.8,54.49,51.35,3.14,6.1149,37267.71,199166.031
300848.SZ,20200826,54.8,55.11,52.26,52.88,54.49,-1.61,-2.9547,28860.07,155208.751
300848.SZ,20200827,52.35,52.91,51.02,52.0,52.88,-0.88,-1.6641,18245.85,94660.362
300848.SZ,20200828,51.9,52.0,50.03,51.33,52.0,-0.67,-1.2885,16397.56,83306.128
300848.SZ,20200831,51.33,51.93,50.55,51.14,51.33,-0.19,-0.3702,13189.69,67802.668
300848.SZ,20200901,51.2,53.96,51.14,52.33,51.14,1.19,2.3269,18794.74,98993.441
300848.SZ,20200902,52.15,53.45,51.78,52.78,52.33,0.45,0.8599,18129.69,95571.808
300848.SZ,20200903,52.52,52.64,49.28,49.44,52.78,-3.34,-6.3282,21208.24,107730.311
300848.SZ,20200904,48.44,50.5,48.01,50.07,49.44,0.63,1.2743,9400.84,46529.53
300848.SZ,20200907,50.08,50.47,48.78,49.22,50.07,-0.85,-1.6976,9943.24,49467.967
300848.SZ,20200908,49.13,49.63,48.28,48.85,49.22,-0.37,-0.7517,9137.48,44650.462
300848.SZ,20200909,48.32,48.82,46.88,48.07,48.85,-0.78,-1.5967,13194.4,63272.126
300848.SZ,20200910,48.38,48.47,44.59,44.62,48.07,-3.45,-7.177,13566.4,62590.78
300848.SZ,20200911,44.8,46.06,43.6,45.9,44.62,1.28,2.8687,8475.78,38157.317
300848.SZ,20200914,45.97,46.99,45.96,46.96,45.9,1.06,2.3094,8879.18,41398.603
300848.SZ,20200915,46.69,48.75,46.49,47.19,46.96,0.23,0.4898,10326.4,49076.369
300848.SZ,20200916,47.01,48.69,46.6,48.59,47.19,1.4,2.9667,14771.37,70819.048
300848.SZ,20200917,48.05,51.0,47.85,49.67,48.59,1.08,2.2227,24904.0,123447.689
300848.SZ,20200918,49.02,49.51,48.12,48.57,49.67,-1.1,-2.2146,15217.0,73836.529
300848.SZ,20200921,48.85,48.85,47.79,48.13,48.57,-0.44,-0.9059,8088.0,39015.805
300848.SZ,20200922,47.68,48.0,46.36,46.4,48.13,-1.73,-3.5944,9860.0,46517.732
300848.SZ,20200923,46.52,48.44,46.52,48.05,46.4,1.65,3.556,10665.0,50909.376
300848.SZ,20200924,47.61,48.25,46.94,47.21,48.05,-0.84,-1.7482,6472.0,30755.926
300848.SZ,20200925,47.3,47.66,46.02,46.33,47.21,-0.88,-1.864,6115.47,28584.555
300848.SZ,20200928,46.58,47.07,45.45,45.46,46.33,-0.87,-1.8778,5080.1,23283.547
300848.SZ,20200929,45.57,45.97,45.38,45.47,45.46,0.01,0.022,4132.0,18880.749
300848.SZ,20200930,45.47,47.24,45.16,46.46,45.47,0.99,2.1773,7426.74,34359.872
300848.SZ,20201009,46.8,47.98,46.8,47.98,46.46,1.52,3.2716,7893.1,37645.814
300848.SZ,20201012,48.0,49.27,48.0,48.78,47.98,0.8,1.6674,9335.0,45383.456
300848.SZ,20201013,48.4,48.97,48.29,48.45,48.78,-0.33,-0.6765,6913.0,33594.006
300848.SZ,20201014,48.58,49.97,48.11,49.84,48.45,1.39,2.8689,13802.09,68118.152
300848.SZ,20201015,49.84,49.84,48.33,48.4,49.84,-1.44,-2.8892,10102.1,49297.419
300848.SZ,20201016,48.0,52.34,47.91,50.43,48.4,2.03,4.1942,20073.5,101390.038
300848.SZ,20201019,50.42,51.67,48.67,48.77,50.43,-1.66,-3.2917,12415.74,61862.363
300848.SZ,20201020,48.79,52.19,48.74,51.64,48.77,2.87,5.8848,24874.74,126576.323
300848.SZ,20201021,52.02,56.6,51.58,55.08,51.64,3.44,6.6615,45402.25,246732.643
300848.SZ,20201022,54.05,59.79,53.57,55.91,55.08,0.83,1.5069,43437.12,244271.763
300848.SZ,20201023,55.6,65.88,54.85,60.79,55.91,4.88,8.7283,57705.32,345848.303
300848.SZ,20201026,59.55,60.0,56.79,59.4,60.79,-1.39,-2.2866,35855.22,209579.826
300848.SZ,20201027,59.51,59.6,54.4,55.99,59.4,-3.41,-5.7407,35604.77,198579.17
300848.SZ,20201028,55.36,60.14,55.18,57.99,55.99,2.0,3.5721,39224.56,226828.099
300848.SZ,20201029,56.22,56.87,54.13,54.29,57.99,-3.7,-6.3804,31181.06,173162.74
300848.SZ,20201030,54.9,55.88,52.5,52.92,54.29,-1.37,-2.5235,22466.67,122910.062
300848.SZ,20201102,53.02,54.6,52.61,53.67,52.92,0.75,1.4172,14451.47,77342.579
300848.SZ,20201103,54.1,55.59,53.51,55.3,53.67,1.63,3.0371,16098.0,88278.544
300848.SZ,20201104,54.93,57.89,54.01,57.58,55.3,2.28,4.123,25712.0,143925.912
300848.SZ,20201105,57.94,57.99,56.43,57.05,57.58,-0.53,-0.9205,19910.47,113618.714
300848.SZ,20201106,57.08,58.48,55.17,57.41,57.05,0.36,0.631,28248.97,160737.642
300848.SZ,20201109,57.19,57.39,55.41,56.44,57.41,-0.97,-1.6896,28452.57,160396.022
300848.SZ,20201110,56.45,56.66,53.11,53.68,56.44,-2.76,-4.8901,18867.76,103687.307
300848.SZ,20201111,53.5,55.05,53.38,53.5,53.68,-0.18,-0.3353,12773.67,69323.442
300848.SZ,20201112,53.01,53.84,52.0,52.58,53.5,-0.92,-1.7196,13300.82,70212.533
300848.SZ,20201113,52.5,53.47,51.7,52.97,52.58,0.39,0.7417,7996.82,42119.856
300848.SZ,20201116,53.11,59.4,52.98,57.85,52.97,4.88,9.2128,36663.82,207547.585
300848.SZ,20201117,57.53,58.37,56.1,57.78,57.85,-0.07,-0.121,25634.09,146404.437
300848.SZ,20201118,57.6,57.88,55.4,57.12,57.78,-0.66,-1.1423,23149.09,130377.068
300848.SZ,20201119,56.15,56.36,54.61,55.81,57.12,-1.31,-2.2934,14030.12,78142.982
300848.SZ,20201120,56.05,57.5,55.1,56.84,55.81,1.03,1.8455,19329.8,109367.893
300848.SZ,20201123,57.0,61.8,56.31,59.99,56.84,3.15,5.5419,39028.89,233159.292
300848.SZ,20201124,58.84,59.8,57.86,59.41,59.99,-0.58,-0.9668,25555.27,150577.659
300848.SZ,20201125,59.4,59.4,56.7,56.9,59.41,-2.51,-4.2249,19892.0,114921.331
