ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300853.SZ,20200724,36.49,43.79,36.49,43.79,30.41,13.38,43.9987,554.73,2421.497
300853.SZ,20200727,48.17,48.17,48.17,48.17,43.79,4.38,10.0023,139.92,673.994
300853.SZ,20200728,52.99,52.99,52.99,52.99,48.17,4.82,10.0062,151.24,801.42
300853.SZ,20200729,58.29,58.29,58.29,58.29,52.99,5.3,10.0019,160.25,934.097
300853.SZ,20200730,64.12,64.12,64.12,64.12,58.29,5.83,10.0017,495.36,3176.248
300853.SZ,20200731,70.53,70.53,70.53,70.53,64.12,6.41,9.9969,9085.8,64082.147
300853.SZ,20200803,77.58,77.58,77.58,77.58,70.53,7.05,9.9957,2714.82,21061.573
300853.SZ,20200804,85.34,85.34,85.34,85.34,77.58,7.76,10.0026,1051.08,8969.916
300853.SZ,20200805,93.87,93.87,87.5,93.87,85.34,8.53,9.9953,120462.29,1101020.225
300853.SZ,20200806,90.0,97.0,89.3,92.15,93.87,-1.72,-1.8323,87022.91,811631.215
300853.SZ,20200807,91.5,92.88,82.94,82.94,92.15,-9.21,-9.9946,80603.54,692427.31
300853.SZ,20200810,80.08,83.0,76.66,79.65,82.94,-3.29,-3.9667,54928.29,435391.26
300853.SZ,20200811,80.8,81.2,76.61,77.06,79.65,-2.59,-3.2517,38454.74,304404.333
300853.SZ,20200812,75.9,77.0,69.88,72.12,77.06,-4.94,-6.4106,41546.93,301385.205
300853.SZ,20200813,71.88,72.08,70.0,70.35,72.12,-1.77,-2.4542,30181.53,213780.575
300853.SZ,20200814,70.43,71.27,66.19,68.45,70.35,-1.9,-2.7008,31763.09,218582.641
300853.SZ,20200817,68.69,70.85,68.68,70.13,68.45,1.68,2.4543,25317.61,176388.75
300853.SZ,20200818,69.99,72.61,68.5,72.6,70.13,2.47,3.522,31017.36,216842.019
300853.SZ,20200819,71.78,74.95,70.0,70.18,72.6,-2.42,-3.3333,37850.85,275106.241
300853.SZ,20200820,68.15,69.88,66.0,68.33,70.18,-1.85,-2.6361,22846.68,154961.391
300853.SZ,20200821,69.14,72.91,68.82,71.9,68.33,3.57,5.2246,31258.88,222429.198
300853.SZ,20200824,71.0,71.0,67.03,69.41,71.9,-2.49,-3.4631,24122.64,166890.651
300853.SZ,20200825,68.53,73.66,68.52,71.58,69.41,2.17,3.1264,31626.1,225815.845
300853.SZ,20200826,72.0,74.33,70.11,72.6,71.58,1.02,1.425,35492.93,256417.848
300853.SZ,20200827,71.78,72.71,69.01,70.69,72.6,-1.91,-2.6309,24381.0,172141.869
300853.SZ,20200828,70.07,70.5,68.03,70.15,70.69,-0.54,-0.7639,21277.51,147289.09
300853.SZ,20200831,70.01,74.0,70.01,71.82,70.15,1.67,2.3806,35740.63,259578.777
300853.SZ,20200901,71.3,71.99,69.56,70.1,71.82,-1.72,-2.3949,21573.06,152209.481
300853.SZ,20200902,70.11,70.13,68.02,69.01,70.1,-1.09,-1.5549,22676.95,156108.632
300853.SZ,20200903,68.7,69.13,66.63,66.65,69.01,-2.36,-3.4198,20766.3,140444.225
300853.SZ,20200904,65.1,66.21,64.1,65.75,66.65,-0.9,-1.3503,13864.92,90236.788
300853.SZ,20200907,65.5,66.86,64.55,64.8,65.75,-0.95,-1.4449,12798.07,84341.722
300853.SZ,20200908,65.12,66.97,62.2,66.48,64.8,1.68,2.5926,22420.41,145429.222
300853.SZ,20200909,65.06,67.96,64.65,65.48,66.48,-1.0,-1.5042,17504.55,116450.622
300853.SZ,20200910,66.13,66.49,58.55,58.85,65.48,-6.63,-10.1252,26424.84,163182.059
300853.SZ,20200911,58.86,60.6,57.73,60.0,58.85,1.15,1.9541,11355.54,67327.516
300853.SZ,20200914,60.29,61.54,60.16,60.9,60.0,0.9,1.5,11487.74,69914.987
300853.SZ,20200915,60.9,63.99,60.6,62.8,60.9,1.9,3.1199,17385.61,108531.897
300853.SZ,20200916,62.99,64.5,61.15,63.94,62.8,1.14,1.8153,15292.43,96574.084
300853.SZ,20200917,63.46,65.99,63.22,64.88,63.94,0.94,1.4701,20765.53,134852.249
300853.SZ,20200918,64.14,65.2,63.5,64.28,64.88,-0.6,-0.9248,13051.57,83639.455
300853.SZ,20200921,63.95,66.5,63.18,64.7,64.28,0.42,0.6534,14010.16,90779.035
300853.SZ,20200922,64.04,64.67,63.11,63.55,64.7,-1.15,-1.7774,8076.75,51510.658
300853.SZ,20200923,64.53,68.63,63.92,67.32,63.55,3.77,5.9323,31467.96,209081.261
300853.SZ,20200924,66.3,69.18,66.13,66.68,67.02,-0.34,-0.5073,16606.23,111635.106
300853.SZ,20200925,66.84,68.98,65.2,65.32,66.68,-1.36,-2.0396,15314.74,102372.315
300853.SZ,20200928,65.05,65.73,62.0,63.79,65.32,-1.53,-2.3423,18707.38,118606.578
300853.SZ,20200929,63.5,64.4,62.7,62.85,63.79,-0.94,-1.4736,8127.75,51440.67
300853.SZ,20200930,62.85,63.58,61.01,61.9,62.85,-0.95,-1.5115,10175.32,63513.303
300853.SZ,20201009,62.99,68.23,62.8,67.0,61.9,5.1,8.2391,21372.79,139709.97
300853.SZ,20201012,67.89,68.09,66.59,67.98,67.0,0.98,1.4627,16568.7,111759.403
300853.SZ,20201013,67.97,68.59,67.35,68.32,67.98,0.34,0.5001,13620.12,92586.108
300853.SZ,20201014,68.3,69.99,67.92,68.99,68.32,0.67,0.9807,18503.36,127171.734
300853.SZ,20201015,68.96,69.86,66.66,67.9,68.99,-1.09,-1.5799,15408.36,104603.172
300853.SZ,20201016,67.8,68.99,65.8,65.83,67.9,-2.07,-3.0486,17512.65,117104.277
300853.SZ,20201019,65.98,66.5,64.32,64.56,65.83,-1.27,-1.9292,9367.69,61317.551
300853.SZ,20201020,64.9,67.27,63.3,67.05,64.56,2.49,3.8569,15414.95,100811.901
300853.SZ,20201021,66.59,67.86,66.59,66.9,67.05,-0.15,-0.2237,13659.0,91786.454
300853.SZ,20201022,66.55,66.91,65.33,66.24,66.9,-0.66,-0.9865,11087.17,73179.027
300853.SZ,20201023,66.26,69.0,65.54,66.79,66.24,0.55,0.8303,22660.56,152872.579
300853.SZ,20201026,67.15,72.88,67.0,72.55,66.79,5.76,8.624,42135.38,297275.95
300853.SZ,20201027,71.0,71.36,68.0,68.92,72.55,-3.63,-5.0034,28044.17,194685.426
300853.SZ,20201028,70.12,71.77,69.51,70.62,68.92,1.7,2.4666,26794.34,189456.149
300853.SZ,20201029,68.7,72.88,68.1,72.18,70.62,1.56,2.209,27911.48,198396.095
300853.SZ,20201030,72.05,77.9,71.51,74.58,72.18,2.4,3.325,42733.98,320650.256
300853.SZ,20201102,74.07,76.7,72.08,75.8,74.58,1.22,1.6358,29915.45,223194.653
300853.SZ,20201103,75.0,79.9,73.8,75.2,75.8,-0.6,-0.7916,37259.04,287167.976
300853.SZ,20201104,74.5,79.33,73.19,73.46,75.2,-1.74,-2.3138,31127.51,235570.759
