ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300886.SZ,20200916,81.0,100.01,75.8,91.8,18.59,73.21,393.8139,110122.18,945098.121
300886.SZ,20200917,82.0,90.9,77.92,78.01,91.8,-13.79,-15.0218,94752.85,795057.794
300886.SZ,20200918,73.31,75.08,68.68,69.8,78.01,-8.21,-10.5243,66560.86,476358.154
300886.SZ,20200921,68.76,71.68,67.94,70.6,69.8,0.8,1.1461,39654.47,278525.929
300886.SZ,20200922,68.86,71.1,66.4,66.4,70.6,-4.2,-5.949,43951.96,301599.344
300886.SZ,20200923,65.67,68.5,65.66,68.21,66.4,1.81,2.7259,39857.56,267006.496
300886.SZ,20200924,66.6,72.1,65.33,68.94,68.21,0.73,1.0702,53817.96,374954.017
300886.SZ,20200925,68.5,71.44,66.0,67.32,68.94,-1.62,-2.3499,40491.12,277211.146
300886.SZ,20200928,66.9,66.91,59.25,59.95,67.32,-7.37,-10.9477,39356.36,247022.934
300886.SZ,20200929,59.99,60.66,57.98,58.4,59.95,-1.55,-2.5855,24447.96,145779.946
300886.SZ,20200930,58.0,62.28,58.0,59.57,58.4,1.17,2.0034,27026.78,162239.233
300886.SZ,20201009,60.6,62.58,60.48,61.96,59.57,2.39,4.0121,26647.54,163742.302
300886.SZ,20201012,61.63,64.03,60.91,63.12,61.96,1.16,1.8722,30318.01,189241.672
300886.SZ,20201013,63.12,63.13,61.3,61.72,63.12,-1.4,-2.218,23109.56,143378.49
300886.SZ,20201014,61.31,73.5,61.31,69.96,61.72,8.24,13.3506,60538.59,404998.476
300886.SZ,20201015,67.56,69.99,65.1,67.4,69.96,-2.56,-3.6592,42344.55,284777.656
300886.SZ,20201016,65.79,69.25,65.56,65.72,67.4,-1.68,-2.4926,30050.38,201674.298
300886.SZ,20201019,65.0,66.39,63.04,63.75,65.72,-1.97,-2.9976,24067.23,155098.306
300886.SZ,20201020,63.93,68.75,63.15,67.73,63.75,3.98,6.2431,37126.03,247149.977
300886.SZ,20201021,68.11,71.3,65.85,68.38,67.73,0.65,0.9597,47858.91,327705.673
300886.SZ,20201022,67.61,73.0,66.5,69.6,68.38,1.22,1.7841,50238.98,352485.124
300886.SZ,20201023,69.26,73.28,68.36,71.2,69.6,1.6,2.2989,47525.52,337048.178
300886.SZ,20201026,69.9,71.95,67.3,70.5,71.2,-0.7,-0.9831,32807.39,229272.9
300886.SZ,20201027,69.88,70.52,66.66,68.0,70.5,-2.5,-3.5461,26722.86,182682.355
300886.SZ,20201028,67.7,77.97,67.7,73.25,68.0,5.25,7.7206,67400.41,494057.694
300886.SZ,20201029,70.63,76.2,70.1,74.91,73.25,1.66,2.2662,63053.51,464489.942
300886.SZ,20201030,74.4,74.4,66.79,67.5,74.91,-7.41,-9.8919,44168.25,311302.748
300886.SZ,20201102,67.48,70.4,66.75,69.61,67.5,2.11,3.1259,32262.66,222405.275
300886.SZ,20201103,68.8,69.94,67.8,69.22,69.61,-0.39,-0.5603,27654.16,190238.657
300886.SZ,20201104,68.97,69.69,67.16,67.97,69.22,-1.25,-1.8058,28330.85,193235.856
300886.SZ,20201105,69.01,72.0,68.2,70.7,67.97,2.73,4.0165,39515.44,277309.848
300886.SZ,20201106,70.31,71.0,65.2,66.3,70.7,-4.4,-6.2235,36018.26,243642.67
300886.SZ,20201109,65.88,68.5,65.6,67.4,66.3,1.1,1.6591,24802.07,166110.496
300886.SZ,20201110,67.41,67.82,62.68,64.4,67.4,-3.0,-4.451,29389.04,190566.631
300886.SZ,20201111,64.21,65.36,63.0,63.59,64.4,-0.81,-1.2578,16621.82,107047.151
