ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300962.SZ,20210409,25.88,40.0,24.01,34.7,3.4,31.3,920.5882,477770.21,1275899.39
300962.SZ,20210412,30.0,40.81,29.85,32.44,34.7,-2.26,-6.513,450541.5,1588815.745
300962.SZ,20210413,29.5,33.33,27.71,32.85,32.44,0.41,1.2639,343835.4,1026859.067
300962.SZ,20210414,32.0,36.48,31.5,33.0,32.85,0.15,0.4566,338323.94,1151555.288
300962.SZ,20210415,30.0,35.0,28.8,35.0,33.0,2.0,6.0606,290534.17,923649.26
300962.SZ,20210416,34.0,37.49,31.8,31.95,35.0,-3.05,-8.7143,291157.85,1006509.444
300962.SZ,20210419,32.01,34.38,31.3,33.01,31.95,1.06,3.3177,260925.98,868156.275
300962.SZ,20210420,31.81,31.94,29.5,31.0,33.01,-2.01,-6.0891,284118.41,873100.351
300962.SZ,20210421,29.9,30.17,27.37,27.47,31.0,-3.53,-11.3871,216785.4,620942.425
300962.SZ,20210422,27.3,27.86,26.06,26.34,27.47,-1.13,-4.1136,174433.47,465085.693
300962.SZ,20210423,25.85,27.25,25.35,26.47,26.34,0.13,0.4935,167057.2,438309.503
300962.SZ,20210426,26.0,27.05,25.7,26.07,26.47,-0.4,-1.5111,118773.15,313354.248
300962.SZ,20210427,25.9,25.95,23.8,23.82,26.07,-2.25,-8.6306,139684.66,343736.822
300962.SZ,20210428,24.0,28.58,23.88,28.58,23.82,4.76,19.9832,224569.04,603442.251
300962.SZ,20210429,30.03,31.77,27.1,27.31,28.58,-1.27,-4.4437,278403.75,820608.797
300962.SZ,20210430,26.31,28.2,26.25,26.52,27.31,-0.79,-2.8927,158851.65,427953.258
300962.SZ,20210506,26.26,26.77,25.2,25.49,26.52,-1.03,-3.8839,119070.17,306432.011
300962.SZ,20210507,25.71,27.0,25.4,26.24,25.49,0.75,2.9423,133776.85,352423.159
300962.SZ,20210510,26.0,26.0,24.51,25.18,26.24,-1.06,-4.0396,113510.49,283338.961
300962.SZ,20210511,25.0,26.88,24.58,25.88,25.18,0.7,2.78,133166.82,347193.507
300962.SZ,20210512,25.3,26.38,25.16,26.37,25.88,0.49,1.8934,107509.3,276978.358
300962.SZ,20210513,26.2,26.8,25.17,25.21,26.37,-1.16,-4.3989,100866.62,260670.134
300962.SZ,20210514,25.03,25.83,24.83,25.17,25.21,-0.04,-0.1587,79430.1,201185.907
300962.SZ,20210517,25.35,27.06,24.03,26.48,25.17,1.31,5.2046,162774.43,420470.193
300962.SZ,20210518,26.11,27.0,26.09,26.29,26.48,-0.19,-0.7175,122295.69,323970.171
300962.SZ,20210519,26.05,26.77,25.62,26.51,26.29,0.22,0.8368,98333.43,259132.221
300962.SZ,20210520,26.11,26.49,24.9,25.27,26.51,-1.24,-4.6775,105501.91,269452.829
300962.SZ,20210521,25.35,25.6,24.82,24.94,25.27,-0.33,-1.3059,61419.94,154387.321
300962.SZ,20210524,24.99,25.57,24.96,25.02,24.94,0.08,0.3208,54468.63,137014.463
300962.SZ,20210525,24.8,25.37,24.65,25.05,25.02,0.03,0.1199,60960.67,152076.792
300962.SZ,20210526,25.0,26.15,24.72,25.82,25.05,0.77,3.0739,103375.07,264336.668
300962.SZ,20210527,25.66,26.35,25.47,25.84,25.82,0.02,0.0775,86497.83,224649.716
300962.SZ,20210528,25.9,25.91,24.89,25.01,25.84,-0.83,-3.2121,79571.77,201257.692
300962.SZ,20210531,24.95,26.79,24.81,26.24,25.01,1.23,4.918,112221.56,292117.906
300962.SZ,20210601,26.0,26.39,25.75,26.05,26.24,-0.19,-0.7241,71962.22,187078.278
300962.SZ,20210602,26.21,30.0,26.05,27.87,26.05,1.82,6.9866,201455.25,558334.408
300962.SZ,20210603,27.27,27.86,26.82,27.13,27.87,-0.74,-2.6552,119764.02,327382.749
300962.SZ,20210604,27.28,28.25,26.23,26.37,27.13,-0.76,-2.8013,111736.02,302551.546
300962.SZ,20210607,25.91,26.26,25.34,25.8,26.37,-0.57,-2.1615,72488.43,186886.06
300962.SZ,20210608,25.81,25.96,25.17,25.3,25.8,-0.5,-1.938,66454.19,169104.483
300962.SZ,20210609,25.49,25.92,25.25,25.92,25.3,0.62,2.4506,53587.19,137161.565
300962.SZ,20210610,25.93,25.93,25.01,25.14,25.76,-0.62,-2.4068,63145.45,159339.972
300962.SZ,20210611,25.14,25.15,24.7,24.8,25.14,-0.34,-1.3524,46233.57,115064.75
300962.SZ,20210615,24.89,24.99,23.92,24.09,24.8,-0.71,-2.8629,48341.48,117450.794
300962.SZ,20210616,24.12,24.56,23.96,24.1,24.09,0.01,0.0415,35661.21,86371.949
300962.SZ,20210617,24.1,24.12,23.2,23.46,24.1,-0.64,-2.6556,57897.9,135879.792
300962.SZ,20210618,23.26,23.76,23.26,23.7,23.46,0.24,1.023,40855.04,95963.713
300962.SZ,20210621,23.56,24.35,23.5,24.15,23.7,0.45,1.8987,40546.33,97475.37
300962.SZ,20210622,24.15,25.31,23.83,24.83,24.15,0.68,2.8157,69291.72,169634.341
300962.SZ,20210623,24.51,24.74,24.21,24.24,24.83,-0.59,-2.3762,44693.12,109016.13
300962.SZ,20210624,24.35,25.49,23.7,25.34,24.24,1.1,4.538,92640.28,228559.368
300962.SZ,20210625,24.82,25.07,24.6,24.64,25.34,-0.7,-2.7624,60271.32,149411.519
300962.SZ,20210628,24.65,24.69,23.98,24.1,24.64,-0.54,-2.1916,42032.71,101691.352
300962.SZ,20210629,24.13,24.33,23.8,23.81,24.1,-0.29,-1.2033,35099.36,84166.885
300962.SZ,20210630,23.81,24.14,23.72,24.0,23.81,0.19,0.798,29426.63,70486.469
300962.SZ,20210701,23.84,24.2,23.57,23.76,24.0,-0.24,-1.0,39479.32,94101.756
300962.SZ,20210702,23.79,23.92,23.2,23.23,23.76,-0.53,-2.2306,32536.37,76362.525
300962.SZ,20210705,23.1,23.36,23.01,23.12,23.23,-0.11,-0.4735,27617.08,63834.636
300962.SZ,20210706,23.67,24.99,23.67,24.0,23.12,0.88,3.8062,75464.39,183494.68
300962.SZ,20210707,23.57,24.03,23.39,23.82,24.0,-0.18,-0.75,44130.12,104577.004
300962.SZ,20210708,23.83,23.96,23.19,23.22,23.82,-0.6,-2.5189,45763.12,107331.959
300962.SZ,20210709,23.28,23.58,23.16,23.46,23.22,0.24,1.0336,27370.54,64007.147
300962.SZ,20210712,23.6,23.74,23.32,23.53,23.46,0.07,0.2984,31239.31,73442.892
300962.SZ,20210713,23.55,23.55,23.14,23.33,23.53,-0.2,-0.85,30659.26,71383.964
300962.SZ,20210714,23.34,23.87,23.34,23.44,23.33,0.11,0.4715,37470.36,88507.252
300962.SZ,20210715,23.4,23.43,21.61,22.25,23.44,-1.19,-5.0768,61273.82,137391.879
300962.SZ,20210716,22.08,22.35,21.3,21.3,22.25,-0.95,-4.2697,56718.97,122012.502
300962.SZ,20210719,21.2,21.45,21.03,21.11,21.3,-0.19,-0.892,25144.93,53231.835
300962.SZ,20210720,21.32,21.8,21.16,21.41,21.11,0.3,1.4211,31437.11,67383.226
300962.SZ,20210721,21.44,21.56,21.2,21.41,21.41,0.0,0.0,26691.33,56987.415
300962.SZ,20210722,21.37,21.5,21.26,21.38,21.41,-0.03,-0.1401,25719.85,54903.311
300962.SZ,20210723,21.38,21.44,19.83,20.0,21.38,-1.38,-6.4546,61508.44,125248.365
300962.SZ,20210726,20.02,20.06,19.02,19.11,20.0,-0.89,-4.45,39307.62,75981.036
300962.SZ,20210727,19.27,19.42,18.8,18.8,19.11,-0.31,-1.6222,29973.73,57103.546
