ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300984.SZ,20210618,56.0,65.0,56.0,56.73,30.97,25.76,83.1773,56032.88,331610.203
300984.SZ,20210621,54.0,55.68,50.5,52.05,56.73,-4.68,-8.2496,40506.77,211924.986
300984.SZ,20210622,52.07,54.5,51.0,53.23,52.05,1.18,2.2671,33174.44,176008.013
300984.SZ,20210623,51.97,52.35,50.1,50.23,53.23,-3.0,-5.6359,29920.49,152219.097
300984.SZ,20210624,50.0,51.36,49.51,49.77,50.23,-0.46,-0.9158,22555.66,114023.904
300984.SZ,20210625,49.01,49.76,47.41,47.99,49.77,-1.78,-3.5765,25886.92,124838.59
300984.SZ,20210628,48.0,48.36,47.62,48.15,47.99,0.16,0.3334,13602.55,65315.968
300984.SZ,20210629,48.15,48.47,46.9,46.98,48.15,-1.17,-2.4299,14590.42,69416.867
300984.SZ,20210630,47.0,47.42,46.31,47.28,46.98,0.3,0.6386,12374.98,58059.723
300984.SZ,20210701,47.13,47.95,46.7,47.15,47.28,-0.13,-0.275,13809.0,65512.723
300984.SZ,20210702,47.09,47.09,45.18,45.26,47.15,-1.89,-4.0085,14104.15,64556.621
300984.SZ,20210705,45.37,45.52,44.81,45.28,45.26,0.02,0.0442,7606.95,34317.707
300984.SZ,20210706,45.3,47.56,45.19,46.79,45.28,1.51,3.3348,15409.7,71712.145
300984.SZ,20210707,46.85,47.98,46.0,46.98,46.79,0.19,0.4061,16077.86,75664.462
300984.SZ,20210708,46.48,46.55,45.6,45.62,46.98,-1.36,-2.8948,11772.3,54124.663
300984.SZ,20210709,45.37,46.08,45.02,45.99,45.62,0.37,0.811,7381.0,33757.487
300984.SZ,20210712,45.73,46.26,45.72,46.08,45.99,0.09,0.1957,6799.0,31291.465
300984.SZ,20210713,46.08,46.08,45.04,45.78,46.08,-0.3,-0.651,6695.2,30498.69
300984.SZ,20210714,45.58,45.96,45.2,45.21,45.78,-0.57,-1.2451,5791.0,26435.735
300984.SZ,20210715,45.1,45.38,43.82,45.12,45.21,-0.09,-0.1991,10955.99,48860.396
300984.SZ,20210716,45.0,45.05,43.95,44.02,45.12,-1.1,-2.4379,6165.0,27404.525
300984.SZ,20210719,43.8,44.22,43.21,43.83,44.02,-0.19,-0.4316,4615.0,20217.729
