ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300985.SZ,20210429,50.0,52.0,42.8,44.98,24.9,20.08,80.6426,203537.1,930737.744
300985.SZ,20210430,41.0,43.47,37.2,38.09,44.98,-6.89,-15.3179,126815.3,509604.863
300985.SZ,20210506,37.0,39.48,35.6,36.64,38.09,-1.45,-3.8068,95249.35,355158.293
300985.SZ,20210507,36.01,36.22,33.79,33.85,36.64,-2.79,-7.6146,89093.91,309215.347
300985.SZ,20210510,33.79,34.84,32.8,33.32,33.85,-0.53,-1.5657,66200.11,223389.145
300985.SZ,20210511,33.27,33.7,32.0,33.49,33.32,0.17,0.5102,56643.85,187537.184
300985.SZ,20210512,33.0,33.67,32.45,33.52,33.49,0.03,0.0896,60554.66,200334.916
300985.SZ,20210513,33.01,33.55,31.88,31.88,33.52,-1.64,-4.8926,56108.15,183068.766
300985.SZ,20210514,31.88,32.48,31.66,31.94,31.88,0.06,0.1882,42174.18,135157.615
300985.SZ,20210517,31.82,33.88,30.69,33.44,31.94,1.5,4.6963,76103.64,243711.503
300985.SZ,20210518,32.66,33.29,32.22,32.25,33.44,-1.19,-3.5586,49573.93,162004.375
300985.SZ,20210519,32.05,32.68,31.6,31.72,32.25,-0.53,-1.6434,37427.35,119877.91
300985.SZ,20210520,31.73,32.23,31.18,31.79,31.72,0.07,0.2207,35304.05,111770.497
300985.SZ,20210521,31.66,32.14,31.51,31.85,31.79,0.06,0.1887,27303.59,87010.572
300985.SZ,20210524,31.86,33.98,31.21,32.75,31.85,0.9,2.8257,60977.79,199315.175
300985.SZ,20210525,32.45,32.94,31.89,32.38,32.75,-0.37,-1.1298,39312.67,126997.366
300985.SZ,20210526,32.25,34.98,32.25,33.89,32.38,1.51,4.6634,76608.32,258513.057
300985.SZ,20210527,33.56,35.1,33.32,33.42,33.89,-0.47,-1.3868,66754.41,228222.406
300985.SZ,20210528,33.05,33.74,31.88,31.97,33.42,-1.45,-4.3387,56909.59,186066.634
300985.SZ,20210531,31.6,31.85,31.11,31.82,31.97,-0.15,-0.4692,31554.8,99468.723
300985.SZ,20210601,31.88,32.35,31.6,32.09,31.82,0.27,0.8485,27654.4,88528.316
300985.SZ,20210602,32.01,32.49,31.67,32.28,32.09,0.19,0.5921,29298.17,94168.308
300985.SZ,20210603,32.42,33.5,31.7,32.71,32.28,0.43,1.3321,49801.83,162203.392
300985.SZ,20210604,32.73,32.99,31.81,31.83,32.71,-0.88,-2.6903,35606.01,115141.114
300985.SZ,20210607,31.53,31.99,31.28,31.32,31.83,-0.51,-1.6023,25122.92,79294.668
300985.SZ,20210608,31.18,31.45,30.74,30.76,31.32,-0.56,-1.788,23162.7,71884.793
300985.SZ,20210609,30.71,31.06,30.7,30.99,30.76,0.23,0.7477,14271.48,44141.668
