ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301015.SZ,20210630,35.1,56.16,35.1,56.16,7.64,48.52,635.0785,316676.95,1235466.849
301015.SZ,20210701,47.0,52.8,44.0,44.6,56.16,-11.56,-20.584,258427.39,1235387.472
301015.SZ,20210702,46.8,49.5,43.78,43.97,44.6,-0.63,-1.4126,186819.23,865174.147
301015.SZ,20210705,40.0,40.85,35.82,36.01,43.97,-7.96,-18.1033,183647.2,692301.523
301015.SZ,20210706,34.6,37.71,33.81,36.5,36.01,0.49,1.3607,156619.25,559077.816
301015.SZ,20210707,35.5,36.59,34.68,34.9,36.5,-1.6,-4.3836,116894.79,414459.487
301015.SZ,20210708,34.26,36.15,33.5,35.22,34.9,0.32,0.9169,113032.08,395097.826
301015.SZ,20210709,34.98,36.6,33.92,34.06,35.22,-1.16,-3.2936,95189.54,334574.528
301015.SZ,20210712,33.2,34.83,33.1,33.91,34.06,-0.15,-0.4404,70084.41,238241.486
301015.SZ,20210713,33.9,34.57,31.93,32.57,33.91,-1.34,-3.9516,95786.89,315704.601
301015.SZ,20210714,32.64,33.45,32.0,33.28,32.57,0.71,2.1799,73565.92,241645.635
301015.SZ,20210715,32.64,32.86,31.55,32.65,33.28,-0.63,-1.893,71699.02,230966.189
301015.SZ,20210716,33.0,34.02,32.88,32.99,32.65,0.34,1.0413,77837.28,259629.011
301015.SZ,20210719,32.19,35.8,31.72,34.4,32.99,1.41,4.274,94779.44,321995.789
301015.SZ,20210720,32.9,33.88,32.53,32.6,34.4,-1.8,-5.2326,77120.43,254840.399
301015.SZ,20210721,32.89,33.65,32.12,32.35,32.6,-0.25,-0.7669,53501.02,174745.884
301015.SZ,20210722,32.11,32.4,30.33,30.43,32.35,-1.92,-5.9351,76170.25,235936.202
301015.SZ,20210723,30.13,30.84,28.88,29.0,30.43,-1.43,-4.6993,57368.47,170289.693
301015.SZ,20210726,28.88,28.88,26.33,26.8,29.0,-2.2,-7.5862,59909.74,164480.138
301015.SZ,20210727,27.01,27.43,26.15,26.17,26.8,-0.63,-2.3507,44283.19,118360.864
301015.SZ,20210728,26.6,27.5,26.01,26.82,26.17,0.65,2.4838,51683.23,139004.139
301015.SZ,20210729,26.48,27.58,26.46,26.92,26.82,0.1,0.3729,46462.67,125423.082
301015.SZ,20210730,26.78,28.98,25.55,27.99,26.92,1.07,3.9747,81502.81,219185.759
301015.SZ,20210802,27.34,27.8,26.67,27.4,27.99,-0.59,-2.1079,59586.18,162098.789
301015.SZ,20210803,27.2,28.5,27.13,27.32,27.4,-0.08,-0.292,61459.66,170914.997
301015.SZ,20210804,26.97,27.05,26.39,26.9,27.32,-0.42,-1.5373,45905.34,122464.384
301015.SZ,20210805,26.8,27.5,25.86,26.03,26.9,-0.87,-3.2342,51499.23,136845.5
301015.SZ,20210806,26.05,26.3,25.13,25.3,26.03,-0.73,-2.8045,40618.64,103722.117
301015.SZ,20210809,25.5,26.3,25.3,26.09,25.3,0.79,3.1225,35303.85,91334.062
301015.SZ,20210810,26.08,26.61,25.78,26.6,26.09,0.51,1.9548,41474.37,108811.995
301015.SZ,20210811,27.03,27.97,26.81,27.0,26.6,0.4,1.5038,65971.66,180347.219
301015.SZ,20210812,26.85,27.27,26.17,26.3,27.0,-0.7,-2.5926,46022.69,122031.846
301015.SZ,20210813,26.2,26.46,25.7,25.92,26.3,-0.38,-1.4449,29042.79,75554.579
301015.SZ,20210816,26.2,27.37,25.86,27.08,25.92,1.16,4.4753,53916.83,144243.329
301015.SZ,20210817,27.02,27.96,26.57,27.19,27.08,0.11,0.4062,65637.76,179544.761
301015.SZ,20210818,27.28,28.99,26.78,28.68,27.19,1.49,5.48,78679.34,221716.181
301015.SZ,20210819,28.05,28.69,27.31,27.46,28.68,-1.22,-4.2538,55288.2,154033.393
301015.SZ,20210820,27.03,27.38,25.85,26.01,27.46,-1.45,-5.2804,43750.44,114972.066
301015.SZ,20210823,25.9,26.5,25.85,26.23,26.01,0.22,0.8458,29224.69,76643.176
301015.SZ,20210824,26.2,26.59,26.02,26.17,26.23,-0.06,-0.2287,30111.36,78977.595
301015.SZ,20210825,26.75,26.78,26.19,26.24,26.17,0.07,0.2675,26354.28,69526.249
301015.SZ,20210826,26.11,26.25,25.38,25.52,26.24,-0.72,-2.7439,35397.79,90508.764
301015.SZ,20210827,25.51,25.92,25.23,25.44,25.52,-0.08,-0.3135,24346.86,62198.443
301015.SZ,20210830,25.8,26.06,25.05,25.05,25.44,-0.39,-1.533,30255.9,77193.363
301015.SZ,20210831,25.03,25.08,24.0,24.29,25.05,-0.76,-3.0339,33922.43,82557.285
301015.SZ,20210901,24.07,25.09,24.06,24.73,24.29,0.44,1.8114,31141.31,76539.499
301015.SZ,20210902,24.65,25.3,24.13,25.09,24.73,0.36,1.4557,39822.98,98085.379
301015.SZ,20210903,24.84,25.35,24.52,25.14,25.09,0.05,0.1993,32346.25,80765.746
301015.SZ,20210906,24.95,26.09,24.95,25.8,25.14,0.66,2.6253,42265.4,108565.331
301015.SZ,20210907,25.61,25.79,25.39,25.45,25.8,-0.35,-1.3566,26784.09,68315.821
301015.SZ,20210908,25.59,25.65,25.05,25.17,25.45,-0.28,-1.1002,22320.94,56434.825
301015.SZ,20210909,25.0,25.29,24.8,24.95,25.17,-0.22,-0.8741,18270.25,45603.818
301015.SZ,20210910,25.02,25.15,24.82,25.06,24.95,0.11,0.4409,15034.55,37621.681
301015.SZ,20210913,25.0,25.3,24.49,24.53,25.06,-0.53,-2.1149,22135.37,55135.291
301015.SZ,20210914,24.35,24.79,24.34,24.68,24.53,0.15,0.6115,17248.54,42386.306
301015.SZ,20210915,24.69,24.74,24.23,24.43,24.68,-0.25,-1.013,17934.42,43737.877
301015.SZ,20210916,24.55,27.86,24.28,26.51,24.43,2.08,8.5141,108824.09,293349.341
301015.SZ,20210917,25.91,28.56,25.25,27.74,26.51,1.23,4.6398,109131.39,292318.607
