ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301048.SZ,20210818,14.5,19.88,14.5,18.0,4.13,13.87,335.8354,780346.33,1265740.898
301048.SZ,20210819,17.0,17.48,15.36,15.42,18.0,-2.58,-14.3333,629396.11,1026322.621
301048.SZ,20210820,15.16,16.48,14.71,14.81,15.42,-0.61,-3.9559,486654.12,759127.274
301048.SZ,20210823,14.2,16.21,13.98,15.62,14.81,0.81,5.4693,445711.55,684924.358
301048.SZ,20210824,15.27,16.2,14.82,15.51,15.62,-0.11,-0.7042,445998.62,687807.658
301048.SZ,20210825,15.42,16.47,15.15,15.7,15.51,0.19,1.225,392361.86,620696.469
301048.SZ,20210826,15.42,15.88,14.71,14.73,15.7,-0.97,-6.1783,309961.79,470554.486
301048.SZ,20210827,14.4,14.81,13.88,14.38,14.73,-0.35,-2.3761,278059.04,395668.026
301048.SZ,20210830,14.02,14.7,14.02,14.13,14.38,-0.25,-1.7385,167552.74,240420.327
301048.SZ,20210831,14.12,14.72,14.02,14.46,14.13,0.33,2.3355,198207.27,285808.298
301048.SZ,20210901,14.48,17.35,14.08,17.35,14.46,2.89,19.9862,563435.07,908461.395
301048.SZ,20210902,17.38,20.82,16.76,20.82,17.35,3.47,20.0,753182.73,1379372.02
301048.SZ,20210903,19.68,23.16,18.9,19.29,20.82,-1.53,-7.3487,776028.23,1606812.526
301048.SZ,20210906,19.3,20.4,18.25,18.92,19.29,-0.37,-1.9181,482171.23,931736.489
301048.SZ,20210907,19.41,19.66,17.81,18.18,18.92,-0.74,-3.9112,429746.54,788093.377
301048.SZ,20210908,17.8,18.25,17.42,17.55,18.18,-0.63,-3.4653,304441.45,539176.891
301048.SZ,20210909,17.56,18.37,17.34,17.79,17.55,0.24,1.3675,326102.46,583463.907
301048.SZ,20210910,17.35,17.38,16.18,16.2,17.79,-1.59,-8.9376,314516.69,521613.495
301048.SZ,20210913,16.28,16.77,15.7,16.38,16.2,0.18,1.1111,199546.9,325568.638
301048.SZ,20210914,16.3,16.75,15.89,16.6,16.38,0.22,1.3431,201101.54,329531.974
301048.SZ,20210915,16.45,16.88,16.07,16.36,16.6,-0.24,-1.4458,166773.61,274566.949
301048.SZ,20210916,16.0,16.58,15.8,16.18,16.36,-0.18,-1.1002,170158.37,274803.493
301048.SZ,20210917,16.03,16.16,14.81,15.29,16.18,-0.89,-5.5006,194101.81,297948.094
301048.SZ,20210922,14.91,15.55,14.85,15.3,15.29,0.01,0.0654,94195.02,144255.739
301048.SZ,20210923,15.31,16.16,15.31,15.9,15.3,0.6,3.9216,141491.33,222874.527
301048.SZ,20210924,15.64,15.76,14.82,14.88,15.9,-1.02,-6.4151,126785.18,192589.503
301048.SZ,20210927,14.93,14.98,14.06,14.36,14.88,-0.52,-3.4946,100142.76,144847.501
301048.SZ,20210928,14.39,14.65,14.34,14.6,14.36,0.24,1.6713,60757.67,88303.188
301048.SZ,20210929,14.28,14.62,14.06,14.26,14.6,-0.34,-2.3288,68537.03,98332.455
301048.SZ,20210930,14.36,14.66,14.3,14.5,14.26,0.24,1.683,59497.22,86125.339
301048.SZ,20211008,14.98,15.07,14.52,14.81,14.5,0.31,2.1379,73035.29,107525.545
301048.SZ,20211011,14.84,14.89,14.46,14.54,14.81,-0.27,-1.8231,55997.37,81737.913
301048.SZ,20211012,14.48,14.48,14.03,14.36,14.54,-0.18,-1.238,62536.26,88828.714
301048.SZ,20211013,14.28,15.45,14.22,15.22,14.36,0.86,5.9889,145575.76,219381.727
301048.SZ,20211014,15.0,15.58,14.9,15.23,15.22,0.01,0.0657,108763.06,166012.441
301048.SZ,20211015,15.23,15.39,14.83,14.91,15.23,-0.32,-2.1011,75483.75,113405.294
301048.SZ,20211018,14.81,15.2,14.68,14.99,14.91,0.08,0.5366,67360.41,100986.296
301048.SZ,20211019,15.12,15.36,15.01,15.08,14.99,0.09,0.6004,60482.56,91463.086
301048.SZ,20211020,15.1,15.1,14.53,14.58,15.08,-0.5,-3.3156,79660.7,116983.615
301048.SZ,20211021,14.56,14.85,14.37,14.85,14.58,0.27,1.8519,64842.52,94590.996
301048.SZ,20211022,14.84,14.91,14.51,14.55,14.85,-0.3,-2.0202,56096.27,82214.318
301048.SZ,20211025,14.4,14.5,14.2,14.5,14.55,-0.05,-0.3436,44263.63,63478.239
301048.SZ,20211026,14.5,14.55,14.2,14.24,14.5,-0.26,-1.7931,51707.54,74090.909
301048.SZ,20211027,14.21,14.21,13.02,13.04,14.24,-1.2,-8.427,116644.94,156789.894
301048.SZ,20211028,13.18,13.18,12.18,12.26,13.04,-0.78,-5.9816,83291.09,104232.447
301048.SZ,20211029,12.21,12.48,12.02,12.34,12.26,0.08,0.6525,44229.64,54405.399
301048.SZ,20211101,12.4,12.87,12.21,12.7,12.34,0.36,2.9173,60941.23,76735.167
301048.SZ,20211102,12.88,12.88,12.21,12.32,12.7,-0.38,-2.9921,51383.1,64125.401
301048.SZ,20211103,12.25,12.5,12.24,12.43,12.32,0.11,0.8929,37053.6,45806.298
301048.SZ,20211104,12.42,13.11,12.42,12.73,12.43,0.3,2.4135,68167.47,87069.737
301048.SZ,20211105,12.61,12.9,12.5,12.72,12.73,-0.01,-0.0786,62281.57,79248.002
301048.SZ,20211108,12.88,12.98,12.7,12.92,12.72,0.2,1.5723,51024.53,65488.45
301048.SZ,20211109,12.93,13.08,12.81,12.98,12.92,0.06,0.4644,52487.16,67857.778
301048.SZ,20211110,12.89,13.1,12.8,13.1,12.98,0.12,0.9245,62112.7,80444.918
301048.SZ,20211111,13.02,13.59,13.02,13.51,13.1,0.41,3.1298,94864.75,127356.435
301048.SZ,20211112,13.42,13.75,13.22,13.55,13.51,0.04,0.2961,75870.84,102392.67
301048.SZ,20211115,13.58,14.3,13.58,14.21,13.55,0.66,4.8708,104632.68,146064.001
