ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301057.SZ,20210909,26.8,28.88,24.92,25.39,8.03,17.36,216.1893,174511.34,472938.92
301057.SZ,20210910,23.4,28.68,22.88,27.3,25.39,1.91,7.5226,162335.46,418590.921
301057.SZ,20210913,24.78,25.1,23.45,23.86,27.3,-3.44,-12.6007,123240.84,297890.203
301057.SZ,20210914,23.1,23.9,22.58,23.9,23.86,0.04,0.1676,95379.72,221043.864
301057.SZ,20210915,23.29,23.87,22.81,22.91,23.9,-0.99,-4.1423,72437.87,167484.568
301057.SZ,20210916,22.61,23.49,22.59,22.61,22.91,-0.3,-1.3095,67944.47,156514.509
301057.SZ,20210917,22.32,22.47,21.5,21.51,22.61,-1.1,-4.8651,65245.71,142531.39
301057.SZ,20210922,21.2,21.56,21.02,21.12,21.51,-0.39,-1.8131,39593.21,83996.46
301057.SZ,20210923,21.25,21.58,21.17,21.55,21.12,0.43,2.036,39708.44,84878.877
301057.SZ,20210924,21.69,22.0,20.56,20.57,21.55,-0.98,-4.5476,50221.7,106348.339
301057.SZ,20210927,20.15,20.41,19.6,19.77,20.57,-0.8,-3.8892,35547.08,70964.651
301057.SZ,20210928,19.8,20.17,19.53,20.17,19.77,0.4,2.0233,24061.89,47801.944
301057.SZ,20210929,20.18,20.78,19.54,19.56,20.17,-0.61,-3.0243,36987.37,75008.022
301057.SZ,20210930,19.72,19.72,19.13,19.41,19.56,-0.15,-0.7669,27444.51,53365.348
301057.SZ,20211008,19.51,19.96,19.51,19.71,19.41,0.3,1.5456,21143.21,41700.759
301057.SZ,20211011,19.98,20.27,19.69,19.88,19.71,0.17,0.8625,20802.36,41496.803
301057.SZ,20211012,19.74,20.5,19.47,20.33,19.88,0.45,2.2636,33154.45,66138.026
301057.SZ,20211013,20.08,20.99,20.0,20.81,20.33,0.48,2.361,42709.77,88156.271
301057.SZ,20211014,20.53,20.78,20.45,20.55,20.81,-0.26,-1.2494,23452.77,48250.54
301057.SZ,20211015,20.66,21.35,20.01,21.3,20.55,0.75,3.6496,48752.93,101315.655
301057.SZ,20211018,21.68,21.88,20.9,21.15,21.3,-0.15,-0.7042,43656.44,93146.588
301057.SZ,20211019,20.76,20.82,20.33,20.39,21.15,-0.76,-3.5934,30653.16,62864.734
301057.SZ,20211020,20.36,20.36,19.67,19.7,20.39,-0.69,-3.384,29775.19,59025.462
301057.SZ,20211021,19.68,19.98,19.52,19.97,19.7,0.27,1.3706,22784.09,45081.169
301057.SZ,20211022,20.15,20.99,19.94,20.48,19.97,0.51,2.5538,43713.71,90094.024
301057.SZ,20211025,20.0,20.78,19.73,20.78,20.48,0.3,1.4648,30111.9,61174.175
301057.SZ,20211026,20.61,20.76,19.89,19.92,20.78,-0.86,-4.1386,29189.73,58949.559
301057.SZ,20211027,19.94,20.13,19.14,19.92,19.92,0.0,0.0,29037.88,56663.88
301057.SZ,20211028,19.75,19.94,18.82,18.85,19.92,-1.07,-5.3715,20224.12,39178.272
301057.SZ,20211029,18.81,19.14,18.64,18.86,18.85,0.01,0.0531,20510.2,38675.539
