ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301103.SZ,20220322,51.0,58.87,49.21,49.5,42.5,7.0,16.4706,188068.06,978668.986
301103.SZ,20220323,47.0,52.4,46.01,48.95,49.5,-0.55,-1.1111,124476.77,610343.768
301103.SZ,20220324,47.88,50.72,47.05,48.45,48.95,-0.5,-1.0215,102442.86,501222.647
301103.SZ,20220325,47.4,49.69,47.22,48.15,48.45,-0.3,-0.6192,72847.95,352112.321
301103.SZ,20220328,47.71,48.2,43.32,43.42,48.15,-4.73,-9.8235,88897.87,401677.086
301103.SZ,20220329,42.99,44.27,42.43,42.64,43.42,-0.78,-1.7964,45295.66,195279.181
301103.SZ,20220330,42.65,47.1,41.23,46.45,42.64,3.81,8.9353,99995.58,443519.478
301103.SZ,20220331,45.2,46.88,43.01,43.57,46.45,-2.88,-6.2002,73139.78,330438.76
301103.SZ,20220401,42.99,45.3,42.89,43.41,43.57,-0.16,-0.3672,43409.82,190585.236
301103.SZ,20220406,43.43,44.8,42.62,43.93,43.41,0.52,1.1979,35473.14,154304.241
301103.SZ,20220407,43.5,44.9,42.93,44.78,43.93,0.85,1.9349,47610.78,209969.72
301103.SZ,20220408,44.16,44.38,41.68,41.75,44.78,-3.03,-6.7664,50372.45,215865.688
301103.SZ,20220411,40.5,40.5,38.03,38.18,41.75,-3.57,-8.5509,43598.65,171498.849
301103.SZ,20220412,38.18,39.48,37.8,39.16,38.18,0.98,2.5668,22300.38,86235.946
301103.SZ,20220413,38.78,39.3,37.73,38.02,39.16,-1.14,-2.9111,20527.41,79275.342
301103.SZ,20220414,38.2,40.0,38.2,38.92,38.02,0.9,2.3672,28804.14,113294.306
301103.SZ,20220415,38.35,38.47,36.43,36.66,38.92,-2.26,-5.8068,34578.83,129575.89
301103.SZ,20220418,36.44,37.04,36.12,36.92,36.66,0.26,0.7092,15843.85,58121.375
301103.SZ,20220419,36.99,37.3,36.18,36.28,36.92,-0.64,-1.7335,17409.01,63646.529
301103.SZ,20220420,36.5,37.77,36.33,36.65,36.28,0.37,1.0198,26104.29,96638.813
301103.SZ,20220421,36.5,38.65,36.29,37.17,36.65,0.52,1.4188,33757.25,126072.79
301103.SZ,20220422,36.77,39.04,36.33,38.78,37.17,1.61,4.3315,42760.25,163531.685
301103.SZ,20220425,38.02,38.37,34.9,35.08,38.78,-3.7,-9.541,35948.78,131764.181
301103.SZ,20220426,35.3,37.85,34.95,35.74,35.08,0.66,1.8814,34330.94,124633.911
301103.SZ,20220427,34.89,36.2,33.85,36.1,35.74,0.36,1.0073,44241.81,155132.98
301103.SZ,20220428,35.97,35.97,33.77,33.79,36.1,-2.31,-6.3989,34202.12,117984.437
