ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301123.SZ,20220125,51.0,58.0,48.87,49.33,37.23,12.1,32.5007,357520.53,1873606.306
301123.SZ,20220126,43.17,44.34,38.21,38.53,49.33,-10.8,-21.8934,263613.57,1079756.284
301123.SZ,20220127,37.86,38.37,33.5,33.5,38.53,-5.03,-13.0548,201831.91,722126.285
301123.SZ,20220128,34.48,35.34,33.52,33.61,33.5,0.11,0.3284,118962.57,407299.046
301123.SZ,20220207,34.4,35.94,33.61,34.66,33.61,1.05,3.1241,117028.83,407228.823
301123.SZ,20220208,34.2,34.45,32.88,34.05,34.66,-0.61,-1.76,89466.36,301690.245
301123.SZ,20220209,33.98,35.05,33.77,34.91,34.05,0.86,2.5257,91352.49,315306.005
301123.SZ,20220210,35.05,35.67,34.59,35.31,34.91,0.4,1.1458,92352.55,325038.148
301123.SZ,20220211,35.01,35.15,33.03,33.14,35.31,-2.17,-6.1456,96408.85,325909.609
301123.SZ,20220214,32.2,33.89,32.01,33.13,33.14,-0.01,-0.0302,60505.69,200410.899
301123.SZ,20220215,32.9,33.5,32.9,33.15,33.13,0.02,0.0604,48305.79,160515.931
301123.SZ,20220216,33.34,36.33,33.21,35.66,33.15,2.51,7.5716,139637.65,486656.612
301123.SZ,20220217,35.4,37.55,34.83,35.95,35.66,0.29,0.8132,143139.39,517956.486
301123.SZ,20220218,35.41,36.92,35.08,36.69,35.95,0.74,2.0584,102652.8,371622.244
301123.SZ,20220221,36.41,37.15,35.65,36.05,36.69,-0.64,-1.7443,94249.09,341342.181
301123.SZ,20220222,35.55,35.95,34.5,35.57,36.05,-0.48,-1.3315,68159.0,240302.22
301123.SZ,20220223,35.61,36.23,35.26,35.93,35.57,0.36,1.0121,62963.61,225422.838
301123.SZ,20220224,35.45,35.65,32.88,33.31,35.93,-2.62,-7.292,97853.31,334882.643
301123.SZ,20220225,33.5,34.92,33.5,34.28,33.31,0.97,2.912,61694.42,211763.443
301123.SZ,20220228,34.0,34.39,33.5,34.15,34.28,-0.13,-0.3792,36817.64,125228.806
301123.SZ,20220301,34.36,34.55,33.9,34.42,34.15,0.27,0.7906,34462.13,118044.448
301123.SZ,20220302,34.2,34.36,33.61,33.99,34.42,-0.43,-1.2493,35358.86,119951.003
301123.SZ,20220303,34.18,35.2,33.92,35.19,33.99,1.2,3.5305,70654.93,244608.831
301123.SZ,20220304,34.85,36.21,34.7,35.37,35.19,0.18,0.5115,75306.07,267155.579
301123.SZ,20220307,35.11,35.28,33.81,33.9,35.37,-1.47,-4.1561,50753.26,173235.415
301123.SZ,20220308,33.58,34.0,32.05,32.19,33.9,-1.71,-5.0442,52117.37,171207.079
301123.SZ,20220309,32.3,32.68,29.7,31.16,32.19,-1.03,-3.1998,55929.15,174592.157
301123.SZ,20220310,31.9,32.42,31.08,31.12,31.16,-0.04,-0.1284,43128.93,136115.406
301123.SZ,20220311,30.8,30.8,29.56,30.54,31.12,-0.58,-1.8638,48671.85,146345.595
301123.SZ,20220314,30.0,30.58,29.59,29.64,30.54,-0.9,-2.947,38940.44,117128.937
301123.SZ,20220315,29.2,29.6,27.88,28.16,29.64,-1.48,-4.9933,44064.8,127193.425
301123.SZ,20220316,28.74,28.8,27.0,28.62,28.16,0.46,1.6335,43912.46,123578.694
301123.SZ,20220317,29.14,29.64,28.8,29.03,28.62,0.41,1.4326,45948.59,134376.638
301123.SZ,20220318,28.89,29.56,28.36,29.23,29.03,0.2,0.6889,31772.9,92573.587
301123.SZ,20220321,29.37,29.89,29.1,29.65,29.23,0.42,1.4369,33684.0,99614.042
301123.SZ,20220322,29.63,29.63,28.7,28.84,29.65,-0.81,-2.7319,31938.32,92836.853
301123.SZ,20220323,29.05,29.43,28.85,28.94,28.84,0.1,0.3467,23390.74,68082.719
301123.SZ,20220324,28.78,28.81,28.0,28.21,28.94,-0.73,-2.5225,30406.52,86271.026
301123.SZ,20220325,28.39,29.68,28.34,28.7,28.21,0.49,1.737,43198.66,125257.816
301123.SZ,20220328,28.07,28.55,27.61,27.9,28.7,-0.8,-2.7875,27544.8,77212.037
301123.SZ,20220329,27.95,28.18,26.81,27.0,27.9,-0.9,-3.2258,38417.32,104711.801
301123.SZ,20220330,27.18,27.36,26.82,27.03,27.0,0.03,0.1111,38575.71,104323.459
301123.SZ,20220331,26.84,27.12,26.51,26.75,27.03,-0.28,-1.0359,29849.19,80002.906
301123.SZ,20220401,26.79,27.44,26.65,27.18,26.75,0.43,1.6075,37033.04,100649.705
301123.SZ,20220406,27.58,28.25,27.45,27.66,27.18,0.48,1.766,35620.73,99038.373
301123.SZ,20220407,27.67,30.28,27.25,28.95,27.66,1.29,4.6638,78652.23,228203.688
301123.SZ,20220408,28.3,28.58,27.42,27.45,28.95,-1.5,-5.1813,47425.99,132105.621
301123.SZ,20220411,27.19,27.21,25.32,25.89,27.45,-1.56,-5.6831,40985.98,107533.808
301123.SZ,20220412,25.97,26.44,25.41,26.38,25.89,0.49,1.8926,23671.16,61418.854
301123.SZ,20220413,26.16,26.16,25.44,25.44,26.38,-0.94,-3.5633,23770.47,61189.221
301123.SZ,20220414,25.52,25.73,25.29,25.37,25.44,-0.07,-0.2752,20207.89,51528.482
301123.SZ,20220415,25.07,25.25,24.33,24.66,25.37,-0.71,-2.7986,29670.71,73384.186
301123.SZ,20220418,24.38,25.12,23.82,24.97,24.66,0.31,1.2571,21875.69,53839.488
301123.SZ,20220419,24.88,25.58,24.7,24.97,24.97,0.0,0.0,18786.33,47155.347
301123.SZ,20220420,24.97,25.47,24.81,25.24,24.97,0.27,1.0813,21748.5,54801.2
301123.SZ,20220421,25.45,26.6,24.3,24.52,25.24,-0.72,-2.8526,41315.78,105513.833
301123.SZ,20220422,24.33,25.39,24.05,25.2,24.52,0.68,2.7732,31987.73,79799.617
301123.SZ,20220425,24.72,24.9,22.74,22.79,25.2,-2.41,-9.5635,34093.48,81348.015
301123.SZ,20220426,22.9,23.2,21.43,21.51,22.79,-1.28,-5.6165,34294.15,76225.364
301123.SZ,20220427,21.3,22.37,20.6,22.14,21.51,0.63,2.9289,35910.87,76674.089
301123.SZ,20220428,21.92,22.05,20.88,20.88,22.14,-1.26,-5.6911,30537.56,65470.298
